,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ritalin,ADHD,8.0,Taken for 1 to 6 months,"March 16, 2022",0,"25-year-old woman, diagnosed 1 month and a half ago, I had a sore throat and soon I became hoarse and I'm having a lot of difficulty speaking, I consulted with an otolaryngologist and it was found that my right vocal fold is paralyzed. Could it be a side effect of the medicine? Anyway, I've stopped using it.",juliana
1,Ritalin,ADHD,3.0,Taken for 6 months to 1 year,"February 26, 2022",0,"I've been taking Ritalin 20 MG three times a day. I feel like I can't remember things, I have issues with teeth clenching, agitation and I feel like I want to jump out of my skin. I have a new Dr who prescribed me Ritalin. I used to take Adderall but this Dr didn't prescribed because of my high blood pressure. I had no side effects with Adderall. I'm going to be requesting a change.",Anonymous
2,Ritalin,ADHD,2.0,Taken for less than 1 month,"February 11, 2022",0,"Ritalin gave me a horrible experience. In the morning I seemed to be ok. For a couple hours it gave me focus, but after that I became anxious and irritated throughout the day. I became confused, poor decision making and felt extremely weird. This works for some, but did not work for me. Horrible experience with this drug.",Anthony
3,Ritalin,ADHD,10.0,Taken for less than 1 month,"January 22, 2022",10,"At 48 years old I was diagnosed with severe ADHD/combined.  I started on 10mg of generic Ritalin four days ago.  This is the closest thing to a real miracle that I have ever experienced.  For my ENTIRE LIFE I believed that I suffered from major depression and social anxiety disorder.  Every last thing in life was difficult.  My memory was terrible - forgetting every single day what I was talking about mid-sentence, forgetting why I went into rooms, forgetting goals that I had set just a day or two prior.   Years of undiagnosed and untreated ADHD left me with a nervous breakdown and unemployed (after a 23 year, very STRESSFUL, career as a public school teacher).  I never thought I would ever work again.  That was almost two years ago.  Now that I am on the medication?  1) My anxiety is GONE.  2) My depression is GONE.  3) I can remember what I am doing - whether that be in a task I am performing or in a conversation that I am participating in.  4) I feel calm.  AMAZING!",marcilaw
4,Ritalin,ADHD,1.0,Taken for less than 1 month,"January 19, 2022",0,"Just got diagnosed ADHD and prescribed Ritalin (10mg 3 times a day, starting with 1 and increasing it every few days). It’s my 6th day taking it and it feels like it’s doing the complete opposite of what it should be doing. It’s worsened my anxiety and depression, I feel robotic and numb, my moods fluctuate more than usual, I can’t focus, I feel tired and lethargic, irritable, nauseous, dizzy, racing heart, and none of my usual coping mechanisms that I had before I started meds are helping at all. It’s helped so little and made me feel so much worse. I've started dreading having to take them. Called my Dr today and waiting for him to call back so I can speak to him about it.",Skye
5,Ritalin,ADHD,10.0,Taken for less than 1 month,"January 14, 2022",2,"I have to say it has been absolutely life changing. I’m only on 10mg of methylphenidate and a weight has been lifted. I’m no longer exhausted, and I don't get painfully starving like I used to, I can happily make the dinner. I won't be coming off of it. Life changing. No side effects, but I am aware that I’m on a low dose, will soon be going up to 15mg.",Rachel
6,Ritalin,ADHD,2.0,Taken for less than 1 month,"January 2, 2022",0,No change. I experienced nothing beyond maybe slight appetite reduction. Made me worse because I’d  was hoping it would work really well so was disappointed that there wasn't much change.,Craig
7,Ritalin,ADHD,,Taken for 2 to 5 years,"January 2, 2022",0,"I took ritalin in elementary to middle school. And I stopped in high school. As I got older, I did my own research and reflected to times when I was prescribed. Funny but no laughing matter. The damn thing made me do what it was supposed to treat. As ritalin was told to me to help treat with my hyper energy and it would keep me calm. When in actuality, I was fidgeting with cracking my knuckles constantly. A poor attitude from being malnourished. And a whole bunch of other things. When in my own honest opinion and defence. I think I was just a kid being a kid. Right? So, in short. It me do the very thing I was told it was to treat. I will, however say that in high school. I remember I found some old pills and I used it for losing weight for some sport and I remember a significant difference to controlling my self and what's around me at a older age then I did at a younger one.",Mieko7me
8,Ritalin,ADHD,,,"January 1, 2022",1,"The doc told me to start half a tab. 10mg is full. I was on the 10mg in a few days mind you. It perked me up at first but very focused and more or organised for certain. I haven't yet had appetite issues cos I'm on my period now. I take one in a.m with sertraline 100mg as per usual the past year. I.find I am way too relaxed and almost restful minded. Although I can sit still now and do nothing as opposed to constantly finding weird tasks to do around the house. I drink alcohol with it no worries. Although not as much as used to. Don't feel like it. I used to walk fast now I walk slow lol. I needed white noise to sleep, now I can just sleep with silence. Hated loud noises and flies but now I don't stress about them. I tried to stop taking them after 10 days, but I went anxiety and heart fast so I took half and was all good but again very relaxed.",ADHD 36 years
9,Ritalin,ADHD,1.0,Taken for 1 to 6 months,"November 22, 2021",1,"I had a horrible experience with Ritalin. At first it was fine when it was initially prescribed. I only took it during the weekday or on some weekends when I had grad or teacher word to do. I was prescribed 5 mg.  After a few months of taking it, I noticed my heart was racing; I would initially ignore it. But then it started to get worse and I would get a little more concerned.  I also noticed I was super irritable and would get frustrated easily. Finally, after taking it 3 days in a row coupled with being super stressed about being quarantined and teaching from home, my heart raced super fast. My anxiety was also worse because I was freaking out about my heart rate. I ended up calling 911 and the paramedics wanted to take me to the ER to get further testing done. After a few tests, the cardiology team wanted me to stay overnight.  They wanted to check if I had a heart attack at the age of 32, it was negative. I am a healthy female and always have been, that was scary and not worth it.",Andrea
