,drug,condition,rating,duration,review_date,upvotes,review,username
0,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 1 to 2 years,"March 8, 2022",0,Mirena (levonorgestrel):I had the Mirena IUD for just over a year. And while the purpose was to slow and stop my period because it was so painful and I bled so much the unspoken side effects were life altering in the worst way. None of the medical/drug documents mentioned a risk of depression or suicidal depression yet over the next year I progressed in a fast downward spiral until I was thinking suicidal thoughts. I didn’t realize the connection until recently. I finally got the Mirena out because I was getting so crappy with it in and a few months later my depression eased up and I started to function like a normal person. This drug has unknown and VERY harmful side effects. I would never recommend it to any person for any use. Added 1k monthly cost for mental health treatment caused by this product.,Mix
1,Levonorgestrel,Abnormal Uterine Bleeding,2.0,Taken for 6 months to 1 year,"March 1, 2022",0,"Mirena (levonorgestrel):I'm 30 years old, diagnosed with endometrium hyperplasia, I have experience heavy bleeding since 22 years old, sometime 1 month straight bleeding and really really heavy. On November 2021, doctor did biopsy and later on suggest me to try Mirena. On January 25 I got Mirena inserted, that's really painful I almost black out. Now February 28 I still have bleeding since inserted, I just went to my GP today, and she did paps smear and other check for possibility infection. Not really happy with the bleeding,  puts  a  downer on my sex life.",Aquarius
2,Levonorgestrel,Abnormal Uterine Bleeding,,Taken for 1 to 2 years,"February 24, 2022",0,"Mirena (levonorgestrel):Doctor would not give me hysterectomy till I at least tried ablation and mirena. Unfortuanately I have cysts and the ablation couldn't be done due to their location. I'm 51 years old and had a mirena inserted for a year, and unfortunately it did not stop my VERY HEAVY bleeding. My doctor then suggested to retry and put another one is as it had dropped down low. Well I'm 6 months in and this one and it hasn't worked either. Time for a hysterectomy for me I think. I  can't keep living like this as it's  ruining my life.",Anonymous
3,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 2 to 5 years,"February 16, 2022",0,"Mirena (levonorgestrel):After having bariatric surgery Sept 2018, I began having abnormally heavy bleeding. Keep in mind at 42 - I had mostly experienced amenorrhea due to my obesity.My OBGYN suggested MIRENA to help. Inserted April 2019.I still have a 5 day regular period every single month. Sometimes twice a month. I experience painfully dry intercourse, And often random spotting. When it's time to remove, I will NOT replace.",WinnipegChick
4,Levonorgestrel,Abnormal Uterine Bleeding,10.0,Taken for 2 to 5 years,"February 9, 2022",0,"Mirena (levonorgestrel):I got Mirena in 2019, I was 19 years old and this year I will be 22. Before Mirena I had unbearable bleeding and period cramps. The first couple of months with Mirena there was a lot of spotting and took a while for my period to go back to normal. The insertion was probably one of the worst pains of my life! However, this will be my 3rd year with Mirena and I like that I can just have it inserted and forget about it. Even though it didn’t completely stop my periods like it said it would, it had definitely made my periods a lot less severe.Also Mirena has worked great as a birth control! No complaints whatsoever.",Young Woman
5,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 1 to 6 months,"January 18, 2022",1,"Mirena (levonorgestrel):I'm starting to wonder if my ""doc"" hadn't done something right. I have been cramping miserably everyday since. this was supposed to eliminate the pain and bleeding;as if it's only made things that much more difficult.  this sucks!!  Besides the constant abnormal bleeding, I can uncomfortably feel this stupid thing - all the time. I want it gone. I would prefer an ablation at this point. I have no use for my dang uterus anyway.",mamabee716
6,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 1 to 6 months,"January 17, 2022",0,"Mirena (levonorgestrel):I had my Mirena inserted 2 months ago. There has been no reprieve from the heavy and prolonged period  , which was the reason for the insertion.  There is also constant pinching pain on my left like my ovaries are being jabbed. The Gyneacologist did two Telehealth consult charging me $200 each time and has done nothing except telling me its probably because I had a curettage at the same time. Not happy and wish there was a more realistic disclosure about what to expect.",Jane
7,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for less than 1 month,"January 11, 2022",0,"Mirena (levonorgestrel):I’m 41, had it inserted to regulate hormones, heavy periods and possible endometriosis, (one child). Insertion was painful but bearable and quick, not as bad as anticipated. After insertion I had cramping and pinching sharpe pains for 7 days, continuous light bleed and odd mucus/ discharge. Began to bleed heavily on day 9 (4 days before due period). Heavy bleeding and clotting was relentless, (I’m used to heavy periods, this was a huge amount of clotting), felt depressed and exhausted. The most excruciating camps, on a level with labour pains day 16, lasted intensely for 45 min  and left me numb with pain and unable work. I found it impossible to concentrate and developed tinnitus. Heavy bleed continued for 12 days. Episode of confused dizziness and nausea, sent to hospital, dr suggested a ‘big shot’ of progesterone and drugs to stop the bleeding but exhausted I decided to have it removed 3 weeks after insertion. Removal was easy, bleeding eased immediately.",Lilly
8,Levonorgestrel,Abnormal Uterine Bleeding,3.0,Taken for 1 to 2 years,"January 2, 2022",1,"Mirena (levonorgestrel):My periods are obviously not as often but when I do get them, the spotting can take up to 2 months non-stop. It's like having a light period but for an extended time. Cramps are pretty bad I never had to take Mydol before and now I have to.",Anonymous
9,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 6 months to 1 year,"January 1, 2022",0,"Mirena (levonorgestrel):The biggest mistake I’ve ever made. I had mine in for about 6 months for endometriosis. I went on it to better regulated my periods after experiencing spotting with Ashlyna and my cramps. It didn’t help with my cramps. I gained 20 lbs in 6 months with ZERO life style changes. I worked out, I ate less, etc. I swelled up. Online it says hormonal IUD weight gain is uncommon/unlikely, but tell that to me and the hundreds of other women who have gained excessive weight after insertion. I got mine out a week ago and I’ve already lost 5lbs with no lifestyle change. I had to go off it as the weight gain began affecting my self esteem and I couldn’t fit into my jeans anymore. I do like the security it provided in terms of birth control, though. I would get a copper IUD for that except the procedure is so damn painful they thought they perforated my uterus and I had to go to the ER. I don’t recommend this in terms of.. well anything really. It did help my period become more regular, though.",jmk
10,Levonorgestrel,Abnormal Uterine Bleeding,,Taken for 2 to 5 years,"December 30, 2021",0,"Mirena (levonorgestrel):I’m going on year 3 with my Mirena and I’m happy with it now.  I wasn’t for the first year.  I had the complaints that I'm reading on here… spotting, irregular yet light periods, but no cramping for the better part of the first year.  Sex life?  Lol no.  Second year was great.  Now starting year three I’m getting a lot of spotting, brown, pink and red.  Overall, better than what I had before my IUD.  I wanted it gone after 3 months.  I’m glad I left it alone.  I’m now 48.",MaryJayne
11,Levonorgestrel,Abnormal Uterine Bleeding,3.0,Taken for 1 to 2 years,"December 29, 2021",0,Mirena (levonorgestrel):I've had the Mirena for 18 months . It was inserted because I have adenomyosis and suffered heavy periods which had made me anemic. The pain on insertion was sharp and just bearable I was faint afterwards despite having pain relief injections . Initially my period remained heavy but over time 8 months or so it lightened . Throughout the last 18 months I have bled lightly for around 21  days a month with 7 days heavy bleeding .  At 12 months my doctor advised as long as it's getting better and not worse there is no point in changing anything. I'm almost at the end of my tether and getting a doctor's appointment is almost impossible due to the pandemic.,LadyS
12,Levonorgestrel,Abnormal Uterine Bleeding,1.0,,"December 22, 2021",0,Mirena (levonorgestrel):I have been on the Mirena IUD two different times. The first time I had it inserted in April 2017. It was in for 3 years the only I issue had then was migraines. Other than that it was amazing my cycle was light and I never had cramps. I had it inserted again this year and I have had nothing but problems. I have spent this entire month alone bleeding. I am also experiencing painful sore breasts and nausea. I have had multiple tests done including a pregnancy test to rule everything out and all of my results have came back negative. I will be getting it removed and will never get it again. From day 1 my body has been rejecting it but I tried to give it a chance. I cannot understand why I did well with it the first time but not now. I am very disappointed.,Jasmine A.
13,Levonorgestrel,Abnormal Uterine Bleeding,3.0,Taken for 1 to 2 years,"November 26, 2021",0,"Mirena (levonorgestrel):I have had the Mirena for over a year, because I have a cyst and 2nd stage endometriosis. I have experienced excruciating pain in my abdomen and the spotting/bleeding can go on for more than 12 days monthly. It sometimes just happens abruptly.",xg3w
14,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 1 to 6 months,"November 18, 2021",0,"Mirena (levonorgestrel):I had the Mirena IUD inserted roughly 7 weeks ago and as of tomorrow, Friday, November 19, I will have been on my period for 4 weeks straight. Some times it is fresh red blood and other times it is brown and sticky/somewhat stringy. This is my first period after giving birth to my first child and first IUD altogether. It has been painful at times, almost sharp feeling as if the IUD is poking around in there. I have gone to the doctor and they have checked the IUD and say everything is fine and have zero concern. This is so incredibly frustrating. Tampons are painful when inserted. Having to wear a thick pad for a month straight now is not fun. I’ve had incessant back pain, not extreme but it is present. Cramps here and there, food cravings, etc. I just want this to stop. I am trying my best to hold out as I am breastfeeding and have limited options that work for me but it continues to stay an absolute annoyance and inconvenience every single day.",4 Week+ Period
15,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 1 to 2 years,"November 16, 2021",0,"Mirena (levonorgestrel):I got the Mirena put in on April 7th, 2020 and bled for 9 months STRAIGHT. I had an ultrasound after 4 months to make sure it was in the right spot and it was. After the continuous bleeding of 9 months I would be lucky to have 5 days a month without bleeding. In September of this year I finally had enough and my doctor asked an gynecologist for input. Because they didn't want to remove the IUD, they put me on more pill form birth control for 6 months. I am now 3 months into the additional birth control and started to see success where I hadn't bled for 6 weeks, but now I have been bleeding for 3 weeks again. I will be getting the iud removed. It's not worth the mental and hormonal emotional state that all this causes. It's extremely taxing!",NataliaP
16,Levonorgestrel,Abnormal Uterine Bleeding,3.0,,"November 7, 2021",0,"Mirena (levonorgestrel):I wanted to have the coil fitted for management of heavy periods, contraception and I wanted something that was long lasting.When I had it fitted it was painful but by the time my appointment was over the pain had gone. I had no bleeding on the day of the fitting or for 2 days afterwards so I really thought I was on to a good thing! I couldn’t of been more wrong…..I started bleeding every day some days it was light but most days it wasn’t this carried on for 6 weeks until I asked to have it removed as I felt completely rubbish by this point. I had nausea most days and generally didn’t feel well so I had it removed and then that evening ended up haemorrhaging. Everyone is different but for me it didn’t work and I wouldn’t try it again ever!!",Saz
17,Levonorgestrel,Abnormal Uterine Bleeding,3.0,Taken for 1 to 2 years,"November 5, 2021",1,"Mirena (levonorgestrel):I've always had very heavy menstrual periods and severe cramping especially after having children. I've tried several different  birth control pills, nuvaring ect..Nothing really worked so, my doctor told me about Mirena and she thought this would work best to control the heavy bleeding and horrible cramps that I had. I decided to make an appointment to have this procedure done on November 2020. I can say it was the most excruciating pain I have ever encountered. It brought me to tears. Shortly having this done, I bled so bad. A pad at least every hour or less. Cramps were severe as well. I was told that this was normal and it usually takes a year. Some women may experience light to no period at all .I guess those who do must be the lucky ones. Its been a year and my period is all over the place. Spotting and periods that last almost 2 weeks? Not heavy but lighter. I'm really not sure about mirena..I'm not impressed",It's been a yea
18,Levonorgestrel,Abnormal Uterine Bleeding,,Taken for less than 1 month,"October 28, 2021",0,"Mirena (levonorgestrel):I have the IUD inserted yesterday and bleed all day now today I’m having huge blood clots every time I use the bathroom, had anyone else experienced this?",Momx2
19,Levonorgestrel,Abnormal Uterine Bleeding,8.0,Taken for 6 months to 1 year,"October 26, 2021",0,"Mirena (levonorgestrel):I had it put in in March 2021 and I haven’t stopped bleeding since, mostly a normal period, I have my iron levels checked because I am so tired and that was better than it ever has been. I like how it works and I tolerate the hormones far better than any other method. But the bleeding is driving me mad now, with constant period pain wit it too",Abi
20,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 1 to 6 months,"October 20, 2021",0,Mirena (levonorgestrel):So I had my IUD inserted after having an ovary and fallopian tubes removed due to teratoma and heavy bleeding in June 2021.  I initially had no bleeding for first 2 months then had some light spotting then bleeding and now I am bleeding more with clotting for over 2 weeks as I approach 4 months.  I have a pelvic ultrasound to check on the placement of the IUD and then a follow-up with my OB.  I will keep everyone updated to let you know the results.  However; reading everyone else's comments makes me very suspicious that there's some issues going on with the Mirena IUD as people previously talked about not having issues before anyone have thoughts on this?,Kat
21,Levonorgestrel,Abnormal Uterine Bleeding,4.0,Taken for less than 1 month,"October 18, 2021",0,"Mirena (levonorgestrel):Had Mirena inserted as I had an unusual heavy (like a super tampon every 40 mins with flooding for 40 days), and Doctor recommended it (no prior experience of flooding, no abnormal periods).  51yr old and thought I was in menopause (no bleeding for 7 months prior, no hot flushes, minor mood swings which I took Magnesium tables for, high sex drive, high energy levels).  My 'normal  period' since I was 16 was light, regular, no cramping, a bit of a red meat urge immediately before bleeding, lasted 2-4hrs and was like clockwork.  Mirena was inserted 14 days ago and every single day is bright red bleeding (1 tampon every 6hrs).  It smells, I feel bloated, lethargic and depressed.  I told my Doctor to remove it no ifs ands and buts as I am over it. I'm getting it removed this week.",Anonymous
22,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 5 to 10 years,"October 9, 2021",0,"Mirena (levonorgestrel):After years of very heavy bleeding I tried the Mirena with the hopes of lighter possibly no periods.  In the first year, my periods were definitely lighter.  But unfortunately they never stopped.  In the 3rd year, my periods became heavy again.  A lot of cramping.  My doctor ordered an ultrasound and the Mirena was missing.  On physical exam, it had pierce through my cervix and the tissue had grown around the device.  My doctor had a very hard time removing it.  I was given 8 weeks to heal and we tried again.  I worked in the medical field and knew that sometimes things don’t go well the first time.  So I was willing to give it a decent amount of time.  The second device did not help my periods at all.  Migraines became an issue and anemia was now a problem.  After 3 more years we decided it was safe to say the Mirena wasn’t for me.  I was referred to an ob/GYN to discuss options and possible hysterectomy.  I was 41.",lisacdn
23,Levonorgestrel,Abnormal Uterine Bleeding,5.0,Taken for 1 to 6 months,"October 5, 2021",0,"Mirena (levonorgestrel):I chose Mirena as it had the highest likelihood of easing my symptoms as I had limited choices. I have PCOS and iron deficiency anemia. The insertion process was as painful but only lasted for a few minutes. The cramps after were bad and I ended up staying in bed for two days after. They became mild but I still have sharp random ones in my ovaries. The bloated feeling started a week after and has yet to go away and my stomach feels off yet. My period is about the same but it has yet to go away. (I had it for 4 months straight before Mirena and 1 months straight with it) I just want a normal period even if it's 8-10 days. Have to wait on a string check will update at 3,6, and 1 year marks if It works out.",Theya
24,Levonorgestrel,Abnormal Uterine Bleeding,10.0,Taken for 1 to 6 months,"October 2, 2021",1,"Mirena (levonorgestrel):Tubes are tied. Diagnosed with Adenomyosis. I used the combo birth control for one year before getting the IUD. Inserted Aug.16, 2021, 4 days after my cycle finished. Insertion was tolerable by me laughing at my very experienced doctor. Pain lasted about 10 EXTREMELY LONG seconds. I didn't spot the first day or have bad cramps. I could've gone back to work. The next day until about up to 2 weeks I spotted and got my cycle for about 5 days. No cramps. Bled heavy one day & all I needed was a panty liner the other days. I've spotted very lightly until a week ago. My cycle was due but hadn't come. I have PMS, BLOATING, LIGHT ACNE. Sex has increased! Combo pills demolished that. I recommend the Mirena. From Aug 16 to now (1 month 3 weeks) it's been smooth. No major issues to complain about. Especially since I don't have a cycle!",Anonymous
25,Levonorgestrel,Abnormal Uterine Bleeding,2.0,Taken for 1 to 2 years,"October 1, 2021",0,"Mirena (levonorgestrel):Hi there Had more a for over a year now, I got it for fibroids and heavy periods.First few months were okBut lately my breasts are sore and lumpy that been referred to breast clinic You can’t check breasts normally with a coil in as you’ve no cycle so check them more often.Sex life practically none existent due to discharge. Hope my husband isn’t too depressed because we joke about it once a week at least. Sex isn’t everything but when you have kids and both work it’s like what’s life for. The pain I had before insertion was bad and so was the bleeding but nothing has changed and I feel depressed half the time and moody. I know it works as a contraceptive. It’s the quality of life we need ladies which is why we had it inserted in the first place. It’s just a joke More painMore discharge and for longerNo sexHusband also suffering Fibroids aren’t that big anyway But check your breasts more often",Bev
26,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 1 to 6 months,"September 27, 2021",0,"Mirena (levonorgestrel):I had Mirena inserted after an operation to remove fibroids. Was told this would lessen the volume of my periods. For me, it's been the opposite - bleeding is every day, light for about five days but heavy, painful bleeding and giant clots are the norm. I spend my days on the toilet. I can't afford pads anymore so I'm using tea towels, which are better at preventing flooding when I try to sleep. I wanted a hysterectomy but was told no, but this is never going to stop. My anaemia is back and I'm breathless going up two flights of stairs. I think the coil is being prescribed as 'one size fits all', but it doesn't. This is awful. I was hopeful after the op and the coil  and even bought a bicycle, but I haven't been able to ride it more than once as exercise for me triggers pain and and even heavier bleeding, but they keep telling me my weight is a contributing factor to my heavy periods. My life is passing me by. I was told to wait another three months before I can have it removed.",Amanda
27,Levonorgestrel,Abnormal Uterine Bleeding,2.0,Taken for 1 to 6 months,"September 24, 2021",0,"Mirena (levonorgestrel):I’ve had my IUD for 3 months. Bleeding started 2 days after and has not stopped at all. At my check up, they checked and it is in place. I started 2 weeks on estrogen pills to help stop the bleeding and it brought it down to just spotting. 2 days after my last pill, bleeding came back full force again. I can’t deal anymore and will be having it removed this month! I really wanted this to work so bad!",Anonymous
28,Levonorgestrel,Abnormal Uterine Bleeding,6.0,Taken for 1 to 6 months,"September 23, 2021",0,"Mirena (levonorgestrel):I have complications hat a hysterectomy would solve, but I'm not ready for surgery so the Mirena is a temporary solution. I've had it for four months. The insertion was no lie the most painful few minutes of my life. I heard them talking about my ""narrow cervix"" so I think that caused complications. Tons of spotting, every single day since insertion. Not enough to need a tampon or pad, but I almost never wipe or have sex without seeing bleeding. I immediately gained like 15 pounds due to an uncontrollable appetite. My doctor blamed it on being ""progesterone dominant"" which causes a head hunger and usually only shows itself within the first six months. She prescribed me Phentermine which I had been on in the past to help control my weight, but only for six months then I'm on my own. My skin and hair look good, but my gums are kind of raw. My sex drive is still there but the 24/7 bleeding is kind of a buzz kill. So far I'm not super impressed, but I also don't super dislike  the Mirena.",Kay
29,Levonorgestrel,Abnormal Uterine Bleeding,1.0,Taken for 6 months to 1 year,"August 28, 2021",0,"Mirena (levonorgestrel):I’m in the unpleasant situation of not being able to use the combination pill (congenital high bp) implant (bled every single day) injection (fam hist of thin bones) and mini pill (shift work) or copper coil (ouch and expelled twice) and everyone raved about the Mirena even my mumWell I had it put in in Feb and my periods have at least doubled in length, they average 10 days with no real discernible decrease in pain than no contraception periods as well as pain from cramping around it, pain now when I exercise and bleeding after sexI’m completely gutted and I don’t know what to do, I feel so lied to about this IUD and they won’t take it out until a year has passedIf you can’t waste a year bleeding or worrying I really wouldn’t bother",Thx patriarchy
