,drug,condition,rating,duration,review_date,upvotes,review,username
0,Isotretinoin,Acne,6.0,Taken for 6 months to 1 year,"March 26, 2022",0,"I took roaccutane for a year when I was 13 (7 years ago). After going through several rounds of antibiotics and different facial creams without noticing any change in my acne, I was relieved to find a medication that actually helped me. However, in retrospect, I am not sure whether the treatment was worth all the side effects:1. Dry lips and skin2. Worse wound healing3. Hundreds of mosquito bites (mosquitos loved my soft skin)4. Back pains5. Loss of normal ear wax resulting in ear inflammations (This side effect never completely left me).6. Dry light-sensitive eyes7. Weight loss - about 6 kg8. My hair was never greasy ( I didn't complain)9. Easy sunburnMy dermatologist took a blood sample every month to see if my liver was OK, so I think they were aware of  how strong this medication was.",Anonymous
1,Isotretinoin,Acne,7.0,Taken for 1 to 6 months,"March 10, 2022",0,"Started to take Curatane (which btw I can't find this exact brand anywhere on google, it's kind of worrying me), so I started to take it 4 months ago. Started with 40mg (94kg weight), after 1.5 months and blood tests started to take 60mg. 1.5 months later we were supposed to go up to 80mg I just couldn't do that, I said that I'm barely moving, so it is postponed for 3 months for what I understood. For now 60mg.In 2 months from now it will probably go up to 80mg.As is, at first it got worse but now I already see how my skin changes and I get much less acne, not even 1 one active right now!I have lots of lower-back pain and ankles, which I'm struggling to move or even get up of my chair smoothly (basically I'm 26 years old acting like a 70+ since I started the treatment).Also I have noticed hair loss but I'm not sure if it's directly tied to the treatment as my period was late this month, could be both together which made it worse then usual.Also I'm suffering from vision issues.",NoOne
2,Isotretinoin,Acne,1.0,Taken for 1 to 6 months,"March 3, 2022",0,"Accutane (isotretinoin):Don't take this drug, I'm warning you.I had very bad acne at back, chest and face, I took accutane for 6 months and it really cleared my skin, however, the permanent side effects are much worse.My acne came back to the same state as it was before but now I also struggle with very dry skin, dry mouth, dry eyes, eczema and others.Trust me, I'm tellng you this for your own good, don't take it.",Niko
3,Isotretinoin,Acne,10.0,Taken for 6 months to 1 year,"January 24, 2022",1,"Accutane (isotretinoin):Accutane saved me… literally. I had painful cystic acne and small pimples on my face all the time. I was in a deep depression and didn’t want anyone to see my face when my skin was bad. I was on accutane twice and it cleared my skin after several months, you need to be patient. My skin definitely purged at the beginning but at the end it was so worth it! Made my skin look like a porcelain doll. It’s better to get on it sooner than later as the longer you wait, the more scarring you are left with for life. It is very drying though and you need to make sure you’re seeing a good dermatologist who has you on the right dose as too high of a dose for your body weight can cause serious health issues.",Ari
4,Isotretinoin,Acne,5.0,Taken for 6 months to 1 year,"January 21, 2022",0,"Accutane (isotretinoin):This medicine did wonders for my acne. However! This result was no where near worth the mental anguish I went through with the side effects. Horrible night terrors, depression, and several anti-depressant medications after I  completed the medication. It all around changed my personality. No one under the age of 18 should be legally able to decide if they are ready to face these very real and serious side effects.",Ginger Kidd
5,Isotretinoin,Acne,1.0,Taken for less than 1 month,"January 17, 2022",1,Accutane (isotretinoin):I'm going on day 3 of accutane tomorrow my skin is itchy in as so far see no difference I just want clear skin got acne on my whole body.My acne still on my body going into day 3 wish It was helping me so far it not doing anything I'm not getting any side effects from it either I'm gonna keep trying it a little longer if this don't work guess I'll have acne rest of my life. I have tried everything else no luck,Justib
6,Isotretinoin,Acne,10.0,Taken for 1 to 6 months,"January 5, 2022",0,"Accutane (isotretinoin):I’ve had super bad acne since the age of 14 , and finally after 10 years I was referred to a dermatologist - it was one of the best decisions ever in my life to start taking Accutane. I was suffering so many nervous breakdowns due to my breakouts, I was finally acne free just within 2 months of taking these pills. Trust the process, it’s truly a GAME CHANGER :)",Jaz
7,Isotretinoin,Acne,10.0,Taken for 1 to 6 months,"November 22, 2021",0,"I am presently 29 years old and I suffered acne from the age of ten. Prior to using accutane, I had periods of remission but also periods of terrible flares where nothing worked. I tried everything from topical creams and gels to herbal remedies to watching your diet to drinking x litres of water a day to washing your face x times a day. I had periods where I avoided looking at my own face in the mirror coz my skin really was such a mess. I'm taking time to describe the agony I experienced coz I want a fellow acne sufferer out there to read this and to know that someone understands what you are experiencing.So I'm three months into accutane and I've never felt better in my own skin. I smile as I write this. I had results in my 2nd week of treatment and then my skin just got progressively better until now my previously oily face is normal without any bumps. None at all. The ONLY side effect I had was chapped lips. Nothing that chapstick didn't handle properly. Thank you God!",lola
8,Isotretinoin,Acne,1.0,Taken for less than 1 month,"November 19, 2021",1,"Accutane (isotretinoin):Everyone is different. But it caused horrible joint pain day one. Started with my sacrum and SI joints. Then my hips then my knees. Had to go to a chiropractor. It also started clearing my skin right away. I had dry lips and dry skin also. But the joint pain was horrible I couldn't sit without pain. Was on accutane 40mg for two weeks before I stopped and my pain went away, after a week. Be careful if you have major joint pain, tell your doctor. If you can't function get off it.",rainelizabeth
9,Isotretinoin,Acne,10.0,Taken for 1 to 6 months,"November 17, 2021",2,"Accutane (isotretinoin):I’m honestly not someone to ever write a review, but with accutane being the most life changing thing and reading all the horrible scary reviews on here before hand I thought I wanted to so people could know the truth. People will always write horror stories especially when taking 60/80 mg per day. My skin was very bad acne covered in it and I started my treatment 6 months ago, I started on the lowest dose 20mg and my derm kept asking if I wanted to up the dose to get treatment done quicker. I didn’t want to rock the boat as I was doing so well and am 6 months in and decided to stay on 20mg. Honestly yes there is dryness especially at first but nothing some strong moisturising cream wouldn’t fix. My lips have always been extremely dry from the beginning but lip balm eucerin works a treat!! Yes this medication has its downsides but anyone struggling with the heartbreaking effects of acne. Don’t hesitate it will be the best thing you’ve ever done",Listen!!
10,Isotretinoin,Acne,4.0,Taken for 6 months to 1 year,"November 15, 2021",0,"Accutane (isotretinoin):I felt was important to share my experience on Accutane. I am a 24 year old female and have had acne for over 10 years. I have been on Accutane 3 times. I first went on when I was 16, then again when I was 21 and again when I was 22/23. Each time my side effects have been the same: super super dry skin, bleeding lips because they’re so dry, and big eczema flare ups. There is a major purge phase but you will get through it, and it definitely cleared my skin up each time. Unfortunately my acne came back after 6 months all 3 times, and is now back worse than ever. Each time the dermatologists tried different techniques eg. Staying on a lower dosage for longer on one round, I gradually increased on one round and on the I was on a high dose continuously straight away. It didn’t seem to make an effect on the effectiveness. Mood wise: my acne caused my depression and stopped me from doing things I loved, so my mood was SO much better on Accutane as my skin was clear.",Fed up
