,drug,condition,rating,duration,review_date,upvotes,review,username
0,Junel,Acne,2.0,Taken for 1 to 6 months,"March 24, 2021",2,"Blisovi Fe 1.5/30 (ethinyl estradiol / norethindrone):I started birth control 6 weeks ago (one month 2 weeks) hoping it would help with my acne, heaviness of my flow, and cramps. So far I’ve had my period 3 times this month lasting around 1-3 days. Before I started birth control I didn’t have bad skin, just breakouts when my menstrual cycle began. Ever since starting birth control I’ve had so many breakouts, to the point where I don’t want to be seen. Yes my acne isn’t as bad as others, but it’s still bothersome, when I went on this medication to fix this problem.",maria
1,Junel,Acne,8.0,Taken for 6 months to 1 year,"February 2, 2019",16,"I am on the pill first and foremost for birth control. My skin was so bad, more than it ever had been, so I had my Dr put me on a pill that was better for acne than the one I was on. There is a few negatives. I have gained a little weight (this could be related to other stuff though) and I have virtually no sex drive but thats on any pill for me. This pill FOR ACNE WORKS. This pill helped to completely change my skin like I never had been able to achieve before. My skin was so blotchy and uneven and rough and I still got whiteheads and I had not left the house without foundation since I was 16. I’m 29 now and the only time I wear foundation now is for special occasions. Very grateful for the clear skin I have now.",Ac
2,Junel,Acne,1.0,Taken for less than 1 month,"August 17, 2018",6,"I usually have medium acne-nothing some foundation and concealer can’t cover. However, I really wanted to finally clear my skin up, (and was also having problems with my period) so my OBGYN suggested Lomedia 24 Fe. After the first week or two, my acne was terrible. So so bad, I couldn’t even stand it. I started getting cystic acne all over my cheeks and these huge pimples on my forehead. After reading other reviews that said the same thing, I quit the pill. My acne has finally gone away and my face is back to how it used to be. Even if it’s not perfect, I’ll take this over the horrible acne I got from this  pill. Do not use.",Natalie
3,Junel,Acne,1.0,Taken for 1 to 2 years,"July 29, 2018",3,"I have been on this pill for a little over a year now. I didn’t make the connection until I looked it up today, but my acne got so much worse right around the time I started it. My skin was never perfect but I would only really have small pimples on my forehead. The last year I have had huge cystic pimples covering my jawline and cheeks that are constant. It has made me so depressed and self conscious. Not to mention this pill has made my periods super irregular and even more painful than they already were before. I am getting an IUD soon and can not wait to stop taking this pill for good! I would never recommend this pill to anyone especially if you’re hoping to improve your acne!!",Andy
4,Junel,Acne,3.0,,"July 19, 2018",0,"Meh. I got on Blisovi Fe 1.5/30 for acne and PMDD. It cleared up my acne a lot at first and made my periods significantly lighter for a little while, cramps weren’t there and periods were a decent length. However, I noticed a huge weight gain on this BC. Painful bloating and made me super self conscious. My face has definitely blown up a lot and it especially does around my period time. I drink a lot of water and try to stay active to prevent  most of this but it hasn’t budged. The only time I lost weight was when I was over exercising and barely eating on this pill but obviously that isn’t realistic. Cravings are awful on this too. Mentally I’m ok I guess and I have a history of depression & anxiety. Just really self conscious and lost a lot of my confidence.Unfortunately it’s time for me to switch to a different pill. Past 3 months symptoms of my PMDD have been coming back and my periods have been awful again. Skin is breaking out bad as well.",Meh
5,Junel,Acne,1.0,,"May 23, 2018",1,"I've been on this pill for 9 months. Within those 9 months I've gained 20 lbs. I've always been between 108-113 and now I'm 130!! I don't fit  into any of my clothes. I have become super hungry and bloated. Not to mention it did NOTHING for my acne!! I was on Yaz for a couple years and it did WONDERS for my acne. Then I was having two week periods because I would miss a pill so they switched me to this. I read online the best pills for acne contain drospirenone which is in Yaz, yazmin, ocella, etc. so she put me back on Yaz because I never gained weight with that and it did wonders for my acne. I'll update after taking Yaz for a month and let you know if I have lost the weight and better acne. This pill didn't make my acne worse than it was before birth control, but it did not help one bit.",Marfi
6,Junel,Acne,6.0,Taken for 1 to 2 years,"May 8, 2018",0,The one good  thing this pill did is shorten my periods to 4 light days. I have never had acne and then I started with a few pimples here and there and now my forehead is always covered in them. I thought it was because I went away to college but I wasn't even that stressed. It wasn't until my mom pointed it out that I realized it could be the birth control. I have been on it for almost two years with no improvements in my skin. Another good thing - I used to have migraines with aura frequently and now I get maybe one or two a year. But my skin has become almost cystic acne!! I made an appointment to get another form and I hope my skin clears up.,T
7,Junel,Acne,1.0,Taken for 1 to 6 months,"March 5, 2018",3,"I started taking norethindrone about 6 months ago and it has been absolutely MISERABLE. I hadn’t made the connection between my serious acne (and other issues), until my mom suggested I google norethindrone and acne and found this. While taking this pill my face has transformed from smooth and minimal pores to dozens of cystic THROBBING and PAINFUL pimples. I also have had similar mood swings, depression, weight gain and a constant feeling of bloating and puffiness in my face. Basically the worst period of the year amplified everyday. I tried so many creams, gels, facewashs and masks, not to mention went gluten free, dairy free and even vegetation for multiple weeks and increased my water intake substantially to see if that was the problem, but NOTHING CHANGED AND ONLY GOT WORSE.",Anonymous
8,Junel,Acne,,Taken for 1 to 2 years,"January 18, 2018",3,Terrible cystic acne all over face and chin for over a year on this birth control. Breaks outs occur bad 1 week before cycle and take until the next cycle to clear up so it was a constant issue.,Anonymous
9,Junel,Acne,1.0,,"December 19, 2017",2,"I started taking this pill about 4/5 months ago and I used to have great skin. Since I’ve started taking this my whole face including my forehead, chin and area around and including my nose is covered in horrible acne. My doctor decided to give me a prescription cream to use to try and help it but it did nothing. I used to have great skin before this and I also noticed I’m hungry all the time and have probably gained a few pounds. I would highly NOT recommend this birth control!",Acnequeen326
10,Junel,Acne,10.0,Taken for 1 to 6 months,"July 16, 2017",14,"Microgestin Fe 1/20 (ethinyl estradiol / norethindrone):Most people that are complaining that they got acne using it are most most likely in their first/second month of using it. I'm almost at my fifth month of taking Microgestin and I rarely break out now. I've definitely been noticing that my skin looks better. Also, I have been weighing myself and have not gained weight from it. My advice is, just keep on taking it because most symptoms (mainly the acne part) gets worse before it gets better.",Takes a while to work
11,Junel,Acne,1.0,Taken for less than 1 month,"July 13, 2017",15,"Loestrin 24 Fe (ethinyl estradiol / norethindrone):I have only been on this pill for 4 days now and I all ready have noticed large cystic pimples appearing on my cheeks and chin. I have never had perfect skin to begin with but I have never experienced cystic pimples nor have I ever broken out on my cheeks. After reading these reviews, I am glad to know that I am not the only one experiencing this. I started taking birth control to help with my heavy and irregular periods but I have ultimately decided to stop using this pill due to the negative effects it has already had on my skin. I personally do not recommend this pill especially if you are starting it with the intentions of clearing your skin.",Anonymous
12,Junel,Acne,,Taken for less than 1 month,"July 4, 2017",1,"Microgestin Fe 1/20 (ethinyl estradiol / norethindrone):I switch from Portia to microgestin fe 1/20 because I was having break through bleeding and after 2 weeks I experienced red, itchy, hive like rashes on my cheeks. I stopped the microgestin immediately once I noticed the itching because I figured I might be having an allergic reaction to it. I'll be on ocella in a few days. I'll update and tell if that helped clear up this mess on my face up...",May cause breakouts!!
13,Junel,Acne,,Taken for 1 to 6 months,"June 27, 2017",3,"Nortrel 1/35 (ethinyl estradiol / norethindrone):My acne was very mild.  First month my acne increased, and now has increased even more.",Assistant Principal HS
14,Junel,Acne,3.0,Taken for 6 months to 1 year,"June 22, 2017",4,"Microgestin Fe 1/20 (ethinyl estradiol / norethindrone):So I was on Ginanvi for about 3 months before I switched over to this pill due to the high cost of Ginavi (I don't have insurance). Ginanvi had cleared up my acne in the short time I used and I was hoping this birth control would not mess that up. I was wrong. After 2-3 months of using this pill my skin went crazy with horrible breakouts. Now, 9 months later I still have horrible acne. If you want a pill that helps with acne this is NOT it. It also made my period ""weird"". I would have little to no period one month and a heavy one the next . The month that I had a heavier flow my boobs would hurt a lot. I also noticed that at the beginning of taking it , I would be moody and extremely irritable all the time . It's time for me to switch.",CamB
15,Junel,Acne,2.0,Taken for less than 1 month,"June 11, 2017",3,Nortrel 1/35 (ethinyl estradiol / norethindrone):Doctor prescribed me this and I wish I never took it. Have to finish the pack so my period will get back on track. But honestly this sucks. Made me go from mild acne to severe cystic acne on forehead and chin with reoccurring whiteheads on my nose and t zone. Hate it.,Acne girl
16,Junel,Acne,1.0,,"May 31, 2017",14,"Loestrin 24 Fe (ethinyl estradiol / norethindrone):Im so happy I'm not alone here with saying this pill is absolutely awful. I've always had ok skin, but I get bad cystic acne, and got on this pill for this main issue. I've had bad stomach issues, but thats another story- I just wanted my face cleared up. I cry over how bad my face has gotten in the month I've been on this pill. My doctor told me it would take 3 weeks to work, yet told me 3 whole packs (3 months) a different time. I wish I never got on this. I was on Yaz for a month and it did wonders for my face, but made me incredibly nauseous. I'd rather go back to that in all honesty. Wish I read these reviews sooner. Don't go on this pill if you are looking to clear up acne, I'm worried about going off it now, what it'll do to my skin",em24123
17,Junel,Acne,1.0,,"May 23, 2017",13,"Loestrin 24 Fe (ethinyl estradiol / norethindrone):Looking over these reviews, it's such a relief to know that I am not alone in dealing with the HORRIBLE, EMBARRASSING and PAINFUL cystic acne this has caused me. Until starting, my (then) clear, flawless skin was the thing I liked best about myself. HOWEVER, within a month, this had truly RUINED my skin forever. Excessive and deep cystic acne that did not respond to any dermatologist treatments and sent me into a spiral of low self-esteem. Gyno insisted I stick with it for 6 months to see if it evened out. IT DID NOT! Instead, what I've been left with is unresponsive acne for the past two years (yes...1.5 years after I stopped taking this) because of this horrible pill. Also, did not work properly and gave me 2 periods/month :) STAY AWAY!",Beckymw4
18,Junel,Acne,8.0,,"May 20, 2017",13,"Loestrin 24 Fe (ethinyl estradiol / norethindrone):I didn't notice at first why my acne was getting better, then I realized it was the birth control. After I  stopped the pill I noticed huge bumps on my chin and around my cheeks, and acne on my chest. I recently  re started back on the pill and my skin is all of a sudden clear again so it works for acne very well for me. Everyone seems to be different.",Kaylabr
19,Junel,Acne,1.0,Taken for 1 to 6 months,"May 18, 2017",4,"Loestrin 24 Fe (ethinyl estradiol / norethindrone):I have never had perfect skin however after taking this pill it is in horrendous shape. My doctor gave me a 3 month trial and I was told to come back after that time frame to see how it was reacting with my body. In these 3 months I noticed my skin slowly getting worse (mainly jawline and down my neck) and I was also having no periods and was also feeling moody and tired all the time.  My doctor wanted me to stick with the pill for an other 3 months to see if everything started to even out. At month 5 I have cystic acne down my neck. I still don't have a 'real' period, just random spotting during the month. Also I don't feel tired as often however sleep about 11 hrs/night to feel refreshed. Definitely don't recommend this birth control.",Gmjj
20,Junel,Acne,7.0,,"May 17, 2017",2,Junel Fe 1/20 (ethinyl estradiol / norethindrone):I've been on this pill for almost three months. I'm on it for my acne because I've suffered from acne for 5 years and I am glad to say it is helping.. On my first month my period came on time and only lasted 4 days however I've recently been cramping but nothing too serious. This pill made me gain a few pounds and I've been very angry and emotional. A lot of my friends and family want me to stop taking it because they say my emotions have been extremely heightened. This pill has not affected my sex drive. I've read a lot of negative reviews on this but I personally don't think it's bad. It's effective and it's hormones so what do you expect? I recommend for a cheaper and effective birth control especially of you suffer with acne.,Junebug96
21,Junel,Acne,4.0,,"May 4, 2017",2,"Junel Fe 1/20 (ethinyl estradiol / norethindrone):I first started Junel for my periods because I experienced heavy bleeding that would last for days. I never had awful acne but my skin was not super clear, with the first months of being on it my acne was so bad! But now after 11 months my skin is super clear and smooth! Even though my periods are less bleeding and less days, I have had a lot of side effects! I work out regularly and eat healthy yet I have gained over 10 lbs from when I first started talking this, my mood switches too often and I usually feel mad a lot of the time, and my face and hair has became extremely oily and greasy within the last few months. I do not think it has been worth it!",Em123
22,Junel,Acne,8.0,Taken for 1 to 6 months,"April 12, 2017",3,"I went on this birth control due to the fact that I was breaking out, and had never experienced bad skin ever before. It was hormonal acne and it was relatively painful and I was getting a new pimple almost everyday (all in my T-Zone). When I started the birth control my skin got worse and there was a decent amount of spotting. My skin continued to break out badly for the first two month of birth control. But I highly suggest waiting it out because now on the fourth month my skin looks better than it has in quite a while, and any pimple I randomly get is not nearly as painful, and in the end the birth control kept my acne from scarring my face. It works very well it just takes a couple months.",Anonymous
23,Junel,Acne,1.0,,"April 7, 2017",4,"Loestrin 24 Fe (ethinyl estradiol / norethindrone):I have never posted a review for any product, but seeing reviews for this birth control was such an eye opener that I had to! I am 22 and I have been on lolo for about a year. My entire life I maybe got 5 tiny pimples. The first few months of being on this pill I didn't notice any changes. However, each month after that my acne kept getting worse and worse. I did not realize it was from this pill until I started reading reviews and looking and pictures and matching to the time I started this birth control. My acne has gotten so bad that there are times I will not even leave the house.  The day I saw these reviews I threw all of my pills in the garbage. It has been a month and I am still fighting the acne. STAY AWAY!",Anonymous
24,Junel,Acne,1.0,Taken for less than 1 month,"April 7, 2017",5,"Loestrin 24 Fe (ethinyl estradiol / norethindrone):*update from spookyblack* I forgot to mention the terrible nightmares I have been having they are really messed up,  and break through bleeding. This pill has made me super tired, depressed, and have gnarly mood swings. I have been eating a lot and have gained a lot of weight. Great just in time for summer right? I have felt the worse about myself and looks ever since I started this pill. Please don't do this to yourself and not to mention the nasty acne I, and so many girls have experienced.",Spookyblack
25,Junel,Acne,6.0,,"March 28, 2017",1,"I have only been on this med for a month. But I have not had the side effect of weight gain of 15 pounds in 2 wks like I did with Seasonal, a combi-pill. I have not gained any weight yet which is good but I did get my period. The heavy bleeding I usually get and some cramping, but not as bad as they normally are. The only thing is my period ended and 3 days later I'm bleeding again. I looked it up and saw spotting is normal but I have been bleeding all day. Not my usual heavy bleeding, just blood every time I wipe and in my underwear. Also I have broken out like crazy. The first 2 wks on it my skin was clear but now I have little pimples everywhere. I have been trying benzoyl peroxide for the past 3 days now and I have not seen any improvement, just more",nick knack
26,Junel,Acne,7.0,,"March 10, 2017",8,"Microgestin Fe 1/20 (ethinyl estradiol / norethindrone):I have been on microgestin 1/20 for about 4 months now and it has improved my acne immensely! Before this pill I tried everything to get rid of my acne and spent so much money on different kinds of acne face wash and stuff like that. When I finally decided to take this pill, I was scared because I read all these reviews and none of them were very positive, but for some reason for my skin it has highly improved my acne and for the past 2 weeks I have not gotten a pimple on my face and it is also slowly healing my scars too. The first 2-3 months it is hard to see results and takes a little bit of time to really start getting into your system. Along with clearing up my acne, it has also taken away my very bad cramps from my period.",Brooke b
27,Junel,Acne,3.0,Taken for 6 months to 1 year,"February 25, 2017",2,"Microgestin Fe 1.5/30 (ethinyl estradiol / norethindrone):I've never had to fight with acne in my life, because fortunately I was blessed with good skin. I started getting large amounts of deep set acne all over my chin and neck once I started this birth control.  Also had about two weeks of breakthrough bleeding each cycle. As well as severe mood swings. Would not recommend to anyone.",BaumSquad
28,Junel,Acne,2.0,,"February 21, 2017",4,"Junel Fe 1/20 (ethinyl estradiol / norethindrone):I've only been on Junel for a week and a half so I'm hoping that this will calm down after I've been on it for a little while but it's given me so much acne! I've always had pretty clear skin and now my face and upper back are literally covered in deep acne and bumps. Also I've noticed that my hair gets greasy faster, too. I just feel so oily and disgusting all the time. I'm trying to stick it out but this is absolutely horrible and I definitely cannot put up with these side effects if they persist. Wouldn't recommend.",zamirrra
29,Junel,Acne,3.0,,"February 18, 2017",1,I woke up one morning after being on the pill for two days and I was covered in pimples. It almost looked like chicken pox there were so many. Definitely getting off of this.,corinnef
30,Junel,Acne,3.0,,"February 17, 2017",0,"Junel Fe 1.5/30 (ethinyl estradiol / norethindrone):I went on this for acne, and it worked the first go around, I stopped for like 6-9 months and then went back on it, and now my face is completely dried out everyday, I'm bloated, finding myself completely emotional about things I would never find upsetting, depressed and now I'm bleeding at random times and does not regulate my period. A big no from me.",Sml456
31,Junel,Acne,1.0,,"February 10, 2017",3,"I've been taking this for about a year now and didn't put two and two together until today. Every month I'd get these bad cystic zits on my face and I rarely ever got them before I started this pill. I wear makeup but that was never really an issue for me. Now seeing what everyone else has to say, I finally realized it is this pill causing me to break out with cystic acne every month! I'm furious! Please do not try, I don't recommend especially if you're looking for a pill to clear ur skin.",kttttttttt
32,Junel,Acne,1.0,,"February 7, 2017",13,"Loestrin 24 Fe (ethinyl estradiol / norethindrone):This pill is a nightmare!!!! I have had clear skin all of my life and enjoyed makeup as a hobby, now I absolutely hate it because I feel like it is an obligation to cover up the disgusting, painful cysts that this pill has caused!!! My self esteem is extremely low, I don't remember the last time I saw my real face and felt confident. I will be seeing my doctor very soon to get off of this terrible terrible terrible pill!!!",sadgirl123
33,Junel,Acne,1.0,,"February 6, 2017",7,Loestrin 24 Fe (ethinyl estradiol / norethindrone):Let's start with the fact that l just cried for 20 minutes bc of the acne this pill has given me. I've been on it for exactly 2 weeks and never seen a pimple in my life. Suddenly my entire forhead is covered in pimples. I was put on this pill because I got my period every 5 days and it lasted for 6-11 days. No blood or spotting since l went on the pill which is a miracle for me! But I am still pretty upset about my skin.,kate827291
34,Junel,Acne,10.0,Taken for less than 1 month,"February 4, 2017",4,Loestrin 24 Fe (ethinyl estradiol / norethindrone):Cleared my acne up so fast. Its nice. Other than that everything is going good except I'm turning into a grumpy person,Crterred
