,drug,condition,rating,duration,review_date,upvotes,review,username
0,Spironolactone,Acne,8.0,Taken for 6 months to 1 year,"March 30, 2022",0,"This medication has helped me drastically. I’ve never experienced acne up until the COVID-19 pandemic. I also have eczema. I was reluctant at first to try this given that I didn’t want to dry my skin out even more than it is, but I’m glad I did! My dermatologist started me on 50 mg, but there was no noted difference. He upped me to 100 mg and I started to see a difference after two months. The difference was not drastic and began to plateau so he upped me to 150 mg and my face is practically clear! My acne is less angry, red and bumpy. I do experience some side effects such as headaches and increased thirst (some days I feel like I have cotton mouth) but it’s worth it to me. It’s helped my self confidence significantly. I am grateful.",Lauren
1,Spironolactone,Acne,10.0,Taken for 6 months to 1 year,"March 30, 2022",0,"I am a 52 yr old African American female, who suffered from hormonal acne.  I bought lots of expensive acne cremes, that only dried my skin along with break-outs. Decided to go visit a dermatologist! She prescribed Spironolactone 100mg. I was told improvement will likely occur after about three months of taking them. Well, after about six months of taking them, my skin and body cleared. If you are just starting to take it and not seeing any results, KEEP using it!!! It works!! You are beautiful!!",Chocolate God
2,Spironolactone,Acne,8.0,Taken for 5 to 10 years,"March 17, 2022",1,I have been taking 150 mg of Spironolactone for about 8 years. I have cystic acne mainly along my jawline. It has been very well controlled until recently. I am 53 years old and I am post menopausal. I have been so thankful for this medication until now. I am not sure why I am breaking out again. I need to go see my dermatologist. I am getting huge underground cysts that don’t go away.,Kbattgirl
3,Spironolactone,Acne,1.0,Taken for less than 1 month,"March 11, 2022",0,I was suggested this drug by a new dermatologist for the treatment of acne. I initially denied but after seeing positive reviews agreed to give it a try. Thank Goodness I was started at the lowest dosage (25mg?) I happened to have a primary Dr. Appt 3 weeks later & my kidney levels AND glucose were all elevated out of normal range. All of this in only a few weeks of use at minimum dosage. Would not recommend! Not worth it!,Sharon D.
4,Spironolactone,Acne,1.0,Taken for less than 1 month,"March 11, 2022",0,I was suggested this drug by a new dermatologist for the treatment of acne. I initially denied but after seeing positive reviews agreed to give it a try. Thank goodness I happened to have a primary Dr. Appt 3 weeks later! My kidney levels AND glucose were all elevated out of normal range. All of this in only a few weeks of use. Would not recommend! Not worth it!,Sharon D.
5,Spironolactone,Acne,6.0,Taken for 6 months to 1 year,"March 8, 2022",0,"If you have any pelvic floor issues including hypertonic pelvic floor. DO NOT take this. I took it for almost one year and while it helped with hair loss and acne it exacerbated myPelvic floor issues to where I’ve head to visit multiple health professionalsto figure out what the issue is,Money on physical therapy etc",Anonymous
6,Spironolactone,Acne,10.0,Taken for 1 to 6 months,"March 5, 2022",0,In my late 40s still dealing with bad acne and oily face. I decided to try this medication. It is great!!  Worked within weeks for me & still going great. No side effects what so everCheers!! To a clear complexion,Yeahhh
7,Spironolactone,Acne,10.0,Taken for 1 to 2 years,"March 5, 2022",0,Absolute best decision of my life. Mad I didn't do this sooner and suffered with acne for so many years. Truly a miracle drug for my cystic chin acne. It did take a full 4 months to work so be patient. Once it does it's life changing!,Tara
8,Spironolactone,Acne,2.0,Taken for 1 to 6 months,"March 4, 2022",0,"So I started using this medication due to hormonal acne post BC, I have tried to cure it naturally with supplements, healthy meals, professional peels but nothing worked. After long debating and my acne worsening my Derm convinced me to go on medication, I decided to take the spirolactone instead of accutane. Have been on this medication since December 1 st started with 50 mg a day which was good my face was clearing up, then I was told to increase to 100 mg a day after 2 weeks, symptoms were more noticeable I felt tired all day. After 2 months of still no noticeable improvement I was directed to increase to 150 mg which made me feel even more tired, taking it at night helped a little at this point but then I realized at month 2 I started my period earlier than usual turns out I’ve been spotting for a month now my acne has drastically worsened like never before. I have lost hopes and will be going on BC again and accutane. Everyone’s body is diff but this is was my experience.",Anonymous
9,Spironolactone,Acne,9.0,Taken for 1 to 6 months,"March 2, 2022",0,"I’ve been taking 100 mg Spironolactone for PCOS, for 5 months now. I’m so thankful I pushed thru the first 2 months of taking it. I know everyone has their own unique experiences and side affects, and in the beginning of taking it, I sincerely believed it was causing massive amounts of my hair to fall out… because my hair WAS falling out. I continued to take it everyday despite serious anxiety and fear that all of my hair was going to fall out.I’m so glad I kept taking it!! After the first 2 months, I noticed my hair fall out drastically decrease. I was barely losing hair when brushing and washing it. I noticed new hair growth after about 3-4 months, and I continue to see new hair growth on the crown of my head. I can go a couple of days without washing my hair, and it doesn’t get oily like it used to. My hair feels and looks much healthier and fuller.My acne has cleared up dramatically, I barely wear any make up now. I feel so much better inside and out.",Sandra
10,Spironolactone,Acne,1.0,Taken for 1 to 6 months,"February 26, 2022",1,"My doctor started me on 100mg for mild hormonal acne, and it wrecked my skin. My skin is now 100x worse than it was before, and I'm considering accutane in my late 20's. This is really uncommon, but I figured it was worth putting out there just for reassurance if it happens to someone else.",acne1234
11,Spironolactone,Acne,4.0,Taken for 1 to 6 months,"February 20, 2022",0,I have been on it for 5 weeks. I have extreme nightmares on this medication and irregular periods. After 5 weeks I’m not so sure my face is much better either. I’m hoping for something better when I have my follow up next month.,Mrs. Pimples
