,drug,condition,rating,duration,review_date,upvotes,review,username
0,Diazepam,Alcohol Withdrawal,9.0,Taken for less than 1 month,"March 4, 2022",1,"Valium (diazepam):Hi, I have detoxed from alcohol 3 times legitimate (as in I had a prescription) and valium or librium. Whichever they prescribed always put my WDs away.But I would definitely tell you as an alcoholic and drug addict DO NOT take them for long,any Benzos.",RyeUK
1,Diazepam,Alcohol Withdrawal,9.0,Taken for less than 1 month,"December 27, 2021",1,Valium (diazepam):I used Valium 10 mg about 6 times to get off alcohol but I know it’s just as bad to get off benzos so I’d stop taking it after a month or so. I relapsed about 8 times and now have the beginning stages of cirrhosis. That’s what it took for me to stop. Valium is good for the withdrawal symptoms but I wouldn’t recommend long term use.,Pamela L
2,Diazepam,Alcohol Withdrawal,,Taken for less than 1 month,"December 13, 2021",0,"This is only day one of diazepam detox. I’ve been a nightly heavy drinker for many years. I’m only being given 5 doses. The first was at 1pm, second at 4pm and third dose of 10mg at 6pm and another 5mg at bedtime. I don’t understand why the doses are so small. I’m F55 of average build. As my drink time approaches I’m feeling very nervous. I feel I could still drink on it, but know better not to! Detox is only for 5 days, after which I will have no access to this medication.",A66
3,Diazepam,Alcohol Withdrawal,8.0,Taken for less than 1 month,"October 23, 2021",1,Valium (diazepam):It worked perfectly for the many times I tried to stop drinking. But now it doesn't seem to work. Been prescribed. 10 mg still doesn't work.,Troubled
4,Diazepam,Alcohol Withdrawal,10.0,,"August 30, 2021",1,"Valium (diazepam):I’ve struggled with alcohol addiction for years, as it progressed to 750ml of hard liquor a day. I tried stopping and got shakes, sweating, palpitations, dizziness, tingly hands and feet.So far, I’m on 5mg Valium 2x daily, and no withdrawal symptoms! Definitely tired, in a I worked all day kinda way, even if I didn’t.",Claire
5,Diazepam,Alcohol Withdrawal,4.0,Taken for less than 1 month,"July 5, 2021",2,"Valium (diazepam):First ever time trying a med for alcohol withdrawal.  I admit it calms you down a bit but for me its doing nothing for my cravings, soI'm now taking both which is even worst",Darren
6,Diazepam,Alcohol Withdrawal,10.0,Taken for less than 1 month,"June 1, 2021",11,Valium (diazepam):It has been a lifesaver. It reduces the shaking and agitation from alcohol withdrawal. I am looking forward to being off the booze and the valium. It does help.,dothanguy
7,Diazepam,Alcohol Withdrawal,9.0,Taken for less than 1 month,"October 29, 2020",3,"I was given diazepam for severe alcohol withdrawal. It was given to me in quite large amounts as I was having hallucinations, severe anxiety and I was dehydrated from sweating. It did stop all of the above and I felt a lot calmer. I was tapered off over a period of 4 days. My body felt like it had been run over but I was alive. Thankfully. This drug really helped.",Mspixie 76
8,Diazepam,Alcohol Withdrawal,1.0,Taken for less than 1 month,"July 24, 2020",0,I’m taking this medication for my drinking issues and it’s making me feel very nauseous is this normal,Sara
9,Diazepam,Alcohol Withdrawal,7.0,,"April 20, 2020",34,Valium (diazepam):Valium is great to come off alcohol or any drug however you do not want to take this for more than 10 days. See therapy to sort out the real reasons your masking your hidden troubles to become FREE. Valium is a DANGEROUS ADDICTIVE drug once you have been on it more than 3/4 weeks.  You will only be left with your stuff to be dealt with. Short term .,With it
