,drug,condition,rating,duration,review_date,upvotes,review,username
0,Singulair,Allergic Rhinitis,2.0,Taken for less than 1 month,"October 25, 2021",0,I started using Singular about 11 days ago and I have noticed a big difference with my severe allergies.  Unfortunately I have also developed constipation which is not listed as a side effect and irritability.  Both have gotten so bad I discontinued use last night and after 12 hours I am 75% better with both constipation and irritability but oh my allergies are back. Sigh.,Jenny
1,Singulair,Allergic Rhinitis,3.0,Taken for less than 1 month,"October 6, 2021",1,"I was prescribed 10 mgs of Singulair daily 3 weeks ago for allergic rhinitis & breathing issues I experience when I run. While the Singulair helped dry up the constant post nasal drip, I have experienced a heavy chest & feel I have to exert more effort to take a deep breath. Also, when I ran it did not seem to help. In fact, it seemed like it was harder to get a deep breath while running and taking Singulair. Unfortunately, within one day of stopping this medication, I am back to dealing with the post-nasal drip, but I did not like the feeling that I was on the verge of an asthma attack, so I stopped taking it. I will talk to my doctor to see if there is something else I can take.",Tchr0116
2,Singulair,Allergic Rhinitis,,,"September 5, 2021",0,Does this help with drainage and chronic coughing?,AddiRose
3,Singulair,Allergic Rhinitis,10.0,Taken for 1 to 6 months,"August 28, 2021",0,This medicine has helped me tremendously !  It has stopped my chronic cough and nasal drip. I couldn’t get. Good nights sleep. Keeping my husband up too.  No bad nightmares or bad feelings of depression. I’m so glad I tried this med.,Kay
4,Singulair,Allergic Rhinitis,10.0,Taken for 1 to 6 months,"August 23, 2021",0,I have been taking it for a couple of months now with NO side affects. It has helped my rhinitis and allergy symptoms tremendously. I was afraid of it too because of the bad press it got before they even prescribed it I heard about it.,Singular
5,Singulair,Allergic Rhinitis,1.0,Taken for 1 to 6 months,"August 13, 2021",1,"If I could give no stars, I would. It caused me to have suicidal thoughts and I put a fork to my throat this morning over something stupid and my mom talked me out of it. I’m not the suicidal type and Singulair made me want to take my life. I also have had aggression, worse depression, rage, and not giving a rats booty on what I say to anyone. I talked to my mom like she was a nobody and I’m not that kinda person. I even cussed my own husband out a couple times. I would NEVER talk to anyone like that! I was literally scared of myself. I even broke something of my great great grandmothers and it was one of the last objects my mom had of hers. I’m not the violent type at all. I’m hoping within a few days I can start feeling better.",Scary medicine
6,Singulair,Allergic Rhinitis,1.0,Taken for less than 1 month,"March 9, 2021",14,"I tried this drug at the recommendation of my doctor to try to stop the constant mucous running down my throat.After a week with no improvement, I stopped taking it. It did nothing for my problem.Plus, it caused anxiety issues which I couldn't risk getting any worse.",Ysmmaster
7,Singulair,Allergic Rhinitis,3.0,Taken for less than 1 month,"February 4, 2021",3,"I started taking this to help with long-COVID induced Asthma / Rhinitis (suffered from asthma as a child but COVID exacerbated it) in addition to steroid inhalers. In terms of the Asthma / Rhinitis it worked brilliantly. However, after about 10 days (10mg per day taken in the evening), I developed severe dizziness / vertigo and headaches. Had to stop taking it as I simply couldn't function.",SiWin
8,Singulair,Allergic Rhinitis,10.0,Taken for 1 to 2 years,"January 14, 2021",13,"I was diagnosed with sinusitis in 2014 at age 31. Cause never determined. Ruled out allergies with allergy testing. Had a CT scan which showed excess mucus in my sinus cavities but no structural issues or polyps. I had a balloon sinuplasty which did not improve my symptoms. OTC meds and sprays never helped. My ENT decided to prescribe me Singulair as well as Azelastine spray. I started taking both at bedtime in October 2019. It's been over a year now and I haven't had any adverse reactions. I still have some mild sinus symptoms all year long but have only had a few flareups/infections. I used to have them constantly. I know a lot of people are scared of Singulair side effects and the black box warning, and it's good to be aware of potential side effects. For me, the risk was worth the reward. It's not a cure but it's definitely improved my quality of life.",Merth
9,Singulair,Allergic Rhinitis,1.0,Taken for less than 1 month,"January 5, 2021",10,Singular is horrible!! It made my face swell & I had extreme flushing. It made me itch all over! Gave me bad diarrhea & headaches. I would not recommend this drug to anyone!! DO NOT TAKE THIS STUFF PLZ!!!,Faith 38
10,Singulair,Allergic Rhinitis,7.0,Taken for less than 1 month,"December 8, 2020",8,"This stuff is working pretty good on my sinuses/allergies. I feel that I can breath easier and less morning congestion from sinus drainage. It has been a month since I started using this. I haven't noticed any depression issues. Anxiety issues about the same, normal, I would say. BUT.... the crazy freaking dreams are almost every morning, before I wake up. Very vivid. Every night I ask myself ""what will I dream tonight?"". I never dream of anything tragic. But the dreams that I wake up from are definitely anxiety inducing.  I wake myself up because I know I am dreaming.(Weird) I am not exactly sure how else to explain it. I am wondering what kind of long term negative effect this may have on me.",SR
11,Singulair,Allergic Rhinitis,7.0,,"December 5, 2020",2,"I have been taking this along with Nixar for more than two months. It works perfect for my congestion and severe sinus, but when I stop it for just a day or two, my nightmare starts back - I'm kind of addicted to it. My doctor says to take it until you get the polyps removal operation/sinus surgery. Kind of lost and depressed - what to do?",Waheed
12,Singulair,Allergic Rhinitis,8.0,,"November 9, 2020",216,"I felt the need to write this review for anyone who is scared due to possible side effects. I was in here about a week ago reading through all the reviews just absolutely terrified. I told my husband I wasn't going to take it. I suffer from horrible sinusitis, and I've tried everything. My husband talked my down, and he said we would monitor my behavior closely. First night I took it before bed. I had every expectation to wake up in some kind of horrible headspace. I woke up after a good night's sleep and didn't feel any different. My symptoms we're about the same as well. I have consistently taken it for 7 days now and my sense of smell is coming back a little. I don't notice ANY side effects. I feel myself. If anything I feel happier because I can kind of smell again! It has only been a week, but it has given me hope. So if you are here trying to read reviews to make yourself feel better. Listen. I was completely psyched out about this too, but I am so glad I decided to take it.",Han
13,Singulair,Allergic Rhinitis,,,"August 1, 2020",30,"Medication works well but has some crazy bad side effects’ First time I took it  my allergies was from high pollen counts and mold and I was coughing ever second. I was scared but the singulair took the coughing away like right away. A week into the medication I woke up with night terrors so bad, dry heaving, a pending doom feeling. It was awful. Did not take the pill the next day and the side effect went away. Tried this again and it was like you got super sleepy but could not sleep. It was disastrous. I think a regular antihistamine would be better than this rubbish",Anonymous
14,Singulair,Allergic Rhinitis,,Taken for less than 1 month,"July 31, 2020",7,I was so happy taking this Singulair medication because it actually worked however I did have some stomach pains and some diarrhea but wow my allergies were gone! I did get a lil depressed on it but honestly it was worth it with my allergies gone!,G-Unit
15,Singulair,Allergic Rhinitis,3.0,Taken for 1 to 6 months,"April 19, 2020",94,"I was given this medication Singulair for chronic nasal congestion and Rhinitis. After about 2 months, I started to notice my mood changing. I was more argumentative almost to the point of aggression. When I started to have bizarre dreams I then researched the side effects of this drug.               Here is what was listed: mental/mood changes (such as agitation, aggression, anxiety, trouble sleeping, abnormal dreams, sleep-walking, memory/attention problems, depression, hallucinations, thoughts of harming  yourself/suicide). I immediately stopped taking this medication (it wasn't helping that much anyway) and these side effects have stopped completely. PLEASE be mindful of ALL the side effects of any medications you are taking! I never would have believed that something to help with nasal congestion could cause such problems.",Sandra62
