,drug,condition,rating,duration,review_date,upvotes,review,username
0,Hydroxyzine Pamoate,Allergic Urticaria,10.0,Taken for less than 1 month,"March 5, 2022",0,I suffer from skin irritation at night I get  relief for 4 days after taking this Hydroxygine syrup  Great,Sarbjit Kumar
1,Hydroxyzine Pamoate,Allergic Urticaria,10.0,Taken for less than 1 month,"January 15, 2022",0,Had case of shingles so pcp kept treating my back rash as if shingles. Nine times to be exact. Allergist treats me for mastocytosis. He upped my dosage of hydroxyzine from 20mg at nite( for excessive sweating) to 10mg during day spaced out so I have constant coverage. First time in a year I’m getting relief from itching. Because I take a lower dosage I don’t seem to get slammed with sleepiness? More effective than any other antihistamine I’ve taken.,Pjg
2,Hydroxyzine Pamoate,Allergic Urticaria,8.0,Taken for 6 months to 1 year,"July 22, 2021",0,Since being a teen I have  taken 100 mg that’s four tablets before bed for chronic hives. I also have insomnia the hydroxyzine has no affect on it at all I do however have strange dreams that I think are linked to the hydroxyzine. The dreams do not bother me that much they are just strange and could be described like a lucid dream. Hydroxyzine does help my hives most of the time like it’s meant to  it takes them away for about 23ish hours it’s like clock work .I never forget to take my medicine because if I’m even an hour over I’ll break out in hives,Joyo
3,Hydroxyzine Pamoate,Allergic Urticaria,8.0,Taken for 2 to 5 years,"December 23, 2020",1,Helps control those overactive histamines,Chops
4,Hydroxyzine Pamoate,Allergic Urticaria,8.0,Taken for 5 to 10 years,"August 27, 2020",13,"I have chronic hives and have been taking this for over 5 years. I got my first outbreak of hives 17 years ago and they have never gone away. Biopsies, testing, blood work, and multiply doctors to no avail. I am prescribed 25 mg as needed but only go through 60 pills a year. They immediately take that deep itch away, so I’m not making myself bleed and driving myself crazy. The downside is you do stay groggy for over 12 hours but sleep like a baby. I will take that over the itching and rash any day. I highly recommend this. The doxepin I was on prior made me so mean and I didn’t even care.",Jen
5,Hydroxyzine Pamoate,Allergic Urticaria,10.0,,"May 10, 2020",13,"Vistaril (hydroxyzine):About 2 or 3 weeks ago, I started to get itchy after taking bath, I was very very itchy. My whole body was itchy and I was about to go crazy, It was like thousands of ants were running in my skin. It was very awful. I ran to the drug store and bought Hydroxyzine 25mg and hopefully this medication helped me. I've been taking it daily.",Henry
6,Hydroxyzine Pamoate,Allergic Urticaria,10.0,Taken for 1 to 6 months,"April 28, 2020",15,"I always had allergies but recently developed have whole body allergic reactions, from foods and food additives. Such as hives, face and lips, swelling, red skin, rashes and diarrhea. I had to take daily numerous does of Benadryl and Zyrtec.From the very  first dose I took at night of 50 mg  hydroxyzine I got a wonderful deep and restful full night of sleep.  Instead of having my allergic reactions waking me up after a few hours of sleep.",Mimi
7,Hydroxyzine Pamoate,Allergic Urticaria,1.0,Taken for less than 1 month,"April 20, 2020",11,"My dr prescribed 50 mg  hydroxyzine for itchiness.  Didn't seem to help much at all. Benadryl worked just as well. But my goodness, the awful drowsiness the next day was crazy! I took it at 8pm and the next morning at 8am couldn't open my eyes. Went back to bed at 10am and slept till afternoon. Got up after 12 but was still so sleepy. I am a homeschooling mom with 4 boys. I definitely cannot take this again.",Anonymous
8,Hydroxyzine Pamoate,Allergic Urticaria,1.0,Taken for less than 1 month,"December 15, 2019",6,hydroxyzine Kept me awake for most of the night and didn't stop the itching at all.,Jiljo
9,Hydroxyzine Pamoate,Allergic Urticaria,3.0,Taken for less than 1 month,"November 15, 2019",8,I have severe red hot rashes of contact dermatitis  on my neck chest arms. I'm on 10 ml  hydroxyzine 3x day for a few days. The burning and itching is horrible. It's making me scratch until I'm bleeding. I haven't slept in days. I'm not feeling drowsy at all. My rashes are still bad. Ready to throw in garbage.,Jewel
10,Hydroxyzine Pamoate,Allergic Urticaria,5.0,,"October 3, 2019",12,"Atarax (hydroxyzine):I have been taking Atarax from last 3 years but it really makes me feel  I have a lower level of conscious, I feel extremely sleepy, I feel as if I am high, not entirely in my senses, I do my work but I don't feel anything, I can sleep throughout the day after taking this medicine, although I don't sleep much. Today also I took this medicine after lunch as I developed hives due to cold urticaria ( AC in office ) and I feel as if I am stoned.  People in my office are thinking that I am is sleeping for last two hours since they are not aware of my situation.",Kitty
11,Hydroxyzine Pamoate,Allergic Urticaria,10.0,Taken for 5 to 10 years,"May 13, 2019",26,I have chronic urticaria and without this med hydroxyzine I would be dead. Makes me a little drowsy at time but over 6 years I have adapted to it.,Johnboy
12,Hydroxyzine Pamoate,Allergic Urticaria,10.0,Taken for 2 to 5 years,"March 18, 2019",21,"I have chronic hives (unknown cause) and I’ve been on this since 2016. I take 100 mg a day and I keeps me from being COVERED in large red welts all over my body. Of course, if benadryll makes you sleepy and you hate that, don’t take this (I feel like that should be common sense but whatever).",Alex
13,Hydroxyzine Pamoate,Allergic Urticaria,7.0,Taken for less than 1 month,"May 12, 2018",10,"I got the syrupwhich I could use as littleas I wanted to it was better forme as I like to control the dose. I had hives that drove me nutsI took half a teaspoon and had verylittle side effects, the pills forget it!",bad redhead
14,Hydroxyzine Pamoate,Allergic Urticaria,10.0,Taken for less than 1 month,"March 12, 2018",32,"Periodically I get hives. This time I was prescribed the standard prednisone pack and Hydroxyzine. I took the prednisone but not the antihistamine. Dumb me. The rash got better but the back of my head began to itch terribly.  As a result large welts began to form. My hands itched and other welts on my legs and chest began to form. So, I decided to take my hydroxyzine. I took it right before bed. When I woke up all the welts were nearly all gone. My hands stopped itching. This drug works wonders. Yes, it made me a little sleepy. Who cares. It knocked my hives out like a heavyweight boxer.",John.
15,Hydroxyzine Pamoate,Allergic Urticaria,8.0,,"January 14, 2018",12,"Dermagraphism, itchy skin. I take as an antihistamine. I’ve been taking 10mg a day for 15 plus years. No issues, usually might be able to go without for 3 days, then need a pill. I take a night, before bed to limit drowsiness.",Deltajim
16,Hydroxyzine Pamoate,Allergic Urticaria,,,"January 10, 2018",24,"I've been taking this for about a year and I wish I had found out about it ten years ago. In the past I've had debilitating hives and rash no matter what I was doing. It could be from showering or clothing myself to running on a treadmill. They were painful and felt like I had been dipped into a vat of itching powder. It could last hours to days. Summer and Winter were brutal for my skin. It has literally changed my life. Yes the first week or so, it made me super drowsy. Doctor recommended to take it at night instead of morning and night. I take one pill in the morning now that it doesn't make me sleepy. I would love to find a natural remedy but haven't been successful yet.",Anjie A
17,Hydroxyzine Pamoate,Allergic Urticaria,1.0,Taken for less than 1 month,"October 29, 2017",13,"I can't believe my doctor did this to me.  I kept talking about how I hated the drowsy feeling that I had all day if I had to take Benadryl at night, because of my eczema induced hives. Three  Benadryl didn't do to me what this stuff did.  I took it last night, because I was starting to get a little itchy and I've been a stinkin' zombie all day!  I have slept my whole Saturday away!  I am so furious that I put the pills into the garbage disposal and will be changing doctors.  Why don't they listen instead of pretending to listen?  Don't take this stuff, definitely don't drive for several days after you've taken it!  I've been taking several Allegra at a time and it's taken away the itching & I've been willing & able to complete daily task",james516
18,Hydroxyzine Pamoate,Allergic Urticaria,2.0,,"August 23, 2017",17,"So I started taking this medication to help with poison ivy spreading and not being able to sleep because of it. I was prescribed for 5 days on the pill and on my 4th day I woke up to hives all over my stomach and pelvic area. I didn't think it was from the medication so I took it for the last day and it just got worse. It's not been a week and they hives haven't gone down, just got worse and spread more over my body. Really bad reaction and I never get allergic reactions to anything!",Lesliejuliaa
19,Hydroxyzine Pamoate,Allergic Urticaria,6.0,,"August 10, 2017",14,"I've been using hydroxyzine for 6 months for my Chronic hives, it's written every 6 hours, but I take it only  twice a week as needed. I take it before bed time, it kicks in after 2 hours ,the itching will stop and most of the hives will go away by the time I fall asleep. But the next day when I try to wake up that is the awful part , I can't open my eyes, I feel heavy and super tired even if I slept for 8 hours it will feel like I never slept at  all !! I wake up with no choice to go to work and I feel grumpy And angry and that's how it is for the entire day ,I hate taking this pill because it has  those side effects but I have No other solution for my situation..hoping to find another antihistamine that will not have the same side effects..",Gm.1
20,Hydroxyzine Pamoate,Allergic Urticaria,9.0,,"July 7, 2017",32,"I had chronic ideopathic urticaria for a 6 months before I found anything that remotely helped. Once I got on a cycle of of 40 mg hydroxyzine before bed and 150 mg ranitidine +5 mg of levocetirizine in the mornings I started to have noticeable improvement. After another 4 months my hives were completely gone. Of the three medicines, the hydroxyzine by far provided the biggest impact. This medicine stopped hives from forming during sleep and the anti-anxiety component definitely helped sooth my mood and get me to sleep more quickly.I will say that this medicine gives you some really wacky and vivid dreams. It also makes you feel very groggy after taking it, lasting well into the next morning. Those symptoms are worth it though.",Corb89
21,Hydroxyzine Pamoate,Allergic Urticaria,3.0,,"March 19, 2017",21,"This medication is only a sleeping pill and doesn't stop the itch, but gives you an itch all day. If you don't take zyrtec or similar med doing the day, you'll still be itching. This medicine is useless.",Soso bree
22,Hydroxyzine Pamoate,Allergic Urticaria,1.0,,"September 30, 2016",35,"Atarax (hydroxyzine):I took 1 tablet of Atarax last night for my HIVES. I asked for an anti-histamine that can also help me to sleep bcos I have not been sleeping for 4 nights straight due to the itchiness from my hives. So this was suggested by my doctor. I managed to sleep through the night for over 9 hours - the alarm didn't manage to wake me until my 2nd super loud alarm! I was awake BUT I wasn't really AWAKE! I felt like I can doze off any second. Unless you want to sleep thru 24-hours maybe this is good for you but I won't be taking it the 2nd time. I felt horrible for the whole day! My mind was not functioning, I felt groggy, not alert at all, walk like zombie, it was just bad for me. I like to feel AWAKE! Not like this. My suggestion: Take with CAUTION!",FeyFey
23,Hydroxyzine Pamoate,Allergic Urticaria,1.0,,"March 28, 2016",31,My Dr prescribed Hydroxyzine for my allergic reaction to dust mites and hives and began taking them at night. Best sleep I had in years but it actually increased my hives. It took me a month to figure out it was  the Hydroxyzine that was causing my hives.Two days after I stopped taking it my hives subsided. After 4 days they are almost all gone. It may work for many people but not everyone.,Janedev
24,Hydroxyzine Pamoate,Allergic Urticaria,1.0,,"July 3, 2015",23,"Itching, sick to my stomach, blood constantly in my nose, shakes, sore throat feel like I have a cold now. Cannot take antihistamines told doctor still insisted. My bites still itch and now I feel ill on a daily basis.",mmont55
25,Hydroxyzine Pamoate,Allergic Urticaria,2.0,Taken for 1 to 2 years,"June 26, 2015",27,My itching just kept coming so bad it would keep me awake all night. Even increasing the dosage didn't stop it. I have had no rash just itch from head to toes. I have had to deal with this for over two years and it's driving me nuts constantly itching. Hydroxyzine don't work and neither does Benedryl.,Itching  never stopped
26,Hydroxyzine Pamoate,Allergic Urticaria,10.0,,"April 21, 2014",69,"Had extreme hives all over my body from an allergic reaction. Took a single 25mg tablet of hydroxyzine about an hour before I went to sleep, and I was no longer itching by bedtime. When I woke up, there were no hives. They started to return at night time, so I took another tablet, and the cycle continued.",Ryan s
27,Hydroxyzine Pamoate,Allergic Urticaria,,Taken for 10 years or more,"March 24, 2014",58,"Right after my 2nd child was born in 1969, I found myself scratching till I bled and I was diagnosed with Urticaria  I was prescribed hydroxyzine 10mg (Atarax) 3 times a day at first, but was soon able to pare that back to 1 x 10mg pill a day which I take in the morning. I have never had a problem with drowsiness. The only time I realize I have this condition is if I run out of the medication and don't take it for a few days, then the itching comes back, usually starting on the palms of my hands. I will probably take this medication for the rest of my life, but for me it has been a Godsend.",Lizzi6
