,drug,condition,rating,duration,review_date,upvotes,review,username
0,Etanercept,Ankylosing Spondylitis,,Taken for 1 to 6 months,"January 17, 2022",0,Enbrel (etanercept):Been on Embrel for 7 weeks. Still have pain in my back. I’m so tired of the terrible pain. I’ve been taking ibuprofen daily. Not sure if injections are worth it at this point. With the side effects listed I just don’t know if it’s worth it,Jim
1,Etanercept,Ankylosing Spondylitis,9.0,Taken for 10 years or more,"October 1, 2021",0,"I'm lucky as a U.S. Veteran the VA has been covering my officially priced $4800 etanercept for over 10 years.  It is a wonder drug, working as well now as when I started.  Nothing else worked by that point.  Etanercept took a couple weeks to start showing effects then the pain quickly went away and almost all of the red plaques followed over the next few months.   Thanks to colds, shipping issues, and etc.  I've found you can miss a couple 1 to 2 week periods a year without any noticeable loss of the benefits.  However thanks to a major SNAFU I once went more than 3 months without taking etanercept.  The symptoms kicked in at 2 and a half months.  The pain disappeared  within a day upon resuming the medication but some of the new plaques I gained at that time stayed and the two old plaques that never went away in the first place got a lot worse.  It is not a cure, but after 10 years I am still functioning well enough to work and hit the gym (low impact).",maz
2,Etanercept,Ankylosing Spondylitis,6.0,Taken for 1 to 6 months,"June 18, 2021",0,"Enbrel (etanercept):I have suffered with joint pain for over 40 years, finally saw a rheumatologist 4 months ago.  After tests diagnosed with advanced AS and prescribed Enbrel.  10 weeks in I am feeling less morning stiffness but still struggle with night pain and stiffness and very achy joints all the time. So I guess I feel a slight improvement, hopefully gets better in time.",Rogeroyer
3,Etanercept,Ankylosing Spondylitis,1.0,Taken for 10 years or more,"March 17, 2021",2,"Enbrel (etanercept):Enbrel made my feet and nose bigger also lost my toe nails.  My skin on my arms, legs, face and  neck look ugly and so much saggy skin.  I have never been over size 12 in clothing. My life is ruined.",Elounda
4,Etanercept,Ankylosing Spondylitis,9.0,Taken for 2 to 5 years,"January 5, 2021",8,"Enbrel (etanercept):I was diagnosed at 23 (now am 35) with AS. Had some of the worst pain ever experienced in my early 20's. I was lucky enough to be prescribed with Enbrel when around 27 which was covered by my insurance, after my first injection...it gave my life back. No more popping half-a-dozen NSAIDs daily and still experiencing pain. However, I was sent to work overseas for one year, and after arriving home I find out that I had to reapply so that my insurance would cover the costs. I have been trying for the last two years, but my inflammation numbers are just not as bad as my first application. Ah...if only I planned ahead",craveforenbrel
5,Etanercept,Ankylosing Spondylitis,1.0,Taken for 2 to 5 years,"August 26, 2019",17,Enbrel (etanercept):I have been on Enbrel for about 4 years for Ankylosing Spondylitis. At first it worked well with no adverse reactions. About 1 1/2 years ago I began developing stomach issues. Eight months ago those issues were diagnosed as Crohn’s disease. I have researched whether or not Enbrel can cause Crohn’s or colitis and some studies indicate it can.  Wish I would have known that going in. My doctor wants me to switch to Cimzia but I honestly feel that long term all of these medications are poison.,Peytongitl
6,Etanercept,Ankylosing Spondylitis,1.0,Taken for less than 1 month,"August 6, 2019",13,"Enbrel (etanercept):Tried enbrel when humira stopped working. 1st dose I had a bad cold that lasted about a month. 2nd dose, I was hospitalized for 3 days with sepsis. Didn't work for me and just made me super sick.",chefsallad
7,Etanercept,Ankylosing Spondylitis,10.0,Taken for 1 to 6 months,"May 13, 2019",37,"Enbrel (etanercept):I was going to the Doctors for joint pain for along time. Finally my primary recommended me to see a rheumatologist.  Visited her for several months before putting me on Enbrel for the ankylosing spondylitis. I feel like a new person. No pain, increased activity and loss 25 pounds well needed loss. I am so happy. I also get the flu shot and so when flying I increase my over the counter probiotics and immune meds (airborne) so I don’t get sick. Been on Enbrel for 6 months.",Janet
8,Etanercept,Ankylosing Spondylitis,1.0,,"July 18, 2018",21,"Enbrel (etanercept):Last 3 months of use I developed neuro problems , tremors, urine issues, skin issues and seizures 2 to 48 hrs after injection, began walking with a list (tilted, off balance), became confused, locked myself in a closet for 2 days.Would turn on burners then go back and forth forgetting to get food out of fridge. Family demanded I stop.After enbrel I had 4 weeks of elevated blood pressure 160 over 95 and pulse of 90. My BP for 15 yrs has been 120 to 130 over 70s and pulse in upper 60s. Urine turned dark brown and had a smell so horrid I would retch. My liver prior to stopping Enbrel enlarged further as did my spleen. Enzyme levels skyrocketed and biliburin levels went from .5 prior to out of range 1.7. platelet levels dropped from low 120 ml per to less than 80ml per. Have regained memory but still have tremors have lost 45 lbs in a month with no end in sight. Still have neurological issues and walk funny Enbrel wrecked my body and Amgen is not interested in what happened.",Ivfiuidotcom
9,Etanercept,Ankylosing Spondylitis,9.0,Taken for 6 months to 1 year,"April 16, 2018",11,Enbrel (etanercept):Essentially eliminated all of my pain.  Shot itself isn't too bad.,Jack
10,Etanercept,Ankylosing Spondylitis,10.0,Taken for 5 to 10 years,"May 22, 2017",13,"Enbrel (etanercept):After a battle with the local health authority I started to use the miracle drug Enbrel over 7 years ago and found immediate relief. I never took another of the numerous painkillers or other drugs I was taking until 2 months after I was changed over to Benepali in January 17. After complaining of Benapali not being as effective as Enbrel I had an appointment with the physio today, just 2 months since my last appointment. ALL of my measurements are lower than before i.e. I have lost movement and my pain scores have gone from all zeros to a mix up to 8. I'm hoping I can go back to Enbrel as it was so much more effective for me.",Kirovfan
11,Etanercept,Ankylosing Spondylitis,10.0,Taken for 1 to 6 months,"March 15, 2017",14,"Enbrel (etanercept):I am 47 having AS for 26 years.last 5 months have starting using Embrel, I can not describe the results...try it yourself...amazing",Anas Sunbul
12,Etanercept,Ankylosing Spondylitis,6.0,,"October 13, 2016",14,"Enbrel (etanercept):I was officially diagnosed with AS in 2011 (at age 27) and started taking Enbrel. Enbrel did help reduce my pain after a few weeks but wrecked my immune system. If the flu was going around, I would be one of the first to get it. For a few years, I would take Enbrel to help with the pain but stopped during the flu season. This past year, I stopped taking Enbrel altogether because it was becoming less affective. I would recommend trying Enbrel if you have AS. I does help you, but might not be a long term solution for everyone.",James Garland
13,Etanercept,Ankylosing Spondylitis,9.0,Taken for 10 years or more,"October 8, 2016",15,Enbrel (etanercept):I am 35 years old and have Been on and off Enbrel for 13 years. It's the only medication that keeps my AS under control. P90x stretching videos work so well for AS also.,Markm02
