,drug,condition,rating,duration,review_date,upvotes,review,username
0,Sertraline,Anxiety and Stress,10.0,Taken for 6 months to 1 year,"March 30, 2022",6,"I am a mum, I work full-time, I study and I run a side business.  It was during Covid it all became too much and I fell into a giant hole of anxiety. I was diagnosed with severe anxiety and OCD. I couldn’t eat, sleep or shower myself. I had intrusive thoughts on repeat all day long. After two failed attempts at meds and almost being admitted to hospital I decided to try the medication and stick with it. My GP started me on 50mg and after 4 weeks increased to 100mg. I remember saving the reviews that said it can take a while and would read them over and over. After 6 weeks on 100mg I increased to 125mg. My final increase was 8 weeks later to 150mg. I found each increase started to lift the fog. My intrusive thoughts started to fade. I started sleeping, got my appetite back and returned to work. 150mg is the right dose for me. I have been on Sertraline for 22 weeks and I am 95% back to myself. If you are starting the meds my advice is to keep going and be patient. It was a very slow process.",Rachaus
1,Sertraline,Anxiety and Stress,9.0,Taken for less than 1 month,"March 17, 2022",4,"I was on sertraline 37.5 my daily 9 years ago due to several back-to-back tragedies. My anxiety was off the charts. All I could do was sit in bed and stare at the wall while my mind raced, my heart beating through my chest, sweating, couldn’t sleep, couldn’t eat. Sertraline saved me 9 years ago so much so that roughly a year ago a tapered off it. Big mistake. My anxiety recently returned almost as bad as before so just started 25mg daily and may increase to 37.5mg or 50mg if not seeing improvement at week 4. This treatment saved me 9 years ago so hoping it will save me again. I’m 45 years old and once I get my current anxiety under control I’ll be on it for the rest of my life. Folks that have never suffered through constant anxiety are blessed… lucky. Each time I count the hours until hopefully soon I can tell myself today I feel ok… today the world isn’t crashing down around me.  Today I feel like eating something. Hang in there everybody!",AnxiousCaliMan
2,Sertraline,Anxiety and Stress,1.0,Taken for less than 1 month,"March 14, 2022",1,I’m suffering horribly at the moment. My anxiety is so severe and I’m only taking 25mg. Everyone says it gets better.. I need it to.,Nomaticme
3,Sertraline,Anxiety and Stress,1.0,Taken for 1 to 6 months,"March 11, 2022",0,"Bad experience. Hi there I was on 25 mg to help cope with anxiety and depression as a result of heart complications from Covid. I would have occurrences where my heart rate would jump from 85 to 150 while sitting and BP skyrocketing over 200. I thought I was having heart attacks. I have heart inflammation from the virus. I am on heart meds as well, took some guesswork but I am managing this with cardiologist. The Sertraline made be feel so awful. I gave the appropriate amount of acclimation time, trust me. I was a zombie, couldn't do anything, stayed in bed with my tablet watching Amazon Prime and solving word games and drinking ginger ale. Had horrible nausea and headaches. It literally took the light out of my eyes. I am outgoing and like to exercise. I did NOTHING. I was on it for 10 nightmarish weeks. I started to lessen dose and stopped. I feel like a human being again.",Debbie
4,Sertraline,Anxiety and Stress,9.0,Taken for 1 to 6 months,"March 11, 2022",8,"My specialist recommended I start on Sertraline 50mg 5 years ago.  Two weeks in to this, my overthinking and anxiety got worse, so  I gave up.  Then a few months ago I wanted to try again so I did.  Started on 50mg then up to 100mg after 4 weeks.  I kept reading the patient literature saying it might take 6 weeks for full effect and some of the days felt very dark.  In the end it took me 12 weeks to feel the effects.  So be patient with this drug.  One day I just realised that I’m no longer having the anxious thoughts and I’ve now been consistently like that for a couple of months and it feels so good.  So my advice is stick with it.  The road to feeling the benefit may be bumpy and longer than the literature suggests  but for me the end result is worth it.",ART
5,Sertraline,Anxiety and Stress,8.0,Taken for less than 1 month,"March 7, 2022",5,"I was suffering with low mood anxiety and a slight amount of mania since stopping drinking alcohol in January this year. In retrospect I think this has been driving me on for years and years but it was just dropping alcohol that made me aware of just how up-and-down my mood were. I did an e consult and went to my local doctor and she put me on  50 mg of sertraline at first. She recommended that I only took half a tablet the first week but I kind of forgot and went straight onto 50 every day. I have had very few side-effects so far apart from thirst and slight increase bowel movement but nothing major. I did have one minor panic attack in the barber but I quickly passed and I think this is normal. This is the start of week two but I've been told not to expect any real stabilisation until week three. Things I have noticed so far on a more balanced mood, less anxiety, low ability to relax and more confident I'm not sure if this is just my mind playing tricks on me!",ModernJazz66
6,Sertraline,Anxiety and Stress,10.0,Taken for 6 months to 1 year,"March 6, 2022",3,3rd time I've been back on this wonder pill and I won’t ever come off it again!I’m 39 and started suffering with low mood and anxiety and horrible intrusive thoughts back in 2017!My Gp prescribed me these and let me tell you they turned my life back around in 6 weeks!Be warned the 1st few weeks are tough so move back in with you parents or a close friend to help you through the tough times and get up and in the shower even if you don’t want to!!!!Trust me these pills work!,Gary Tarmac
7,Sertraline,Anxiety and Stress,10.0,Taken for less than 1 month,"February 27, 2022",8,"I waited 3 weeks to pass to share with you my review. I suffer from severe depression and anxiety and PTSD (sexual violence). I started with 25mg then now I'm at 50mghere I share my diary with you""Day 13What a drug, I won’t say I already love it cause if we are going to talk about change then this is really a life changer.Sure I made some mistakes and drunk meanwhile a couple of times when it’s better not to, but damn life is back again and that was me opening my arms for a few seconds to say Hi.Now I’m back on the track and yeah it’s so great to feel air in my lungs, now I can worry about real problems, now I can prepare for the future optimistically.The journey is still going on and this is only the beginning.""Wherever you are keep fighting, give those pills a chance and be patient, I know it's tough but you'll be okay.I went through all the side effects btw but now I'm fine.YOU ARE STRONGER THAN YOU THINK",Rou
8,Sertraline,Anxiety and Stress,,Taken for less than 1 month,"February 26, 2022",0,"7 days in with 25mg Sertraline. Tried to increase to 50mg on day 4 but experienced a nightmarish 24 hours of nausea, dizziness, pounding heart, disorientation, intense anxiety, fear, long crying spells, sudden hunger....in short....felt terrible and thought I needed to attend A & E. Day 5 and 6 felt normal. Day 7 a return of symptoms described above which thankfully subsided after about 4 hours. Feel exhausted by the terror, not knowing if things are going to get better. Running out of strength.",Raphael
9,Sertraline,Anxiety and Stress,9.0,Taken for 1 to 6 months,"February 24, 2022",15,"I'm going to be completely honest here: the first month and each time increasing was absolutely the worst. The side effects of heightened anxiety are not for the faint of heart, especially if you are going on these drugs for this reason. BUT if you stick it through, which somehow I did, you get your life back. They saved me. I hope this helps anyone who needs to hear the truth when it comes to expectations. Of course some have no side effects, and some it doesn't work at all, but if you are having good days or moments periodically (initially, which I called my breakthrough moments) there's a good chance you'll come out the other side if you hang in there. This is not a quick fix or a miracle. Good luck. If I can do it, so can you.",Anonymous
10,Sertraline,Anxiety and Stress,10.0,,"February 20, 2022",5,I've suffered from severe PTSD and depression for many years due to my time as an Infantryman in the Army. I hid it really well with alcohol and avoidance/isolation. My poor wife missed out on many things in life because of me. This year one of my closest Army buddies killed themselves and then a month later another. It was time for me to get help before I ended up like them. My Psychologist at the VA put me on Sertraline and the first day I felt like I had a jet pack on flying around the moon. After a few days I had noticed I hadn't had any road rage incidents (a daily occurrence). Then after a week I slept the whole night and got 8 hours sleep which is something I haven't done in years. Things that would trigger me or set me off had zero effect on me and for the first time I felt like a normal person. The only side effect/downfall is the lack of sexual desire but who cares when I have my life back. The VA gave me Viagra for that...lol. Thank you Sertraline for saving my life!,Army Vet
11,Sertraline,Anxiety and Stress,10.0,Taken for 1 to 6 months,"February 18, 2022",2,"Hi all, I too want to share that I used to look here for hope that sertraline would work. I was convinced I would never get better, and this was terrifying. I couldn’t sleep and was in constant pain from anxiety. I would also enter phases of deep depression where I felt I couldn’t cope and I couldn’t look into the future. I started on 25mg. After 2 weeks my suicidal thoughts became stronger. This was distressing, as I wanted to live but couldn’t stop the thoughts. I felt trapped. My dose was increased to 100mg and then 150mg. After 6 weeks, I suddenly felt me again. I was honestly in shock. I was me again. I can function again. I still have a bit of anxiety but I can manage and work on my life now. I also took quitapine 25mg to sleep at night. This isn’t addictive and complements the ssri. If you’re living in a nightmare; like I was. Hang in there. You will get better. I promise.",Jw777
12,Sertraline,Anxiety and Stress,2.0,Taken for 1 to 6 months,"February 18, 2022",1,"I started sertraline 50mg 4 weeks ago and my anxiety has got worse. I wake up a few times a night sweating, then the anxiety kicks in with a headache.I’m in a constant daze for the first 4 hrs after taking a tablet. I’ve got to the point of giving up as the side effects have become unbearable Is this the right medication for me ?",Sean
13,Sertraline,Anxiety and Stress,10.0,Taken for 1 to 6 months,"February 17, 2022",2,"I went through 3 or 4 months of being the most anxious/panicky I've ever been in my entire life. I started having panic attacks and that really knocked me on my butt. A combination of stresses that just boiled over. I started going to therapy and changed lifestyle habits. I then tried sertraline because I thought it couldn’t hurt to try. I had mild side effects the first couple weeks but they eventually subsided. I have been on it for about 6ish weeks now and can notice a difference. The medication helped put me in a place in which I could tackle my irrational anxiety without feeling overwhelmed. The medication helps but you must remember to put in the work to face your anxiety head on. So yeah I recommend the medication. I hope you know that even when you go through tough times, it won’t last forever. Take life as it comes. Be here now.",cdj
14,Sertraline,Anxiety and Stress,8.0,Taken for 1 to 2 years,"February 16, 2022",1,"Sertraline has worked well for my anxiety and especially well for intrusive thoughts. I started at a very low dose- 12.5 mg, and then increased by 12.5 mg every 2 weeks. This helped to alleviate side effects. Initially I felt very sleepy and a bit nauseous after taking but this did not last. I currently take 75 mg a day (also being treated for depression) and this dose is working fine. if I only needed for anxiety I'm sure I could take less. I've tried many SSRI's and SNRI's and this has been the best by far.",Jane
15,Sertraline,Anxiety and Stress,9.0,Taken for 1 to 6 months,"February 12, 2022",2,"This medication has absolutely changed my life. I have always suffered from anxiety mildly but since my stress levels increased I found myself breathless, heart pounding, vision impaired, loss of movement. I thought I was dying. Turns out these were signs of anxiety. My anxiety symptoms started to improve within days, I could live again. Around 2 months in I found myself having symptoms again and my doctor recommended me to go up to 75mg which has now stabilised and I am no longer having symptoms. If you are having doubts about this medication try it out, stick it out because it will change your life. You will be able to breathe again. Some of the side effects that I have found is tiredness and decreased sex drive (however both of these have subsided once stabilised).Good luck and if you are struggling right now please know you are not alone and that there is help out there including this medication.",Jane
16,Sertraline,Anxiety and Stress,9.0,Taken for 1 to 6 months,"February 8, 2022",6,"Hi, I'm 44, and I've been taking Sertraline 50mg for a full 9 weeks now for severe general anxiety and panic attacks. In October I started to suffer from periods of anxiety, which expanded to the point I was suffering 24/7 by beginning of December, so I couldn't sleep, couldn't eat, and eventually couldn't work anymore and got panic attacks. I've been taking 50mg from the start.- Week 1-2: Side effect hell, in bed all day, morning anxiety, better in the evenings;- Week 3: Better moments started earlier (afternoon);- Week 4-8: Ups and downs, this instability seemed to last forever, hope was fading;- Week 9: Started to work again, although I was not really feeling 100%;- Now: Finally I feel great again! Super happy last 3 days!No 'like a switch' moment for me, but a gradual fluctuating improvement. I had read about being patient, so I was. I saw my doctor every two weeks, and as I was experiencing some positive effects, he didn't want to up the dose prematurely.Hope this helps.",MikeBE
17,Sertraline,Anxiety and Stress,,,"February 8, 2022",0,"I have been trying eleva and Zoloft as well as Sandoz and I would say with confidence that Eleva is heaps better than those, and I would certainly recommend this to those who suffers from GAD.",Ghz
18,Sertraline,Anxiety and Stress,,,"February 5, 2022",12,"Hi all, I'm 53 and been battling anxiety since I was in my twenties it all started one day out of the blue with that dreaded feeling of fear and that things didn't make sense as if I was loosing my mind on top of shear panic, a dry throat, a tummy that was swishing around like a washing machine. To top it all off was that awful feeling of how frightened I was and that something awful was going to happen to me. So along came sertraline 50mg and my journey of getting my life back. These tablets are life savers but people treating anxiety has to start somewhere and won't happen over night, please stick with the programme you will most probably experience insomnia, headaches, trembling limbs, and a feeling of the worst panic and run away thoughts ever but after a couple of weeks you ""will"" start to see your sun shine again.",Anonymous
19,Sertraline,Anxiety and Stress,10.0,Taken for less than 1 month,"February 4, 2022",3,"Don't normally write up about things like this. But started taking Sertraline 2 weeks ago. Had major anxiety. Had excessive thoughts and on occasion depressive thoughts. Frustration and anger where emerging on a daily bases.Second week in, I have had no side effects. I feel great! Thoughts have literally gone, I feel super calm and (as my wife says) ""content"".My baby girl who is nearly two is out of control, but I'm able to handle the most stressful situations with a calm and 100% stable manner. Loving this medication. Never thought it would change my life this much.",Young Father
20,Sertraline,Anxiety and Stress,7.0,Taken for 10 years or more,"February 3, 2022",0,"I was on a low dose of Paroxetine and then Sertraline for depression and anxiety. I tried to get off of it when I was trying to get pregnant. I then went through a 5-6 month severe generalized anxiety. I finally got back on a high dose of Sertraline and the anxiety and brain fog gradually went away over a week or two. I wish I had never started this drug because every time I tried to get off of it the same thing would happen and it was torture. It was 100x worse than the anxiety and depression I had before I started any medications. It would have been nice if my Psychiatrist had suggested therapy and learning coping skills instead of immediately jumping to medication. I am getting better and better every day now from learning coping skills, CBT, meditation and listening to Podcasts of people who had severe anxiety and was able to recover. I highly recommend  The Anxiety Guy and The Anxiety Project podcasts. They have helped me tremendously. Good luck. You can overcome this.",Annie
21,Sertraline,Anxiety and Stress,9.0,Taken for less than 1 month,"February 1, 2022",3,"I won’t lie to you, the first week was honestly awful! I was vomiting and gagging constantly, hardly slept, a few days in my anxiety was unbearable. As soon as the first week was over, I felt so so much better. I just finished the first two weeks and I can honestly say my anxiety has gotten so much better, the difference is insane! Everyone I’ve seen has said how much better I seem, even saying I seem like a different person. The side effects to begin with are tough, but trust me when I say it’ll be worth it once it’s over!",han
22,Sertraline,Anxiety and Stress,10.0,Taken for 1 to 6 months,"January 20, 2022",4,"Can I ask ,is anyone suffering from tingling in legs and back muscles feeling tight after starting sertraline.  I've been on 100 mg for about 8 weeks now. Everything else is going well.",Anonymous
23,Sertraline,Anxiety and Stress,9.0,Taken for 10 years or more,"January 20, 2022",1,I have been taking sertraline 50mg since January 2000 in the last 6 months its stopped working my anxiety is really bad again. I have seen the doctor and he has gave me 100mg to take I have been taking these for 2 days now and feel the same I hope they start to work,Lorraine
24,Sertraline,Anxiety and Stress,10.0,Taken for 1 to 6 months,"January 20, 2022",1,"Omg ..,. One of the best medicine ",Asim
25,Sertraline,Anxiety and Stress,3.0,Taken for less than 1 month,"January 13, 2022",5,"I keep coming back to this site to read the latest reviews. I’ve been on sertraline for 4 weeks and so far haven’t felt any benefits. I suffer with panic disorder, manic thoughts, social anxiety,  and ADHD. I have always self-medicated with alcohol and recreational drugs (in my 20’s). I’m really not sure wether to continue on the drug, as I feel that I felt better before I started.",Ross
26,Sertraline,Anxiety and Stress,,,"January 1, 2022",4,"Hi I’ve been recently taking sertraline for the past 3 weeks and I had the worst side effects. On the day that I took it I was bed bound all day, after the day past for the rest of the week I felt the same as I did before I started them anxious depressed after the 2 weeks past I started having really bad anxiety I can’t go on a walk without it affecting me even though the doctors said I should feel better after 14 days  and after I have got past those days I am starting to feel worse. Has anyone else experienced this?",Anonymous
27,Sertraline,Anxiety and Stress,,Taken for less than 1 month,"December 31, 2021",3,I started back on sertraline 3 weeks ago after stupidly stopping the 200mg I’d been on for 6 years thinking it would be fine. I suffer with depression and anxiety disorder I’m now back up to 150mg this week and I feel so down and anxiety has been through the roof with racing thoughts and every anxious symptom and anxiety attacks has come back. I’m really struggling and hoping I can get through this. I’ve completely lost my appetite and can only eat a little in the evenings. I’m hanging in there but just wondered if anyone else has felt this way,Tom
28,Sertraline,Anxiety and Stress,,Taken for less than 1 month,"December 31, 2021",1,"I have taken Sertraline 50 mg for anxiety for 12 days. The first five days were horrible with severe nausea. After a few days it would gradually lift over the evening and then the late afternoon. By day seven it was more or less gone. If you have nausea, please eat and drink lots of water. It helps. Now I think that I am beginning to feel a positive response. My anxiety seems to have lessened. This website was very helpful in keeping my hopes up, when things were bad. As others have written: stick with it. It will get better.",S.B.
29,Sertraline,Anxiety and Stress,1.0,,"December 31, 2021",2,"Sertraline worked very well for me and my anxiety and depression. At first but as I started taking a higher dosage it went bad. I went to four different hospitals knew what was wrong. several abdominal pain, nausea, and other sicknesses went on for over three months. The doctors won’t admit this is what made me sick but the second I started lowering the dosages I got better.",evvy
30,Sertraline,Anxiety and Stress,6.0,Taken for less than 1 month,"December 29, 2021",58,"Been on this med for 2 weeks and it is terrible. But because of this site I'm sticking with it, much to the disgust of my partner  who is thinking I'm weak. Honestly most people have no idea how excruciating depression and anxiety is. Thank you guys for giving me hope.",George
31,Sertraline,Anxiety and Stress,1.0,Taken for less than 1 month,"December 29, 2021",1,"This medication gave me serious side effects. I took one 25mg dose of sertraline at 7pm and woke up at 11:45am with a pounding heart beat(160s), shaking, sweats, dilated pupils, vision changes, twitching, body zaps and urinary retention. I ended up calling 911 because I thought I might be dying or experiencing serotonin syndrome. Around 1:30 I was finally able to fall back asleep. I woke up with a headache in my neck, tremors, dilated pupils, shaking and just overall feeling like rubbish. This med has been sitting on my table side for a few weeks and I thought after feeling down yesterday I’d finally try it. I will never EVER take an antidepressant again. What an awful experience.",AJJ
