,drug,condition,rating,duration,review_date,upvotes,review,username
0,Clonidine,Anxiety,10.0,Taken for less than 1 month,"January 22, 2022",1,"I have food sensitivities (MSG, Paprika, Peppers, Potatoes, Yellow and Red food colorings) that trigger anxiety, racing brain, difficulties sleeping, and high blood pressure. My son has taken clonidine for 10+ years for his ADHD, helps him sleep after taking high doses Adderall during the daytime. So I asked my doctor to let me try it. I took it yesterday evening and had the most amazing nights sleep with vivid dreams and just felt well rested when I woke up. I have felt very calm and at peace today. This is just my first day on it, but wanted to share that it was a positive experience with absolutely no negative side effects. I'm 6'4 and 250lbs and started with .1mg and will increase as needed.",James H.
1,Clonidine,Anxiety,8.0,Taken for 2 to 5 years,"January 18, 2022",1,"Awesome medication for anxiety, insomnia, ADHD, and tension. Can definitely cause dry mouth, eyes, and nose. But the benefits outweigh the side effects.",Margo
2,Clonidine,Anxiety,1.0,Taken for less than 1 month,"January 3, 2022",1,"About 16% of people react negatively to this medication and actually experience the opposite effects, like a big increase in anxiety. I was taking it for the last week and 1/2 and missed a dose and suddenly feel so much better, sticking with my lorazepam that actually works.",JustAnxious
3,Clonidine,Anxiety,7.0,Taken for less than 1 month,"December 7, 2021",2,"I take it and it has a mild effect on my anxiety. I still have to take antidepressants but I think my major reason for my anxiety is ADHD. Btw, I have tachycardia as well so I have to take a beta-blocker but I do believe it is related to my racing thoughts from ADHD. It is a shame my doctor took me off Adderall when it worked wonders. He figured alternative non-addictive meds are better but they are not. I bet many people here who suffer from severe anxiety with racing thoughts could have ADHD and should talk to their doctors about it.",john316
4,Clonidine,Anxiety,9.0,Taken for 1 to 6 months,"November 19, 2021",1,"Just started this stuff recently and love it.  Sleep like a baby.  Hits way different than benzos or propranolol for me personally.  I absolutely love benzos but thats not a long term route I want to go.  Didn't like  propranolol.  A full pill at night will tranquilize you for twelve hours (feels similar to strong Benadryl at that dose).  A 1/2-1/4 a pill during the day has been a very effective anxiety aid.  I drink coffee with it.  Little upper, little downer.  Great for ADD and anxiety.  Depression being treated with other stuff. 9/10.  10/10 would be xanax/kpin but this is way safer.",randoguy
5,Clonidine,Anxiety,10.0,Taken for 2 to 5 years,"November 14, 2021",2,I was taking it for almost 4 years. I stopped cuz I was tired of depending on the drug. I was without it for 3 months I was driving and smoking weed like crazy until I had an episode of breaking things with a bat.  I was put on it again and I am slowly going back to normal thanks to that drug . I went 3 weeks with no sleep until a few days ago. Reading all of this testimonials I don't feel alone,Anonymous
6,Clonidine,Anxiety,7.0,Taken for less than 1 month,"October 15, 2021",1,"It may work for some people, not for me. I do not tolerate meds that raise the neurotransmitter norepinephrine. I experienced irritability, headaches, insomnia, paresthesia, and blood pressure that fluctuated throughout the day.",gauss
7,Clonidine,Anxiety,1.0,Taken for less than 1 month,"October 13, 2021",0,"I’m 63 and was put on Clonidine, I never felt worse in my life. I was totally put in a manic state. Thankfully my internist told me to get off of it, same thing my cardiologist said.",Coco
8,Clonidine,Anxiety,3.0,Taken for less than 1 month,"September 28, 2021",3,"I was prescribed Chlonidine (.01 mg) daily for anxiety, ADD, facial tics and OCD. It works fairly fast, however it makes me extremely tired, and the dry mouth is very bothersome. It definitely lowers your heart rate which, in my case, makes me sleepy. I’m not sure I can continue taking this medication because I cannot think of anything but getting into bed 30 mins after I take it. I’m giving it one more week.",Kittykat28
9,Clonidine,Anxiety,1.0,Taken for less than 1 month,"September 12, 2021",3,"I was prescribed clonidine .1mg to help with the high levels of anxiety and blood pressure associated with quitting cannabis after years of dependence. I’ve taken it twice a day for two days, and now I feel hollow and weak. I feel like I’m not fully conscious, and my anxiety levels are much higher than before taking this medication.  I’m at a point in the detox process where anxiety should be going away, so this pill is a very unpleasant surprise.  It was effective at lowering blood pressure until the anxiety took over.",...
10,Clonidine,Anxiety,10.0,Taken for 1 to 6 months,"August 18, 2021",10,"I've never reviewed a med but I have to say right from the first dose, this helped my anxiety immense. It felt almost like a longer lasting, clearer version of a benzo. It definitely made me sleepy, but it also kept me feeling calm and present. The best way I can describe it is like all the hyperstimulation I experience settled down, and I had a feeling similar to how you'd feel after getting an awesome massage, just completely relaxed and blissful. With insurance this only cost me a dollar!",AJDCTX
11,Clonidine,Anxiety,10.0,Taken for 10 years or more,"July 18, 2021",4,If I did not have my 0.3 mg of Catapres I would be in so much trouble from hypertension,Big Al
12,Clonidine,Anxiety,6.0,Taken for 1 to 2 years,"May 26, 2021",12,"Take .1mg Clonidine for anxiety when I am feeling anxious. It does not totally take the anxiety away, but makes it more tolerable. Not my first go to for anxiety. I use Clonidine or Gabapentin to avoid taking too much Ativan. Side effects are pronounced daytime drowsiness and fatigue. Oddly if I take it at night my sleep is horrible.",marckieparkie1
13,Clonidine,Anxiety,8.0,Taken for 1 to 6 months,"April 19, 2021",16,"I was given clonidine .1mg to take as needed for anxiety and it works really well. I am in recovery from drugs & alcohol and cannot take any mood altering substances. I took meds like buspar & visraril previously for anxiety & they did nothing. I also have bipolar II disorder (rapid cycling) & I've noticed that when I'm in my depressive episodes, clonidine helps my mood too. I don't know how that works but it does. I was sensitive to clonidine when I first began taking it and I would go to sleep. I only take it 3-7 days (1x/day) per month but my body is used to it now and I do not get drowsy. I am also pregnant but I'm ok to take it.",J
14,Clonidine,Anxiety,10.0,Taken for 1 to 6 months,"March 5, 2021",37,"I have Hypertension, ADD, and anxiety, the majority of the things that Clonidine is used for.  I was so happy when I was finally put on it.  I take .1 mg 3x a day and soon they are going to raise my dosage.  It is a miracle drug, it does great for my BP and my anxiety I will say though it does not help my ADD so I am still on Adderrall for that.I do want to address something with those that are on it strictly for anxiety and who are having issues, this medication will lower your BP so if you anxiety is getting worse or you are extremely tired and possibly feeling faint, you are taking too much and your BP is more that likely to low.  Try taking a smaller dosage, taking more would make it worse.  For those that are saying it works but wears off and are taking the .1 mg talk to your Dr. because that is the smallest dosage and it can be raised.",Butterfly0fJune
15,Clonidine,Anxiety,1.0,Taken for 1 to 6 months,"March 4, 2021",26,Worst medicine ever! I’m so mad that this was even prescribed to me for anxiety because it’s only made my anxiety 100 percent worse. I had no idea this medication was used to treat ADHD as my doctor told me it was used to treat high blood pressure which I have never had. She misled me and increased my dosage to .3 mg a day before I figured out what was making me crazy.,JJ
16,Clonidine,Anxiety,10.0,Taken for 1 to 2 years,"December 24, 2020",13,"Years ago, I had a mini-stroke, also known as a TIA. After I had tried countless different medications, I agreed to try Clonidine. In addition to my chronic hypertension, I also have PTSD. This medication GREATLY helped with panic attacks; I would be calm in 10 minutes. It's sad that a hypertensive emergency can so easily happen if you abruptly adjust the dose or quit it cold turkey, because otherwise I'd still be on it. It works as good as Ativan or Xanax, and is far faster... but the risk if you forgot to take it, personally for me, outweighs the benefits.",Katluv
17,Clonidine,Anxiety,10.0,,"December 10, 2020",41,"My doctor prescribed 0.1 mg (smallest dose) for anxiety, irritability and anger. It was just what I needed, although I had to cut in half as the full dose was a bit too sedating. It really mellowed me out and helped me relax. Way better than the benzo I have been resorting to. I wish I had discovered this medication sooner as I have been suffering for a long time. I recommend starting with 1/2 and even a 1/4 to see how you feel. You'll need a pill cutter. Best of luck!",Anne
18,Clonidine,Anxiety,10.0,,"November 25, 2020",14,"I am going through withdrawals to get off Methadone for back pain, and I was experiencing severe anxiety and panic attacks.  I had to get off it because it caused severe constipation like I’ve never experienced in my life and was very painful.  I sent my doctor a text on Saturday after 3 days of mental disorders from the withdrawals and asked him for a prescription of Clonidine, which he called in to CVS immediately.  I’ve never experienced anxiety and panic attacks like that before, and I have been through several withdrawals while detoxing off opiates in the past, which I started taking after two invasive back surgeries in January 1998 and October 2000.  Today is Day #4 on Clonidine, and I have not had the anxiety or panic attacks.  I’m not going to take it tomorrow because I don’t want to become addicted to another drug with additive qualities.  If the anxiety returns tomorrow, I’ll take half the 0.01 dose that was prescribed that’s suggested in these comments.",Mike
19,Clonidine,Anxiety,9.0,Taken for 6 months to 1 year,"October 22, 2020",111,"A word of advice: do not take the full 0.1 mg clonidine pill. Most of the people here complaining about the medication making them drowsy and fatigued are likely sensitive to clonidine and are taking a much higher dose than they should. Chances are, your doctor will prescribe 0.1 mg since there is no lower dose for this med. If after taking the full 0.1 mg pill makes you tired, cut it in half, if it still makes you tired, cut it into a quarter, and if still, cut it into an eighth. I recommend buying a pill cutter.When I first took it, I felt terrible at the full dose, but I then cut it like I just instructed and at an eighth of a 0.1 mg pill I felt waaaay better. Anxiety almost completely gone and it has worked even better than benzos. Plus, this med, unlike benzos, is not associated with any kind of brain damage and/or addiction.",Zack
20,Clonidine,Anxiety,1.0,,"September 18, 2020",46,"I absolutely definitely do not like this medicine clonidine, I’m tired through out the whole entire day, once I have taken it. I feel so drowsy, sleepy, my anxiety has been going crazy. I can’t get anything done throughout my day because I’m sleeping all day - I feel like my mind is out of space, I am not myself when taking this med I WANT OFF OF IT NOW",Dee
21,Clonidine,Anxiety,10.0,,"August 9, 2020",71,"I was on clonidine from the age of 8-14 I didn’t want to take pills for the rest of my life so I stopped taking all my meds, half of which I didn’t even know what I was taking them for. About a month ago I started having really bad anxiety attacks. I felt like I was living completely out of my body, I felt awful and wanted to die if I’m being completely honest. After dealing with having them 1-2 times a week I called and got into counselling and requested to be put on medication. The psychiatrist called me a week after and recommend I take clonidine again and I recommend anybody with anxiety to try this medicine I was on it for 6 years and it really made a difference even the first day I started taking it again",Chiccamae
22,Clonidine,Anxiety,,,"June 3, 2020",19,Thanks to all the comments and I'm on .01 twice a day I take it at once and it works great but that's just the morning and by the afternoon it kinda wears off.  I'm wondering how much you can take I'm confused about it being so low and if I tell my psychiatrist I know she help me out I just need to figure out a good dose is,Levithan
23,Clonidine,Anxiety,1.0,Taken for 6 months to 1 year,"April 29, 2020",45,"It does not even touch my anxiety. I was on Xanax for 23 years. When my psychiatrist retired, the new psychiatrist I got informed me that Xanax was habit forming. She placed me on clonidine and it did nothing. I suffer with severe anxiety constantly.    Xanax helped me with my occasional episodes of panic attack and my severe anxiety. I also have ADHD and over compulsive disorder.",Joe
24,Clonidine,Anxiety,1.0,Taken for less than 1 month,"April 26, 2020",27,clonidine worked great for about a week the my anxiety kicked into overdrive. I felt I was going to go nuts. I began completely not well and felt I was at risk. Very scary situation!,Buzz
25,Clonidine,Anxiety,7.0,Taken for less than 1 month,"April 15, 2020",21,"Clonidine helped a lot with my anxiety and sweats. I would sweat in public situations or even going to a corner store, embarrassing. This really helps even more than the xanax for my sweats. Anxiety doesn't go away completely but still an amazing drug. Does nothing for depression so looking to try something on top of this medication.",Jay
26,Clonidine,Anxiety,9.0,Taken for less than 1 month,"February 17, 2020",200,"I am pretty sure this drug is going to save my life. I have tried everything for anxiety. Benzos, buspirone, ssri's, snris, beta blockers. I almost gave up then I thought I would try one more. I get horrible med side effects so I started with 1/4 a .1 mg and within 20 minutes I was more normal than I have felt in years. I tried a higher dose the next day but was too tired so for now I will stick to the small dose. 3 days in and I feel like my life has already changed. I can focus at work, I'm happy, I have more energy, no anxiety. beautiful!",Ag
27,Clonidine,Anxiety,1.0,Taken for 1 to 6 months,"February 13, 2020",22,"I hate taking this medication it makes me extremely sick. I also get extremely groggy, weak feelings, fatigue, mood swings, and anxiety. I do not recommend for anyone unless you're having trouble sleeping.",GabrielRD
28,Clonidine,Anxiety,10.0,Taken for 2 to 5 years,"January 28, 2020",66,"This drug clonidine was a game changer for my anxiety. I love this drug- it helps me sleep, it calms me down from full blown panic attacks (it takes about 20-30 minutes to do this). It helps with my ADHD because it calms down my body and lets me focus. I can't take benzos, so it has been really helpful. It takes a while before it stops making you drowsy. I only take half a tab if I'm super anxious during the day. I only take full tabs if I'm having a panic attack or going to bedWARNING: DO NOT STOP TAKING THIS DRUG COLD TURKEY. I had horrendous withdrawals. I stopped cold after 3 years and was shaking and tremoring, did not sleep for a week, and had severe panic attacks all day every day.",Meg
29,Clonidine,Anxiety,1.0,Taken for less than 1 month,"January 14, 2020",22,This clonidine  was prescribed in conjunction with TCAs and beta blockers for agoraphobia with panic disorder. It caused even more severe panic and dark thoughts.,SuzieQ
30,Clonidine,Anxiety,10.0,Taken for less than 1 month,"January 14, 2020",73,I get very down and depressed in the Dark Winter months. About a month ago I went into Manic Panic Depression and anxiety was off charts for the last month. I'm scared of Benzos and refuse to take them because of how good they are and addicting. Was prescribed Paxil 20 mg . They gave me Hydroxyzine 50mg until Paxil Kicks in. Paxil has not worked and went back to see about something stronger than Hydroxyzine. They gave me clonidine and it worked within an hour at .10 mg clonedine I was eating and even smiled after 3 weeks of nightmarish living. I think this will be the one!,Red
31,Clonidine,Anxiety,3.0,Taken for 1 to 6 months,"November 22, 2019",19,"I took clonidine for a month to help with tapering off xanax. The first week was ok. It helped me motivate and feel somewhat better. After that, all downhill. My hair started thinning excessively, especially when I washed it. Then, I just felt overmedicated and aggravated. This is my own personal experience. I don't recommend it to people highly stressed. I think in my opinion, it should be used under a dr supervision only. The night sweats were AWFUL. And my peaceful nights sleep turned into vivid nightmares and dreams so odd.",Anonymous
32,Clonidine,Anxiety,10.0,Taken for less than 1 month,"November 12, 2019",53,In my opinion clonidine is the best prescription for panic and anxiety. Nothing else worked.,Anonymous
33,Clonidine,Anxiety,10.0,Taken for 1 to 6 months,"October 29, 2019",59,"clonidine is the best medication for my anxiety.  I take in am and then at bedtime, my anxiety is gone, a GOD blessing for me, better than benzos......",don
34,Clonidine,Anxiety,3.0,Taken for 1 to 6 months,"October 19, 2019",28,I was given 0.1mg twice per day to control anxiety but it made me so tired and dizzy it was difficult to stand up. Many years later after seeing dozens of doctors it was determined I had adrenal insufficiency and needed hydrocortisone. This drug will decrease Cortisol production and make you feel even worse so be advised.,MrMisdiagnosed
35,Clonidine,Anxiety,9.0,Taken for less than 1 month,"September 28, 2019",150,I have been dealing with anxiety for about 10 years now with the occasional panic attack. In the last 9 months my anxiety has been so severe that I’m anxious every second of the day and panic when I have to leave the house. It’s made it hard to function and hold down a job. I recently got a new job and I was having extreme anxiety to the point of feeling suicidal because I felt like I could not continue living with the severity of my anxiety. I was on 6 different medications and not getting any relief. Finally my doctor prescribed be clonidine 0.1 three weeks times a day. For the first time in 9 months I finally felt better. My doctor upped. My dose to 4 times a day and now I’m feeling better than ever! I’m able to function and work again. This is a miracle drug to me. I’m finally living my life again. I would highly recommend trying this drug if you have severe anxiety like me.,Katherine
36,Clonidine,Anxiety,10.0,Taken for 1 to 6 months,"September 25, 2019",52,"I have PTSD and have suffered from depression and anxiety my entire life, I was prescribed xanax, clonazepam, and ambien and took that for 30 years, just 4 months ago and I got sober off the benzos,and along with duloxetine 120mg daily. Clonidine has worked great.  It helps me sleep and reduce my anxiety 100% oh and by the way, it works great with methadone. ",Big Nick
37,Clonidine,Anxiety,10.0,,"September 20, 2019",120,I have been suffering with severe depression and extreme anxiety for years doctors tried me on everything including Xanax nothing seemed to work it had gotten so bad that my blood pressure shot up sky high so to control my blood pressure they put me on clonidine. Lo and behold the clonidine did not only lower my blood pressure but it controlled my depression and anxiety. My anxiety was so bad I was afraid to leave my house I suffer from social anxiety as well when I am taking my clonidine as prescribed I feel absolutely normal. If you have tried everything and nothing seems to be working  then you need to speak to your doctor about clonidine. To me it is a miracle drug it has helped me become human again,Doc
38,Clonidine,Anxiety,2.0,Taken for 1 to 6 months,"August 10, 2019",21,"Psychiatrist prescribed .1 mcg clonidine once a day for anxiety then upped to twice a day. I also take 20 mg duloxetine, 20 mg buspar, and 40 mg dicyclomine every 6 hours for irritable bowel syndrome (IBS) . Clonidine may help a little, but leaves me so drowsy I can barely function. Also causes severe dry mouth.  I doubt I’ll be able to stick with it. Xanax works well for me but have to restrict use to avoid dependence. Higher dose of duloxetine helps reduce anxiety but causes severe constipation.",Bill Bourbon
39,Clonidine,Anxiety,10.0,Taken for 6 months to 1 year,"August 7, 2019",60,"I have a prescription for clonidine 0.1 mg as needed for anxiety. It is SO helpful! I rarely take it but when I do, it drastically reduces my anxiety and it’s not a benzo so it’s much easier to get a prescription for. I’d highly recommend it for anxiety. It does make me sleepy but I like that. When I’m feeling anxious I need that sedated feeling. It doesn’t make me feel zombie level sedated but I feel it enough to be able to get some sleep. Also, if you already have low blood pressure I would not recommend because it’s a blood pressure medication and could put you into a dangerously low blood pressure if you’re not careful.",J
40,Clonidine,Anxiety,9.0,Taken for 6 months to 1 year,"July 26, 2019",30,"I was given this medication with Paxil for severe anxiety. I never took the Paxil BUT did the clonidine. I was told to take a half of a 0.1mg tablet twice a day for  panic attacks as needed and one whole 0.1mg at night for insomnia. The first time taking it, IT WORKED! I took half of tablet in a American Eagle dressing though but got extremely tried. But ever since than It is not as extreme as the first time luckily. It just helps enough that I don't get myself thrown in the ER. I don't take it everyday tho.",lostplanetgirl
41,Clonidine,Anxiety,1.0,Taken for 1 to 6 months,"July 8, 2019",65,"My psychiatrist prescribed me .1mg 3 times a day for my anxiety and panic attack disorder. I literally have between 8 to 12 attacks daily and anxiety from the moment I wake up until I hopefully get some sleep using zzzquil or benadryl. My condition has only gotten worse and this psychiatrist I see is very rude, judgmental, and speaks down to me like I am dirt.  I really hope no one else has a Dr like this. She's very unprofessional and says things to belittle me for the last 4 visits, I literally cried in my car for 10 mins after seeing her last time. She made me feel horrible about myself. Also, she left me without medication for 2 weeks.  I need to find a new Dr immediately",Mr. Panic attack
