,drug,condition,rating,duration,review_date,upvotes,review,username
0,Desvenlafaxine,Anxiety,,Taken for less than 1 month,"March 17, 2022",0,"I just want to get some hope. I have been dizzy for more than a year. All tests done, no apparent cause. Anxiety, depression, stress is the aiming explanation. Was prescribed this, I am afraid by the negative reviews, I do not want to start this, get hooked and still have this fatigue, dizziness and certain lack of motivation. On top of this sickness my girlfriend kicked me to the curb. I am really hopeless, I think I am physically sick without any way out. I think I am good guy, smart, etc... and I have this thought this drug may change the good I am. I quit fluoxetine 8 months ago. It helped but it made me irritable or at least I was irritable too often while on it. Please, some light to make the decision.",Rick
1,Desvenlafaxine,Anxiety,9.0,,"March 7, 2022",1,I was pretty hesitant to try this medicine because the reviews. But I’ve tried many other antidepressants/anxiety brands before. This one by far is the best one. I take 25mg daily.  My anxiety is little to none on a daily base. No racing thoughts. I can enjoy daily activities where before I was so irritable over everything all the time. I never wake up tired anymore and I can really tell a difference in my energy levels. I will say it made me lose 20 pounds I’m never hungry so that’s the only down fall to this medicine for me.,Anonymous
2,Desvenlafaxine,Anxiety,1.0,Taken for less than 1 month,"February 24, 2022",0,"This medication was prescribed to counteract the effect my emotional state was having on my blood pressure.It had the opposite effect, spiking my BP to such dangerous levels that I required urgent medical attention. I was taken off the drug immediately after 9 days use. Take note of the side effects and proceed with caution.",Gadey64
3,Desvenlafaxine,Anxiety,5.0,Taken for less than 1 month,"February 5, 2022",2,I have only taken desvenlafaxine for 5 nights and I’m finding to I’m so tired I have slept all morning I know it’s early days but can someone tell me does the tiredness go away. I’m finding it’s increased my anxiety but today I feel calmer.  I’ve read so many positive reviews thank you,Noami
4,Desvenlafaxine,Anxiety,9.0,Taken for 1 to 2 years,"October 31, 2021",2,I have been taking Pristiq for 1 year now and it is highly effective for my anxiety. First month I had insane insomnia (would sleep for maybe 2 hours a night) and also had zero appetite. Things went back to normal once my body adjusted. Only downside I feel now after a year is that I do not feel major emotion at all. The highs aren’t high and the lows aren’t low - I always feel neutral. Also have a hard time feeling emotion towards other people which can be problematic. It is also very expensive.,SF27
5,Desvenlafaxine,Anxiety,9.0,Taken for 1 to 6 months,"October 3, 2021",2,"I tried a lot of antidepressant like (zoloft,sertraline,prozac) for anxiety and the best is pristiq .No side effect for me. try desvenlafaxine",Pristiq
6,Desvenlafaxine,Anxiety,9.0,Taken for 1 to 2 years,"September 30, 2021",0,It has helped me a lot as all of the sudden I started to have extreme anxiety. Since I started taking it my anxiety is gone,Anonymous
7,Desvenlafaxine,Anxiety,2.0,Taken for 6 months to 1 year,"August 20, 2021",0,"Pristiq was prescribed and I gladly took it…only because I was unable to function any longer at that point. I had been on another antidepressant for years with no problems and stupidly thought that ridding myself of chemicals was the way to go. I stopped that antidepressant. But eventually anxiety issues manifested themselves …..so I thought Pristiq, recommended by my GP, would be a slam dunk solution. Right from the first pill I experienced a bitter taste and thought this will go away as my body adjusted. Fast forward to 6 months of living with a constant bitter taste all this time. As far as my anxiety issue the drug was mildly effective. I still was unable to sleep, had tingling sensations to left leg area , hot flashes etc. I was out of the country at this point and miles away from my GP. Everything tasted like I had eaten a bag full of kale. On my return home… my first job was get this drug out of me. After a month of stopping PRISTIQ the bitter taste is worse……",Anxious Lady
8,Desvenlafaxine,Anxiety,10.0,Taken for 1 to 6 months,"July 13, 2021",3,"It's an amazing drug indeed. I was suffering from heavy anxiety in the early days of quarantine in 2020 and my doctor told me to start taking desvenlafaxine 50mg with 20mg of Frisium. After 2 months I began taking only 100mg of desvenlafaxine and my life has been much better. Overall, my anxiety is non existent and I don't crazily worry about small things like before. The only negative point which I don't even care is that I sometimes feel a little slow in my thoughts. Not dumb but I take thoughts calmly.This weekend I forgot to buy my meds and I did not take it for 2 days. My life was a nightmare. Headache, dizziness, confused and vivid dreams, stress and anxiety. So, never forget to buy extra quantities whenever you can",Dio
9,Desvenlafaxine,Anxiety,10.0,,"June 27, 2021",7,"I am on day 3. Weaning off 20 mg Lexapro,  at 10 mg/day for 1 week my house is spotless! But with deaths of parents and sister in 10 years, I have been hit hard,  10 years ago. People need to understand,  no matter how strong a person you are, this nasty anxiety has no bias! I felt I was letting everyone down I loved, this alone causes you depression, hard to explain. I have an outgoing personality as I work with the public daily, in truth..that is what saved me to make it through another day. Most times I didn't want to go home after work. The house, mess...no one respecting my little requests,  eg. picking up shoes, putting their own back packs out of the hallway, I'd leave notes to - it just made me feel sad and alone.  I'm hopeful now I found relief! Wonder how family will respond? Besides always pushing my buttons for a reaction.",Mklos
10,Desvenlafaxine,Anxiety,8.0,Taken for 6 months to 1 year,"April 7, 2021",3,"Definitely helped with anxiety, was a noticeable change. I am a 21 year old male with GAD.",Me
11,Desvenlafaxine,Anxiety,3.0,Taken for 1 to 6 months,"February 6, 2021",3,Well I started taking pristiq three months ago and it was okay at first then out of no where I started having crying spells and I felt so out of it! All I had was bad days! It made me dissociate so bad with myself. I felt like I was watching my life just fly by all I felt was constant worry or sadness. I ended up seeing a psychiatrist and I have been diagnosed with bipolar disorder so I was taken the wrong medication so if you have bipolar disorder I would NOT recommend this medication at all.,Maddi
12,Desvenlafaxine,Anxiety,8.0,Taken for less than 1 month,"December 21, 2020",27,"I have severe Anxiety, PTSD, MDD and so have been taking Pristiq for seven days now. The first three days I was zonked and did not feel emotions, prior to this I was experiencing nightmares and anxiety attacks from childhood trauma along with vivid memories which would make me feel like I was reliving the event, so starting off zonked was not bad for me. For the past two mornings, no where near as dopey but I have woken and almost instantly have ""anxiety belly"" I can feel the stressful thoughts trying to seep through but they're not as loud as usual. Today is my seventh day, I woke up and today my anxiety belly is not as bad but still there. I really hope my physical anxiety will cease with the medication. Sick of not being able to live my life :(",Jam
13,Desvenlafaxine,Anxiety,5.0,Taken for 1 to 6 months,"December 13, 2020",3,"I have anxiety, negative thinking, and not engaging in social activity. And a continuous darkness -- I took Pristiq and it was terrible on the first day. Where it caused me severe nausea and the flash in my eyes and fogs in the brain, I felt better on the tenth day, and then the symptoms returned again -- After a month of the use of medicine, I can say that I changed at 40% to the best. But not exactly -- Now I've completed two months of having a 50 dose. I think it's enough time. And I want to try another medicine. My advice: You will be tired in the first weeks, but you have to resist and continue until you see the result.",Seito0o
14,Desvenlafaxine,Anxiety,10.0,,"November 22, 2020",24,Okay I suffer from PTSD childhood trauma. Fast forward I want my life back and decided to seek help. All the therapist are booked and backed up due to people struggling with mental illness since this quarantine and covid stuff. So my primary dr got me on this medication because I was losing it I felt it. Three weeks now I feel amazing. I will say this medication you shouldn't forget a day or two like I did because I felt so sick and run down. Nausea and body aches wow. I know its helping me because I'm more positive and don't feel so worthless anymore.,Nina
15,Desvenlafaxine,Anxiety,1.0,Taken for less than 1 month,"August 29, 2020",10,Started this drug desvenlafaxine 5 days ago when I had my 2nd ever panic attack and I haven’t been able to sleep since.  At first I thought it was my anxiety keeping me up but it was the side effects of this drug that has only made my anxiety worse . I warn those this seems to be a strong drug and don’t be tempted to get on it after your first anxiety attacks. I plan to get off of it but I am terrified that my body will react to the removal of this drug from my system. I'd rather have an anxiety attack than to feel like a zombie at 4am struggling to sleep. My doctor said I can wean off of it after a year but I have yet to read about someone successfully do so.,Amob23
