,drug,condition,rating,duration,review_date,upvotes,review,username
0,Escitalopram,Anxiety,,,"April 1, 2022",0,"After taking this for two months for my social Anxiety disorder,  I realised that it doesn't work for me",Shahid Muneer
1,Escitalopram,Anxiety,1.0,Taken for 6 months to 1 year,"March 31, 2022",0,"Turned me into a shell of my former self. Lost all motivation, actually gained more social anxiety, the dreams you get are also just too much; not to mention the absolute brain fog you have everyday. I also continued to have worsening panic attacks. Maybe the drug wasn’t for me, and I should’ve been treated with more of something that helps with my panic disorder, but the effects it had on my brain and body the 6 months I took it (and the incessant nature of my doctor telling me to continue taking it because it’ll eventually work) caused me to switch doctors and taper off of it on my own. I’ve been off of it for about 2 months now, and I can still feel lasting effects, but this drug truly did nothing but harm my lifestyle and everything about me as a person. Like I said at the start, while I was on this drug I was literally a Shell of My Former Self.",AntiPsychiatry
2,Escitalopram,Anxiety,10.0,Taken for 1 to 6 months,"March 30, 2022",0,"After the death of a family member I suddenly started to suffered serious panic attacks where It felt like my arms were being dipped in hot water with tingles of hands and feet. Sometimes all night. I also suffered anxiety with constant overthinking, total loss of appetite.I started on 10mg.  The first two weeks it made my anxiety and panic worse, I almost stopped taking it as could not bear it.  I pushed through and WOW am I glad I did.  Like magic on day 13/14 I had my appetite back and the anxiety lifted.After 6 months of 10mg per day I feel amazing. no anxiety and enjoying life again.Please stick it out for at least 14 days. it is worth it.",rdee
3,Escitalopram,Anxiety,10.0,Taken for less than 1 month,"March 24, 2022",2,"I have been on Lexapro previously, I have restarted 2 weeks ago. I suffer from GAD, intrusive thoughts and panic attacks. I can’t tell you how much this medication has helped me. The first few days, my anxiety was worse. I do recommend using something like Clonazepam. Before I restarted, my anxiety got so bad, from the moment I work up, my heart was racing. I felt like I had butterflies in my stomach. I was just getting to the point that working was becoming challenging. I would look forward to the end of the day so I could just sleep and have a break. I was terrified I would never feel better. Thinking I couldn’t go on this way anymore. I would think about things I would have to do in the coming months and I was terrified, everything felt so difficult. After 5 days on he medication, I started getting these moments of clarity. I’m now completely back to normal- I feel joy! Hang in there, you will get relief. Praying for you all.",Kam
4,Escitalopram,Anxiety,9.0,Taken for less than 1 month,"March 23, 2022",0,"Being honest my mental health has been in decline a long time, basically throughout pandemic and a lifetime of being able to try and live with crippling anxiety. I got back to UK from being in foreign Country. My anxiety it was work related and led to a major increase in anxiety, self harm, loss of job and sent home. On return I was prescribed Vencarm XL 225mg which was not in any was effective for me. My anxiety went through roof. I started Escitalopram last week at 5mg. I was drinking alcohol, bad idea, and begging for Xanax to curb anxiety, to no avail. I had no alcohol today, second day. Doctor had prescribed 28 Escitalopram 10mg which I had to face the outside world to go and fetch. I will not over dramatise my anxiety at thought of leaving my room as you will know. However, I faced it and was shaking, but on interaction with someone else the crazy feelings went a little and went more as I got to fresh air. In short, Escitalopram appears to working for me; however, it is still early days.",Will
5,Escitalopram,Anxiety,10.0,Taken for 1 to 2 years,"March 21, 2022",1,"Lexapro (escitalopram):Lexapro has been extremely helpful and changed my life. I experience anxiety and some depression and was scared to go on meds after lots of therapy. I can say that my 10mg dose has truly changed my life and brought my life back to normal. I have did experience some weight gain however my life over the past 1.5 years being so much better is worth it. Overall, I recommend Lexapro! It gave me my sparkle back and I hope can for you! ( female, 19 years old )",19 year old
6,Escitalopram,Anxiety,10.0,Taken for 6 months to 1 year,"March 17, 2022",1,"Lexapro (escitalopram):I have been taking Lexapro for about 8 months and I have had side effects. I have experienced tremors, vaginal numbness and excessive sweating as well as moderate heart palpitations.",Whitney
7,Escitalopram,Anxiety,10.0,Taken for 1 to 6 months,"March 16, 2022",5,"I took Cipralex for 6 years, and it worked fine with me, then I decided to taper off as I convinced myself that I don't need it.I tapered off it for 2 months and quit completely, under some stressful conditions - anxiety, and panic attacks hit me hard.  I was rushed to ER several times, then my doctor put me on it again 10 mg, per day.First 11 days were a nightmare with increased anxiety, insomnia, fast heart rate, slightly high pressure, foggy head, pounding head and  ears, but at day 14, I started to feel the difference again. I could control my anxiety, if you have started it, stay with it, be patient. it will work.Us people with serotonin deficiency leads to release of cortisol and adrenaline with leads anxiety and attacks and depression,Stick with it, be strong...as they say, no pain no gain.When you have a headache you take a pain killer, we have serotonin deficiency so we take lexapro or cipralex just to regulate this chemical in our brain...we are not mentally or emotionally down...",Alex
8,Escitalopram,Anxiety,10.0,Taken for 1 to 6 months,"March 16, 2022",3,"I have been taking escitalopram for three months now it has saved my life! My anxiety before was just getting progressively worse to the point I was experiencing physical symptoms that I would wind myself up into thinking I had something else wrong with me! I was not sleeping, I didn’t want to be on my own but then when I had company I wanted to be on my own, my relationships were suffering as I was just constantly in flight or fight mode. I was never depressed just anxious over trivial things or things that hadn’t even happened yet! The first week of taking 10mg were a little rough.. my anxiety was heightened, I had a funny tummy and felt a bit nauseous and lost my appetite but after that each week just got better and better. My head is finally clear and my relationships with my family and partner are healthier. I can finally make plans and not over think it, life is much more enjoyable and I can’t believe I was against taking meds for so long.",Anonymous
9,Escitalopram,Anxiety,10.0,,"March 5, 2022",0,"This pill saved me! I was really avoiding on starting antidepressants due to being scared of the side effects....I've never had anxiety in my life I was always such an out going happy person, then it's like it came out of no where, I struggled with it for almost a year. One day I thought I would be good to go shopping alone and bam! Instant panic and started getting dizzy and tingly on my arms I was scared! I breathed though it and punched my arms to feel pain other then that tingly feeling, bought my items and went straight home to cry in a ball.  I called my doctor to start on the antidepressants I couldn't take it anymore! I was getting depressed as well I just wanted to feel normal again ....The first week of taking my medication I had a sore stomach and headache, those were the only side effects I had. (Everyone is different) It has been almost 3 months since taking these I am happy once again with no anxiety but 30lbs over weight. I am still gratefully thank you!",Joanne
