,drug,condition,rating,duration,review_date,upvotes,review,username
0,Prochlorperazine,Anxiety,1.0,Taken for less than 1 month,"March 6, 2022",0,"Compazine (prochlorperazine):Be very cautious of this medicine. I went to the ER for a bad migraine and they gave me this in a ""migraine cocktail"". Words cannot describe how bad it made me feel. I had an extreme feeling of restlessness, I absolutely could not sit still nor get comfortable. I had an intense feeling of ""I have to get out of here"", and it filled me with absolute rage. I ended up doing things like rocking back and forth, constantly tensing every muscle in my body because I felt so restless, and even ended up hitting myself in the head pretty hard multiple times out of anger. This was completely out of character for meI thought I was just crazy and had a bad reaction that was really uncommon. The stories here are no exaggeration, this ""medicine"" really is that horrible. It should absolutely be banned",Zuriel
1,Prochlorperazine,Anxiety,10.0,Taken for 1 to 2 years,"February 7, 2022",1,Compazine (prochlorperazine):I have been to the ER twice for severe nausea and vomiting due to anxiety and the first time they administered compazine with Ativan and it worked wonders. The second time they had just administered compazine and I noticed it really does help with nausea along with anxiety induced nausea but without the side effects of benzos. After that my I asked my PCP if I can have a prescription of the 10 mg tablets and now I take it either if I’m very nauseous and Zofran doesn’t work (I don’t want to build a tolerance to comp.) or if I’m feeling down with anxiety due to MDD because it helps lifts my mood and makes my heart feel at ease especially for the next day. I don’t recommend taking compazine if you have never took an antidepressant or if you don’t have anxiety/depression due to the nasty mental effects an antipsychotic can do.,Alex
2,Prochlorperazine,Anxiety,,,"January 23, 2022",0,"Compazine (prochlorperazine):I was giving this in the ER mixed with toradol and man this stuff had me feeling anxious, I wanted to rip out my if, on way home I felt like jumping out the car I felt suffocated . NEVER AGAIN",Tania
3,Prochlorperazine,Anxiety,1.0,Taken for less than 1 month,"December 31, 2021",0,"Compazine (prochlorperazine):About a year ago or so, I went to the hospital for a migraine. I've gone fairly often for migraines. Normally its benadryl, and some fluids (from dehydration) and then I'm good to go. This time they gave me benadryl and compazine. Almost immediately  I started panicking. My heart was racing, jt was hard to breathe, and I literally thought I was dying. I was in the process of trying to text my loved ones telling them I loved them. Thanks to covid, my husband wasn't allowed in, however my attack had gotten so bad I begged and pleaded for them to let him in with me. The nurse who administered the medicine didn't care that I was freaking out, in fact all she had said was ""well, your headache is gone now right? Now you have a new problem"". If I could sue the hospital for this and win, I'd do it in a heartbeat. I thought I was dying and the nurse just shrugged and said ""oh well now you have a new problem"". A year later and I'm still not normal. Panic attacks are worse and often:/",123littlered
4,Prochlorperazine,Anxiety,1.0,Taken for less than 1 month,"November 2, 2021",1,"Compazine (prochlorperazine):I went to the ER for a migraine and they gave me this through my IV…I almost lost my mind. Everything was aggravating me. My heart felt like it was racing, I felt like I wanted to get up and run for miles. This had to be one of the most scariest moments of my life. This drug makes you feel like you’re gonna die - there I said it.",Compazine
5,Prochlorperazine,Anxiety,2.0,Taken for less than 1 month,"September 27, 2021",0,"Compazine (prochlorperazine):Got it for the first time ever, went in for a headache that was persistent. Have had panic and anxiety attacks before so I knew what was happening. 15 minutes in I was going crazy. Akathisia was what took the longest to go away. I read compazine takes 2-4 days to get out of the body if taken through IV. So don’t worry y’all you will get better but give it the minimum days. Benadryl does help as it’s a counter for it. Mother is allergic to it as well and reglan. They say it’s not hereditary but I believe it is. Careful with these headaches drugs! Even though the headache did go away! 24 hours have passed since taking it and in slowly coming off the side effects",Anonymous
6,Prochlorperazine,Anxiety,1.0,,"September 13, 2021",1,"Compazine (prochlorperazine):I went into the emergency center for a migraine. I have anxiety disorder and bipolar disorder. I was given this in an i.v. and they turned off the light once they left. Within five minutes, I had this horrible rush of anxiety. I immediately sat up, ran to mirror and started to breathe. For some reason when I watch myself doing the breathing exercises for anxiety it helps me believe that it's a phase and it will pass. After 10 reps I took the i.v.off of the stand and ran into the bathroom. Then I ran down the hallway and told someone to get this i.v. out of my arm right now. The nurse asked me to go to my room. I started to rip our the i.v.and she immediately stopped me and came to remove it herself. I had to go outside for 20 minutes to remove my mask so that I wouldn't hyperventilate. I was curious about this experience and I wound up here. Needless to say, I'm not alone. I would never ever get this drug again!",Toni
7,Prochlorperazine,Anxiety,1.0,Taken for 1 to 6 months,"September 2, 2021",0,"I had three days of severe dizziness for three days and had to phone 000 for an ambulance. The Doctor diagnosed vertigo and I was given an injection of prochlorperazine. Straight away I had sweats, panic, tremors and just couldn't wait to get home. I was given a prescription for nine days tablets of the same which I took as it was getting rid of the vertigo. My G.P. then gave me a month more. It is only now on reflection that I realize I had none of these awful effects before the vertigo . I have been left with internal tremors which my Doctors have prescribed a low dose of a blood pressure tablet which would you believe has a side effect of dizziness!!! I won't be taking those! One tip...I have found that a drink of wine stops the fluttering and makes me calm....not to excess but I'll rely on that and hope it will subside over time. I'll be careful never to be given prochlorperazine ever again. Reading these reviews has reassured me that it was that terrible drug.",Julia
8,Prochlorperazine,Anxiety,1.0,Taken for less than 1 month,"August 26, 2021",1,Compazine (prochlorperazine):This by far the worst drug ever! I was given this drug in the ER for a headache I had for over a week due to high blood pressure. It’s been over 36 hours since they gave me compazine & Benadryl and I’m still not 100% normal. I’m just ready to get back to my normal routine with my family. This drug sucks,Itsme
9,Prochlorperazine,Anxiety,1.0,Taken for less than 1 month,"August 17, 2021",2,Compazine (prochlorperazine):DO NOT TAKE!!!!  I was actually given this for chest pain. I could have clawed my own skin off and was so annoyed by  everyone. Complete psychosis. It took 48 hours to wear off and about ten doses of benadryl.  Absolute worst experience ever. Dr acted like it was no big deal and the nurse said most everyone has a bad reaction to it. I ask why they would anyone give this drug. Certainly didn’t help my chest pain. Dumb dumb dumb,Jacob
