,drug,condition,rating,duration,review_date,upvotes,review,username
0,Propranolol,Arrhythmia,10.0,Taken for 6 months to 1 year,"January 15, 2022",0,I’ve been taking this medication for a year now. No side effects at all. Works great.,Charidy
1,Propranolol,Arrhythmia,1.0,Taken for less than 1 month,"January 5, 2022",1,Started on 10 mg propranolol twice daily 3 days ago for PVC’s (ectopic heart beats) within 30 minutes I felt flushed snd then so jittery I thought I’d crawl out of my skin. I thought maybe I just needed to adjust to it so kept going. By day 3 I was a mess. Terrible anxiety snd more skipped heart beats. Cardio took me off it. Glad it works for some but not for me,Hudson
2,Propranolol,Arrhythmia,7.0,,"October 25, 2021",0,"Take 10 mg of propranolol at night for treatment of PACs, also helps with blood pressure, seems to help a lot, I still have extra heartbeats, racing heart at times,& don't notice any side effects at low dose.",Char
3,Propranolol,Arrhythmia,10.0,Taken for 2 to 5 years,"October 4, 2021",25,"Hi all,I hope this helps a lot of people I've searched and searched for information about ectopic heart beats, PVCS ,skipped beats what ever you wanna call them..I'm 31 healthy male and started boxing day 2018 having every day PVCS like really bad daily. Since then to now I've had 2 monitors ehcos and plenty of ECG and discharged from the cardiology twice as they say they are benign. I was put on propranolol started off on 10mg 3x daily then 20mg 3x daily to even 40mg 3x daily when they was at their worse.I still have them every day and they are a pain but propranolol really helps me out so much makes me who I was before these things came along.PVCS really got me down but the grass really is greener you just need to find the balance.. I hope If there are any young people looking for information this helps there are treatments and your not ill there just misfiring like a car engine does all the beat guys",Jay
4,Propranolol,Arrhythmia,,,"September 17, 2021",3,Just want to mention to those suffering from heart rate conditions after Covid. Please read to the search below. It is very helpful to understand and control the situation together with your prescribed Inderal.  Please do an internet search  covid19 and postural orthostatic tachycardia syndrome are (POTS),Thea
5,Propranolol,Arrhythmia,3.0,,"September 10, 2021",2,"3 days in on a tiny 10mg x2 (20mg total) for arrhymia , I started feeling strange,  lethargic,  depressed, and waking in the middle of REM cycle with heart pounding.I did some research, this medication crosses the blood brain barrier (other beta blockers do not) where it has a direct effect on the central nervous system.  I figured better safe than sorry so even only being on for 3 days I'm doing a quick taper off,  30 to 20 on the first day then waited a few days to drop to 15 , and dropping by 2.5 every 4 days since.   I am down to just 7.5 mg per day I still feel all the side effects that started on day 3.  But I think somewhat careful taper is smart.  More proof you need to do your research and don't trust your doctor knows what medicines actually do. This is a very old drug , there are many better beta blockers that have been developed since. I was told this was a heart medication designed to stop irregular heartbeat,  wasn't even told of any potential side effects or Withdrawals.",Patagonia23
6,Propranolol,Arrhythmia,10.0,Taken for 1 to 6 months,"August 20, 2021",8,I’ve been on propranolol for a few months now and I can honestly say it is a miracle drug. I developed Afib out of nowhere one day and my heart specialist recommended propranolol 10mg. I still have bouts of afib every now and then but nothing like how it was. Seems to only flare up when I get extremely anxious.,Ken
7,Propranolol,Arrhythmia,7.0,,"June 12, 2021",19,"Have been taking 120mg propranolol a day for over a year now. Was prescribed because my heart palpitations suddenly got much much worse, out of the blue, to the point I couldn't function. Propranolol has calmed the horrible, constant palpitations, however I still get flutters fairly regularly, although on a bad day I can have them off and on all day. But it's definitely improved the palps, just hasn't wiped them out completely. But overall, propranolol does help calm the heart flutters. Side effects I've noticed? not sure. But I seem to tolerate propranolol better than I did Metroprolol, which made me feel nauseous. Propranolol doesn't do this to me. So if you're like me and you're reading up on here because you're a big baby afraid to take a new med, please don't worry about this one unless you already have low blood pressure as the drug can lower your blood pressure. But apart from that, imo, you'll be okay.",danicali
8,Propranolol,Arrhythmia,1.0,Taken for less than 1 month,"April 13, 2021",4,This is making my heart rate drop into the 50’s but I’m giving it more time to work,Erick1521
9,Propranolol,Arrhythmia,,Taken for 1 to 6 months,"December 20, 2020",7,"Works well with keeping my pvc's at a minimum. And I don't get near as many migraines or headaches. Currently taking 20-30mg a day. Hopefully won't have to take it forever. My anxiety had increased tremendously, so my cardiologist decided to put me on this one. It has been about 3 months. Although I don't care for the side effects of being moody, I'd still say the good outweighs the bad.",Anonymous
