,drug,condition,rating,duration,review_date,upvotes,review,username
0,Dulera,Asthma,9.0,,"April 21, 2021",9,"I use low dose 100ug, corticosteroids have side effects including OTC. I've  tried all brands and Dulera works best for me. My pre existing conditions did come to surface.I treated those with Flonase .I get really bad year round allergic rhinitis and post nasal drainage is a pain. I have moderate to severe allergies, asthma. Warning state to contact doc if I’m exposed to certain illness, having certain condition. I was worse when I combined with certain prescription so I started to keep a log. I had many issues before I started taking dulera. It’s hard to control environment. It helps me reduce use of my rescue.I also read the instructions-shaking well, rinse mouth, gargle after use. I brush my teeth usually 30 minutes later.I have tapered my dose also to take periodic brakes . Using my rescue during that time. Keeping my immune system up as best as I can allows me to continue this inhaler. I’ve just tried so many and got tired of not being able to get enough oxygen.(hypoxia as one ER called it)",Anonymous
1,Dulera,Asthma,1.0,Taken for less than 1 month,"January 14, 2021",7,"I have had asthma since I was a kid. I was given Dulera when my insurance wouldn’t cover Advair and I wish it did. I have been using Dulera for the past 4 weeks. The first week was fine but these past three weeks, absolutely terrible. I have created more mucus than I have ever created, and it’s to a point where it makes me choke. I also have blood in my mucus, which I have gone to my doctors about. I have taken so many covid tests because I have been coughing my head off and having intense tightness of chest. My blood pressure and heart rate shot through the roof, I developed a tremor. I have had more things happen to me from this one inhaler it’s nuts.",cj
2,Dulera,Asthma,,,"January 13, 2021",3,"I was prescribed Dulera as an alternative to Advair, when my insurance stopped covering it. I was skeptical at first, having positive response from Advair. After 2 weeks of taking Dulera, not only did my asthma symptoms worsen, but I started experiencing other horrible symptoms, including chest tightness, heart palpitations, severe headache, nervousness, foginess, and fatigue. I also developed excruciating abdominal pain, that radiated from front to back, similar to severe period cramping, but deeper and throbbed. I immediately stopped taking Dulera, but this cramping pain never went went away. I eventually went to several specialists, including an OBGYN, who can only conclude that I had a dormant/ mild form of endometriosis that was exacerbated by the Dulera. Years later, I still suffer from this pain, with no cure or remedy- I can only hope to find others with a similar story, so we can file a class action suit against them. This medicine is dangerous.",Marsha K.
3,Dulera,Asthma,1.0,Taken for less than 1 month,"September 17, 2020",0,Put it to my mouthPushed the inhaler releaseFell unconscious Wife slapped me (Hard)I came toIt almost finished me off. I had my defibrillator implanted before this thank God! Thumbs Down ,AlertNowThanks
4,Dulera,Asthma,10.0,Taken for 2 to 5 years,"March 23, 2020",12,"I've suffered from asthma since childhood and have been treated with, as I know being a pharmacist, almost every type of asthma medication available.  Currently, I use Dulera as needed instead of albuterol.   The current US treatment guidelines for asthma are old and due for an update which I anticipate will advocate this strategy.  During Spring season I begin taking Singulair and begin using Dulera routinely, twice a day everyday, until pollen levels go down.  This combination is so effective for me during Spring time, it is no longer a dreaded time of year.  In fact, allergy symptoms that add insult to injury, so to speak, are virtually a thing of the past.  Because of Singulair I no longer require antihistamines in the Spring and frankly, may be able to ""get by"" with using Dulera only as needed.",Pharmacist
5,Dulera,Asthma,2.0,Taken for less than 1 month,"March 22, 2020",6,"After an asthma attack a month ago. A doctor at urgent care prescribed me this. A week later I saw my allergist who told me to stop dulera. She put me on singulair. I was not able to pick up my prescription so I continued using dulera. The first week of using it, I could breath a lot better however- now after a month use. My body has experienced chest tightness, lung twitching & heart palpitations. My body feels off. I don’t like the chest tightness and weird heart palpitations. I will be discontinuing this until I get my other asthma medication.",Mimi
6,Dulera,Asthma,,Taken for less than 1 month,"February 27, 2020",10,"I suffered with asthma my entire life, and was intubated several time, nothing I used worked. You guys changes my life because of Dulera my asthma is under control and that was some I struggled with for over 30 years.",Isa
7,Dulera,Asthma,10.0,Taken for 1 to 2 years,"January 4, 2020",2,I've had asthma my entire life to the point I would pass out from being unable to breathe and many times felt I'd never make it to the hospital. Dulera is the first med in 50 years to completely free me from this condition. I've been attack free for 2 years. Now the pharmacist tells me it's been discontinued. Please tell me that's not true,J
8,Dulera,Asthma,8.0,,"December 6, 2019",0,"I've been on Dulera for the past year or more. It helped significantly. However, I've used up the coupon where it only costs $15 and now it is $405 and I can no longer afford it. After reading that others have had shaky hands, heart palpitations, and weigh gain, I'm realizing that I have those issues too and it might be the Dulera. I guess I'll find out since I'm not taking it anymore. :(",SuzyQ
9,Dulera,Asthma,7.0,Taken for 1 to 6 months,"October 3, 2019",2,"I have severe asthma and my heart stopped on father’s day this year’ from having a asthma attack. It’s the second time I’ve gone into cardiac arrest from an attack & waking up the next day on life support.  Since June I’ve been on Dulera taking 2 puffs twice a day, & it has helped tremendously’ I can breathe!! I’ve gone from constantly short of breathe’ waking up in the middle of night in attacks’ it was awful., the only thing that’s scaring me tho is’ I’m gaining weight’ I’ve put on about 10-15 pounds since June’ Without changing my diet, I’ve noticed I feel hungry a lot’ I’ve always had a little weight on me’ but I don’t want to get to that point where I’m depressed about my weight’ I already get that way as it is.. I’m just on the fence of what I should do.",Amandalee
