,drug,condition,rating,duration,review_date,upvotes,review,username
0,Aleve,Back Pain,1,Taken for less than 1 month,"February 13, 2022",0,"After taking this drug for back pain, I had the most painful experience of my life, more painful than back surgery. I couldn't walk for 6 hours. As the drug began to leave my system things began to get better. I had to wait 96 hours to take Ibuprofen again which is my miracle for pain. During the hours the Aleve was leaving my system I got slowly better. I followed all the rules. No alcohol, nodrugs that might interact but this drug was a total disaster. These drugs are both nsaids - they should react similarly. But there has to be a difference in the way they mix them or the non-activeingredients. Any similar experiences?",Cowgirl15
1,Aleve,Back Pain,1,,"January 6, 2021",8,"This has to be the most unproductive company on the face of this planet, this product does absolutely nothing for you other than give you false hope. I can’t for the life of me understand how they are even allowed to put back relief on the front of their bottle. Not only is that theoretically impossible for these generic pills to fast target your back pain but it actually doesn’t do a single thing to benefit your body in any way shape or form.",Anonymous
2,Aleve,Back Pain,9,,"October 20, 2020",6,I love it works miracles on my back and neck,Babe
3,Aleve,Back Pain,9,Taken for less than 1 month,"June 13, 2020",15,"I had real lower back muscle pain for two weeks. Dr gave me Cyclbenzaprine-- not good. Saw an Aleve commercial on TV, it was a back pain reliever. Within 15 minutes of taking it sharp pain was reduced dramatically. That's all I can tell you. I still am on it and have no bad comments.",Rob
4,Aleve,Back Pain,10,,"February 29, 2020",15,I've worked hard all my life. I've had disk problems in my back for 4 years now. My doctors given me this and that...but nothing really worked. I've been using Aleve now and it really takes the edge off!!!,Beatle Jim
5,Aleve,Back Pain,10,,"October 27, 2019",15,"I have osteoarthitis in both of my hips, knees, and two herniated discs in my lower back, I go to the gym three times a week and at times, those areas will get sore, after taking the Aleve for back and muscle pain, it relieve it great!",C Temptation
6,Aleve,Back Pain,10,Taken for less than 1 month,"April 23, 2019",24,I have been taking norco 5mg a day for a bad lower back pain and of course this really did remove all pain. But many countries don't have this drug so my pharmacy said to try Aleve. I was so surprised that I still can't believe that it took 95% of my pain away. I travel with Aleve and won't have problems in bringing drugs into other countries.,ken
7,Aleve,Back Pain,1,Taken for less than 1 month,"February 16, 2019",12,Aleve back and muscle pills are garbage they don't work. Purchased the product twice and both times they did nothing even after taking 3 both times straight garbage should discontinue product rip off with a hyped up name.,Joe
8,Aleve,Back Pain,6,Taken for less than 1 month,"July 10, 2018",10,Relieved back pain but resulted in  bad heartburn,Rhonda
9,Aleve,Back Pain,10,,"December 16, 2016",48,Aleve is great for back pain.I take one pill in the morning. And one at night before bed time.no pain at all.That's what my M.D. told me to take.thanks Aleve .great job,Big kj
10,Aleve,Back Pain,1,Taken for less than 1 month,"December 9, 2016",11,Aleve made me itch from head to toe within 30 minutes of taking 2 pills.  It was the absolute worst experience.  The pain was more tolerable than the itch.,Prissyd
11,Aleve,Back Pain,10,,"September 26, 2016",73,"Two days ago I was getting out of my car . I slipped on the gravel, twisting and slipping the lower discs in my back. For two days I haven't been able to move without excruciating pain . I have been crying for two days I've taken Advil, Tylenol, Motrin muscle relaxers. Just a few hours ago my friend cones over hands me two aleves and some warm water. Within 30minutes I'm not lying the pain is gone. Thank you aleve, i promise to pass the word of your greatness.",Breanzelle
12,Aleve,Back Pain,9,Taken for less than 1 month,"July 24, 2016",30,Not as good as THC but very effective for me. One wants a solution that allows your mind to not constantly be aware of pain. This does the job for me.,Anonymous
13,Aleve,Back Pain,4,,"January 3, 2016",23,"I have severe scoliosis so my pain is pretty strong most days. My doctor recommended Aleve so I take 2 caplets (440mg) and there is a bit less pain for a few hours. The package says it works for 8-12 hours, but I'm lucky if it stretches out to 5. Takes my pain from a 7 (out of 10) to a 3 or 4. And then I can't drink for another 8 hours which is no fun.",Steeeeve
14,Aleve,Back Pain,1,Taken for less than 1 month,"December 9, 2015",23,It does absolutely nothing for my pain.,Itsmemom
15,Aleve,Back Pain,4,Taken for 6 months to 1 year,"December 4, 2015",23,"This should be the first thing you take when you realize you have back pain. At the very least this will take the sharp edge off and give you enough time to get to Urgent Care or an immediate doctor appointment. I have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something I can buy OTC.",L5-S1 hern/nerve damage
16,Aleve,Back Pain,9,,"November 27, 2015",51,Female 20 years old - I recently started a new job as a cashier. I started to experience pain after having to pick up heavy packs of water bottles and other heavy items. The pain was all in my lower back. I went to visit my chiropractor and that would alleviate the pain until I went back to work. I would rate my pain on a scale from 1 to 10; a 7. It was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath. Today was the first day I took Aleve when I went to work and my back pain was almost completely gone. I was able to move around without being uncomfortable. I am extremely satisfied with the results.,Kris1369
17,Aleve,Back Pain,1,,"October 28, 2015",22,"I started taking this per my Doctor instead of Tylenol for lower back pain.  I had stomach issues.. could not eat, vomited, severe itching on the legs and armsI ",catlover82001
18,Aleve,Back Pain,9,Taken for less than 1 month,"October 2, 2015",65,Male - 33years old. Excruciating pain in lower SI region of my back following an aggressive 30 mile bick ride and a few days of surfing. Woke up the next morning with shooting pain in low back which progressed to shooting pains running down my glutes and referred pain to the hip flexor region. For two weeks this was extremely painful and did not subside even w/ ice applications and finally chiropractic visits 5 total and lots of Advil. Per the suggestion of my wife I tried aleve (2 pills for first dose and 1 pill each dose after that. After 2 pills I noticed a HUGE difference and significantly reduced pain as well as better range of motion as inflammation had gone down. I highly recommend for anyone with back pain as it really helped me!,Nick T
19,Aleve,Back Pain,1,,"September 1, 2015",24,I took two aleve and my back pain hasn't even lessened. Still hurts the same after 4 hours and it's supposed to work for 8-12 hours.,Karla Red
20,Aleve,Back Pain,10,Taken for less than 1 month,"June 13, 2015",32,"I don't know what I did but whenever I jumped on the trampoline with my kids, I was experiencing some weird pain in my upper back.  I put some a535 on my back. That didn't help. The next day it still hurt!! Then I took two aleve pills and the next morning I was ok. And I continued this way for a few days and my back was all better!!! Thanks aleve! ",That gal with a bad back
21,Aleve,Back Pain,10,Taken for less than 1 month,"March 9, 2015",52,"Have bulging disc at l-1 ,spinal stenosis at t-10-11 ,c-6-7,didn't  want to take narcotics. Have been taking Aleve for 7 days, excellent relief. Hope it lasts.",mike j.
22,Aleve,Back Pain,10,,"February 4, 2015",34,Best one out there.,KJMason
