,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ciprofloxacin,Bacterial Infection,1.0,Taken for 1 to 6 months,"November 24, 2021",3,"My sister was given it as part of a Lyme disease treatment.  When a Lyme patient takes an antibiotic it causes something called a Herxheimer reaction as it fights the disease. My sister took Cipro (500mg x2 or x3 per day) she immediately felt horrible. She had dreadful muscle pain, couldn't raise her right arm and was really sick however she had never read about being floxxed, the name given for the horrible side effects of floroquinolines She assumed it was the famous ""herxing"" , so she continued taking it for 30 days.  When she had her regular phone appt after a month w/ her Dr, he immediately said It's not a herx, you've been floxxed. This was 10 years ago and she's still in pain and can't lift her arm.  One of the strangest and most difficult side effect was she started to have audio hallucinations. She constantly hears radio, church bells, vacuuming, gongs etc all the time. She doesn't hear ppl talking, not schizophrenic. Does anyone else get this?? Pls msg me if you do!!",Julia B
1,Ciprofloxacin,Bacterial Infection,,Taken for 1 to 6 months,"October 1, 2021",0,Doesn't cure the illness after been used for six months,Adeyeye timi
2,Ciprofloxacin,Bacterial Infection,6.0,Taken for less than 1 month,"September 25, 2021",1,"Cipro (ciprofloxacin):This was a bit scary to be on because of possible side effects but it worked. I had a severe inner ear infection for a year. It started with sinus infections, then inner ear. It went to my tonsil and adenoids.  A Z-pack, then 10 days of normal antibiotics, then Cipro last. I was nauseated the first dose but ate some crackers and it settled. I followed the rules to the letter of how to take and what not to take with it. I was also on a corticosteroid so was very careful not to strain or work too hard. Had no real problems with this.",Blue jeans
3,Ciprofloxacin,Bacterial Infection,1.0,,"April 27, 2021",0,"I was given Cipro for a urinary tract infection, one a day before bedtime.After taking the third pill I woke up during the night unable to move my right arm at all.I convinced myself that it was going to be all right and I was able to go back to sleep.  I woke up a couple of hours later unable to move my left arm and within hours I was feeling pain down both legs.The movement came back within hours, but I had pain in all of my joints.I refused to take anymore and the doctor tried to give me another drug of the same family, which I also refused.I continued to have shoulder pains and elbow pains for some time.The pain that had gone down my legs settled completely in my knees.Slowly, over the last many months, the pain has gone from my other joints, but both of my knees are totally destroyed and lock constantly.I went from being active to being unable to climb stairs.",Jodie
4,Ciprofloxacin,Bacterial Infection,1.0,Taken for less than 1 month,"October 22, 2020",1,"Off of one dose I got all the bad side affects hours later sweating, diarrhea, vomiting, skin turning pale and it felt like I had pins and needles sticking in my head. I can't believe that I have all these side effects on top of food poisoning it seems very dangerous.",Eve
5,Ciprofloxacin,Bacterial Infection,1.0,Taken for less than 1 month,"August 25, 2020",8,"I took Cipro the first day a prescribed, by the next morning I was uncontrollably itching from head to toe, red as a horrible sunburn, heart was racing a mile a second.  I went back to doctor and spent 4 hours on IV and a couple injections later I went home with a horrible headache.",DD
6,Ciprofloxacin,Bacterial Infection,10.0,Taken for 1 to 6 months,"August 17, 2020",5,I had a bacterial infection in my lungs that I fought with for eight months. Since I have COPD I really thought it was the end of me. Ciprofloxacin saved my life. I had to take three rounds of it and really had a bad experience with the side effects on the tail end of the third round. But I’m finally getting better and I’m not smothering anymore.,Katey
7,Ciprofloxacin,Bacterial Infection,9.0,Taken for less than 1 month,"June 26, 2020",9,"Did not experience any side effects. Took for 2 weeks twice and day for urine/bacteria infection. I'm 19 and petite and was concerned about the heavy amount of reviews concerning the joint issues reviewers were experiencing, but have not experienced heavy symptoms.",ave23
8,Ciprofloxacin,Bacterial Infection,7.0,Taken for less than 1 month,"April 12, 2020",5,"Had food poisoning 4 weeks ago tried treating earlier but doctor insisted I ride through it with my symptoms such as diarrhea, dehydration and nightly chills hence the length of time.  It did not get better and I was so fed up so took cipro today feeling generally tired, nauseous diarrhea / tummy pain stopped immediately (aware of the side effect as I had used it years ago) hoping all other symptoms will clear by day 3.",Bn
9,Ciprofloxacin,Bacterial Infection,10.0,Taken for less than 1 month,"February 16, 2020",3,"I have non sexually transmitted Epididymitis so was prescribed 4 weeks of Cipro.  Took a while for it to work. Around day 8 it was 95% gone. Doctor insisted many times this would happen between 1-2 weeks and NOT to stop the antibiotic before the 4 week deadline. Side effects - no having the same energy and stamina in the gym, slightly light headed, and needing to sleep 30-60mins more a night. My bowel movements are no more frequent.",Steven
