,drug,condition,rating,duration,review_date,upvotes,review,username
0,Efudex,Basal Cell Carcinoma,,Taken for 1 to 6 months,"January 26, 2022",0,Using Efudex for Basal Cell Carcinoma (BCC) on my nose. Have finished 24 days and plan to go for 4 more days. My dermatologist feels if it hasn’t done the job then it most likely will not work. My nose has been red since week one then the affected area scabbed over during week two and three it was uncomfortable but tolerable. Since I began week four the pain has become intense at night almost intolerable. I am trying to soldier on but it is very stressful. I am using Tylenol and Benadryl but nothing eases the pain but ice packs.  It feels like someone is driving needles or glass in my nose it’s Brutal. My phone doesn’t recognize me anymore.,Mary
1,Efudex,Basal Cell Carcinoma,5.0,Taken for less than 1 month,"October 8, 2021",0,"I was told it won't work on a squamous carcinoma. Applying to the tip of my nose for 3 weeks and only slightly red with no discomfort, hoping its not irritating a squamous cancer! on my face for 10 days so far and red and flaky but no real discomfort. some the stories on here are horrific but so far so good. will do one side of my face and evaluate the benefits. big fan of freezing them off so will weigh it all up.",kzn
2,Efudex,Basal Cell Carcinoma,8.0,Taken for less than 1 month,"July 6, 2021",7,"My partner and I started applying Efudix at the same time. Me on my nose and forehead, he on the back of his neck. We've both used it before on specific lesions and had good results. He  started showing red spots within 5 days. I had to wait 10 days before anything showed up and I've taken photos of our journey together! His skin is far more reactive (skin damaged?) than mine and after 3 weeks the back of his neck is a red, sore mass with oozing parts. Time for him to stop treatment and move to recovery. I've applied Efudix to the odd BCC on his back and his skin has responded well and cleared up beautifully. I'm interested to see how the larger area of his neck will respond. Me, I'm still going. Some areas have reached erosion stage and are itchy while a couple of new red spots have just emerged. Looks like I'll be applying for another week until they scab over. Looking forward to the new skin!",Elle
3,Efudex,Basal Cell Carcinoma,10.0,Taken for less than 1 month,"August 8, 2020",49,"Ten years ago I used Aldara over my whole face. 20 minutes of pain after each application and a violent reaction after 9 days. Face looked as though I had been in a bad fire and scared the kids at school. It did heal and I looked 10 years younger.I have just finished 3 weeks on Efudex and 3 weeks healing. Skin looks like the proverbial babies bottom and very happy with the results. This time I treated whole face, ears and parts of neck. Applying the Efudex was less painful than the Aldara, even a little bit soothing. Hard to sleep with sore ears. Tried all kinds of moisturisers and they caused stinging for 5-10 minutes. Used vaseline 2-3 times daily and it was by far the most satisfactory. Very pleased with the results. Also treated both arms at the same time. Used 3 tubes of Efudex on this session. Always worked outside and lots of boating. 76 years young now after this treatment.",Boatman
4,Efudex,Basal Cell Carcinoma,,Taken for less than 1 month,"April 20, 2020",39,"I am up to my last day of treatment, day 21. I have treated my entire face once a day with efudix and would never do it again. After the first couple of days red spots start to appear, after a week my face looked like a severe case of sunburn and felt like it. The intensity of the redness increased along with constant burning. By day 12 I wad ready to give up but reminded myself I was over half way. I didn't know how I could bear to apply more efudix but perseverance and willpower has been on my side.It is a painful experience which I would only recommend  as a last resort.Even today I dread putting the cream on for the last time but after that I know each day will be a slow pace of healing. I look forward to the end result and hope all the discomfort is worth it",Mango
5,Efudex,Basal Cell Carcinoma,10.0,Taken for less than 1 month,"April 12, 2020",26,"I'm 69 and using Efudex for the second time. Just as in 2008, I have been recommended for 21 days of Efudex cream, 2 applications per day, followed by 21 days of twice a day applications of Desonide 0.05%.I am applying the cream broadly on my forehead back to my receded hairline, my sideburn area and my nose. After the first week most areas turned blotchy red and grew increasingly sore and itchy. I have experienced mild stomach upset and my face feels hot.  It started to effect my ability to sleep around day 16. Almost packed it in on day 19 but read these posts and decided to persevere for 3 more days. It worked very well back in 2008 and I'm looking forward to the ordeal ending and getting similarly good results.",Itchy Dick
6,Efudex,Basal Cell Carcinoma,10.0,,"January 31, 2020",64,"Face was covered in about 7 areas after years of sun damage from working in the sun, used Efudex for 15 days applied 2 times a day till the 40mgs tube ran out , week 2 the pain was not nice but honestly go thought it it is worth it ,Like having a face lift looking 10 years younger !!! Believe me it is truth .Using it on my arms now just started For any one going though a course, it really is impressive cream",Snozz
7,Efudex,Basal Cell Carcinoma,7.0,Taken for less than 1 month,"January 2, 2020",32,"Have found using efudux apply only every 3 or 4  th day  seems reaction not so bad and it will do the job in same amount of time  ..works for me",Sun burnt  Aussie
8,Efudex,Basal Cell Carcinoma,8.0,,"December 20, 2019",40,"I was prescribed this cream to treat BCC on my nose.  I had a red spot with suspected basal cell carcinoma. My dermatologist wanted me to treat my entire nose, to get any spots that hadn't emerged yet.  I put on twice daily for two weeks.  It took about a week for anything to happen, but then the spot turned red.  Soon my entire nose turned pink.  At day 14 my nose was red, with purple areas, blisters, and depressions.  I had to put Vaseline on it to tolerate the pain.  It felt like someone had burned my face with a hot iron. The skin was pulled taught and I was afraid of scarring. It has been 8 weeks after the application stopped.  It is still a little pink.  Unfortunately it did not get my spot, it is not superficial enough.  The cream redness lasts longer for me than I anticipated.   It was an 8 week process for me and still have a pink nose. hope it isn't permanent.",Rudolf
9,Efudex,Basal Cell Carcinoma,10.0,Taken for 1 to 6 months,"August 10, 2019",75,"I've had surgery for basal cell over the years and had an area near my nose. I used efudex as directed. Sure, it looked horrible after treatment it was a bit lumpy like it was scarred. I thought it didn't work. The area, came back totally cancer free and the lumpy look went away. You would never know it was treated. Well worth it. I'm currently using it on my cheek and hoping for the same result. ",Dans62
