,drug,condition,rating,duration,review_date,upvotes,review,username
0,Finasteride,Benign Prostatic Hyperplasia,1.0,Taken for 2 to 5 years,"March 30, 2022",1,"Prescribed in 2019 for prostate. I took without researching out of desperation. Fast forward to 2022. I have been on a downward trend, self-admitted to hospital for a week on the beach depression , anxiety off the charts, everyday was a push. Hard to smile, couldn't barely get hard at all, didn't care about caring. Hair has been growing in thick. Off this stuff for a month keep the hair give me back my life and joy and undo all the damage to me. DO NOT TAKE THIS MEDICATION. More than likely the people pushing it aren't taking it. No different from corner drug dealers! OUR SYSTEM IS BROKEN",Richie
1,Finasteride,Benign Prostatic Hyperplasia,1.0,Taken for 6 months to 1 year,"March 16, 2022",2,"I’m 76 years old with an enlarged prostrate. As urination became more difficult my doctor prescribed finasteride. He gave me no verbal warning but I read the  side effects on the prescription instructions. It did say  may affect sexual desire."" I trusted my doctor and thought it was just one of those extreme warning we see all the time.  I took the medication for six months on a daily basis. After six months I became to realize my erection was difficult to achieve.  I continued to take the medication thinking the problem was age related no the medication. After 6 more months I was unable to achieve an erection at all and unable to have an orgasm!  My prostrate did shrink but so did my penis and testicles! At the gym I was embarrassed by my small penis which shrank to half the size it was before taking the medication!  My first alarm was when I was unable to achieve orgasm by oral sex regardless of how long I tried!",Neal
2,Finasteride,Benign Prostatic Hyperplasia,1.0,Taken for 1 to 6 months,"November 23, 2021",3,"If your taking this poison for hair growth, I urge you to stop! Bald is better than the side effects. I took it for enlarged prostate but decided it wasn't a good option. I'm 71 so ED isn't an issue for me BUT after two months I started getting headaches that wouldn't go away. Then 4 days into the headaches I woke up to dizzy. I'm not talking a little dizzy, I'm talking big time spinning room dizzy that felt like the worst drunk of a life dizzy. I was 24 hours before I could walk to the bathroom without falling. I'm reading that only 2% experience the side effects. I'm betting it is a lot higher than that. Stop NOW and hope you get better. It has been a month since I took any and I am still having light headed days and minor headaches. Hopefully this isn't permanent.",Monty
3,Finasteride,Benign Prostatic Hyperplasia,10.0,Taken for less than 1 month,"November 12, 2021",0,"I have had typical symptoms of BPH, very weak steam, up 2 or 3 times a night, not getting a full discharge.   I started taking Finasteride 5 mg 3 days ago and I'm astonished and how quickly it has worked.   I now have a fairly normal stream, and last night I got a full night sleep with no interruptions for the first time in months.    I did not expect this kind of result this fast, but I'm super pleased, and no bad side effects.",Marc
4,Finasteride,Benign Prostatic Hyperplasia,1.0,Taken for less than 1 month,"October 22, 2021",4,This stuff is horrible. Stopped using it after 3 weeks. Had no more sexual desire of any kind. Just as bad was the overwhelming feeling of doom and negative thoughts! Did not use it long enough to get the breast enlargement or extreme body hair growth! I think urologists prescribe this as an easy out when they no nothing much about the prostate gland and related problems!,anonymous
5,Finasteride,Benign Prostatic Hyperplasia,1.0,,"September 15, 2021",22,"Was prescribed this along with flomax for bphinitially urine flow improved  after few weeks, but I began to have sexual issues - poor erections at first then on rare occasion when I managed that no semen came out finally gave up and I am on cialis for bph with a herbal supplement saw palmetto  everything  back to normal.  Finasteride never again",Alan
6,Finasteride,Benign Prostatic Hyperplasia,2.0,Taken for 6 months to 1 year,"August 19, 2021",4,"I've been taking finasteride for 11 months to reduce my enlarged prostate.  I was terrified at first to take it due to the side effects I read about.  At first I tried several supplement pills but they all didn't work.  Then I tried Flomax but made my nose stuffy. Then Tried Cialis but it gave me flu type symptoms. Unfortunately after 11 months I see little improvement.  However, it seems my stream is a little stronger when I urinate but I still get up multiple times to urinate.  But having insomnia doesn't help either.Fortunately, I have had zero side effects using Finasteride which I'm happy about.  Absolutely no effect on my sex life.I'll continue taking it for the next several months to see if I needed a year to see any improvement but I'm doubtful.  I'll have to go back to the doctor and try something else.",Pat
7,Finasteride,Benign Prostatic Hyperplasia,1.0,Taken for 10 years or more,"February 10, 2021",6,"I was prescribed Finasteride years ago for BPH. Now I have all side effects listed above except PD,  and BPH",dk
8,Finasteride,Benign Prostatic Hyperplasia,1.0,Taken for 1 to 6 months,"November 11, 2020",7,Took finasteride 5 month after being diagnosed with BPH had to give up after never having erection issues found myself limp with no interest in sex. On the rare occasion I did manage to have sex there was no semen at all have now given up as feel cure worse than initial diagnosis,Spidey
9,Finasteride,Benign Prostatic Hyperplasia,2.0,Taken for 6 months to 1 year,"October 27, 2020",6,"Instead of an erection, I achieved a down-erection.  My erection began to point towards the ground.  I had the erection but it pointed downward instead of upward.  Had never before experienced that problem.  I was in my late 50's at that time. However; I will admit it did began to bring my PSI down.",Don5163
