,drug,condition,rating,duration,review_date,upvotes,review,username
0,Tamsulosin,Benign Prostatic Hyperplasia,10.0,Taken for less than 1 month,"March 15, 2022",0,I took tamsulin 1 day  and the side effect of tamsulin is I have not slept for two days but it is very effective in prostate pain overall great medicine but the only side effects happened to me  was I couldn't sleep,SAADAT
1,Tamsulosin,Benign Prostatic Hyperplasia,,,"February 24, 2022",1,"At age 76 was put on this drug some 3 months ago for elevated PSA levels and frequency of urination - particularly at night. It certainly reduced the frequency of night time urinations and dropped my PSA levels to the high end of normal.However - the side effects, noting that I still compete at State National and International level in cycling with wins at both State & National level. The first noted side effect was extreme lethargy first thing in the morning. On the bike muscle soreness to the point it was affecting performance, finding it difficult to get an av. power output above 170 watts. Heart rate would go to about 140-145 and to move it past there took a herculean effort. Would take at least 2-3 days to get over a session such as this. With reference to the doctor went off them for 2  weeks. Toward the end of that 2 week period could take HR to 160 and av power output of 214 watts. Would be over that within 36 hours. This drug certainly affects athletic performance.",Anonymous
2,Tamsulosin,Benign Prostatic Hyperplasia,1.0,Taken for 1 to 6 months,"February 22, 2022",0,"Flomax (tamsulosin):I took the drug to stop frequent night time bathroom visits. It increased not decrease my visits. Side effect was to deformation of my penis. The base has became thicker, the middle more narrow and the tip as it was before taking the drug. There is also a loss of sensitivity.",Patient
3,Tamsulosin,Benign Prostatic Hyperplasia,1.0,Taken for less than 1 month,"February 11, 2022",1,"Flomax (tamsulosin):I was prescribed this after finding out I have rather early onset BPH. I'm only 30, I was given this drug as a trial of a week, and I was afraid it'd make me lose bladder control or something so I put off taking it for a bit, but decided the effects of BPH were annoying enough to finally try it. While I'm happy to report that, I did not pee myself, I am unhappy to report that it didn't really help either. It's really hard to tell, and I am trying to be fair, because from the second I took this pill, I have felt like I have a horrible flu. My head hurts, my teeth ache, my body is fatigued. I couldn't even masturbate to pass the time because of this drug. I would take a pass on this drug unless you are absolutely desperate. I would have very much liked to tell you the pros and cons after a week, but I won't be taking a second pill.",Whatever
4,Tamsulosin,Benign Prostatic Hyperplasia,,Taken for 1 to 6 months,"February 9, 2022",0,It has definitely improved flow and I am pretty sure erectile function too.  Not yet experienced dry climax.I reckon it makes the penis look bigger too.,BiggusDickus
5,Tamsulosin,Benign Prostatic Hyperplasia,8.0,,"February 8, 2022",0,"So far this medication has been  good, easy urination, strong urine flow, no pain while urinating, and now going to the toilet only one time at night . First week I was having facial pain, mostly right side, other than that no others side effects. 3 weeks taking this pill and good outcome so far.",Manatee
6,Tamsulosin,Benign Prostatic Hyperplasia,2.0,Taken for 5 to 10 years,"January 12, 2022",0,"I was taking Flomax for about 8 years, I was told I had an enlarged Prostate, but I had no problem peeing, or any other symptoms. Since I started taking it, I had back pain 24/7, no ejaculation, feeling sleepy all the time, dizziness. I stopped taking Flomax about 45 days ago, I gradually weaned myself off them, within a few days after stopping Flomax, my back pain is pretty much gone, I have pain if I try to over do it, I’m 70! So naturally I can’t do the things I could when I was 30, but overall I feel much better, I have more energy, I don’t need an afternoon nap anymore, I actually feel like I’m 30. Anyone who is considering stopping Flomax, I would do it slowly. So far so good, I still get up to pee a couple of times a night, but I think that’s because my wife is always making soup, and I generally wake around 2am  to use the bathroom, but I’ve never had a problem with slow stream! Actually quite the opposite.",JohnE
7,Tamsulosin,Benign Prostatic Hyperplasia,1.0,,"January 8, 2022",0,"This particular drug works great for me personally however I couldn't figure out why I was getting cotton mouth (dry mouth) every day.  I mean it was so bad I couldn't talk, then I mentioned it my neighbor an he said he had to stop taking it because of that same reason. I didn't stop taking it, however when I spoke to my dr about it he said to cut back on the dose so I take it twice a week not everyday I still have the same side-effects but not as bad.",Frank
8,Tamsulosin,Benign Prostatic Hyperplasia,5.0,Taken for less than 1 month,"December 23, 2021",0,"I am kind of frustrated with dr. Reading tons after he gave me this drug and wanted me to add Finasteride 2 weeks after (which says can increase prostate cancer.. uh this what I am trying to avoid.. its like depression meds giving suicidal thoughts :/ ) So I was doing well with saw palmetto natural stuff I been taking for months, which has made it so I don’t wake up to pee and only if I drink a beer  then I need to go lots. I carry a big glass jar in my car to go pee. I am ok with it and not these side effects. I felt like if any car stopped quickly i might of not been able to react in time. The thing I don’t get, like saw palemento , it says support .. neither of them say heal.. so why do I need to take it, if I am happy with what’s going on. I am stopping it and doing CT scan to look into more, since it is not healing really just helping support healthier prostate idk…no info makes me feel like wow this I need.",Natural guy
9,Tamsulosin,Benign Prostatic Hyperplasia,8.0,Taken for 5 to 10 years,"December 5, 2021",0,"Flomax (tamsulosin):I was prescribed Flomax to handle the prostatic stimulation from testosterone replacement therapy. Initially, I did experience the lack of ejaculation, all of it.   I simply dealt with it for a while; but then, I began taking it AT NIGHT BEFORE BED.   Not only did this remove the side effect, things have started flowing much more normally.   I mentioned this to my doc and his response was ""why didn't I think of that"".So, to those who are experiencing this, perhaps talk with your doctor about taking Flomax at night before bed/sleep.  Or simply try it, if you feel comfortable doing so.I don't believe the research supports Flomax as a cause for ED or orgasm disorders -- this part of your body is very complex.  Other medications, reactions should be considered.   Also: taking NSAIDs or pain relievers like Tylenol can affect orgasm.  Go figure, but in older people it can.I hope this info helps someone :)",forrie
