,drug,condition,rating,duration,review_date,upvotes,review,username
0,Clonazepam,Benzodiazepine Withdrawal,10.0,Taken for 10 years or more,"March 25, 2022",1,"Started 0.5mg twice a day in college for panic, whilst on an SSRI.  Over years increased to four a day.  25 years later, after weaning off the antidepressants, Doc and I suggested attempting coming off of clonazepam too, carefully.  I agreed and couldn't get lower than 0.2 twice a day -- it serves a purpose in my life that I cannot live without.  When the pandemic struck I saw less of Doc and she cut me off the clonazepam without supervision, I was trapped in my apartment, sparing food and toilet paper... eventually I didn't need anymore toilet paper and after God-knows-how-many months I lost a third of my body mass.  When I passed out washing my briefs in the tub, which I thought was due to lack of food (probably) I called the cops.  After endless pleas to my doctor and family for help, the cops are the ones who saved me.  They somehow found some social workers and people who could prescribe me clonazepam again.  The social and professional damage is irreparable.  I'm 50.",Mr. Guitar
1,Clonazepam,Benzodiazepine Withdrawal,2.0,Taken for 6 months to 1 year,"February 23, 2022",0,"I took Clonazepam for a year and the dose was 0.25 once a day for anxiety and insomnia.  I decided it was time to stop.  I am probably at around week three and I wasn't expecting severe withdrawal symptoms as I felt that my dosage was low.  It has been a rough few days with insomnia, nausea, and some anxiety.  I think doctors should probably look to alternative medicine as most anxiety medications have side effects and are difficult to withdraw from, not to mention that they just aren't good  for you long term.  The lure of the benzos is that relief is instant, with minimal side effects initially.  Looking forward to feeling better, and have learned a very hard lesson.  I am going to pursue natural methods to ease my anxiety and work on coping strategies instead of taking medications that just mask the problem.",Nina
2,Clonazepam,Benzodiazepine Withdrawal,9.0,Taken for 1 to 2 years,"February 13, 2022",2,"In the fall of 2019, I was placed on 1mg Clonazepam at night for anxiety and panic disorder. After a year, I went down to 0.5mg because 1mg seemed too much. I was very happy and did absolutely great on this dose, for about a year with no side effects but getting the medication re-prescribed was always a mess. Doctors would take too long and I’d run out of pills which would put me in terrible withdrawals. I finally did a gradual taper to get off of the medicine, cutting down 1/8 a pill at a time, every two or three weeks. I’d experience withdrawals each time I adjusted down, and even now, even though I’ve been off of it for a month, I still get what I call waves of withdrawals that sometimes last days: headache, tremors, nausea, panic, shame, fits of rage, confusion, etc. They do at least go away eventually and give you a chance to breathe before the next wave occurs but it’s no picnic.",Anonymous
3,Clonazepam,Benzodiazepine Withdrawal,10.0,Taken for 2 to 5 years,"January 8, 2022",0,"I was prescribed 4 mg of klonopin a day for panic attacks and anxiety. I took 1 to 4 (1mg) klonopin a day for over 4 years.  I quit cold turkey after 4 years and I had no side effects that I noticed.  It is concerning when it seems that everyone is having devastating side effects coming off klonopin...and some with very small doses.  I rate klonopin a 10 and I think it was incredibly helpful for me.  I now take it when I have major anxiety.  I'll take it for a year straight and sometimes for just 1 or 2 days.  I usually stop taking it when I feel I don't need it and I've never tapered off it.  I will take ¼ gram to ½ gram.  Then I just stop after I feel ok.  The time between taking klonopin regularly is usually 6 months to several years.  Klonopin has been a major help for me. I would highly recommend the drug for anxiety and panic attacks if I hadn't read these posts. I read that klonopin is taken for intoxication as well. I get no ""buzz"".  If I take >1mg I get tired though.",Red
4,Clonazepam,Benzodiazepine Withdrawal,1.0,Taken for 10 years or more,"December 30, 2021",1,"My story is one of finding out how to taper clonazepam. I'm almost 55 now and feel like this drug is  just really bad for me. I've been on it since 2009, so approximately 13 years as well as on 2 other benzo's and 75 mg Seroquel to sleep.My initial starting dose was 7.5 mg!!! I had no idea what kind of drug this was. Years later I found out it's an anti-convulsant and I was also taking 180mg oxycodone a day for 8 years because of having muscle aches which made it impossible to walk 400 meters. A quarter of a mile. In the last few years I've had infarcts in the brainstem (pons, thalamus). In 9 months I quit the oxycodone and considered myself clean. The clonazepam I tried taking 1 tablet of 0.5g a month less.Now I only use 2mg at night along with 5mg nitrazepam and 100mg oxazepam and the Seroquel. Now I visit a USA website and find out how dangerous it can be to rapidly quit the remaining amount of benzo's I still take. But I feel sick all day every day.",Donna
5,Clonazepam,Benzodiazepine Withdrawal,7.0,Taken for 2 to 5 years,"December 12, 2021",0,"My experience with Xanax as been devastating. I am,  well was 280 lbs and I was taking  way too much a day for years and years. My tolerance is so high to the point where I couldn't just stop or I would have died. I went to rehab to taper but they wouldn't let me when I got there. Some of these rehabs will tell you anything over the phone to get you there and when I asked them about it they told me they do that to save lives... smh. Most will tell you what you want to hear just to get you in the door for your insurance money this has happened to me twice. But long story short I went there 3 diff times to states away from where I live in NY. So it's not like I could leave or whatever so I just stayed and I've been clean from heroin for over 8 years and just got mixed up in a unit that deals with opiates not benzos. So I was the only one in my unit that was there for benzos everyone else was alcohol opiates and Crack cocaine So I'm now struggling with the withdrawal I can't just cold quit",Jeremy
6,Clonazepam,Benzodiazepine Withdrawal,1.0,Taken for 1 to 2 years,"November 23, 2021",2,"I was on clonazepam since 2019.  I went cold turkey October 2021 and it has been one of  the worst experiences of my life.  The withdrawal symptoms have been severe anxiety and panic attacks, paranoia, crying, depression, loss of appetite, lack of patience, and can't focus.Prior to taking clonazepam I was taking Buspar for anxiety but when it stopped working  I was put on clonazepam.  I'd avoided benzos for anxiety for over a decade due to its addictive probability.  When the Buspar stopped working I crashed into a severe panic anxiety filled meltdown and I just wanted to feel better so I agreed to the clonazepam one of the worst mistakes of my life.Don't take this drug it's horrible and should be taken off the market.",Renee Smith
7,Clonazepam,Benzodiazepine Withdrawal,1.0,Taken for 6 months to 1 year,"November 19, 2021",2,"I was prescribed 5mg at bed time for a year because of severe PTSD. At first it helped with acute anxiety. Nobody explained or warned me of how this drug works, so I just blindly took it, thinking that such a small amount is harmless. Had I known better, I wouldn't have taken it every day. Six months in I became agoraphobic and couldn't feel anything: happiness, love, excitement, etc. It made me tired, lose my hair, coated my tongue, caused pain, and the worst sense of impending doom and anxiety. This drug is so dangerous and downright evil. It's only meant for short term use. I will NEVER touch the stuff again! If I could give it a zero I would.",Neveragain!
8,Clonazepam,Benzodiazepine Withdrawal,4.0,Taken for 1 to 2 years,"November 11, 2021",4,This medication is extremely dangerous and they do not even tell you how severe the effects of this withdrawals truly are. I was on clonazepam for almost two years and it’s been almost 2 weeks since I’ve last taken the medication and this is the peak of the withdrawals. This medication is NOT intended for long term use AT ALL. Make sure to always ask questions too!!,Anonymous
9,Clonazepam,Benzodiazepine Withdrawal,8.0,Taken for 1 to 2 years,"October 31, 2021",3,"Clonazepam has very ugly side effects, but not for everyone. In exchange, it is very good for anxiety and insomnia comparative with Xanax and lorazepam.",Anna
