,drug,condition,rating,duration,review_date,upvotes,review,username
0,Abilify,Bipolar Disorder,9.0,Taken for 2 to 5 years,"March 21, 2022",0,"I've been on 5mg of the generic version of Abilify for a few years now. I'm a 44 year old woman with ADHD & Bipolar Type 2. It's been such a lifeline for me. I'm also on the generic versions of Adderall (2.5 pills daily, 20mg) & Topamax (a mood stabilizer; 50mg mornings, 100mg at night) as well. I can't take antidepressants (SSRIs and SNRIs for example among others) all increases my suicidal thoughts. On a low daily dose of Abilify for 3 years now, originally for treatment resistant depression, the frequency of my suicidal ideations has drastically dropped. I was only Dx'd as Bipolar Type 2 just six months ago (in Sept of 2021) and then started on Topamax. I've never experienced a manic episode, but my depressive episodes last months to years at a time—with my ADHD masking it in social situations. Hypomania I have maybe 1-3 days at a time, 1-2x/month. It feels like you had a good day at work regardless of what's going on in your life (even if someone close just died).",TPC
1,Abilify,Bipolar Disorder,9.0,Taken for 6 months to 1 year,"March 7, 2022",1,This has been the only medication I can tolerate after trying 13 others. It helps enormously but does cause some brain fog and weight gain. Well worth is considering the distress is prevents.,Anonymous
2,Abilify,Bipolar Disorder,5.0,Taken for 1 to 2 years,"February 9, 2022",0,"Been on 2mg's for over a year in combination with an antidepressant. No side effects to report other than possible weight gain. I didn't feel that this medicine was helping in any way until I got off it for a month to try and see if the weight would come off. I fell into a major depressive bout for 4 days straight. As soon as I got back on it I felt much better, my depression lifted. Doesn't seem to anything to noticeable for me but in combo with my antidepressant it seems to keep me from going to far down and less often.",JC77
3,Abilify,Bipolar Disorder,4.0,Taken for less than 1 month,"January 3, 2022",0,"Gave me EPS on 2mg within a week of starting the medication. I experienced jerking and muscle tightness, and ended up pulling a muscle in my shoulder. It helped the mania, but not any depressive symptoms.",jaidentelford
4,Abilify,Bipolar Disorder,1.0,Taken for 1 to 2 years,"December 27, 2021",3,"Abilify was the cause of the worst year of my life. Massive depression and constantly comatose. I was like a zombie. I woke up in the morning thinking when do I get to go back to sleep. Suicidal thoughts were frequent.  My wife would frequently comment on how I wasn’t myself, how I didn’t talk anymore. I was a shell. I also gained 20lbs (I’m a skinny guy with a high metabolism). When I finally detoxed from the drug, I had energy again. My weight gain is now mostly gone and I engage with my family and am more present. Abilify was the worst thing I have ever done to myself.",Anonymous
5,Abilify,Bipolar Disorder,1.0,Taken for 10 years or more,"December 27, 2021",3,"Instead of helping my depression, I felt trapped in it, unable to say how I truly felt. Unable to move out of that feeling, yet unable to fully feel it either. My irritability became worse overall. I would have even bigger breakdowns over even smaller things. The frequency was slightly less, the incidents were more severe. I developed tardive dyskinsia, and pseudo parkinsons after long term use. I gained over 100 lbs on this medication, 60 of which happened in the first 5 months. My dietary habits did not change in this time. My sleep and exercise was effected. Previous to abilify, I was very active and loved to walk and ride my bike. While on abilify, I became listless and disinterested in physical activities. My poor sleep became worse, and abilify created insomnia in me, which I then needed more medications for. The I began having memory and attention issues while on abilify, so I was prescribed adderall to help me concentrate. All of this, and I am better off meds.",Rachel
6,Abilify,Bipolar Disorder,10.0,Taken for 6 months to 1 year,"November 17, 2021",0,"Abilify has helped insanely in my life in controlling my ups and downs, it does increase my irritability a bit but it’s controllable",abs
7,Abilify,Bipolar Disorder,1.0,Taken for 1 to 6 months,"November 17, 2021",2,"Abilify destroyed my mental state. I was prescribed Abilify during a hypomanic phase. In the first two weeks of taking it hypomania left but depression started. My doctor suggested to up the dose, it made the depression worse. I upped the dose once more. I have been experiencing depression times for many years. The depression I got from Abilify 15 mg is like nothing I have ever felt before. Worst 6 months of my life. Near the ends, every time I would take it, I was thinking that I am literally poisoning myself. I got off it late April. The change in my mood was immediate. At the same time I started taking lamotrigine (miracle - 50mg to start). I finally understood what normal feels like. Abilify gave me a 6-month nightmare. I know for some people it might work wonders but for me I would even prefer to go untreated instead of using this drug ever again",Disabilify
8,Abilify,Bipolar Disorder,3.0,Taken for less than 1 month,"November 13, 2021",1,"I have Bipolar II, Autism, and Tourettes. This drug was mainly prescribed to me for Bipolar Disorder. I'm glad it works wonders on a lot of people but not for me. Two weeks in I had involuntary muscle twitches, dyskinesia, and restless leg as well as muscle discomfort. I also experienced worsened tics from taking Abilify 10mg. Doctor put me on Latuda instead and that has been working wonders. He told me normally Latuda is a much better bet than Abilify as far as lesser side effects goes. For the bipolar itself, this drug worked, but the side effects outweighed the benefits.",Jay
9,Abilify,Bipolar Disorder,1.0,Taken for 2 to 5 years,"November 2, 2021",3,"I’m reading the reviews and I find it really interesting. Honestly, Abilify did nothing for me. like I never even felt any sort of effects, and it was almost like a sugar pill for me. It was actually crazy, I’m so used to medication is knocking me off my feet so when I felt nothing different from this medication I was confused. Eventually, my psychiatrist said that he didn’t want me on prescription medications. He told me to wean off of them, but instead of weaning off I decided to stop cold turkey. I had absolutely no withdrawal symptoms, and felt the exact same as I did when I took the medication. Am I the only one that just didn’t get anything out of this medication?",Clove
