,drug,condition,rating,duration,review_date,upvotes,review,username
0,Desvenlafaxine,Bipolar Disorder,9.0,Taken for 2 to 5 years,"July 2, 2021",1,I feel less irritability,Hugo
1,Desvenlafaxine,Bipolar Disorder,2.0,,"November 30, 2020",1,"This desvenlafaxine doesn't work along with Effexor, Abilify, Seroquel, and Zoloft and definitely do not take Latuda unless you want to have body Tourette's for the rest of your life once you stop",blob
2,Desvenlafaxine,Bipolar Disorder,4.0,,"January 25, 2019",3,"Was taking with lamictal for BP2. Wanted to try after having a year of success with Effexor in treating depression 2 years ago. Back then I was under-diagnosed so I took no mood stabilizer. Pristiq was nothing near Effexor to me. Was on 25mg for the past 8 weeks. Week one: insomnia, anxiety, worse mood. Week 2: lifted mood, minor mood swings, mild anxiety, excitability, slight increase in interest in pleasurable activities, slight decrease in confidence, spontaneity, social speaking. Week 3: short, depressive episode, apathy, lethargy. Sleep slightly improved. Week 4: everything from weeks 2&3. Also, MY FIRST PANIC ATTACK! from then on, heightened feelings that I could have a panic attack if I thought about it. Increased anxiety. Stopped taking it. Although I know I was on a very low dose, I just knew that it won’t work for me. I am on day 3 without it and I feel better but I know relapse is coming soon but so is my appointment. Half life: 11 hours. Really???",Porkchoptaco
3,Desvenlafaxine,Bipolar Disorder,10.0,,"April 26, 2018",7,Pristiq is the best medicine ever for bipolar. I'm on 75 mg morning and 25mg afternoon.,BipolarMommy
4,Desvenlafaxine,Bipolar Disorder,10.0,Taken for 1 to 2 years,"April 19, 2018",9,"I started taking this medication along with a mood stabilizer. The mood stabilizer alone didn’t work for my rapid cycling. As soon as I took Pristiq, my cycling stopped and felt ‘normal’ again. No more mania. I’ve been on it 2 years and it’s been amazing! However, DO NOT stop taking this medication as you WILL suffer withdrawal symptoms that I can only imagine feel like coming off meth or heroin.",Anonymous
5,Desvenlafaxine,Bipolar Disorder,8.0,Taken for 1 to 6 months,"January 12, 2018",4,Someone posted that Greenstone is owned by Pfizer and their generic is basically the brand - it's true! You have to special order from CVS and it's more expensive,FL_Neil
6,Desvenlafaxine,Bipolar Disorder,1.0,Taken for 1 to 6 months,"November 22, 2017",2,Increased mood instability both ways became really down and have insomnia dissociation.,Anonymous
7,Desvenlafaxine,Bipolar Disorder,9.0,,"November 1, 2016",8,After trying many other medications and failing my doctor finally gave me this beauty and my life is much better. I like myself my kids and husband again! Lol. Not only has it given me back my happiness it also helped me maintain my focus on my weight issues and given me that edge for life i had never ever experienced truly. Side effects of insomina and suppressed appetite (which is a win when all you do is eat on other meds)First few days heart rate was up but slowed down after the drugs was in my system 100. Warning! Do not stop taking abruptly!!! You will feel like a herion addict with no hit!,Crazy mum from oz
8,Desvenlafaxine,Bipolar Disorder,6.0,,"September 16, 2016",3,"Worked great up until Tuesday when I had a sudden attack of dizziness that dropped me to the floor.  This continued for two days and I finally called the doc yesterday who took me off of it.  I went back to lexapro as I had no side effects with it.  It's too soon to tell if I will have any withdrawal from it, but I'm hoping not, I have a busy day at work today.  I'm glad to be off it though, I had a dizzy spell a few minutes ago but it was not bad and stopped quickly.  Guess I'll stick to lexapro and just deal with the depression as it comes.",Kelli 2112
9,Desvenlafaxine,Bipolar Disorder,,,"July 9, 2016",11,"I was on lexapro for the depression side of my bipolar, and it stopped working, crying spells at work and agitation.  Doc just switched me to pristiq and so far I seem to be doing well.  I've only been on it 3 days-the only side effect I am having is feeling very drugged, but the sadness is gone and I was able to apologize to someone I lashed out at.   I'm gonna stay on it, even though I feel drugged Im sticking with it.  Im also on latuda and trazadone.  It sure beats the hell I've been through in the past.  I will update in a few months and tell you if I continue to do well.",loose cannon2
