,drug,condition,rating,duration,review_date,upvotes,review,username
0,Risperdal,Bipolar Disorder,10.0,Taken for 1 to 6 months,"February 11, 2022",0,"rispirdal is a life saver. I take it for Existential ocd, Depersonalization/Derealization and bipolar depression, along with Venlax 75 and 100mg lamictal in the morning. It is a life savior. My mood is better. I don't have mood swings. I don't have intrusive thoughts about reality anymore. Also, intrusive thoughts don't control me any more! Also, I am not dissociated anymore. It helps me to be attached to reality. The first week was like a hell. But after it, I started getting better. Give it a try and wait until it works!",Dani
1,Risperdal,Bipolar Disorder,8.0,Taken for 10 years or more,"January 2, 2022",2,"I’ve been taking Risperdal for 10+ years. I got diagnosed bipolar after 9 years. Before that, doctors were unable to give me a diagnosis because my symptoms are atypical. I suffered from psychosis and emotional instability. I was given a dose of 6mg in the beginning and it stopped the paranoia. I had a lot of side effects like sleepiness, flat affects, lactation, anorgasmia, weight gain, blurry vision, greasy skin, greasy hair. My dose went down to 2mg and it stopped the side effects, but I was still emotionally unstable, however no delusions. After 9 years I received lamictal and I felt a lot better, the depressions stopped, however I started having psychoses again and the Risperdal went to 3mg, then 4mg. I’m trying another antipsychotic now because of the weight gain. Over the years I gained 40lbs, especially when my dose went up.",Anonymous
2,Risperdal,Bipolar Disorder,1.0,,"February 10, 2021",6,"Terrible choice by my PA to put me on this stuff. I was only on .25mg and the first day I was on it I had to leave work early because I was so confused, felt drained, exhausted. Sleep was absolutely horrible. Couldn’t stay asleep. It only got worse as the first full week I was on it I had zero focus, energy, felt confused at work. I missed the better part of two days of going to work. Went that same Friday and my PA took me off of it and put me back on a lower dose of Latuda and I’ve never felt better.",rustynail23
3,Risperdal,Bipolar Disorder,,Taken for less than 1 month,"December 3, 2020",12,"My daughter is bipolar and has tried so many medications. She gets manic attacks. She hears voices and see things when having her manic attacks. Five days ago, they begun giving her this medicine. I’m reading everything people have said here and  I’m wondering if this medicine is all she may need to live a happy healthy life. She has tried zyprexia many years ago and that helped for a time. I’m keeping hope alive!",Rose
4,Risperdal,Bipolar Disorder,9.0,Taken for 1 to 6 months,"November 8, 2020",9,I haven't experienced serious side effects only blurred vision and drowsiness. I have been taking the meds for 1 month now. So far so good. I was prescribed this medication after 2 manic episodes I had that were practically back to back (after 3 weeks).,Jai
5,Risperdal,Bipolar Disorder,10.0,Taken for less than 1 month,"June 25, 2020",68,Yesterday I requested an emergency call  from my Psychiatrist and she called this pill in because I was in a severe manic episode.  I didn’t think it would work. Nothing has. Then the insurance didn’t pay for it. I was ready to go to a psych hospital at this point.  Luckily I had a little bit of money and the pharmacy let me partially fill it because the effects are amazing. Literally stopped my manic episode dead in its tracks and two hours later I was feeling amazing! Like I said I was in such a bad manic episode and I have extreme anxiety too so I was literally ready to admit myself into a hospital and just give up on life altogether.But I’m self employed and own a business and I’m moving next week so I really didn’t want to wind up in a hospital or worse in jail for doing something crazy!This drug may have just saved my life altogether!,Lowell123123
6,Risperdal,Bipolar Disorder,9.0,,"June 12, 2020",50,"Hello, my name is James and I have Bipolar type 1 disorder. I take 1200mg of lithium, 1mg of  Risperdal, and 25mg of Quetiapine. When I initially started the Risperdal, it fired me up with the same effects that I’ve experienced on previous occasions with antidepressants.  It also began to mess with my sleeping pattern. For example, I would constantly be waking up two hours before my scheduled time. The good news, however, is that these side effects which I endured were short-lived, and after 3 weeks, they settled down. Any issues that I had previously encountered with regards to psychotic features :  Hearing voices and talking to myself excessively, impulsivity, and anxiety all seemed to vanish from the face of my earth.",James
7,Risperdal,Bipolar Disorder,8.0,Taken for 1 to 6 months,"May 14, 2020",39,"I've tried a lot of different meds, my favorite by far is Lamictal but it stopped working after 10 years. I started risperidone a year ago. It makes me calm, I hardly get angry, I have no anxiety, and I have not had an episode since I started it. I feel great on it in general. The down side -- It makes me lazy, I'm so chill now that I'm totally comfortable just sitting on the couch. I feel relaxed and balanced but without the anxiety I have no reason to get up and ""run it off"". The biggest and worst issue I have with it is the damn weight gain. I've always been super fit and thin but now I have a belly that I just can't get rid of. If the it didn't work so well for my mood I would get off of it immediately to lose my weight. I would still recommend it and I won't be stopping it anytime soon.",gatinha
8,Risperdal,Bipolar Disorder,9.0,Taken for 2 to 5 years,"December 21, 2019",43,"Risperdal saved my life. I was hospitalized two times with psychosis and this is what they gave me. It took a few weeks to really kick in. At first I was tired. I have been on the med for almost five years now. I am able to live a normal life although I still have some depression. I take 4mg risperdal which I just increased from 3mg because at times I would have mild hallucinations or delusions when tired or the like. They are almost non existent now, really just coming on if I have caffeine. I did gain weight but not meaningfully so. The trick is to watch your calories and exercise as much as possible. I would recommend trying this for severe psychosis. I also take 600mg lithium which seems to help my mood. I like to think that the lithium helps the brain from the damage risperdal can cause. Without risperdal I wouldn't be here by now. Everyday is a blessing and a gift!",James
9,Risperdal,Bipolar Disorder,5.0,Taken for 1 to 6 months,"November 29, 2019",11,This drug makes it much harder to become aroused (or erect). It seems to reduce psychotic symptoms and other bad behaviors.,John
10,Risperdal,Bipolar Disorder,1.0,Taken for 1 to 6 months,"November 19, 2019",17,"This stuff literally made me feel life wasn't for me anymore, there were the horrendous side effects, the worst being an uncontrollable need to MOVE somehow (Akathisia) and the dark dark dark thoughts. I was switched to  seroquel and then to abilify, but all these gave me the same side effects.",Scott
