,drug,condition,rating,duration,review_date,upvotes,review,username
0,Norethindrone,Birth Control,3.0,,"April 1, 2022",0,"I was switched to generic Norethindrone after years of taking combined pill because I have migraines and I take seizure medications, and I’m not wanting to use a non-pill BC at this time. I’ve been on this since mid January (a little over two months now). It has prevented pregnancy thus far and acne has been reduced, which are pluses, but I will say, everything else has gone severely downhill. I had two periods, the worst two of my whole life, in the first month of use. I’m constantly worried about pregnancy because of the constant use/no breaks and having to wait for my body to have a period or not. The nausea, headaches, fatigue, mood changes, and cramps have been ungodly, and I’ve actually experienced a decline in my sex drive.",Anonymous
1,Norethindrone,Birth Control,1.0,Taken for 6 months to 1 year,"March 31, 2022",0,"Jencycla (norethindrone):I’ve been taking this for over half a year now because my doctor recommended me to take this after experiencing some migraines with my previous birth control. So far, I’ve only had 4-5 day breaks in between my periods (lasting up 8-9 days) and now I've had my period for 3 months non-stop.",Asdf
2,Norethindrone,Birth Control,10.0,Taken for 1 to 2 years,"March 27, 2022",0,"Jencycla (norethindrone):I used to have extremely painful periods, super heavy and cramps that could not be alleviated with painkillers, so I turned to birth control.  I tried 2 other pills before this one, but they made me spot everyday. This one however, has been a life saver!  I’ve been on it for a year and it has minimized my periods to the point where I barely need a tampon, and my pain is basically non-existent.  It did take a few months for me to get my period’s flow to decrease, but the pain was gone by my first period on this pill, and it gradually eased the longer I took it.I also have not gotten pregnant on it which is a huge plus, but the period aspect is why I rate this pill so high, as it has truly made my life better and less exhausting.",M.S
3,Norethindrone,Birth Control,9.0,Taken for 1 to 2 years,"March 24, 2022",0,"Jencycla (norethindrone):I see that this pill didn't work for a lot of people, but don't get discouraged if your doctor prescribes it to you! I was on the combined pill for a year and was absolutely miserable. I started Jencycla a year and a half ago, and it has been an absolute joy! I got a few headaches in the beginning 3 months, which is very unusual for me, but also not debilitating, just annoying. It has completely stopped my periods and I have endometriosis, with very heavy bleeding and immense pain, so this was SUCH A RELIEF. Haven't had a period in a year and a half, best year and half of my LIFE. I read that it only does that for about 30-40% of people though. I'm also super forgetful but put them in my wallet so that they're with me anywhere I go, and an alarm everyday helps me remember taking them.If you have trouble with combined pills but still want oral birth control, this might be it! It also might not, but don't worry, trust your body!",Alloy
4,Norethindrone,Birth Control,10.0,Taken for 5 to 10 years,"March 18, 2022",0,Errin (norethindrone):6 years and my bleeding has finally stopped! I have been severely anemic due to massive bleeding since I was about 16ish.I have had to get multiple transfusions and been hospitalized over and over. Until my Dr suggested Errin! My cbc labs are FINALLY fixing and I am no longer freezing 24/7. It feels awesome after 20 years of the same mess and no real answers.,Kray
5,Norethindrone,Birth Control,1.0,Taken for 1 to 6 months,"March 17, 2022",0,"So I'll start off with if you have ADHD and have other options, don't waste your time with this because it will worsen your ADHD and not even meds will work, because progesterone and dopamine have a huge impact on each other. I am on day 24 of this pill pack, it is now in the garbage and I am typing this here. Why? I've spent the last 24 days experiencing waves of almost constant nausea throughout the day, despite the fact I'm taking it at night with a meal. I've been bleeding since the 8th day, and the first week of that bleeding was spotting, which is to be completely expected on any contraceptives. The week after that, it became heavier to where it's not breakthrough bleeding and it's not my period, doctor claims that to be ""normal"" I experienced extreme rage the first week on this pill, constant dizziness, headaches, cramps that feel like period pains, stomach pains, gas all the freaking time without changes my diet, and trouble sleeping because of the nausea.",Storm
6,Norethindrone,Birth Control,5.0,Taken for 1 to 6 months,"March 17, 2022",1,"Norlyda (norethindrone):Started this because my doctor was worried about my blood pressure on the combo pill. I’m on my second pack. The first two to three weeks my nipples were so sore. I haven't had sex since starting as my husband is deployed so I wasn’t worried about pregnancy. Once my nipples calmed down then my breast were tender as if I were about to start my period. I get hormonal headaches usually the week prior to my period but I had more than usual the 4th week of these pills. Then, no period and all the breast tenderness and headaches stopped as if I had my period. It’s strange. So, considering my husband was home before I started this pill I decided to take a pregnancy test, which was negative. So now I’m in my second pack wondering if I’m going to get a period of any kind or not. If I get the headaches again I intend on switching.",Heather
7,Norethindrone,Birth Control,4.0,Taken for 1 to 6 months,"March 16, 2022",1,"IDK if I wanna keep taking this birth control I haven’t actually slept in like 3-4 weeks since I’ve taken it. I already had like mild insomnia and now it’s like severe.  I'm awake and having these crazy hot flashes/night sweats all night every night and I never really fall asleep and I’m so tired. The mood swings from the pill are horrible too, the whole point of this was to like level out my mood not worsen it. My ADHD feels worse - the amount of brain fog I have throughout the day is way more than normal. I'm always nauseous throughout the day. My body always feels like it’s in pain even when I’m not on my period. My eyes always burn. My boobs hurt. I'm overly hungry. Every time I stand from sitting I feel even more like I’m gonna faint than I ever did before and the other week I literally like fell over because it. The only thing this pill has been good for is having sex without a condom lol, other than that, kinda sucks ass.",pix
8,Norethindrone,Birth Control,9.0,Taken for 1 to 2 years,"March 16, 2022",0,"Posting an updated review... Been on for a year now and things are going pretty good. No periods at all (other than some spotting, I think it's just when I don't take it on time) and I did bleed for about a week when first starting. My mood is still everywhere. I get annoyed very easily and I wouldn't say I'm depressed, but just kind of on autopilot and not the happiest most of the time. I was breaking out pretty bad the whole time but it just now seems to be calming down. I was getting more cystic acne than whiteheads/smaller breakouts. That's about all I have to say, I think it's worth a try if you need to/are interested in taking a mini pill. When first starting be aware bleeding is very unpredictable. I will continue to take it for now, don't have any major complaints. Also, still not pregnant. But I'm on time taking it 99.9% of the time.",GS03
9,Norethindrone,Birth Control,7.0,Taken for 1 to 2 years,"March 10, 2022",0,"Norlyda (norethindrone):I can not take estrogen and have a history of not handling hormones well. I can tolerate this birth control for around 6 months consistently, then I have to take a month off to reset and then I restart. It is not ideal but it’s the best I’ve gotten so far. I’ve tried pretty much all birth controls- hormonal and the copper IUD. With this- I have noticed hair growth. Weight gain is something I struggle with so unsure if it’s related. I know it’s time to stop when my hair gets really greasy (I usually go 6 days between washes and it goes down to 1) and my skin breaks out very bad. I take a month off and when I start back all is well. The important thing is to know your body and what works for you.",Laura
10,Norethindrone,Birth Control,1.0,Taken for 1 to 2 years,"March 5, 2022",0,"Heather (norethindrone):I switched to Heather after finding out I had factor IV. I would not recommend this pill. I recently stopped taking the pill because it completely changed me. After 7 months I experienced hair loss at the front of my head, bad depression, bloating, bad digestion and headaches. I had so little energy and motivation that I knew I had to get off this pill immediately. I am now using natural cycles and condoms. Since the mini pill or progesterone was my only choice in birth control due to my condition. I decided to go the natural route. Feeling like myself now.",Jojo
11,Norethindrone,Birth Control,10.0,Taken for 1 to 6 months,"March 3, 2022",0,"Jencycla (norethindrone):I have tried many different forms of birth control. I'm 34 year old a mom of 5 and this is the first time trying the minipill, I am very satisfied. The first couple of months took a bit of getting used to; some spotting but sorted itself out over time, significantly decreased my difficult periods. Decrease in migraine headaches as well.",Mae
12,Norethindrone,Birth Control,4.0,Taken for 1 to 2 years,"March 1, 2022",0,"Errin (norethindrone):I’ve been using this pill for a while now (a year+) and my period has never ever been so irregular. I went 9 months without a period. No I wasn’t pregnant it just happened to be that amount of time. Then I went 6 months without one, again I wasn’t pregnant. I got my period in December then January, around the same time. I haven’t gotten it again since in February and I know it isn’t pregnancy because I have zero symptoms and my boyfriend and I are long distance. I’m just tired of the inconsistency. I have the worst cramps I’ve ever experienced. I’ve gained 30lbs and can’t loose the weight. I switched to Errin from my original because it was giving me migraines and putting me at a higher risk of a stroke at my age (16/17 at the time I am now 19). I think now that I just have chronic migraines, but this birth control is not one I would recommend.",Sky
13,Norethindrone,Birth Control,7.0,Taken for 6 months to 1 year,"February 21, 2022",0,Heather (norethindrone):I have really enjoyed being on heather. It has made my cramps less painful and my periods shorter. I think it is pretty easy to use. I still get a period every 35-40 days which is a lot nicer then my 20-25 day cycle before. I have had some weight loss and acne but other then that I haven't had much other side effects. It has also stabilized my moods during psm.,teenage user
14,Norethindrone,Birth Control,5.0,Taken for less than 1 month,"February 15, 2022",0,Nora-Be (norethindrone):I am four days in and I have experience a slight fever and intense headache. We will see if it gets better the more I use it but that’s just what I’m experiencing on my first week,Anonymous
15,Norethindrone,Birth Control,9.0,Taken for 2 to 5 years,"February 9, 2022",0,"Heather (norethindrone):I have been on this pill for about 3 years now. My only complaint is the first year I had terrible hormonal acne. I still don't have the clearest skin but it has definitely improved. My other symptom is that I haven't had a period at all, I only had slight bleeding one day because I took it late. Other than that I've had 0 symptoms, I haven't gained any weight or had terrible mood swings. Would recommend trying this if you are hesitant. Make sure you take it at the SAME time every day.",Mia
16,Norethindrone,Birth Control,10.0,Taken for 1 to 6 months,"February 8, 2022",0,"I started this pill about 7 weeks ago. I am 46 years old and having heavy periods for the past 2-3 years.  My first period flow was unaffected by the pill, heavy but the duration decreased! Had some light spotting mid-cycle but my second period has been a breeze! I pray this is finally the answer. I almost didn’t try it becasue of the bad reviews, but everyone is different!",Anonymous
17,Norethindrone,Birth Control,10.0,Taken for less than 1 month,"February 4, 2022",0,"Sharobel (norethindrone):Honestly I was little skeptical due to the reviews because then I was like great, another terrible experience on birth control and so far, it has been good! I think with me already having issues with my mental health and combination pills causing high blood pressure this one really helped as far a very little to no side effect symptoms. I’m really moody sometimes, and my sex drive is through the roof, but other than that I think it’s good so far.",steph
18,Norethindrone,Birth Control,,Taken for 1 to 2 years,"February 2, 2022",0,"Jencycla (norethindrone):I’ve been on this birth control for over a year now and here’s my experience. I had switched over from my old birth control which was a combination pill but got off that because of major headaches. The first 6 months on this pill were not bad at all. No headaches I felt normal but the only downside was that I felt very like emotionless, still do at times. I find I became very nonchalant towards a lot of things and I do believe it is from the birth control. The first 6 moths I had a very irregular cycle and still do. My period would come for about (7 days) then it would be gone for 2 months, and so on. After being on it for a bit over 6 months my cycle started to become more irregular. I had no period for about 3 months and then suddenly i had got my period and that period last a total of 15 days. The last few days were spotting but still the bleeding didn’t completely stop after day 15. Since then I get very irregular bleeding and spotting out of no where. I do bleed sometimes after sex.",Tina
19,Norethindrone,Birth Control,10.0,Taken for 1 to 2 years,"January 26, 2022",0,"Heather (norethindrone):I've never had a good experience with birth control until I tried Heather. I used to get painful periods to the point where medication didn't work and I couldn't get out of bed. I did experience spotting and hair loss the first 3 months but that's it. My hair has grown back longer and healthier than ever and I never get a period or any spotting at all. I refuse to get off this pill, it has been amazing!",Jay
20,Norethindrone,Birth Control,1.0,Taken for 6 months to 1 year,"January 18, 2022",0,"I stopped taking norethindrone about three years ago after being on it for a year and my period has yet to regulate normally. I always struggled with mild acne, but after I switched to norethindrone from a birth control containing estrogen due to a medical issue, my face was ravaged by acne. Even after I stopped taking norethindrone, I still struggle with bad acne that is just now beginning to heal after lots of trial and error on my part using different skincare products. Everybody is different, but for me, I wish my doctor had properly informed me that these side effects could happen because it has not been worth it . The depression that having severe acne stemming from this caused me, and the annoyance of not having regular periods and being worried about potential pregnancy is not worth it.",Anonymous
21,Norethindrone,Birth Control,3.0,Taken for 5 to 10 years,"January 8, 2022",0,"Ortho Micronor (norethindrone):I took micronor for about 6 years and stopped. About two years later, I found out I had breast cancer. Not related to Genes. Read the warnings.",Altosax
22,Norethindrone,Birth Control,8.0,Taken for 2 to 5 years,"January 4, 2022",0,"I've used Mylan Norethindrone for about 3 years now, and I've had an almost all positive experience. I've noticed that since I started, my periods have been extremely light/nonexistent, and I no longer have passing out episodes when I do menstruate. I do take a pregnancy test every two weeks just in case though, but still no pregnancy scares here! I do recommend taking the pill with a piece of toast if you get nauseous easily. A downside I have noticed sadly is my hair has thinned. I also get pelvic cramps around the time I would be bleeding, just with no blood. Everyone is different though. I can't take any bc with estrogen because it made my entire left leg numb for two weeks straight. Norethindrone has definitely been a life saver, especially for couples who aren't giant fans of condoms",Dani
23,Norethindrone,Birth Control,9.0,Taken for 1 to 6 months,"January 4, 2022",0,"I have been on this pill for almost 6 months now and I honestly love it. I have always had regular periods and my doctor warned me that I may stop having periods altogether on this pill but I have continued to have regular periods. This is good for me because I am always paranoid of pregnancy even when I know I'm safe. I was previously on another pill that made me irritable and slightly depressed and I have felt 1,000x better on this pill. My mood has been stable. I will say that my cramps have remained the same since being on this pill (moderate pain for one day). So pretty much, almost every part of my body feels like I am not even taking a pill. My cycles have remained the same and my body pretty much goes through the same things it always has. I didn't have any major concerns when deciding a pill choice so I can't complain that it hasn't ""fixed"" my mild PMS symptoms. The only change has been thicker and more vaginal discharge than normal.",Anonymous
24,Norethindrone,Birth Control,6.0,Taken for 2 to 5 years,"January 2, 2022",1,"Jencycla (norethindrone):I started taking Tricyclen-Lo at 17 years old due to heavy,  irregular bleeding. That pill worked perfectly for me for ten years. I had zero issues and my period was like clockwork while on it. However, I noticed the last couple of years while on it that I would randomly get migraines with aura a few times a year so I told my doctor. She said my options were the mini pill or the IUD. I absolutely am not ok with the idea of a device being stuck in me for years, so I opted for the mini pill (Jencycla). The first 1.5 years on this pill was horrible. I bled for almost the entire month straight when I first switched. I developed cystic acne (never had acne in my life before), and I was constantly paranoid about my period because it would come multiple times a month as it pleased. It's almost been 4 years now since I started Jencycla and the last two years roughly has been pretty good. My body finally regulated my cycle give or take a few days but I no longer worry about getting my period randomly.",Kerri
25,Norethindrone,Birth Control,6.0,Taken for 6 months to 1 year,"December 31, 2021",0,"Norlyda (norethindrone):The first two months taking Norlyda, I literally had my period twice a month, HEAVY. After 8 months till now, I haven't had my period since then, I've lost 22lb, and now I have chest acne :/ I don't like being on my period so I don't mind, losing weight is fine with me because now I'm back to my original weight due to my old bc that made me gain weight. But I like this pill, I just don't like the acne part. Also I take it every day right on the dot. I felt like the first two months when I was taking it, I wasn't being consistent with taking it on time. So it made me have a irregular period and usually my period is regular. Also my sex drive is high. i'm only 24. everyone is different but I hope this helps u :)",realfaka
26,Norethindrone,Birth Control,1.0,Taken for 2 to 5 years,"December 30, 2021",0,"First and foremost, do not use this pill if you really do not want to get pregnant! I have used this pill for 3 years and 6 months consistently, however this month I find myself pregnant!!!! Nothing has changed! I just ended up pregnant and I am not happy about it at all. The pamphlet itself says this pill is 99% effective when taken correctly, and 91% with typical use, meaning if an individual is skipping pills or not taking them on schedule. If I had known this pill would have lead to pregnancy I would have gotten my tubes tied.",Jess
27,Norethindrone,Birth Control,10.0,Taken for 1 to 6 months,"December 30, 2021",1,"Ok I reviewed this last month and wanted to update so here is an update: I have been on Errin for 2 months now and honestly I love it. The first month was a doozy to deal with because of all the breakthrough bleeding, seriously I bled or spotted the majority of the month; however, I set an alarm to take the pill at 9 and if I take it every day at the same time (or within 45 mins either way) I will not have any breakthroughs at all. So far this has helped me considerably with my mood swings, cleared up my hormonal acne, doesn’t trigger sugar cravings like before, no weight gain, more energy (except on my period, but that’s normal), my libido is higher than ever, and no pregnancy yay! The first period I had on this was as bad as my normal ones used to be, absolutely horrendous, but now this second period is SO much lighter, and cramps are no where near as excruciatingly painful. I really love this pill and am very glad I stuck through the first month!",Lwtb
28,Norethindrone,Birth Control,1.0,,"December 26, 2021",0,"Nora-Be (norethindrone):I started taking this pill postpartum because I’m pumping. It’s been one week and I’m done taking this pill. I noticed within a day of taking it I started spotting and now I have a heavy flow with terrible cramping. In addition, I feel moody and constantly have a headache. I’ll be reaching out to my doctor to be switched to something else. I would not recommend this pill to anyone.",Kay
29,Norethindrone,Birth Control,1.0,Taken for 1 to 2 years,"December 18, 2021",2,Nora-Be (norethindrone):My wife doesn’t think she has any side effects from Nora- BEAnd when I brought it up last night she threatened me with divorce She seems to like it because she doesn’t seem to have a period when she’s on it But this pill is seriously messing with my wife’s mood and has completely destroyed her sex drive and I quote  she would rather eat rusty nails than have sex with me This pill is literally destroying my wife’s emotions and has caused constant depression and it all started after she started taking Nora-BE And there is nothing I can say or do to to get her to make the connection between this pill she takes every single morning and the way she has become so abusive and depressed on it.... but what do I know I’m too stupid to understand how she feels My wife was never like this before and everything I have read here from you ladies explains so many things and I see so many similarities,Desperate dad
30,Norethindrone,Birth Control,1.0,Taken for less than 1 month,"December 16, 2021",1,"Heather (norethindrone):I was put on Heather for migraines (with aura) and within 30 minutes, I was feeling hot flashes, face was tingling, I got all shaky, my pulse was racing and I passed out. I also got very nauseated and couldn't keep anything up or down. My doctor said it was definitely not normal and told me to stop the pill immediately. I also had a hysterectomy in 2019 so I have no uterus so I know my migraines are not hormone related as I have 15-25 migraines a month.",Teresa
31,Norethindrone,Birth Control,9.0,Taken for 1 to 6 months,"December 14, 2021",1,"Errin (norethindrone):I have been on Errin for one month now and have mixed feelings. It has cleared up my hormonal acne, given me more energy, and evened out my mood swings but I do have breakthrough bleeding. I take this every day at 9pm, I set an alarm, and I would say that if I miss it by 30 mins I will get cramps and then a little breakthrough bleeding the next day. I had horrible cramps before this, and still do on this, with my normal period (hoping it will help once I get adjusted to it). I am going to stay on this for a couple months to see if I can get adjusted with the bleeding. It has not led to any weight gain either which is a plus. Also, no pregnancy. I cannot take normal pills due to risk of blood clots and migraines so the mini pill has been very decent as a replacement so far. I would recommend it but am going to see if this breakthrough bleeding gets better or worse, it is really the only downside.",lwtb
