,drug,condition,rating,duration,review_date,upvotes,review,username
0,Ciprofloxacin,Bladder Infection,,Taken for less than 1 month,"March 6, 2022",0,"I have had partial urinary incontinence for years - maybe 10. I had incontinence so severely last week that I urinated on myself twice. Today, a week after a 3-day treatment with Ciprofloxascin, I have complete control of my urinary sphincter. My underwear is dry for the first time in years and I  have no odor! I have no idea how this might have worked, but I am thrilled!",Charlie
1,Ciprofloxacin,Bladder Infection,2.0,Taken for less than 1 month,"February 15, 2022",0,"I had left a earlier review when starting.  I was prescribed this medication 500mg twice a day for 5 days. For the first 3 days it gave me a terrible fever, 103, 102.9, 102.8.  I then did research and took a over the counter tylenol with the prescribed medication which helped with the fevers.  This medication also gave me severe nausea, I was only eating two pieces of dry toast twice a day.  I will not be using this medication again, hope it helps others though.  Two weeks out and the infection has gotten a little better but not gone.",Collie
2,Ciprofloxacin,Bladder Infection,3.0,Taken for less than 1 month,"January 27, 2022",0,"I woke up with a severe pain in abdomen, thought it was a sketchy chicken I consumed, nope.  That was Sunday, went to the doctor on Tuesday, prescribed Cipro, took the first one right away, following directions to a T.  Next day with no sleep, but didn't have to go pee 10 times during the night, didn't have any burning sensation to begin with.  I do have a fever, just took my third dose of 500mg 2x's a day for 5 days.  I have a fever of 102.8, I will wait until tomorrow and see if it persists. Will change my rating if it works or harms after finishing prescription",Collie
3,Ciprofloxacin,Bladder Infection,1.0,Taken for less than 1 month,"December 15, 2021",0,Both my Mother and husband developed C. diff. after taking Cipro for a urinary infection. Both were over 65 and both had hospital stays after taking that drug. My husband had only taken it for 5 days out of the 10 prescribed. I will never take it.,clean up crew
4,Ciprofloxacin,Bladder Infection,1.0,,"October 12, 2021",0,I’m exhausted cannot move off couch. Feel like a train rolled over me. This stuff isn't for me at all!,Anonymous
5,Ciprofloxacin,Bladder Infection,8.0,Taken for less than 1 month,"July 8, 2021",0,Cipro worked amazing for me with any of my bladder infections. I am highly allergic to Bactrim (itchy all over my body for weeks). I have Sjogrens and Rheumatoid Arthritis.  They say a lot of people with auto immune disorders have allergic reactions to Bactrim. I'm so happy my doctor prescribes Cipro when I have a bladder infections.,Alley
6,Ciprofloxacin,Bladder Infection,1.0,Taken for less than 1 month,"April 28, 2021",0,"Ciprofloxacin gave me the worst nightmares imaginable I had to quit after the 2nd night.  Also,4 months later I have trigger finger where I can barely move my right index finger and will likely require surgery on it.  I woke up unable to move my finger and it only gets worse everyday.  It is hugely painful to ""unlock it"" and only works for about 2 hours before having to carry out the procedure again.  I don't believe many younger doctors like prescribing this anymore.  Baclofen is a much safer choice and should certainly be tried first.  I have bad reactions to baclofen as well.  Like really bad.  But at least they go away after a week being off it!",Jo Ey
7,Ciprofloxacin,Bladder Infection,1.0,,"April 18, 2021",2,"This is the worse antibiotic I have ever taken. I took took it for 4 days. I've only been able to eat very little my stomach is burning, I have cramps, puking. I would not recommend this to my worst enemy. I'm losing weight back. I couldn't take it the 7 days It's too harsh on the system 2 days stopped and still have horrible side effects.",Scooby
8,Ciprofloxacin,Bladder Infection,5.0,Taken for less than 1 month,"March 7, 2021",2,"Horrible drug! Very painful skin rashes still bothersome after 1 1/2 years later. Severe tendonitis in legs, arms and hands. Nerve damage in legs and hands. Took cipro 500mg twice per day as directed. Stopped at day five of a ten day Rx, could not tolerate any further. UTI did clear but cipro has damaged me. I am 71 yrs old male.",McGy
9,Ciprofloxacin,Bladder Infection,1.0,Taken for 1 to 6 months,"October 30, 2020",5,"This medication ciprofloxacin ruined my life, I was prescribed it several times in 2004 and subsequently developed debilitating medical conditions and symptoms that have lasted for 16 years. This med should be taken off the market.",Nicolle
10,Ciprofloxacin,Bladder Infection,1.0,Taken for less than 1 month,"July 22, 2020",10,"Almost 3 yrs ago I was given Cipro for a maybe infection after a stent was placed in my ureter. After 3 pills I started feeling pulling in my calves. I stopped the Rx. Pulls, leg cramps, left side weakness in my arm and leg, terrible brain fog, confusion, abdominal pain, chest pain up the center, heart palpitations, suicidal thoughts, depression, itching, that some side effects still continue today! Almost 3 years later!!! This is a terrible DRUG FAMILY!! DO NOT TAKE ANY OF THEM!!",BJ
11,Ciprofloxacin,Bladder Infection,10.0,Taken for less than 1 month,"June 2, 2020",10,I took this ciprofloxacin medicine which has been prescribed twice a day every 12 h (500 mg) for 14 days now is my third day I feel very well no more symptoms  I’m glad works for me,HamidB
12,Ciprofloxacin,Bladder Infection,1.0,,"May 24, 2020",4,"I took Cipro 250 mg for urine infection . One pill two times a day for 5 days. It’s been 2 days after taking the anti-biotic and I can’t control my urine, I have a urine leakage, severe stomach pain and back pain. I fear I now have a kidney infection and urine leakage may never go away.",Kelly
13,Ciprofloxacin,Bladder Infection,1.0,,"May 12, 2020",6,Took cipro for a UTI.  On the 5th day last pill I fainted.  Had to be ambulanced to nearest hospital.   I ended up with ischemic colitis.  Never had any problem like that before.  I think the ciprofloxicen caused permanent  damage to my bowel.  Will never take it again.  Still having issues after 7 months.,Lilly
14,Ciprofloxacin,Bladder Infection,10.0,Taken for less than 1 month,"April 6, 2020",8,"I am always very sick physically. I have interstitial cystitis, menieres disease, MCS and more. I often get bladder infections especially because my IC medicine is put in with a catheter regularly and that makes the urethra more exposed to bacteria even though its all sanitized. Ive also been worse since i got my cystoscopy few months back. However, I've always taken Ciprox for bladder infections and it always works 100% and I have never experienced side effects of any kind. One would think since this medicine is so horrible( according to new information) that a sick person would especially get side effects but it has never happened, not even once. All the other antibiotics i tried for my bladder either didn't work or they made my stomach horrible and i got yeast infections..( note that I put one month in the time of medication because when i get infections i take it for a week and thats enough. However I've been having infections on and off for 12 years)",V
15,Ciprofloxacin,Bladder Infection,1.0,,"January 30, 2020",14,"I took cipro for prostrate infection twice a day and the course was suppose to be for 7 days, by the 4th day I had pain in my back and legs, constipation, insomnia, fog mind, tremors in my hands. Now, I always tired, lost about 20 pounds, I'm very susceptible to cold weather, no longer working. I was very healthy person before I took Cipro awful pill.",Danny
16,Ciprofloxacin,Bladder Infection,1.0,Taken for less than 1 month,"January 18, 2020",10,Within 10 minutes I'm dizzy and sleepy.  I wake up 2 hours later confused and slightly dizzy.  My upper abdomen feels like I have an ulcer and  I'm extremely nauseous.  I ate an apple and felt better.  Its 3 am and I can't sleep ,Lady what is happening
17,Ciprofloxacin,Bladder Infection,5.0,,"January 8, 2020",6,"My first bladder infection. First Drug didn't work. Gave me this ciprofloxacin next, 500mg 2x daily every 12 hr.  First and second night I had night terrors.  I'm allergic to other meds and the doctor told me that there was nothing else, discussed doing one pill in morning.  Talked to pharmacist they suggested take second 7-8 hours after morning dose.  Night terrors tamed.  Finished 5 days - 2 days later my knee extremely painful.  Another two days, I am now leaking urine with no control.  My other knee hurts and hip and elbow.  Saw knee specialist and he stated he could inject cortisone or wait - I opted for inject since my other joints were hurting and I do not want to cause more damage due to walking funny.  My knee pain is almost gone.  My other knee, hip, elbow all gone.  My leakage, gone.All doctors scratched their head with the urine leakage, I am convinced it was the drug.",jay
18,Ciprofloxacin,Bladder Infection,2.0,Taken for less than 1 month,"December 8, 2019",13,"I'm usually not one to leave a review on a medication. Especially since everyone's body may react differently. However, I needed to share my reaction to this medication ciprofloxacin. I thought that maybe I had come down with the flu. My body is hurting so bad I can barely move. Every joint hurts (including my fingers), muscles feel like they are on fire while something is stabbing them. I have had chills but no fever, Nausea and vomiting, My back hurts and my chest is tight as well. I have almost doubled my water intake so I don't believe it's lack of fluids. I would advise if you are having there's side effects to please stop and contact your Dr. I don't think I have ever felt this bad. But again, not everyone is this same",Tiffany
19,Ciprofloxacin,Bladder Infection,1.0,Taken for 1 to 6 months,"October 24, 2019",21,"I am so tired!!! I don't feel like even breathing! My back hurts, my head hurts, dizzy, depressed, mad, sad, my bladder burns, I'm constantly running to the bathroom, and feel like rubbish! I will finish taking what I'm supposed to but I think next time I'll ask if there's something else. This is crazy!!!",Anthony
20,Ciprofloxacin,Bladder Infection,10.0,Taken for less than 1 month,"October 23, 2019",10,"Cipro for my bladder infection has worked very well for me. I have taken it twice so far with no major side effects (only burning sensation, foggy etc). It has worked when other antibiotics didn't and cleared the infections completely.",AnaAna
21,Ciprofloxacin,Bladder Infection,,Taken for less than 1 month,"July 5, 2019",5,I found that after taking cipro 500mg for a week when I took it my bladder symptoms worsened. Is that normal?  I felt severe urge and pressure  only relieved after a few hours of taking the drug.,Zaza
22,Ciprofloxacin,Bladder Infection,10.0,Taken for less than 1 month,"June 24, 2019",11,"I have read some negative comments on here.I do have one really bad allergy  to another specific drug.However, I can tolerate this drug quite well.I was admitted to hospital in 2011 with a very severe bladder infection, and I was given this IV in the arm.Over the years I have had it in tablet form from my GP and only suffered mild side effects.I think it is a good drug.",Tatters
23,Ciprofloxacin,Bladder Infection,1.0,,"June 16, 2019",28,"Cipro (ciprofloxacin):I was given Cipro as I was leaving a hospital where I was treated for a bladder infection. I became confused and nauseous after being on it for 1.5 days and stopped taking it. A little over a week later, I could hardly walk and felt like I had electricity running down my legs. That was followed by stabbing pains in hands and feet, prickling sensations all over my body and patches of burning sensations on my arms, legs and back. It's now almost a year later and I have had to deal with this horror 24/7. Only when I developed overactive bladder along with the neuropathy did I learn Cipro can cause all of my symptoms. My urologist told me this based on my medical history and notifications sent by the FDA to him and other physicians.",Mease
24,Ciprofloxacin,Bladder Infection,1.0,Taken for less than 1 month,"May 7, 2019",25,"Cipro (ciprofloxacin):I took Cipro for a bladder infection which gave me severe burning pain, depression and dark thoughts. I now have severe tendon and joint pains to the extreme that doctors are diagnosing me with chronic arthritis, severe tendonitis, and there are days I can't walk. The FDA has  double black box warning. NOT good, do YOUR research. This Cipro can change your life over night. I never, ever had joint pain until my doctor was careless the day he prescribed this -  the double black box warning had been issued so prescribers take more  care. His staff never paid attention and here I am living with the consequences. RESEARCH CIPRO, you will be well informed and trust me you could save your own life. Doctors prescribe but  it is YOUR health  so be informed",Eli
25,Ciprofloxacin,Bladder Infection,1.0,Taken for less than 1 month,"April 9, 2019",6,"I will NEVER take this ciprofloxacine garbage again!!! I was taking Ambien ( I will also never take it again as well seeing that I takes a full week to get out of your system). Anyways I was told to stop taking the Ambien when I started the Cipro. Well I started the Cipro and the very next day I was excessively drowsy and and horribly depressed!!! Even though I stopped the Ambien. I was so so sleepy I couldn't see straight! I had absolutely no appetite for two weeks , even after stopping the Cipro,. I had lost 10 pounds in 2 weeks from not being able to eat!!!! Besides being extremely sleepy my mood had went downhill pretty fast. I was nauseous, my head pounded and I was also extremely grouchy. None of this started until I started the Cipro. Never ever again. I will stick to Bactrim. ",Daisy
26,Ciprofloxacin,Bladder Infection,5.0,Taken for less than 1 month,"March 29, 2019",12,"I guess it works...but is the increased heart rate/anxiety, tingling skin, night sweats, difficulty sleeping worth it? Glad I stopped after 3 days.",Dave
27,Ciprofloxacin,Bladder Infection,9.0,Taken for less than 1 month,"March 20, 2019",25,"Was prescribed  ciprofloxacin for a UTI  and had to take it 2 times a day for seven days, I got no side effects or mental health issues but the first day I took I had slight stomach pain but it was barely nothing.  It's best if you eat a good full meal before or right after you take pill and drink A LOT of water that's what I did and I was fine. UTI went away thank  goodness. I hope this helps  anyone",Anonymous
28,Ciprofloxacin,Bladder Infection,10.0,Taken for less than 1 month,"September 24, 2018",7,I have had every drug under the sun for persistent UTI 's for last 4 years. I live in UK and never heard of this drug. I was on holiday and had to consult a doctor who gave me this drug. I have had no side effects and I have just finished 7 day course. Infection has gone and I am just waiting to see if this has worked long term. ,Polly30
