,drug,condition,rating,duration,review_date,upvotes,review,username
0,Olanzapine,Borderline Personality Disorder,8.0,Taken for 1 to 6 months,"February 7, 2022",0,Very effective for dissociative symptoms. I take 2.5 mg in the evening.,bpdgirl19
1,Olanzapine,Borderline Personality Disorder,10.0,Taken for less than 1 month,"January 25, 2022",0,"I've struggled for years to get a proper diagnosis and the correct medication. I was diagnosed with Borderline Personality Disorder (BPD) 3 weeks ago and started on Zyprexa 5mg. recently upped to 10mg. and it has changed my life. While I'm slightly groggy and lightheaded somedays, the benefits of this medication are well worth it. Zyprexa gave me my life back and took away my anxiety. I highly recommend.",gt11687
2,Olanzapine,Borderline Personality Disorder,6.0,Taken for 6 months to 1 year,"December 11, 2021",0,"I have been on Olanzapine 2.5mg since March this year. I was very hesitant about going on Olanzapine at first because of the negative reviews I read about it.  But I'm so glad I did. It's helped my mood immensely along with sertraline. Before I started taking Olanzapine, my mood fluctuated a lot like a storm along with paranoia and dissociation. The fluctuations, dissociation and paranoia hasn't fully gone, but I feel I can deal with this a lot better now. I have EUPD, along with anxiety and depression. The main side effects I got from it is weight gain and sleepiness. I've put on 3 stone since starting taking this medication. But with regular exercise and healthy eating I should loose the weight. I made the right choice going on Olanzapine otherwise I'd be climbing the walls. I wouldn't be able to function daily without it. It also helps me sleep. Just make sure to stick to exercise and eating healthy to keep the weight off, as weight gain is one of the main side effects.",MysticalNutter
3,Olanzapine,Borderline Personality Disorder,1.0,Taken for 1 to 2 years,"October 9, 2021",0,Olanzapine makes me very dizzy. I take it at night and can't wake until 12 o clock next day. I feel like I'm going to fall and can't open my eyes. It also makes me panic a lot like I can feel my heart beating out of my chest. It brings back my PTSD symptoms.And doesn't help with BPD symptoms at all,Imtiaz Choudhry
4,Olanzapine,Borderline Personality Disorder,10.0,Taken for 1 to 2 years,"July 12, 2021",1,"I'm on a very low dose 2.5mg (I cut a 5mg in half). Weight gain has been an issue for me on this medication but since I started walking to and from work and adopted a keto diet, I have since lost weight. Zyprexa completely stops me from overthinking and obsessing. I have bpd with psychotic symptoms and zyprexa has been a miracle drug for me. I feel a lot better and I can concentrate.",damnedinblack
5,Olanzapine,Borderline Personality Disorder,4.0,Taken for 1 to 6 months,"January 16, 2021",6,"olanzapine was prescribed for my auditory hallucinations, major depression with psychotic features.  Got up to 15mg twice daily and I feel like a sociopath.  Had a newborn 6 months ago and I feel no love or joy around her.  Not motivated to do anything and nothing at all catches my interest.  So I'm on day 3 of not taking it anymore as my hallucinations go away, and stay away without some precipitating factor(like the stress of a newborn).  I hope I recover soon because I don't want to even be around my baby.  It did stop my hallucinations however after about 5 weeks.  Just beware becoming a husk of life stripped of your humanity.",Nihilistic
6,Olanzapine,Borderline Personality Disorder,1.0,Taken for 1 to 6 months,"August 30, 2019",15,"On the olanazapine for  Bipolar and borderline. There was no difference in my condition, except it destroyed my liver and affected my appetite so much that I gain 30 kg in about a month. I was never obese in whole my life until then and I am still although that was almost 3 years ago. Liver got healthy very fast, as it always had been until the biggest destroyer of my life - olanzapine.",Miss S
7,Olanzapine,Borderline Personality Disorder,8.0,Taken for less than 1 month,"July 24, 2019",13,10mg Olanzapine has reduced my anxiety and given me enough energy and motivation to clean my house. Before I took this medication I spent most days curled up in a ball unable to deal with anything. Overall this has been a wonderful thing for me. It made me really sleepy initally (I slept through alarms and was late for work a few times) and definitely gives you the munchies. I have gained 2 kilos in 2 weeks.,charbono
8,Olanzapine,Borderline Personality Disorder,8.0,Taken for 6 months to 1 year,"May 11, 2019",11,"I have been on olanzapine for 9 months. I had psychosis and was started on it. I am back on 10mg dose -  it was lowered to 7.5mg recently because of weight gain, during that time. I was incredibly anxious, agitated, had insomnia, began seeing things, was tearful, my anger increased. I have only been back on the 10mg a couple days but I feel less agitated, am still seeing things but it is lessening. I am less jumpy. I am less tearful, my sleep is improving. I plan on staying at this dose because it did help me in the past before the lowered dose. The key to keeping a stable weight is healthy eating and exercise like walking I think. Olanzapine really helps, so for me weight gain is something I'll try and deal with. It is said the longer one is on it, your appetite stabilises. I don't want to feel like I did before so am sticking with it. I was diagnosed with EUPD (Emotionally unstable personality disorder) 10 years ago. I am close to 40yrs old.",Louise
9,Olanzapine,Borderline Personality Disorder,8.0,Taken for less than 1 month,"May 7, 2019",14,"I’m close to being 35 years old and this is the first time I’ve felt a resemblance of myself returning since my teen years! I’m on 2.5 mg dose of Olanazapine, I have borderline personality disorder, I really works and the only negative side effect thus far  is restless legs at night. That can be easily dealt with. It’s a small price to pay for finally finding some relief.",BB
10,Olanzapine,Borderline Personality Disorder,9.0,,"April 18, 2019",31,"I have borderline personality disorder, 35 years of age, diagnosed in 2016, but didn't really understand it until 2018 and was in denial and drinking for 6 years. I'm on venlaflaxine (effexor) and it was the first drug where my depression was lifted but I was still looking at trying to leave the house. Come 2019, stop drinking, started smoking weed, had a hypomanic and hallucination episode while in hospital and a good Psychiatrist gave me olanzapine and it changed my life, this was the drug I've been looking for (I used to be anti drugs until things got so bad I couldn't work). He gave it to me for manic episode cause he said I wasn't acting like myself. Only on olazapine 3 days and I noticed a difference only in one day. I had to get the medicine special ordered and took it after a week out of hospital. So I saw the difference in that one week, nothing triggered me, wasn't obsessively thinking and racing mind, no depression, no rage or anger. Life changing!",Zoe
11,Olanzapine,Borderline Personality Disorder,6.0,Taken for less than 1 month,"October 16, 2018",18,I have been taking olanzapine for a little under a month now and I have noticed slight effects and it doesn’t completely stop the BPD but it does help getting yourself back to being you which is something I struggle with immensely! I take 5mg of olanzapine in the morning along side 100mg of sertraline. At night I have 10mg of olanzapine and 10mg of melatonin an hour before my bed and I quickly get sleepy. For me olanzapine has made slight changes with my moods and personality but I need to wait a few more weeks to start noticing the full effects. Thanks in your time reading my review and opinion,Cameron
12,Olanzapine,Borderline Personality Disorder,,Taken for 1 to 6 months,"August 29, 2018",10,"I've been taking Olanzapine 5mg for about a month now, and I have gained 5 pounds.  I only think of food, now I exercise a lot so I don't gain anymore weight.  I had very bad anxiety and suicidal thoughts and tried to commit suicide by taking an overdose of pills, when I was in  the hospital they gave me Olanzepine.  I feel much better but I'm up extremely early like 5:00am, I feel more positive and my thoughts are clearer.  I am restless and want to keep moving and doing stuff, it can be exhausting but as long as I feel better.",Resti
13,Olanzapine,Borderline Personality Disorder,9.0,Taken for 1 to 6 months,"April 22, 2018",12,"Worked great from the first night I took it. The next morning I felt calmer and more mentally and emotionally stable. It helps me sleep and sleep well. I haven’t been formally diagnosed with anything yet, but I’m guessing I have BPD with depression and an anxiety disorder. This helped me with everything except for depression. I can’t rate it a perfect 10  because it seems to make me a little tired and unmotivated during the day. Also, I can’t seem to lose much weight on it, which is a bummer. My pdoc has tried other antipsychotics and AD’s on me but only zyprexa (Olanzapine) has seemed to help at all.",CaliforniaGuy1
14,Olanzapine,Borderline Personality Disorder,10.0,Taken for less than 1 month,"March 17, 2018",8,"What a change in my life.  My mind feels 20 again.  I will do my best to eat well and watch my weight, but frankly the relief I get is worth more weight.  My only concern right now is that I become sensitized to the meds and going back to what I was feeling before.",Dave
15,Olanzapine,Borderline Personality Disorder,9.0,Taken for 1 to 6 months,"February 28, 2018",16,"I love Olazapine. It was a life changer. However, I've put on 10+ pounds since I started taking it in about September 2017. Do not smoke or drink often tho (more than once a week) because I find when I do, the effects of the medication aren't as substantial.  I struggle with alcoholism and find it hard to stay alcohol free. So because I don't listen to myself, the pills aren't working as well. Usually, my thoughts are clear, my anxiety is minimal, and I'm able to LIVE. but lately, I'm crippled emotionally. Stay away from alcohol and drugs while on olazapine.",Torianna
16,Olanzapine,Borderline Personality Disorder,8.0,Taken for 1 to 6 months,"November 3, 2017",13,"2.5 mgs olanzapine a day, bpd-adhd-gad able to cope with mood swings better as if observing them from a distance. takes the edge off agitation. and have that all important regular sleep cycle.  I can't stop eating but haven't gained a lot of weight. symptoms are still present but easier to deal with.",mm31
17,Olanzapine,Borderline Personality Disorder,8.0,Taken for 1 to 6 months,"September 8, 2017",14,"Best anti psychoticI've tried. On 5mg, also on 225mg Venlafaxine for C-PTSD (helps with depression & anxiety). Best combo I've had to date, but doesn't make me energetic, but alleviates the C-PTSD, BPD and IBS, so it's a winner.",richstad
