,drug,condition,rating,duration,review_date,upvotes,review,username
0,Anastrozole,Breast Cancer,4.0,Taken for 2 to 5 years,"March 21, 2022",0,"This drug is horrible. I have a year and a half left and I will stop taking immediately. Terrible mood swings, depression, lack of energy and lack of appetite.",Mary jo
1,Anastrozole,Breast Cancer,10.0,Taken for 1 to 6 months,"March 12, 2022",0,"I was diagnosed with stage I breast cancer, estrogen receptor positive, in April 2021. I had a lumpectomy, radiation, and have been on anastrazole since December 2021. I too am so sorry to hear of all the negative side-effects being experienced. Fortunately, I have had only mild side-effects (a cough) since starting anastrozole, and I just wanted to reinforce the message another breast cancer survivor posted.  Do not be disheartened. There are positive experiences using anastrazole. I'm not sure why so many have side-effects. I am now 65 years old, and otherwise very good health.",Kate K.
2,Anastrozole,Breast Cancer,10.0,Taken for 1 to 6 months,"March 3, 2022",0,"The thought of taking this medication scared the dickens out of me based upon the reviews here.  I chose to give it a try knowing the decision to stop was also mine.   I was age 68 and now 69, lumpectomy, targeted radiation, not in lymphs.  The first few days I experienced headache and joint discomfort.  Then both stopped.  Activity matters.  I was active prior to diagnosis and treatment and have increased my activity level since beginning this medication in mid October 2021.  I walk 3-4 miles daily, bike (on trainer during winter), 15 daily flights of stairs and swim (when I'm able).   I found that I can limit my activity a couple days each week but if those days are two in a row I begin to feel bone and joint pain.  Then I kick my activity back into higher gear and no longer go light two days in a row.  This is my lifestyle for now and probably forever.  I pray for positive long term outcomes and good quality of life for us all.",Bertie
3,Anastrozole,Breast Cancer,1.0,Taken for 1 to 6 months,"February 15, 2022",0,Vaginal dryness so as sexual intercourse was painful and had slight bleeding after. Terrible hot flashes and insomnia.  I switched to tamoxifen and all areas improved for me.,Anonymous
4,Anastrozole,Breast Cancer,8.0,Taken for 2 to 5 years,"January 3, 2022",0,"I have been taking Anastrazole for 4.5 Years now after I was diagnosed with Her2 positive breast cancer. Grade B2I had Chemo first before surgery. No cancer left after chemo. Then double mastectomy.  With Anastrazole I do get a little pain in my hips, but with walking and running daily really helps. I also have had trouble with bladder and sore vagina. Coconut oil or Manuka honey really helps and exercise daily. For bladder infection D Mannose is better than antibiotics.I have had brain fog , but exercise really helps. After reading all the comments I am definitely staying on Anastrazole for 10  years.",Shillan
5,Anastrozole,Breast Cancer,5.0,Taken for 1 to 2 years,"October 16, 2021",0,"Diagnosed with breast Ca 2019, right at the time of covid shut down. Went through surgery and radiation therapy. Managed all that with few issues.But bring on the anastrozole and my life turned upside down!! Been on Anastrozole now 1 year. Side effects are kicking my butt!!Oncologist has tried other meds, but same issues. We are now trying every other day, but I don't see a big relief. Worst is the joint and body aches. Insomnia and diarrhea. I see on this post that it apparently is common for this med. Hoping for improvement, but doesn't seem likely",Mem
6,Anastrozole,Breast Cancer,,Taken for 2 to 5 years,"October 13, 2021",2,"I’m coming to the end of my five years of taking Anastrozole (April 2022) after treatment for stage 1 breast cancer, lumpectomy and radiotherapy. As with most of these ladies, I experienced crippling leg, hip, thigh, joint pain. Also serious issues with fatigue. For what it’s worth my daughter bought me good quality CBD oil to try to help. Help it certainly did. Within two days I was without pain of any description in my legs, hips and other joints. I am still taking it and will do until I can stop taking Anastrozole. I’m not advocating CBD oil as I’m not medically qualified, I just think I should share the effects it had on me as I know how bloody miserable Anastrozole can make you feel. Do your own research, talk to your doctor ( if you can!) and maybe try it yourself. I use the 1200 mg, 4 sprays per day. I hope this helps someone.",Gran
7,Anastrozole,Breast Cancer,8.0,Taken for less than 1 month,"August 30, 2021",4,"Arimidex (anastrozole):Have been taking 1 mg daily for a week.  So far, only mild hot flashes and maybe a knee twinge a couple times [and I had problems with knee tendons previously].  I walk 1-2 miles/day and work out with light weights and so far have had no problems with either.  I already had mild osteoporosis and had another baseline DXA scan prior to starting anastrozole [the generic name for Arimidex].  Won't know how the drug affects my bone strength for a while.",ladybear
8,Anastrozole,Breast Cancer,10.0,Taken for 5 to 10 years,"August 26, 2021",3,"Arimidex (anastrozole):I had invasive ducal carcinoma treated with lumpectomy with lymph node dissection, chemo, and radiation.  I’ve been taking Arimidex for almost 10 years… last dose when I finish this bottle!  I’ve had basically no side effects otherwise I’d have stopped long ago.  No reoccurrence of cancer.  I’m grateful to have had this drug in my Arsenal to protect me!",RSR
9,Anastrozole,Breast Cancer,10.0,Taken for 5 to 10 years,"August 7, 2021",2,Arimidex (anastrozole):First 6 months hand/severe arm and shoulder pain at night that would wake me up and continue for awhile and trigger thumb.  I’ve been on it for 8 years and symptoms went away after that initial period. God bless all of you and try to stick it out symptoms get better I think when your body gets used to it.,Anonymous
10,Anastrozole,Breast Cancer,10.0,Taken for 5 to 10 years,"July 21, 2021",2,"I’ve been on arimidex 9 1/2 years now.  My hair continues to thin but it’s ok. I don’t have cancer!  I have had terrible headaches all of my life until I had cancer, chemo and arimidex. I haven’t had a headache since! Im skeptical about stopping the arimidex in a few months. I wonder if the headaches will return. And more so, what happened that made them stop?  But I know I will stop the drug soon so I’ll see what happens next.",Chatty
11,Anastrozole,Breast Cancer,1.0,Taken for 1 to 6 months,"July 9, 2021",4,"I took this drug because my oncologist felt it would reduce my cancer risk. I have ductal papilloma hyperplasia with other risk factors that makes me a high risk. I took it for 31 days. I experienced unexplainable sweating, increase in blood pressure, over all itching, headaches, joint/bone pain, insomnia and mood swings that were bad. I am post menopausal. I expected some side effects but after 31 days and an emergency room visit enough was enough. I weigh the value of medication based on cost vs benefit. Yes, I am risking developing cancer but I am comfortable in the monitoring I will be under that an annual breast MRI and mammogram which provides me with being monitored every 6 months. I have completed  gene testing but have not received the results. 5 years of nightmare living on anastrozole is not worth it!!",Lisa
12,Anastrozole,Breast Cancer,10.0,,"April 26, 2021",15,"So, I'm going on 9 1/2 years on Anastrozole. I was told over 4 years ago, that I had osteopenia....a side effect of this drug, but my oncologist wanted me to take it for 10 years- I'm almost there now and I'm looking forward to coming off of it. I don't sleep well (about 4-5) hours max, but I push through the tiredness. I work out, lift weights, ride the Peloton. I was diagnosed with Stage 1-Intraductal Carcinoma - no lymph nodes involved. Had Lumpectomy, Brachial-Therapy radiation for (5) treatments and (5) treatments of chemotherapy. My hair has thinned, eyebrows don't grow anymore, but guess what? Everything I have went through made me look at life so much differently. I appreciate each and everyday GOD has given me and thank him for the doctors, nurses, and the drug available. Yes, drugs have the side effects and initially, I was distressed about being on Anastrozole too, however, almost ten years later as of November 2021-I have been blessed not to have any cancer since that time.",Caramel 62
13,Anastrozole,Breast Cancer,2.0,Taken for 1 to 2 years,"April 1, 2021",28,I've taken ANASTROZOLE for just over two years now.I find the fatigue the worst I’m just always tired no matter how well I sleep or how much I rest the fatigue is relentless so much so my whole life has changed I know longer enjoy the active life I had and I have gained a lot more weight even though I walk every day and try to do weight bearing exercises  just doing the house work these days or going shopping is enough.The joint and bone pain gets me down too some days I can hardly bend down let alone get up it gets me down so add low mood to the list.I've had no support either I finished my treatment then was put straight on this drug and feel I've been left to get on with it.If it were not for the fear of the cancer returning I would quit this horrid drug every day is a struggle and I’m not sure if I can do another 3 years I want my life back.,Blue
14,Anastrozole,Breast Cancer,1.0,Taken for 6 months to 1 year,"March 25, 2021",19,"I had Stage 1 Breast Cancer, lumpectomy followed by radiation.  I was put on anastrozole after my radiation and stayed on it for 6 months.  The side effects were miserable.  I decided that quality of life is so worth it.  What I didn't know at the time was the lingering effects.  My joints in my thumbs still ache, I have osteopenia and now my feet are starting to have neuropathy.  This all from only 6 months taking the anastrozole and only increasing my life span by 1 percent.  If I had it to do all over again, I would just say NO!!!!",MusicLover
