,drug,condition,rating,duration,review_date,upvotes,review,username
0,Arimidex,Breast Cancer,8.0,Taken for less than 1 month,"August 30, 2021",4,"Have been taking 1 mg daily for a week.  So far, only mild hot flashes and maybe a knee twinge a couple times [and I had problems with knee tendons previously].  I walk 1-2 miles/day and work out with light weights and so far have had no problems with either.  I already had mild osteoporosis and had another baseline DXA scan prior to starting anastrozole [the generic name for Arimidex].  Won't know how the drug affects my bone strength for a while.",ladybear
1,Arimidex,Breast Cancer,10.0,Taken for 5 to 10 years,"August 26, 2021",3,"I had invasive ducal carcinoma treated with lumpectomy with lymph node dissection, chemo, and radiation.  I’ve been taking Arimidex for almost 10 years… last dose when I finish this bottle!  I’ve had basically no side effects otherwise I’d have stopped long ago.  No reoccurrence of cancer.  I’m grateful to have had this drug in my Arsenal to protect me!",RSR
2,Arimidex,Breast Cancer,10.0,Taken for 5 to 10 years,"August 7, 2021",2,First 6 months hand/severe arm and shoulder pain at night that would wake me up and continue for awhile and trigger thumb.  I’ve been on it for 8 years and symptoms went away after that initial period. God bless all of you and try to stick it out symptoms get better I think when your body gets used to it.,Anonymous
3,Arimidex,Breast Cancer,5.0,Taken for 1 to 2 years,"February 19, 2021",8,"I have been on Arimidex for one year now.  Side effects like everyone else is the bone and muscle pain, hot flashes, insomnia and just Now taking B-6 for the muscles, vitamin D and Calcium for the bones and a probiotic for the stomach/gastro issues. Bought a new bed, see a chiropractor once a month, etc.  So many life changes just to be able to tolerate this med. As a person with high blood pressure to start with and on a HBP med, about 10 months in my BP started to climb.  I was doing all the same things everyday.  Walking, green tea, beet juice, limiting caffeine and alcohol and by the time I was 11 months in it was 179/109.  Stopped the arimidex for 2 weeks and its down to 135/81.  I am NOT crazy...I really think it is increasing my blood pressure. Going to start the arimdex again for a week and see what happens. Hoping for the best! Stay strong everyone, this too shall pass :)",CK
4,Arimidex,Breast Cancer,5.0,Taken for 5 to 10 years,"November 18, 2020",30,Stage 1 grade 2 invasive ductal carcinoma. Lumpectomy and radiation. The last 6 months of the 5 years on anastrozole I began to have hip and back pain. I stopped taking it October 1st and today is November 18th. I want to get back to my daily walk but have not been able to due to the difficulty walking. I do still walk the dog at night but it isn't easy. I have tried stretching and in some cases I felt it aggravated it. I even limp some days. It is very discouraging. I am taking 1 aleve morning and night but don't really like doing that either. I am hoping it gets better enough to walk which may make me feel better. I am 60 yrs old.,Lab Lover
5,Arimidex,Breast Cancer,3.0,Taken for 6 months to 1 year,"June 16, 2020",84,"I was diagnosed with breast cancer Stage 1, Grade 1.  Lumpectomy and radiation no chemo.  I am 7 months into taking Arimidex and joint and muscle pain horrible.  I am a very active person with running all my life and hiking.  I am sore from head to toe in both the muscles and joints.  Also fatigued way more than usual. I just told my oncologist that I was stopping the Arimidex for now.  My onc said to stay off the Arimidex for a month.  I will then call back and let them know my status.  May then put me on another AI.",malia
6,Arimidex,Breast Cancer,6.0,Taken for 2 to 5 years,"January 19, 2020",173,"Taken anastrazole for 4 years. Having debilitating joint pain, difficulty walking.Will definitely need to consider stopping this medication. Need quality of life.Don’t let the physicians make you feel like your crazy!",Kk
7,Arimidex,Breast Cancer,2.0,,"November 7, 2019",144,"I took it for 5 years and just stopped on October 31st.  This drug is TERRIBLE.  It destroys your bones, causes hip joint pain so bad that you lose your balance, causes hot flashes,  night sweats,  insomnia,  constipation,  heart palpitations,  spinal pain, loss of bone density which causes OSTEOPENIA which can lead to OSTEOPOROSIS  and more. Its disgusting that this is basically the only one you can take other than tamoxifen. Your oncologist SHOULD tell you what the side effects are going to do so that you can somehow prepare for them.  Mine prescribed  GABAPENTIN for the hot flashes,  night sweats and insomnia. Arimidex has to be taken for only 5 years and no more.  Hopefully the weakness in my hip joints will ease,  the pain in my bones, the constipation, heart palpitations. You will never get back the bone loss. I'm taking high doses of OTC vitamin C & D.",Arones47
8,Arimidex,Breast Cancer,1.0,Taken for 2 to 5 years,"October 29, 2019",109,"I’m finally off Arimidex. Every time I mentioned one of the many side effects I was experiencing, my oncologist said it not from the drug. Read the flyer that comes with it. I’m hoping my joints and bones will stop hurting, that I won’t sweat through my insomnia and that my hair will come back. What a miserable 5 years.",Stella
9,Arimidex,Breast Cancer,6.0,Taken for 6 months to 1 year,"October 21, 2019",74,"I have been taking Arimidex for six months. Insomnia is the worse part for me. Some hot flashes and moodiness. Weight gain of ten pounds due to fatigue and pauses in working out. Just recently I up my walking to 80 minutes a day a cut out all sugar. This has helped me with the insomnia. Some joint discomfort, but not bad. Just trying to figure out what is best way to help with side effects.",Indygirl
