,drug,condition,rating,duration,review_date,upvotes,review,username
0,Clarithromycin,Bronchitis,5.0,Taken for less than 1 month,"January 1, 2022",0,"I can't describe how it worked after reading reviews and side effects I am petrified to take it, so after suffering for months now, I have no idea where to turn. Why is there no one prepared to help and generally happy to scare living daylights out of others. Can anyone genuinely help please.⁰",Sandy 43
1,Clarithromycin,Bronchitis,,Taken for less than 1 month,"December 21, 2021",0,"Was prescribed 500mg tablets, to be taken twice daily. I took the first tablet and felt a little sick afterwards, however this was  manageable but it was completely different when I took the second tablet. I took the second tablet around 10pm and went to sleep at 12am, however at 12.30am woke up to the worst taste I’ve ever experienced (the way I would describe it would be tasting like gas). Immediately vomited due to the taste, and also realised my bed was soaking due to excessive sweating. I therefore had to change my bed sheets and pjs. I tried to go back to sleep but woke up an hour later again to the taste which was even stronger and immediately started vomiting and again I was excessively sweating. Everyone reacts differently but that was very traumatic. Vomiting, taste disturbance and sweating are all common side effects, so I know I will not be taking this medication ever again.",Peter
2,Clarithromycin,Bronchitis,3.0,Taken for less than 1 month,"December 20, 2021",0,Prescribed this antibiotic as I have allergic reactions to amoxicillin. Other half can’t quite believe how bad am feeling. Will share this site with him. Have been very phlegmy and been sick every night with coughing fits that have brought up all the phlegm. Presume the meds are getting rid of the gunk in my lungs but feel dreadful and paranoid of being sick again. No metallic taste but fluttering heart beat and low mood too. Just exhausted.,PaleGail
3,Clarithromycin,Bronchitis,10.0,Taken for less than 1 month,"November 25, 2021",0,Excellent as it cleared up the quinsy in my throat along with pneumonia.No problems at all with the mild side effect of diarrhea being outweighed by the benefits of getting rid of the severe bacterial infection I had.,Clarithromycin
4,Clarithromycin,Bronchitis,7.0,Taken for less than 1 month,"April 7, 2021",2,Caused thrush in mouth,Chrissy
5,Clarithromycin,Bronchitis,10.0,Taken for less than 1 month,"April 5, 2021",3,Clarithromycin was great for chest infection.  I did get sore gums and roof of mouth.  Used cough sweets containing eucalyptus and menthol which seemed to help.  Also used same sweets to get rid of bad taste which occurred after coughing.  Really cured bad chest very quickly.,Ele
6,Clarithromycin,Bronchitis,1.0,Taken for less than 1 month,"December 21, 2020",5,It caused severe insomnia.  Couldn't sleep for almost 3 daysIt also caused anxiety and depersonalization.  This was after only taking two doses,Joe
7,Clarithromycin,Bronchitis,10.0,,"August 31, 2020",6,"clarithromycin best antibiotic I've ever had for bronchitis, I was in a bad way,  it started working after 2 doses,  it will be my go to drug now.Side effect diarrhoea, some nausea, but getting better far out ways these side effects.",Linda
8,Clarithromycin,Bronchitis,1.0,,"May 5, 2020",14,"Throwing these clarithromycin in the garbage!!! Got extremely hungry, sweating and anxiety like I have never felt before. Felt really weak and like I was going insane. Lasted about 7 minutes and was so relieved when it was over. You couldn't pay me a million dollars to take another pill again.",Sally
9,Clarithromycin,Bronchitis,10.0,Taken for less than 1 month,"April 29, 2020",5,I have been using this medicine (clarithromycin 500mg)  as and when I get allergic bronchitis. This is the only medicine suits for me and it is giving me fast relief without any side effects.,Prabhu
