,drug,condition,rating,duration,review_date,upvotes,review,username
0,Levofloxacin,Bronchitis,1.0,Taken for less than 1 month,"February 25, 2022",0,Levaquin (levofloxacin):Permanent double vision and a macular hole. It didn’t work for my illness,Gloria
1,Levofloxacin,Bronchitis,1.0,Taken for less than 1 month,"December 10, 2020",2,Levaquin (levofloxacin):10 years ago.  No history of anxiety problems before.  However after 2 days of Levaquin was rushed by ambulance to ER because I was having a huge anxiety episode.  I felt like I wanted to jump out of my skin and just run and run!  The ER Dr said Levaquin was too harsh a drug for my bronchitis symptoms and to Never take Levaquin again!!! It was considered as an accidental overdose!  10 yrs later I still have occasional anxiety episodes which I now take meds for!  Worst med!,Queta
2,Levofloxacin,Bronchitis,,,"November 22, 2020",2,"Horrible!!! Anxiety,  dizziness,  insomnia, I been off this drug about a week now and I'm still dealing with the side effects.  Shaking, Trembling, I can't get even get out of bed and if I do its not for very long. STAY AWAY FROM THIS DRUG.",Neat
3,Levofloxacin,Bronchitis,10.0,Taken for less than 1 month,"May 20, 2020",7,Went to Dr. because I developed Bronchitis a week before my wedding. He prescribed 100mg dose once daily. Started clearing within a couple days. Within 5 days I was a new person. No side effects whatsoever.,Tex
4,Levofloxacin,Bronchitis,1.0,Taken for less than 1 month,"May 20, 2020",3,"My MD prescribed 500 mg levofloxacin.  Took 5 tablets and my arms wouldn't work. Could not lift laundry, a shirt for example too heavy. Painful, got completely behind on my chores as I need my arms.  Three weeks out and no improvement. I through the rest of them away.",Lilo
5,Levofloxacin,Bronchitis,1.0,Taken for less than 1 month,"April 27, 2020",7,"After 2 levofloxacin pills,  I had ruptured bilateral Achilles’ tendons. This is a dangerous drug which should be off the market. Research all your medications before you start them. I notified the CDC and to this day, I’m still waiting for the papers they were sending to fill out and it’s only been 3 years.",Anonymous
6,Levofloxacin,Bronchitis,10.0,,"April 11, 2020",5,"Levaquin (levofloxacin):Powerful results for my sinus and bronchitis, cleared up in five days.",Jobe
7,Levofloxacin,Bronchitis,10.0,Taken for 10 years or more,"February 24, 2020",5,Have been prescibed this many times over many years. I’m allergic to most antibiotics so this one is my go to. In my experience of taking it from anything to a minor issue to bronchitis it has always worked like a charm. Many times when I got sick I would take it at night and by the morning the symptoms would be gone. Only thing worth noting in my experience is that it gives me a very mild stomach ache and I feel a little more irritable.,Milmil4248
8,Levofloxacin,Bronchitis,10.0,,"January 31, 2020",5,"This is the only antibiotic that works for me. Doctors always want to start me on something else, but nothing works for me except Levaquin. Bactrim/Septra made me break out in severe hives. Doxycycline made me vomit soon after taking. Zpacks and cillins don't knock out infections when I get them. I felt better after the first dose of Levaquin and will take one per day for 10 days.",Mimi
9,Levofloxacin,Bronchitis,1.0,,"January 24, 2020",15,"Levaquin (levofloxacin):After a bout with Levaquin and fluroquinolone, I developed muscle weakness and muscle tears. This medicine can result in muscle and nerve damage. I have put lrvaquin, fluroquiloine and Cipro(been allergic to this for years) on my medical chart as adverse reaction.",Agarr
10,Levofloxacin,Bronchitis,10.0,Taken for less than 1 month,"January 7, 2020",11,"Levaquin (levofloxacin):Suffered from severe Bronchitis, involving much weakness, non-stop coughing that brought up marble-sized pieces of brown mucus. Doctor prescribed Doxycycline which proved ineffective. Second and final prescription of Levaquin was totally effective and stopped the condition cold in its tracks, even without the doxycycline. No side effects encountered. I had suffered from a diagnosed pneumonia a few years earlier. It was like having Bronchitis, but worse. Signs and symptoms were similar, but worse. I don't remember if I had taken Levaquin for pneumonia, but it certainly defeated Bronchitis.",Smitty550
