,drug,condition,rating,duration,review_date,upvotes,review,username
0,Fluoxetine,Bulimia,10.0,Taken for 1 to 6 months,"February 5, 2022",1,"This has been super helpful, I've always struggled to go with not eating for two hours and id binge a lot. Since taking this drug I haven't binged and I'm slightly lighter :D",saiblee
1,Fluoxetine,Bulimia,8.0,Taken for less than 1 month,"April 13, 2021",9,"Prozac (fluoxetine):I’ve been struggling with bulimia for the last 6 years and after being hospitalized for I decided I was done with my life being consumed by food. I started on 10mg of Prozac about two weeks ago and my dose has been upped to 20mg. I’ve relapsed only once and even then I was able to stop myself from continuing as I would throughout a usual relapse day. I can finally listen to music again, hangout  with my friends, eat meals, I feel like I have my life back, I feel like myself again. It is a little early to tell 100% if this med has worked for me but so far I’m amazed with how much it’s done. I do still have a little bit of anxiety  here and there but my doctor said to give it a couple more weeks. So far I’m really happy with my experience with Prozac!",Baby12344
2,Fluoxetine,Bulimia,9.0,Taken for 1 to 2 years,"December 12, 2020",13,"3/3... so I went back down to 40mg. This seemed to be the best dose for me with hindsight. I tried going back down to 20mg but within two weeks I was making myself sick on a daily basis again. In the end I decided to stop the 40mg cold turkey due to an unrelated health situation. This was two weeks ago, and although I am feeling a bit blue today (the two week thing), it has actually been pretty easy so far. I had always been fairly anti medication, but if your are like me and bulimia was controlling your life, I can highly recommend it. Trust that the initial side affects pass. It made me feel less guilty too - there clearly was something not quite right with my brain chemistry following various traumatic experiences, and fluoxetine helped to set me on the right track. Good luck to everyone also struggling with bulimia - I know it will always be a part of my life, but we can beat it, and if in the future I need to come back to fluoxetine for a bit of help again than do be it.",Z
3,Fluoxetine,Bulimia,9.0,Taken for 1 to 2 years,"December 12, 2020",5,"Having suffered from bulimia in secret for 5 year I finally decided to get help. I admitted to anxiety to my doctor but didn’t reveal the bulimia. As expected I scored highly on the anxiety scale, but my depression score was ok. He put me onto sertraline and my goodness- it was the worst couple of days ever -  literally felt so awful - sick, shaking. I stopped immediately and decided medication was not for me.A couple of months later I was honest with my doctor and had done a bit more research. Thank goodness I had - he suggested few other antidepressants, but didn’t seem to be aware of the success of fluoxetine in treating bulimia. He looked it up in front of me at my suggestion, and I began with fluoxetine. ...",Z
4,Fluoxetine,Bulimia,10.0,Taken for 1 to 6 months,"April 16, 2020",138,"Prozac (fluoxetine):This drug saved my life. 5 months ago I started on 20mg of Prozac, this helped manage the binge cravings but I relapsed a few times throughout that period. After upping the dosage to 40mg I have not relapsed for 3 months and 16 days. This is after a devastating secret battle with bulimia of seven years. I have now upped the dosage to 60mg to manage a hair pulling disorder but my obsession around foods and eating beyond my needs are truly a thing of the past. I am so grateful for this drug. Please combine with an app that will track your relapse dates for awareness but also celebrate as you hit weekly, monthly and hopefully yearly ‘milestones’. Sending everybody love who needs it.",Proprozac
5,Fluoxetine,Bulimia,3.0,Taken for 1 to 6 months,"November 15, 2019",9,I previously wrote  a review on 2019-11-11 about the 40mg working. It unfortunately only worked for two weeks. I am now on 80mg and food is still controlling my life,Mimi
6,Fluoxetine,Bulimia,5.0,Taken for 1 to 6 months,"November 11, 2019",6,I wrote a previous review that I thought it was working. I only felt that way for about 2 weeks and am now bumped up to 80mg and still struggling with my eating disorder.,Mimi
7,Fluoxetine,Bulimia,3.0,,"October 30, 2019",9,"Prozac (fluoxetine):After more than two months, I stopped taking Prozac. Here are the pros and cons of this med (in my own experience): Pros: 1. My mood is always better than usual 2. I no longer have death wishes3. The bingeing urges noticeably lowered down but never stopped completely Cons:1. NIGHTMARES, extremely terrible ones. They  were just getting worse and worse 2. Anxiety and yes it’s bad but not too much in my case 3. Tiring day all day. I would feel that I’m tired, so sleepy, and dizzy all day.4. Stuffy nose that I would always feel that I’m sick or having a fluAfter I stopped the med:1. I feel much energized and awake, less dizzy, yet it didn’t affect my sleep2. I dream normally and not too heavily 3. No more stuffy/runny sinus4. However, I know my mood will lower down a bit, but I need to compromise because I just can’t stand the side effects, and the med in specific after two months couldn’t prove that it can ‘stop’ the bingeing urges I get.",Linda
8,Fluoxetine,Bulimia,8.0,Taken for 1 to 6 months,"September 18, 2019",37,Prozac (fluoxetine):On 40mg and took a while to work for my bulimia. Eating disorders are usually a higher dose of prozac. It’s working now and had night sweats for a little but now it’s gone. My eating disorder (ED) thoughts are turned down and I’m not spending 24/7 thinking about food,Mimi
9,Fluoxetine,Bulimia,10.0,Taken for 1 to 6 months,"July 14, 2019",7,I've been bulimic for more than 10 years by now. Binging and purging up to 15 a day. Cost me a fortune!! I was put onto fluoxetine 2 months ago whilst I'm waiting for my eating disorder referral to come through,Princessdan2017
10,Fluoxetine,Bulimia,10.0,,"July 8, 2019",124,"Prozac (fluoxetine):Before I started taking this drug I gave myself anxiety reading bad reviews. I never really allowed myself to believe I was depressed because there were always people who had it worse. I never allowed myself to believe that my seven years of bulimia and anorexia were a problem. When I became depressed again this year, after years of fighting I decided to take the plunge. I was prescribed 20mg and went up to 60mg in three months and have stayed here for the last four months. It was within two months that my friends noticed a difference in my personality. I was happy. I laughed. I felt confident in myself for the first time in a decade. I am lighter. Prozac, for me, has saved my life. Yes, I also eat healthier and go to therapy and try to meditate - but without this medication I don’t know where or who I would be. I lost myself for many years and I found myself again thanks to this medication. If your doctor has prescribed it, trust that advice and trust this review.",Karni
11,Fluoxetine,Bulimia,10.0,,"May 15, 2019",2,I have been experiencing insomnia from taking fluoxetine and now wondering how long did it lasts.,Jo
12,Fluoxetine,Bulimia,9.0,Taken for less than 1 month,"April 7, 2019",35,"Prozac (fluoxetine):I was very hesitant to start on this medication as I have been really active in a recovery program and do what I can to alleviate depression and anxiety through practicing mindfulness and reaching out for help within my social network.. but I also suffer from a severe case of bulimia which has persisted for over a decade...First couple days side effects were a little intense, no appetite and trouble sleeping for a night or two.. but I have to say that this medication is truly helpful for my obsessive preoccupations with weight and food, as well as social anxiety (definitely see why people who have general anxiety would NOT do well on this need, it makes me a bit more uppity) and mood stability. Side effects subsided and I still work a program of recovery every day... I highly recommend therapy and healthy living practices in conjunction with this medication, it can work!",Layla
13,Fluoxetine,Bulimia,10.0,Taken for less than 1 month,"December 4, 2018",54,"Prozac (fluoxetine):I've had bulimia for at least 10 years; I'm 53 and don't want to be doing this when I'm 70! So I started on 20mg prozac, which did nothing and have upped it to 80mg which seems like the 'sweet spot' for me- no self-harm thoughts, no bingeing or purging-it has literally saved my life. This is the dose that is required for eating disorders or OCD, the lower doses are antidepressant dose! Such a relief not to be thinking about food 24/7!If you want to get better, this is the way to go.",jadesgreen
14,Fluoxetine,Bulimia,,Taken for less than 1 month,"December 2, 2018",0,I started taking 20 mg of prozac every 2 days it worked excellent but after the 3 dose..  it stopped working and was wicked hungry so I gave into binge eating.. Why did it work at first taking away binge eating and anxiety and OCD and and severe depression?,Lady
15,Fluoxetine,Bulimia,6.0,,"September 7, 2017",20,"Prozac (fluoxetine):I'd struggled with bulimia and depression  for many years, I was prescribed Prozac to mainly treat my depression, and partly the eating disorder. With my personal experience with bulimia I never had the urges to binge eat, just to make myself vomit after eating proper sized portions of food. I had found that the Prozac had helped stopped the urges to throw up after eating quite effectively. The only side effect being that once I had stopped taking it the urges returned immediately. Currently and trying to battle those thoughts without being prescribed medication, but may go back onto it if I'm unsuccessful after a year, or so.",Mich2900
16,Fluoxetine,Bulimia,,Taken for 2 to 5 years,"June 19, 2017",44,"Prozac (fluoxetine):I had started prozac while I was in my recovery for bulimia and it worked incredibly to stop my binges and regulate my eating. I was beyond impressed. I stopped taking it after about a year and a half out of recovery and immediately started noticing I had serious anxiety issues and the depression came back. After about 6 months of being off of prozac, I recently was put back on it at my regular 60mg and it still works. While I don't suffer from bulimia anymore (or have controlled those symptoms), prozac has provided the stability I was begging my brain for. If you're someone who gets depressed in the winter months, has problems concentrating, and has tremors from anxiety - take this!",veggiebowl
17,Fluoxetine,Bulimia,8.0,,"May 11, 2017",13,I've struggled with night time binge eating for years where I only eat at night and all at once. I started prozac 5 days ago and it's decreased my desire to keep eating which is great/amazing actually but without food filling the 'void' I was left feeling more depressed will see if it improves feeling hopeful with the change in appetite though !!,NightEatingLaur
18,Fluoxetine,Bulimia,10.0,,"April 18, 2017",18,"I've had bulimia for 10 years. I just went on 20mg due to depression (extremely tired, not able to get out of bed, no energy/motivation etc.). I also experienced a noticeable increase in binging/purging during this time in an attempt to deal with the dysphoria and insomnia. I've only been on the medication 3 days, but oh my god. I'm not thinking about food all day long. My cravings are gone, my appetite is ""normal"". I don't feel like I'm constantly fighting that irresistible urge to binge. I have been getting tired during the day and will probably switch to taking it at night. Also have zero libido, which I like because its easier to focus. It also basically cured my ""ADD"" and I don't have to chug coffee all day to finish school work.",Kels78789
19,Fluoxetine,Bulimia,1.0,Taken for 1 to 2 years,"March 23, 2017",9,Prozac (fluoxetine):Has not worked for my belumia. I still throw up almost every meal. I don't throw up after taking it because I know I need it.,deehee
20,Fluoxetine,Bulimia,1.0,,"December 28, 2016",18,"Prozac (fluoxetine):I've had bulimia for 8 years and I was on Prozac for 3 months, nothing changed. We kept upping it every month,. Maybe I needed a much higher dose? Idk desperate but hopeless right now.",IamNova
21,Fluoxetine,Bulimia,9.0,,"September 10, 2016",37,"I take 100mg daily and my binging and purging has subsided by 90%. Please note it took me a long time to work up to this high dose. My quality of life has improved immensely and for the first time in years I am not thinking about food and weight constantly. One side effect I do experience is tiredness, which I find frustrating, but whenever I try to reduce my medication intake I start binging and purging again. Out of the 10-15 antidepressants I have tried over the years this has been the only one to assist without dreadful side effects (e.g. Topiamate). I wish everyone luck with their personal battle and know how challenging and isolating this condition can be. Take care",staypositivethingswillgetbetta
