,drug,condition,rating,duration,review_date,upvotes,review,username
0,Umeclidinium and vilanterol,COPD,2.0,Taken for 6 months to 1 year,"March 9, 2022",0,"Anoro Ellipta (umeclidinium / vilanterol):I have COPD, started Anoro Ellipta 11 months ago. I thought it was a miracle drug at first, easier breathing, didn't need rescue inhaler for months. 7 mos into using it my legs started hurting so bad, had xrays for blood clots, had more xrays, they seen mild osteoarthritis. Still in pain, went to chiropractor to get relief, none. I also developed a terrible cough in the last few months,  I decided to check out this site, and I am convinced it is the Anoro. I need to call my pulmonologist.",bemer
1,Umeclidinium and vilanterol,COPD,1.0,Taken for 1 to 2 years,"December 9, 2021",2,"Anoro Ellipta (umeclidinium / vilanterol):After being on this med I started experiencing severe leg pain. While helped with breathing both legs feel very achy and heavy. Now the pain in my left hip really bad. As soon as I stop taking this med the pain subsides. I tried Trelegy, same ingredients w/added steroid. The same damn leg and hip pain. Dr says I’ve never heard that before. They need to listen when people tell them this med is causing joint pains. I really don’t know what to turn to next. Also very tired and anxious.",PAM
2,Umeclidinium and vilanterol,COPD,1.0,Taken for 6 months to 1 year,"September 20, 2021",1,"Anoro Ellipta (umeclidinium / vilanterol):Since being on this I am losing hair like mad. Also having bladder pain, difficulty peeing and bladder infections. I wish I could make my doctor understand this and put me on something else. On meds for another bladder infection as I am writing this,",MACE1010
3,Umeclidinium and vilanterol,COPD,1.0,Taken for less than 1 month,"July 15, 2021",6,"Anoro Ellipta (umeclidinium / vilanterol):I was given a sample of Anora Ellipta the first day I met my new Pulmonologist. I had been on a dual inhaler with spacer. After 1 dose of Anora, I had really bad irritation in the back of my throat and could not sleep. I took it for 3 days and decided this is not the drug for me. I had headaches, dry cough, raspy voice and bronchial spasms. My joints started to ache and it limited my physical exercise.",dyna
4,Umeclidinium and vilanterol,COPD,5.0,Taken for 2 to 5 years,"June 16, 2021",4,Anoro Ellipta (umeclidinium / vilanterol):I have been on and off this drug for 3 years. At first it was amazing. But after 2 months I couldn’t sleep and had severe heartburn and a huge floater in my right eye. The druggist told me none of these side affects could be caused by Anora but that was the only drug I was taking. My doctor said I should cut back to a schedule I was comfortable with so I started taking it once a week. The day I take it I get immediate heartburn and it interrupts  my sleep.  These side effects last for 3 days which is about as long as one dose will keep me breathing freely.  After 3 days I have to rely on my ventolin.,Pattio74
5,Umeclidinium and vilanterol,COPD,7.0,Taken for 1 to 2 years,"March 31, 2021",10,Anoro Ellipta (umeclidinium / vilanterol):I moved from Fostair and Spiriva to Anoro. Initially it was a relieve not having to take the drug twice a day but the side effects are really bad for me. An hour after taking Anoro I get a decent headache which lasts till mid afternoon. Anoro also gives me constipation and shortness of breath (unless my COPD got worse and causes it) and walks of an hour are a thing of the past.,Far Away
6,Umeclidinium and vilanterol,COPD,1.0,Taken for less than 1 month,"March 13, 2021",3,Anoro Ellipta (umeclidinium / vilanterol):On the third day a big floater appeared in my left eye. Never had floaters before.,Will
7,Umeclidinium and vilanterol,COPD,1.0,,"March 6, 2021",5,Anoro Ellipta (umeclidinium / vilanterol):On the 3rd day of using Onoro I got terrible pain in back of my skull and blurred vision with floaters in my right eye. I stopped using and few days later my vision cleared but the floaters remained.,49er
8,Umeclidinium and vilanterol,COPD,1.0,Taken for 2 to 5 years,"February 8, 2021",3,Anoro Ellipta (umeclidinium / vilanterol):Been on Anoro Ellipta for 3 years and now it is not effective. I had to switch to something with a corticosteroid in it.,Babs
9,Umeclidinium and vilanterol,COPD,10.0,Taken for 1 to 2 years,"December 20, 2020",4,"Anoro Ellipta (umeclidinium / vilanterol):Previously using Spiriva, I have found Anoro to be more beneficial. I have not encountered any side effects.",Beets
10,Umeclidinium and vilanterol,COPD,6.0,Taken for 1 to 2 years,"September 7, 2020",9,"Anoro Ellipta (umeclidinium / vilanterol):I’ve been using Anoro about a year now. With great success. However, I find that approximately halfway through the 30 day supply it loses its effectiveness.  Although, I close it after each use, how can I preserve it to last the entire month?",PC
11,Umeclidinium and vilanterol,COPD,10.0,Taken for less than 1 month,"August 6, 2020",15,Anoro Ellipta (umeclidinium / vilanterol):I started using Anoro three weeks ago and was amazed at how I felt; like a youngster and have reached a point that I can walk short distances around the neighborhood without getting short of breath or having to stop to catch my breath.  The down side is I started having leg pain and cramps and pelvis and crouch pain; very uncomfortable.  I don't know what is going on but I'm researching.  I am also tired all the time.  It is an effort to get basic things done.  I can breath but I'm too tired to do anything.,Chantress
12,Umeclidinium and vilanterol,COPD,1.0,Taken for 2 to 5 years,"August 5, 2020",19,"Anoro Ellipta (umeclidinium / vilanterol):I took Anoro off and on for 3 years or COPD. Each time I took it for a few months and I had severe leg pain. I would stop and the pain would be gone in 2 -3 days. Then the doctor and pharmacist would tell me I was wrong that Anoro didn't cause muscle pain. The pain became so terrible that I could not walk more than 7 - 10 steps at a time. I stopped it for good and relied on rescue inhalers for when I struggled for breathe. Two and one-half years ago I switched to Trelegy. I like it very, very much. The 1 1/2 years ago, I was diagnosed with axonal polyneuropathy. Then the doctor for a renown institution wondered if the beta agonist had caused the neuropathy. Unfortunate, as I now have a life long degenerative disease that MAY have been caused by Anoro and beta agonist.",Jef
