,drug,condition,rating,duration,review_date,upvotes,review,username
0,Modafinil,Chronic Fatigue Syndrome,1.0,Taken for 1 to 6 months,"February 14, 2022",0,"I was prescribed modafinil for chronic fatigue and brain fog. The first week, my doctor had me take 1/2 a pill for a week then move to 1 pill a day thereafter. The first week I noticed a big difference and when I started taking the whole pill I was blown away by my energy and desire to get things done. HOWEVER, after being on it for about a month, the energy and desire to do anything was completely gone. My fatigue was worse than before and started having suicidal tendencies and horrible thoughts towards people I know and love. I realized it was time to stop and did cold turkey and I'm worse than I was before I started taking it.",Not a fan
1,Modafinil,Chronic Fatigue Syndrome,9.0,Taken for 1 to 6 months,"November 30, 2021",1,"It’s 4 years post contracting chronic fatigue syndrome and fibromyalgia from contracting multiple infections (1 Australian mosquito borne virus, 3 bacterial infections requiring antibiotic treatment - that wasn’t provided for 2 years). 2 years post infections still not fully resolved - 3 months of multiple antibiotics 2 yrs ago, last year 2 months of a single antibiotic. No antiviral meds. Many serological tests, no arthritis, no heart issues (stress test echo cardio gram), no organ failures and brain scans normal, no known covid (extensive pcr covid tests). No mental issues. Past bouts of depression. In those 4 yrs only worked about 3 weeks total. Basic house work wasn’t completed, couldn’t cook most of time, nor maintaining personal hygiene on a daily basis. Life is slowly returning since modafinal, don’t push your body, go slow see an exercise physiologist, build muscle strength, 2x sars cov vax, smoker, light drinker, occasional joint. Early 40’s.",Rogerthat
2,Modafinil,Chronic Fatigue Syndrome,,,"November 15, 2021",1,Haven’t taken this medication. Just letting others know I use pure oxygen. It helps tremendously,Sky
3,Modafinil,Chronic Fatigue Syndrome,5.0,Taken for 1 to 2 years,"August 11, 2021",0,"Been taking this drug for about 2 years, first year,  it helpedand I stay awake, more energy. Now I get sleepy about 3 hoursAfter . My eyes get so tired, usually a headache, also prettychatty.  I was prescribed 200 mg and I never took that much, I take a little less than half which maybe not enough ?Great in the beginning and now I am not sure what to do.",Modafiinil
4,Modafinil,Chronic Fatigue Syndrome,1.0,Taken for 1 to 2 years,"August 6, 2021",1,Helped temporarily in the beginning now on the max dose with no relief in CFS symptoms.,Adrrr
5,Modafinil,Chronic Fatigue Syndrome,8.0,Taken for 2 to 5 years,"July 22, 2021",1,"Modafinil has saved me. I have 8 autoimmune diseases and they cause me debilitating fatigue. This drug has given me my life back and I am now able to go on walks, play with my grandkids and live life. The only side effect I had when first starting it 2 years ago was mild headaches. I am very thankful this works for me",Sherbear
6,Modafinil,Chronic Fatigue Syndrome,9.0,Taken for 6 months to 1 year,"April 25, 2021",5,Modafinil twice daily (c 0700 & 1300) suppressed fatigue and cognitive dysfunction.,Aussie Keith
7,Modafinil,Chronic Fatigue Syndrome,6.0,Taken for 1 to 2 years,"February 19, 2021",18,"I've been on this for well over a year (close to 2). I saw minimal improvement for cognitive issues/brain fog but it doesn't really help with fatigue (high dose magnesium did a lot more for my fatigue than moda). I'm on 300mg and I think there is a tendency for tolerance so maybe take it and when it starts to fade, cut back to a pill every other day for awhile and then go back to every day etc. It just needs boosts every so often. Better to be on it than not but the effect is minimal sadly for me",L
8,Modafinil,Chronic Fatigue Syndrome,2.0,,"November 27, 2020",20,"I was first given this medication modafinil in October when I volunteered to go to an in-patient facility for my depression. They put it on me for my chronic fatigue (that they later told me was from CFS). At first, it gave my body energy but still left my mind in a fog of tiredness. It also increased my heart rate and gave me anxiety like none I had every seen. That lasted for 2 or 3 days. When I was finally released, my insurance required prior authorization in order to fill the prescription. Of course it took my the collective amount of doctors from both my primary and the in-patient nearly 3 weeks to finally get the prescription filled. When I finally got back on it, I felt a little energized (of course I was on bed rest at the time for a foot injury, go figure). But that quickly wore off. I have been on it almost a month now and am pretty much back to where I was energy level wise. I was so hopeful too..",EverlastingFatigue
9,Modafinil,Chronic Fatigue Syndrome,5.0,Taken for less than 1 month,"August 27, 2020",23,"I haven’t seen my side effect listed. I sleep poorly. If I wake up and take a Modafinil, I immediately fall back into a profound sleep for 4 hours. This is weird and definitely not the point of taking the drug. On the other hand, it’s the type of deep sleep I can’t seem to get at night.",Belle Epoch
