,drug,condition,rating,duration,review_date,upvotes,review,username
0,Imatinib,Chronic Myelogenous Leukemia,10.0,Taken for 10 years or more,"December 2, 2021",1,"Gleevec (imatinib):I've been on Gleevec since 2007.  Nausea was mild initially, but bothersome.  Once I started to take it after the lunch meal, no nausea.I developed eye bleeds.  Naturalpath suggested grapeseed extract.  The supplement has prevented further eye bleeds.I did 3 trials of Gleevec cessation.  Each time BCR-ABL returned, each time sooner and higher percent of its' presence.  Gleevec was restarted.  During 3rd attempt, joint pain and swelling developed with a vengeance (tki - Tyrosine kinase inhibitor, withdrawal syndrome).  3 months after resuming Gleevec, symptoms persist.  Feels like I developed rheumatoid arthritis (this diagnosis ruled out by Rheumatologist). Prednisone helps the best, but the therapeutic dose raises my blood pressure.How are others with lingering tki withdrawal syndrome managing the symptoms?  Any recommended reading for trial Gleevec cessation protocols?",Marie
1,Imatinib,Chronic Myelogenous Leukemia,1.0,Taken for 6 months to 1 year,"June 24, 2018",11,"Gleevec (imatinib):Started  Gleevec at 400 mg Feb 2017. Due to the numerous side affects (think I have them all) it was reduced until finally stopped. In late February 2018 as my body and mind were in bad shape. Had to give up physical therapy as body now too weak. What is scary, as of 6/24/18, still have all of the side affects.Blood reports getting worse. No relief in sight. New sores still showing up-takes months to heal. Still sleep in a stuffed chair due to constantly being awakened for trips to bathroom to medicate/treat something. Guest bath looks like a pharmacy with pills, powders, creams and bandages-most of them Dr ordered or recommended. Have not gotten 3 straight hours of sleep in months-has not happened this year. I sense Dr's being frustrated-if pill has stopped, why hasn't side affects?",nate
2,Imatinib,Chronic Myelogenous Leukemia,10.0,Taken for 1 to 2 years,"December 17, 2017",1,Sickness lack of appitite,Walterbaby
3,Imatinib,Chronic Myelogenous Leukemia,9.0,Taken for 5 to 10 years,"May 2, 2016",8,"Praise God for Gleevec/Imatinib.  Discovered the CML in early 2005.  Immediately went on Gleevec 800mg daily.  After a few months, I changed doctors, went to 600mg and many side effects began to ease up.  Over the years we've tried Spricel and another drug but side effects worsened so we are back with Imatinib 600mg.  With the exception of diarrhea, bloating and fluid retention, all is great.  Am into my second month on the generic Imatinib so we'll see.Again, just so thankful for Meds which control the CML and the doctors who developed it.",ronlin425
4,Imatinib,Chronic Myelogenous Leukemia,9.0,Taken for 10 years or more,"February 2, 2016",11,"Gleevec (imatinib):The drug has been effective but since Medicare coverage changed this year the out of pocket expense of $2k / month makes it not affordable.  The best hope was the copay program offered by Novartis but since I have a Part D plan (as bad as it is) I do not qualify for that.  Oh well, I had a good run.  Hopeful that it somehow stays in remission, but if not hopeful that it does not drag out.",Anonymous
5,Imatinib,Chronic Myelogenous Leukemia,9.0,Taken for 1 to 2 years,"February 25, 2015",17,Gleevec (imatinib):I have been on Gleevec for a year now. I started with 400mg but could not tolerate it so dropped to 300mg. I am in remission but nausea has become a problem. Taking antinausea meds but still nauseated most of the day. Lorazepam helps but wish I felt better without all of this. Glad to be alive though.,Cali48
6,Imatinib,Chronic Myelogenous Leukemia,10.0,,"September 12, 2014",7,"Gleevec (imatinib):I've been taking Gleevec for a year now, at first I was very tired but now I'm taking a multivitamin but I've notice that my skin coloring has changed.  I'm concerned a brown skin woman but now my skin has lighten so much until I'm wearing makeup for very light skin women some days I have very little color and I look almost white.  My doctor hasn't seen this before he said usually patients become darker.",Dotti427
7,Imatinib,Chronic Myelogenous Leukemia,4.0,Taken for 1 to 2 years,"January 9, 2014",16,"Gleevec (imatinib):Was diagnosed with Chronic Myelogenous Leukemia (CML) in Feb 2011, Gleevec worked for me for about a year and a half. I threw up almost every night on it. I had a rash all over my body when I first took it but that went away over time. Gleevec stopped working for me and my BNR jumped from 3 to 19. Dr switched me to Sprycel.",nerdybee
8,Imatinib,Chronic Myelogenous Leukemia,10.0,,"October 29, 2013",16,"I have been on Gleevec since March 2007 when I was dignosed with Chronic Mylogenous Leukemia. I was sick for about 4 months on this drug with Nausea, leg swelling, pain so bad that I felt crippled by the end of every day and headaches. I had these symptoms even while taking Zofran with the drug.  My doctor's at MSKCC told me to hang in there saying I was going to wake up one day soon and feel better than ever. And then after 4 months, they were right. I remember that I woke up one morning, stretched my arms and legs and yawned and saw the sun shining through my bedroom window and I turned to my husband and said ""I feel great""!  I have pretty much felt great since then and my life has thrived.  I am not just a survivor, I am a thriver!",ToniQ
9,Imatinib,Chronic Myelogenous Leukemia,9.0,,"September 21, 2013",46,Gleevec (imatinib):I've been on Gleevec since Aug. 24 2001 for Chronic Myelogenous Leukemia. I've had no side effects with it. The only side effect I had is when the doctor had me on both Gleevec and interferon it caused my heart function to drop. They took me off the interferon and heart function was normal. Been in remission for 11 years.,charlie jr
