,drug,condition,rating,duration,review_date,upvotes,review,username
0,Hydromorphone,Chronic Pain,10.0,Taken for 2 to 5 years,"December 31, 2021",0,"I'm a woman in my early 40's and was rear ended twice. First accident caused 5 back surgeries in L5-S1 and second caused a multi level fusion in C4-C6 with a herniated disc in C3-C4.  I now have a bone spur at the bottom of C6 with arthritis and inflammation in C7-T1.  Also get migraines, have post concussion syndrome, failed back syndrome, I have fibromyalgia, sciatica, stenosis, PTSD, radiculopathy and many more.  I started with 10 my OxyContin twice daily and 10/325 Percocet 3-4 times daily.   I had a massive flare up and hydromorphone IV worked like nothing I've ever had before.  I asked my pain management dr to switch me.  I started on 2mg now I'm up to 8mg 3-4 times daily.  It takes about 20 minutes and wipes my pain away. I'm also on 30 mg of Oxycontin every 8 hours (90 mg daily). Recently the doctor tried having me wean a little bit down and the weather is so cold that I flared right back up.  8 mg of hydromorphone has been working for me and is a miracle drug.",Pianogal
1,Hydromorphone,Chronic Pain,2.0,Taken for 1 to 6 months,"December 20, 2021",0,"DO NOT let your pharmacist fill your Rx with any Rhodes pharmaceuticals products! They simply don't work, or at best work only about 10 to 25% of what they should. I have dealt with this issue with their generic Percocets for years.  Now they have broaden their perspective to include inferior Hydromorphone, aka Dilaudid.  I'm disgusted because now I am stuck with a months worth of this pseudo drug that doesn't ease my pain!  Beware!  Read the reviews on their website and you will see I am correct.   I guess they are the cheapest generic and thats why pharmacies are switching to them. Try to get Mallinckrodt or Actavis....these Rx companies have been around for decades and make more trustworthy products.  Good Luck... and tell your Doctor if you have similar problems with Rhodes Rx.  There is no excuse for this, and their negligence for $ should be addressed by authorities.",Don
2,Hydromorphone,Chronic Pain,2.0,Taken for 1 to 2 years,"November 25, 2021",1,"Dilaudid (hydromorphone):I have 15 + years of chronic lower back L3 - L5, S.I. Joint & groin pain.I've tried epidurals,  nerve blocks interlaminar & caudal. Some were close but never the right spot.I found oxycodone worked well until my tolerance because too high.I found Dilaudid contin only numbed my brain but did little for pain. The opposite of what I need. Dilaudid affected my memory and left me feeling lethargic most of the time.I know everyone reacts different to each medication.I found oxycodone worked better, faster & with little side effects for back pain. I also could quit oxycodone  quickly & easily.After 2 years on Dilaudid I am weaning myself off it as it did little for sharp lumbar & groin pain. The side effects just compounded the existing problems of living with chronic pain with little to no pain relief.",Alan4821
3,Hydromorphone,Chronic Pain,10.0,Taken for 5 to 10 years,"November 17, 2021",0,Dilaudid (hydromorphone):Brand name only! The brand name Dilaudid  works great and zero side effects. Mallinckrodt generic only makes you nauseous and does not relieve the pain the same way.,JN69
4,Hydromorphone,Chronic Pain,6.0,,"October 6, 2021",0,"Dilaudid (hydromorphone):Took oral Dilaudid after 4 failed back surgeries in 2012 & got stomach issues. Only thing that keeps me upright is Norco. Tried everything else, even Fentanyl & Butran patches. My Dr.has talked me into trying a computer chip distributing Dilaudid instead of my Norco orally! Does anyone know about this procedure? Thanks.",Concerned!
5,Hydromorphone,Chronic Pain,9.0,Taken for 5 to 10 years,"September 21, 2021",2,"I've taken hydromorphone 4 mg for years in pain management. 5x a day It works 95% , now it's dropped down to 90% so my pain Dr decided to put me on Bupreonpine alone for one week then he added Naxolone! Big Mistake! Even the pharmacy questioned why, when I called him about bad side effects! I can't believe after 7 years of going to this pain management Dr did this to me? I have 2 & a half bulging disc, in my lower back with degenerative disc disease, sciatica nerve damage on the left side. Since I told this med went from 95% to 90%  effective. He took me off then & instead of trying different pain medications  (after I had this bad reaction) When I called his office & complained he told me to come back in on Monday (this was on a Thursday) But stay on this stuff that caused me more increased back and leg pain, nausea, diarrhea, shallow breathing & muscle spasms !The Dr was told to tell me "" it was in the best interest of all that I stay on this horrible medicine""! Are you kidding me? CANCELLED/request",Gabby Paul
6,Hydromorphone,Chronic Pain,2.0,Taken for 1 to 6 months,"September 4, 2021",1,Hydromorph Contin (hydromorphone):I was on 6 Percocet a day for chronic pain and the doctor at the chronic pain clinic said I would do better on something that provides longer term pain. He started me out on two 4.5mg hydromorph contin a day with 4 percs for breakthrough pain but the hydromorph contin wasn't giving me near enough relief so the doctor raised it to 3 hydromorph contin a day and cut back the percs to 2 a day. I’m in more pain than ever. I don’t think the hydromorph contin are helping me at all.,BellaBoxer
7,Hydromorphone,Chronic Pain,4.0,Taken for 10 years or more,"September 1, 2021",0,"Dilaudid (hydromorphone):I have had a Medtronic pain pump implanted in my abdomen with Dilaudid ran into my spinal cord (implanted 12-Nov-2019). This is my 3rd one. My question is, my doctor has it set so high know other pain pump specialist will touch me! I believe it is somewhere around a 15 level. In the last year I have suffered from Congested Heart Failure,  and just in July I suffered Cardiac Arrest and if not for my friend  knowing CPR I survived.But now I am down to 95 lbs and having a hard time getting fighting back. Is it possible that this Dilaudid Pump is slowly killing me? Please other reviewsers respond to me and give me some feedback, thank you!!",Taylor291
8,Hydromorphone,Chronic Pain,10.0,Taken for 6 months to 1 year,"March 2, 2021",12,Dilaudid (hydromorphone):I have been through 4 back surgeries and all of them have failed to make the pain better but my spine is stable. I take 4 mgs 5x day and I am not going to be out of pain but it is better than before. Dilaudid is the best way to get my life back on track. I was on oxcodone which is like taking a Tylenol. Dilaudid is the best but I am careful with it and the doctor wants me to get off of it.,Freeborn54
9,Hydromorphone,Chronic Pain,9.0,,"February 13, 2021",11,"Dilaudid (hydromorphone):I have been in chronic pain for longer than 25 years,I have been on oxycontin for many years. I have had gastric bypass with a duodenal switch so my absorption rate is rather low. I cannot tolerate morphine sulfate because I need to have a clear head when I work. I switch to Oxycontin, that worked well for some time but the addictive properties were extremely high. I switched to Dilaudid and was extremely happy with the results. I was taking 16 to 20 mg every 4 to 6 hours which is also a truck load. I did not receive any euphoria but it brought my pain level down from a nine to a four which is totally tolerable. I have been in motorcycle accidents and have been shot I understand what a level 10 pain is. I highly recommend trying this medication if you had had problems with fogginess lightheadedness. It really depends what your goal is, mine is quality of life and the ability to work, have sex, ride my motorcycle, and to maintain some semblance of joy in life.",Boomer
10,Hydromorphone,Chronic Pain,1.0,Taken for less than 1 month,"November 13, 2020",12,Dilaudid (hydromorphone):Am I the only one that feels as if Dilaudid and morphine don’t work compared to oxycontin or other pain killers,Sleepy
11,Hydromorphone,Chronic Pain,10.0,,"September 24, 2020",19,"Dilaudid (hydromorphone):I was diagnosed with Transverse Myelitis 11 months ago so suffered with bad pain. During my 3 months in the hospital I received Dilaudid in IV the first month 4mg at first then gradually down to 2mg. Next Dilaudid by pill form 4mg every 4 hours down to 2 every 4 hours through the 2nd month. The 3rd month 2 mg every 6 hours which barely cut the intensity of the nerve pain caused by this gawd-awful disease. Once released from the hospital in I was Rx'd hydrocodone 5-325. Now this is in addition to gabapentin, lyrica, Cymbalta, xanax, etc. By May I began to have what's referred to as ""saddle burn."" The burn was more like blazing! I went to ER and was admitted and given Dilaudid again as before through my IV. I cried I was so relieved. But you can't stay in the hospital on an IV permanently and Dilaudid is not prescribed as outpatient. So suffering is my daily routine whether I exercise, push my walker a good 3/4 mile a day, go to pool PT, cry, get in my truck and scream ""FATHER why hast thou forsaken me!?""Dilaudid works.",Nan
12,Hydromorphone,Chronic Pain,4.0,Taken for 5 to 10 years,"September 19, 2020",71,"Dilaudid (hydromorphone):My back was broken in 3 places my neck in two places my neck 3 separate times. All from bad  drivers on the road. I was slammed by a tractor trailer truck when I was a child. Then at 21 I was rear ended while stopped at a red arrow, I was in the passenger seat and was slammed by a Buick doing 65, then 5 years later hit head on by a drunk girl in her brand new Mustang. I have bone spurs pushing into my spinal cord. Because of this I get debilitating spinal headaches. Since the new guidelines on the amount of drugs that can be prescribed, I am never out of pain. I don't understand why politicians are deciding how much relief I am allowed to have. I never even went to a pain clinic until I was in my 40's and the pain got to be too much. Now I am just plain screwed!",Schleprock
13,Hydromorphone,Chronic Pain,10.0,Taken for 1 to 2 years,"September 18, 2020",6,"This hydromorphone is Hands Down the most effective pain medicine I have ever received! It’s truly a miracle & wonder drug! I suffer from many Chronic Pain Diagnosis’ and end up in the hospital too much. IV Dilaudid is something really special! Takes away 100% of ALL my pain. 2mg Hydromorphone Tablets work quite well- an 8/10. But hear me... *This medicine is VERY ADDICTING! If not careful, it can run your whole life! Used for pain is alright but be so careful and take severe caution! The way it makes you feel is like heaven! No pain, all warm inside, relaxed, energized- I’ve gotten my life back... It is truly the most amazing pain medicine I have ever tried! Just be careful!",Small Town Girl
14,Hydromorphone,Chronic Pain,10.0,Taken for 1 to 2 years,"September 12, 2020",24,"Dilaudid (hydromorphone):Due to severe back injury was referred to a pain clinic (thankful!) Have been on many meds over the years. Now suffering with spinal stenosis, degenerative disk disease, ankylyzing spondolitis, basically crippled, yipee! Take 4 to 5 dilaudid, 4 mg, and get some relief. Starting today on a long acting dialysis and praying for relief. Good luck and sincere best wishes to all taking this med.",Zumeraga
15,Hydromorphone,Chronic Pain,2.0,Taken for 1 to 2 years,"September 11, 2020",3,"A question...I know how good dilaudid helps me with pain...or use too. If given in an IV it works/worked immediately, but for me, it only last about 20 minutes. But I've noticed (for me anyway) that it seems like its been changed. A 1mg of dilaudid doest work as good as it use to. I don't get it very often at all, so it is not that my body is getting use to it. It has been a few years since I had it..and it worked way better then.Im a very hard person to get pain relief for. Morphine does nothing. Oxycodone pill, works better than anything...I don't get it. Dilaudid doesn't seem to do anything any more???",unitid98
16,Hydromorphone,Chronic Pain,6.0,Taken for 10 years or more,"June 1, 2020",3,"Used hydromorphone for breakthrough pain. In my case, methadone is the regularly-scheduled pain med. For 12 years, I was taking 16 mg every two hours as needed for breath through pain. For approximately the last year, the dose was reduced to 8 mg every 8 hours as needed for breakthrough pain. The 89.5% reduction made the use of this pain medicine superfluous. About two weeks ago, it was changed to 8 mg every six hours as needed. The reason for the decrease in intervals between doses was because of a fall that I had had.",Anonymous
17,Hydromorphone,Chronic Pain,7.0,Taken for less than 1 month,"February 3, 2020",11,"Dilaudid (hydromorphone):I have been given Dilaudid for sciatic nerve pain and took only .05 mg at 6pm and it is now 4:30 am and have not been able to fall asleep, if you. Cannot sleep so I put up with pain and ditched this pill. I felt like I was on a slow high, omg what a horrible feeling",Zoei
18,Hydromorphone,Chronic Pain,10.0,Taken for 5 to 10 years,"January 5, 2020",13,"2007 fell 30 feet + 70 pound rucksack, I lost my vision, damaged my skull, neck, entire spine, ribs, hips and knees. Next 4 years my docs gave me ""unlimited"" T+Cod 400mg x 8 a day. I grew a mass in my liver & unable to perform  so they kicked me out. A civilian doctor after doing full work on me found I lacked an enzyme to crack the codeine into the active ingredient and prescribed 2mg of Hydromorphone. It worked immediately!!! It was the first time I was able to breathe with out pain and actually slept 3 hours.",Sad state no real name
19,Hydromorphone,Chronic Pain,9.0,Taken for 1 to 6 months,"December 26, 2019",8,I use both hydromorphone contin and short acting and it was not until my doctor added the long lasting that I finally got some relief,Oreo
20,Hydromorphone,Chronic Pain,10.0,Taken for 2 to 5 years,"December 21, 2019",69,"Dilaudid (hydromorphone):Best pain relief around for my severe and disabling peripheral neuropathy. Injections work best because most pills lose almost half of their potency in the GI tract. Relief is rapid, decreases my pain level from my usual 8 to 4 and lasts several hours. Anti-convulsive medications like Gabapentin do absolutely nothing in my case, while Dilaudid absolutely improves my quality of life as a 10-year chronic pain patient.",The Bus
21,Hydromorphone,Chronic Pain,2.0,Taken for 10 years or more,"November 12, 2019",14,Dilaudid (hydromorphone):Dilaudid is short acting for pain and after awhile it didn’t work. I was screaming in pain due to have surgery on my back and stomach at the same time.My morphine pump needs to be changed. I’ve been on morphine for 11 years,Gmom
22,Hydromorphone,Chronic Pain,7.0,Taken for 2 to 5 years,"October 17, 2019",11,"I have  Chronic regional pain syndrome (CRPS) in my left arm.  I take low dose dilaudid at 1mg (1/2 a 2mg tab) on days where the pain flares just don't stop, it helps me get through a work day.  Occasionally I will take a full tab, but that's rare.  I can only take it for 3-4 days in a row max before I start feeling the craving for more, so I stop for a week.  I was severely addicted to Percocet, Fentanyl Patches and Xanax 10 years ago.. never again.  This drug doesn't work when my pain is 8 or higher.. nothing does.  It's more like a temporary bandage that helps for a few days and then has to be removed.. This disease really sucks..  5+ years and counting..",CRPS dude
23,Hydromorphone,Chronic Pain,1.0,Taken for 1 to 2 years,"September 26, 2019",5,"Exalgo (hydromorphone):Was on exalgo for chronic pain. Got zero pain relief from 32 mg daily dose.After taking it for a year, I went off it cold turkey with ZERO withdrawal symptoms and ZERO change in severe chronic pain.",TMV
24,Hydromorphone,Chronic Pain,10.0,Taken for 6 months to 1 year,"July 12, 2019",3,"I had total knee replacement surgery July 4 2018.  Before surgery I could function normally, but   after surgery it got worse.  Bbefore surgery had no pain no drugs and could function  now I have brace , on drugs and problem walking with pressure .",sarge
25,Hydromorphone,Chronic Pain,3.0,Taken for less than 1 month,"April 29, 2019",8,"I was put on Hydromorphone 2mg four times a day and one extra for break through pain, my problem is L5 is bulging and compressing the nerve root, not much worse than nerve pain, however this drug did not touch the pain, just gave me brain fog :((",GhostDancer
26,Hydromorphone,Chronic Pain,8.0,Taken for 2 to 5 years,"March 3, 2019",22,"Hydromorph Contin (hydromorphone):I have real pain but have been treated as drug addict. MY addiction is being pain free so I can work, and socialize with my friends & family. I had a back operation in 2000 not long afterwards the leg(sciatica) pain came back. I was prescribed quick release pain medication. OXY. My new doc weaned me off the oxy and put me on slow release Hydromorph Contin. and now I can function. The doc explained, on quick release tablets my pain is spiking up and down all day long, you have pain and then you take a pill. Time released capsules slowly administer pain relief through the day and it works well for me. This medication has saved my life. Thank you Dr. For first saving my life, and now giving me a life.",Tiger
27,Hydromorphone,Chronic Pain,8.0,Taken for 1 to 6 months,"February 25, 2019",91,Dilaudid (hydromorphone):I was 70 years old and I was getting ready for work!   I was going to the door and all of a sudden I was going down! Since I had a Total Knee replacement I turned my body around!  Stupid thing for me to do!  I broke my back!  Then I fell on the floor and broke it again!  I have had 2 major surgeries on my back!  I have been in major pain for over 10 years!  I live on Dilauded and morphine (not at the same time) I go to a pain clinic for my medication!  I don’t know what I would do with out pain medications!,Bobsmate
