,drug,condition,rating,duration,review_date,upvotes,review,username
0,Oxycodone,Chronic Pain,8.0,Taken for 6 months to 1 year,"April 1, 2022",0,"I have chronic pain due to Dystonia Torticollis in my neck, back and hands.  A neurological condition, it has affected my posture with tremors and pain. I have liver disease and the neuropathy that can go along with that disease.  I was on Hydrocodone.  After a few hospital visits for my liver, the doctor changed my med to Oxycodone (same milligrams of 7.5).  My husband cuts all of my 15 mg pills in half because there is no 7.5 Oxycodone.  This is done per the Doctor.  My pills are usually from Camber Pharma. They have the side affect of fatigue, no energy, wanting to sleep all day. Two months ago my pharmacy gave me the same pain pills from Amneal Pharma. They helped me.  Lasted longer than 1-2 hours compared to Camber pills.  I was not entirely exhausted all the time, helped control tremors.  By accident I found this info on the internet. You can request a generic Pharma to fill your prescriptions.  PA lists the Pharma initials on the script after the Mg. or call your pharmacy.",Oxycodone
1,Oxycodone,Chronic Pain,1.0,Taken for less than 1 month,"March 29, 2022",0,I have been on the same medication for a while due to all the injuries I have to my back and other areas.  I've been getting the Mallinckrodt 30 mg immediate release oxycodone from the same pharmacy every month and they work great for me with no problems of any kind.  There was an issue at the pharmacy I use this month  so I went somewhere else and ended up with the Rhodes 30 mg oxycodone R P 30mg and these are absolutely horrible.  This is the second day and so far every time I take one of these I get nauseous and sometimes throw up a couple hours later.  It seems like something is not right about this medication.  It's not helping the pain very much and my body seems to be rejecting them.  Not sure what I'm going to do for now but I will NEVER get these again.  Looking forward to next month so I won't have to suffer anymore.,Rhodes 30 mg ox
2,Oxycodone,Chronic Pain,1.0,Taken for 1 to 2 years,"March 26, 2022",0,"Xtampza ER (oxycodone):Have been on 40 mg ER of oxycontin 2 x a day along with ten  percocet 10/325 and many other drugs for severe chronic pain for 20+ years.  Was made to switch to Xtampza 36 ER 2x a day and 5 percocet.  The Xtampza er is worthless! Shame on whoever decides that a drug works or does not as every individual persons body is different as are their diseases. For people who are responsible and do not have a life without adequate pain relief, you are making us prisoners in our own bodies.  Even with OxyContin 40 ER 2x a day and all the other meds, most of us still suffer plenty.  I am not even 60 and can hardly move with new drug changes.  Have had over 40 surgeries and am full of hardware.  I do not like having to eat the high fat with Xtampza twice a day.  When you are in severe to debilitating pain, you have no appetite.  I am probably 10 pounds over weight but do not need to carry any more weight with eating high fat twice a day as I eat healthy.  Suicide rates will increase with this new drug",LDM
3,Oxycodone,Chronic Pain,1.0,Taken for 2 to 5 years,"March 26, 2022",0,"I've been on 10 mg oxycodone tablets 4/day from CVS pharmacy by KVK tech manufacturer for years. It worked well, no side effects. Helps me manage chronic pancreatitis/acute pancreatitis, other abdominal pain and Disc degeneration in my lower back. CVS was out of stock a few months back and had to get it from Walmart. It was a different manufacturer called Rhodes Pharmaceuticals, owned by Purdue Pharma. I  noticed there was barely any pain relief, and terrible side effects. Blurry vision, anxiety and feeling like crap. I googled it and saw all of these horrible reviews from people saying the same thing. Then yesterday I picked up my new prescription at CVS and it was Rhodes Pharmaceuticals! Now I'm stuck with this garbage medication for another month. So now I have barely any pain relief, feel like awful from the side effects and I'm livid. How does the DEA not monitor these garbage products? I'm literally in tears writing this. :-(",Desertrose128
4,Oxycodone,Chronic Pain,1.0,Taken for 2 to 5 years,"March 23, 2022",0,"What’s happening is Generic Companies are changing the formulation without our knowledge and/or not giving a care about quality controls, when it comes to Oxycodone API’s, ingredients, production, etc. If it’s a formulation change, there’s not 1 reason I shouldn’t know about it or easily be able to find out ANY/ALL requisite info & it’s impact on me. I’m the one who’s body is ravaged by crippling diseases there’s no cure for and have every right to know EXACTLY what I’m putting in my body. How did we get to a place where the society’s sickest are being fed useless pills then treated like crazy conspiracy theorists or drug seekers for daring ask how an identical medication never acts the same from month to month and suddenly causes side effects that rival those of the diseases we’re treating? I’m not a child, so I don’t believe in luck or magic. There’s always a reason/explanation for something drastically changing.",HumanRights
5,Oxycodone,Chronic Pain,7.0,Taken for 10 years or more,"March 15, 2022",0,Oxaydo (oxycodone):It has help 70% of my pain at its best. Over time it helps less.,Painful life it
6,Oxycodone,Chronic Pain,4.0,Taken for less than 1 month,"March 8, 2022",0,"Xtampza ER (oxycodone):So far the main draw back is the complicated requirements for administration, the doctor says to open the capsule and put in food.  The pharmacist says opening the capsule is more risky and reduces amount absorbed.  All very confusingd an time will tell on effectiveness.  Pain control is moderate and requires additional opioid boosts to maintain pain control daily with out loss of relief.  More time may alter my personal rating",sgtwildbill2003
7,Oxycodone,Chronic Pain,9.0,Taken for 10 years or more,"March 8, 2022",0,"I have a brain tumor causing extreme migraines and have Rhumetoid Arthritis, the Rhodes, mallacroft  and a host of other generics that I am forced to try that do not alleviate the terrible pain I endure. What pharmacy in Fort Worth, Texas offers the KvK tech Roxicodone? This brand works bestThe other Generic drugs are useless. Only KvK tech releases the terrible pain. Also chronic pain destruction to my knees, wrists hands and fingers prevents a quality life.",Leo
8,Oxycodone,Chronic Pain,1.0,Taken for 1 to 6 months,"March 4, 2022",0,Dazidox (oxycodone):Awful awful awful ,Anonymous
9,Oxycodone,Chronic Pain,8.0,,"February 22, 2022",0,"I have been on oxy for many years due to degenerative disk disease, and osteoarthritis. It has been a lifesaver for me. Recently I has been forced off of it since my physician declared to stop prescribing opioids for everyone in her practice. So after dealing with that mess I was able to go back on and was treated with Rhodes brand. Horrible med no pain relief and try to convince Dr it doesn't work only gets you filed under drug seeker. If you have a choice go with other brands. Fortunately I found a dr who listens and cares she rx me the Met brand that works very well and now I have my life back as much as possible.",Bob
