,drug,condition,rating,duration,review_date,upvotes,review,username
0,Percocet,Chronic Pain,8.0,Taken for 5 to 10 years,"March 23, 2022",1,"Hurt SI joint 8.5 yrs ago. Took ibuprofen for about a year back surgeon prescribed codeine , did not help, then prescribed norco , worked but bad side effects.  Then percocet.  I get by on taking as little as possible as I am a recovering addict.  Always 3 or less a day dose is 5/325  . It helps stop the excruciating pain but brings on other not wanted side effects of numb leg and sciatica as I compensate for back pain. It is what it is . Until they come up with a surgery or better meds , this is my life . Dependent on opioids.",Hijack
1,Percocet,Chronic Pain,10.0,Taken for 5 to 10 years,"December 19, 2021",1,"I always got pain relief. Now because of people abusing them, my doctor's are afraid to prescribe them. Why does everyone have to pay for what the drug addicts do? I only take one as needed, some days I have severe pain, but because of the thousand people abusing them I must suffer.",No longer
2,Percocet,Chronic Pain,6.0,Taken for 1 to 2 years,"November 19, 2021",4,"Doctors are so afraid of prescribing any narcotic to treat REAL PAIN. The people who need it can hardly get it. I'm on a blood thinner so I take Percocet without anything else added. It's a good medication for pain, but not given enough for controlling pain. I'm over 65 have medical issues but treating the pain that goes with it doesn't get treated properly.",Kathy Koone
3,Percocet,Chronic Pain,10.0,,"July 9, 2021",38,"I've been taking Percocet 5/325 , 1 and 1/2 times a day for a totally messed up lower back in constant levels of pain when moving, can't stand up straight, For 10 yrs.  I also periodically get back injections, and take small amounts of Methocarbamol for spasms, plus occasional Diflocenac when extremely bad...I know for a fact I will never get addicted to the Percocet. I don't feel any  "" High "" or Crave it ever, in fact it makes me nauseous,  and constipated...  Oddly enough, that little bit, spaced right, combined with other pain relief allow me to get around pretty good, take care of grass cutting etc., It does cut into the most severe pain..... ex. Sciatica, when that flares up.And to be honest it's safer than any other alternative, especially for those of us who never crave the feeling of the drug .... !!To be honest it's overall NOT a physical feeling of well being for me !!!It cuts into pain ..PERIOD !",Tony
4,Percocet,Chronic Pain,1.0,Taken for 10 years or more,"March 15, 2021",114,I've been on my meds since 1997. I was in a car accident crushed against a tree in my car. I didn't start my meds during the craziness. Over 20 years my pain meds keep me normal. I've been with the same pharmacy for about 4 years. I have never given them a problem. In the beginning of this month he claimed to of not had my usual brand. I desperately asked him how it will affect me and is this only once. He told me it's the same different manufacturers and that he hasn't gotten any of my normal ones. I trusted his word. Then once I tried them I called him and complained explaining this is not working. He also suggested I go somewhere else I explained to him that is not right I simply want what I know works for me. I am praying that when it's my next pick up he gives me what I'm supposed to have. This particular brand of percocet has been making me sick it's not a mind thing it's physical pain. U17 are the barings on the pill  the brand is Aurolife Pharma LLC and they do not serve there purpose. Please don't make the same mistakes as I did. We have rights,Nena
5,Percocet,Chronic Pain,1.0,Taken for 6 months to 1 year,"November 10, 2020",20,Horrible medication reduces the pain from a 10 to a seven only lasts about two hours then strong craving settle in for more this is a horrible medication highly addictive with a little therapeutic use.,Nee
6,Percocet,Chronic Pain,10.0,Taken for 10 years or more,"October 26, 2020",32,"Every disc in my entire spine is damaged, all sorts of conditions with Chronic Pain.I've been on Brand Percocet for 10+ years with a few years on the generics. The generics suck and don't do much for pain as I had to keep switching between them (so long on 1 and then so long on the other) but the Brand Percocet does work, for me anyway. I was even reduced from 5/day to 3/day and it's still working. NO addiction and NO dependence, my strength is 10/325. The ins co wants to put me on generics again not because they care about me it's the cost.Quality of life, along with other meds, is better but far from great. Any side affects are out weighed by how good they work without getting high.",Genessee
7,Percocet,Chronic Pain,1.0,Taken for 6 months to 1 year,"September 4, 2020",77,"I have three bulging disc and a big guy at 240 lb the Rhodes frond of oxycodone with acetaminophen 10-325 medications absolutely useless. They're like taking a placebo or just a regular Tylenol. My doctor said that some people's chemistry binds with the bodies chemicals incorrectly with the medication and makes it to the inert. Does zero. The other percocet brand that starts with an M, weird name worked to reduce pain by 50%",Crackvenom
8,Percocet,Chronic Pain,2.0,Taken for 1 to 6 months,"June 18, 2020",59,"If you find that this medication doesn’t help you, it could be your liver lacks the enzyme to break it down. This medication also made me feel depressed- and I actually am a very happy person- so I knew I wasn’t depressed, but couldn’t shake the feeling of flatness.Also, this medication did almost nothing for my pain from severe facet arthritis, DDD and stenosis. I found 40 minutes later it felt like I had to take it again - Thankfully my Dr switched me to something that does work, but I had a genetic test done for medication and found out I lack an enzyme to break the med down to the active form. I also found out that the reason for my mood problems is because this drug interacts with the Kappa receptor, which can cause dysphoria.Not great for me, but I know many people find relief with it. If you don’t or have the above experience- ask for a genetic test for pain medication- it is very helpful.",Jinx342
9,Percocet,Chronic Pain,10.0,Taken for 10 years or more,"May 16, 2020",21,I’m a Disabled Veteran who has had 13 knee surgeries of these are included the removal of the patella in each knee and since 2015 my right knee has been replaced 2x I’m currently prescribed Percocet 5/325 at 2 per day. I find this medication is more than capable of controlling my pain.,MJ
