,drug,condition,rating,duration,review_date,upvotes,review,username
0,Mucinex,Cough,1.0,Taken for less than 1 month,"January 18, 2022",0,I got these mucinex cough drops to try them and they are nasty and they don’t help. I think I will stick to halls.,Jen
1,Mucinex,Cough,1.0,,"December 8, 2021",0,I spent $21.00 on mucinex day and night  cough medicine and cough drops . I was disappointed the product didn’t do anything. Would love a refund .,Patrice
2,Mucinex,Cough,5.0,,"May 3, 2020",5,"Mucinex is good but tough .... finally you will get through it, but try another kind is possible.",John
3,Mucinex,Cough,1.0,Taken for less than 1 month,"April 22, 2020",8,Doesnt work for me!,John
4,Mucinex,Cough,1.0,Taken for less than 1 month,"February 13, 2020",1,The  packaging for Mucinex  is a horrible nightmare. I could not open the bottle. I did the usual push down and turn knob but it was impossible. My dr suggested this and other drugs and antibiotics but I couldn’t get it open - I am so sick that I took a knife to the lid but it only produced a small slit. So I squeezed the bottle but only got a little out. This is a nightmare and I will never buy this again.   Zero time on med as I could not get to it.,Joody
5,Mucinex,Cough,1.0,Taken for less than 1 month,"February 12, 2020",7,This has to be the worse cough medicine ever it actually made my cough worse. Switch to Robitussin and IMMEDIATELY noticed the difference in relief. I'm not one to review but this one needed to go down in the books.... Don't take Mucinex...,H
6,Mucinex,Cough,10.0,Taken for less than 1 month,"February 7, 2020",25,At first I thought this was making me worse because of thinning my mucus but I read someone's comment on here who said to drink a lot of water (64 oz) and I tried that and it definitely made a difference. If you don't drink a lot of water with this you are not going to clear out the mucus.,Linda
7,Mucinex,Cough,1.0,,"January 25, 2020",8,This product makes me feel like I'm drowning.,T
8,Mucinex,Cough,10.0,Taken for 6 months to 1 year,"January 13, 2020",5,I use the Mucinex liquid and I think it works great. I had it as a prescription for my last cold and this time I got it myself. I also got Alka Seltzer thinking that would work. After 3 days of feeling like poo I took the Mucinex and slept the best I had in three days. I highly recommend this to anyone. I'm only taking it at night because it does make me sleepy. Other than that I have no problems with this medicine and it's the best thing I've ever taken for colds.,Jojo
9,Mucinex,Cough,10.0,Taken for less than 1 month,"July 19, 2019",18,Worked for me  straight  after taking  1st tablet.,Tisha
10,Mucinex,Cough,2.0,Taken for less than 1 month,"July 10, 2019",15,Took a whole course of these - the whole  pack.  Not working. I now have bronchitis.,SS
11,Mucinex,Cough,1.0,Taken for less than 1 month,"February 9, 2019",10,"Didn’t work, paid 10 dollar. Waste of money sick and ticked.",Simpson
