,drug,condition,rating,duration,review_date,upvotes,review,username
0,Mesalamine,Crohn's Disease Maintenance,10.0,Taken for 10 years or more,"March 11, 2022",0,"Asacol HD (mesalamine):Diagnosed with UC at 21/22 years old. As disease progressed, updated diagnosis to Crohn's Disease. Daily dosages of Asacol HD 800 since medication manufactured. 2021-2022 medication difficult to locate. Recently without medication for 14 days and Crohn's symptoms started to appear sending me between bathroom and bed. Ate baby food. Obtained medication on 15th day and symptoms subsided. Now, eating normally within one week. Dosage 3x day without food.  Crohn's into remission as medication stops inflammation.",Jax
1,Mesalamine,Crohn's Disease Maintenance,2.0,Taken for 6 months to 1 year,"February 3, 2022",0,Made my hair fall out and break and my flare up related rashes become constantly inflamed. Kept me healthy however but damaged my external appearance.,Not great.
2,Mesalamine,Crohn's Disease Maintenance,1.0,Taken for 10 years or more,"November 6, 2021",1,"Pentasa (mesalamine):500 mg x 4.  Took it for duration of disease (30 years). My GI was negligent.  Disease was never fully active in her care. Early on, she expressed doubt that I had Crohn’s disease until pathology came back positive. Disease became active after 28 years of mild inflammation. GI dismissed my complaints (only believes colonoscopy, referred back to last colonoscopy as evidence) until new colonoscopy revealed fistula. Referred to new GI who said I had never been treated for Crohn’s disease because Pentasa doesn’t work for fistulizing  Crohn’s. Inflammatory polyps were present and removed at every single colonoscopy with the negligent GI. New GI used biologic, zero inflammation at colonoscopy.  Pentasa - easy to take. Does nothing for your Crohn’s. Inflammatory polyps should not exist if treatment is working. It isn’t preventing inflammation if you have INFLAMMATION.",Sarah
3,Mesalamine,Crohn's Disease Maintenance,1.0,Taken for less than 1 month,"February 13, 2021",0,"Pentasa (mesalamine):Pentasa gave me diarrhea within 24 hours of using it. Stopped it, returns to normal and tried it again to make sure. Diarrhea returned.",KOdie
4,Mesalamine,Crohn's Disease Maintenance,10.0,Taken for 10 years or more,"February 13, 2020",32,"Pentasa (mesalamine):Pentasa for Crohn'sI was diagnosed with Crohn's in 2001.I have been taking Pentasa for over ten years and I find it works well.  I was taking Asacol, but I found them hard to swallow.  I could not swallow Pentasa either and dissolving in my throat was a real problem, so a few years ago I started dissolving them in water and adding yogurt or jam. Amazingly,  it did the trick.  I haven't had any problems with my Crohn's for many years.",Trish
5,Mesalamine,Crohn's Disease Maintenance,10.0,Taken for 10 years or more,"January 22, 2020",7,"Pentasa (mesalamine):Hi, I'm a 51 year old Male from Scotland and was diagnosed with Crohn's at 30 . I take 1 sachet of pentasa in the morning and it has been keeping everything at bay. I can have a pint or 2 and can eat what I like with no effects. I can suffer cramps in my back passage through the night which lasts about 15-30 mins, every 2/3 months. Also losing my hair and on blood pressure tablets . This is side effects to Pentasa.",Anonymous
6,Mesalamine,Crohn's Disease Maintenance,10.0,Taken for 1 to 6 months,"October 31, 2019",6,"Salofalk (mesalamine):Loved it, absolutely did!!way better than pentasa and is mostly out of stock for where I live!!on the other hand pentasa is easy to get but not as effective as salofalk..",Rana
7,Mesalamine,Crohn's Disease Maintenance,10.0,Taken for 1 to 6 months,"October 2, 2019",28,"Pentasa (mesalamine):I was diagnosed in 1983 with Crohn’s at age 19. That triggered a preexisting condition which led to me being uninsured for 30 yrs. As my disease progressed it felt like I was going thru a colonoscopy prep every day of my life. Bloody diarrhea constantly so much I had to stop working. I started on Pentasa about a month ago and for the 1st time in 30 yrs have had solid BMs and no bleeding. It’s like a miracle drug for me. Dr wants me to take it as a suppository at night along with 500 mg capsules 3x/day. The capsules cost $250/m copay ($2,500 reg price) but medicare won’t cover the suppositories which are $9,000! Who can afford that? The main side effect of this drug, for me, is bankruptcy. Other than that it works great.",Acem
8,Mesalamine,Crohn's Disease Maintenance,,Taken for 1 to 6 months,"July 24, 2019",36,"Pentasa (mesalamine):I'm 24 years old and my Crohn's is continuously been getting worse. Every year I look more white and more like a skeleton. When I ate food, it went through me within an hour. I used the bathroom every time I ate. Been dizzy with no energy. I started taking pantasa 2 months ago. Have never felt dizzy since, the colors coming back to my skin. Ive gained a little bit of weight, and I only use the bathroom once a day. I haven't been taking the drug very long but so far it seems to be my life saver!",Regaining hope
9,Mesalamine,Crohn's Disease Maintenance,10.0,Taken for 2 to 5 years,"March 10, 2019",15,Pentasa (mesalamine):I am 70. I was diagnosed with Crohns disease three years ago after I had severe rectal bleeding for the third time in three months.  I was put on Prednisone for four weeks then 6-MP.  A week later I ended up in the ER.  It took the hospital six days to find out what was wrong with me but finally diagnosed sepsis.  The 6-MP was replaced with Budesonide for a month then I began taking two Pentasa pills four times a day.  The Pentasa seems to be working perfectly.  I have a few minor side effects but some or all may come from by heart medicines.,Bud
10,Mesalamine,Crohn's Disease Maintenance,,Taken for 6 months to 1 year,"February 26, 2019",32,"Pentasa (mesalamine):Hi, I’m 19 and turning 20. I was diagnosed with Crohn’s last March and was taking Pentasa, and it works great, but when I switched to United Healthcare, they wouldn’t cover it. They then prescribed me Apriso. If your Crohn’s is specific to your small intestine and not your colon, please don’t take Apriso. Apriso is meant to target your colon. I went back to the hospital for the third time because of it, so it was decided that I should go back onto Pentasa. It really works for those who aren’t sure about it. It really does. I was in severe pain for months until Pentasa. It’s kept the pain away and let me get back to a normal diet. For those who were on Pentasa and were forced to change medication due to insurance, you can dispute to your insurance that you need it. It took 2 months to do it, for me, but it worked out. My insurance now will cover it. Good luck to those with Crohn’s and/or are having trouble finding medication or can’t take Pentasa, anymore.",Mack
11,Mesalamine,Crohn's Disease Maintenance,8.0,Taken for 10 years or more,"September 21, 2018",9,"Pentasa (mesalamine):I am 65 years old and have had crohns since I was 19. I have tried different meds but over the last 20 years have been very happy with 2 , 500 mg of Pentasa daily. It keeps me out of hospital and maintains my condition to the point I can live with it. However now that I am on medicare and have lost my drug coverage the cost has gone from $400 for a 3 month supply to $1500 for same 3 month supply. I ask my doctor about trying another drug, it calls for 9, 750 mg pills a day so here goes wish me luck.",Scorch
12,Mesalamine,Crohn's Disease Maintenance,,Taken for 10 years or more,"August 27, 2018",22,"Pentasa (mesalamine):I am unable to purchase my pentasa 500 Mg that I have been taking affordably for over 30 years. The Affordable Health Care Act we have today is very misleading. The price went from  $300.00 for 90 day to $1,556.00 for the same.  Please Americans are suffering without their meds!!!!",Wewillsurvive
13,Mesalamine,Crohn's Disease Maintenance,9.0,,"November 20, 2017",14,Pentasa (mesalamine):I'm a Filipina 44 years old and was diagnosed  of crohn's in 2014. I've been taking pentasa tabs and suppository as well.  My first 6 months was four  pentasa 500mg tablets twice a day and 1 suppository before bedtime. There was an improvement I had less  diarhea and crampness of stomach. I maintained taking pentasa for 2 years and reduced the dosage until I took two 500mg pentasa a day and 1 suppository. Since I feel better. I decided to stop taking med. Now  I'm 3 years with out taking any medicine and starting again with diarrhea with a bloody stool. Maybe I need to start back on pentasa again..,Juvy paulite
14,Mesalamine,Crohn's Disease Maintenance,8.0,Taken for 1 to 6 months,"October 6, 2017",19,"Pentasa (mesalamine):I have been taking 4 x Pentasa 500mg twice daily since I was diagnosed with Crohn's in June this year.  I haven't noticed any side effects but my stomach cramping, bloating, gas and just general pain has dramatically decreased so I think it is helping!  Yay.  My specialist has advised that if my symptoms don't totally subside on this medication I've to try a steroid so hopefully it continues to work for me.  Thankfully I'm in Scotland as well so I don't need to pay for the prescription.",May13
15,Mesalamine,Crohn's Disease Maintenance,4.0,,"July 10, 2017",10,"Pentasa (mesalamine):Well, I was diagnosed with Crohn's disease at age 29... but the doctors thought I had it before then but I was pregnant and it laid dormant for about a year. My intestines burst one year ago and I had to have bowel resection...20 inches and my appendix. After all that, they put me on steroids and pentasa two 500mg, 3 times a day. At first I did ok with it but I'm horrible at taking medicine so I started decreasing the amount that I took. Doctor is not thrilled of course but now that I haven't taken it for a while, I feel no different than when I'm on it. I have diarrhea anytime I eat and occasional gas with pain but that's it... I'm lucky I know and still not sure if I'm making the right choice but meds are $70/mo",Anonymous
16,Mesalamine,Crohn's Disease Maintenance,,,"May 20, 2017",26,"Pentasa (mesalamine):I've been taking Pentasa for several years.  I remember vividly having to go to the bathroom several times a day.  I have to go just once a day, maybe once every other day since taking Pentasa. My dosage is two 500 mg capsules four times a day.  The only side effect I have experienced is passing gas considerably.",Mark Kratovil
17,Mesalamine,Crohn's Disease Maintenance,10.0,,"May 2, 2017",9,Pentasa (mesalamine):It has been great. Works a treat.,Pauma
18,Mesalamine,Crohn's Disease Maintenance,7.0,,"April 26, 2017",16,Pentasa (mesalamine):I have been taking Pentasa since 10 years and has relieved all cramps and distentions. I'm able to lead my life comfortably now. Only recently I have developed rashes all over and want to know in case any one else facing same way.,Ritz Shar
19,Mesalamine,Crohn's Disease Maintenance,9.0,Taken for 5 to 10 years,"March 5, 2017",21,"Pentasa (mesalamine):I take Pentasa much in the way people take Rolaids.   As soon as I feel like my intestines are reacting poorly I will take 2 pentasa.500mg and my stomach calms down within 10 minutes.  I have no idea why it works for me,  a Crohns patient for 10 years in this way.  I do not ever take it as a preventative medicine.  As a topical way to calm intestine discomfort, it just seems to be miraculous.",JMacBerPI
20,Mesalamine,Crohn's Disease Maintenance,7.0,Taken for 10 years or more,"November 22, 2016",8,"Pentasa (mesalamine):I was on Pentasa for 19 years but every time I had a colonoscopy the crohn's was progressing.  I finally ended in the hospital with a severe inflammation.  I was told by 2 GI docs that the Pentasa was probably not working but back in 1997, except for 6mp they really had no other alternative.  2 months ago I switched to Humira.  Many more side effects than Pentasa however.",Buzzberm
21,Mesalamine,Crohn's Disease Maintenance,9.0,,"November 2, 2016",28,"Pentasa (mesalamine):Hi I'm a 47 year old male and have had crohn's now for 17 years. I've been taking one sachet of pentasa in the morning after breakfast. I realise I'm pretty lucky as I lead a normal life, enjoying a pint or to with a curry etc. My only issue from time to time is painful cramps from my back passage, this happens during the night and can last anywhere between 15 mins to an hour, this happens maybe once every 2 months. I have not had any surgery so I'm very greatful for pentasa as it seams to keep my Crohn's at bay. I from Scotland and get my medication prescription free.",Gordon Stirling
