,drug,condition,rating,duration,review_date,upvotes,review,username
0,Humira,Crohn's Disease,1.0,,"February 5, 2022",0,"My mother has been taking this long term and has suffered serious side effects. These include lesions, Fungal infections and muscle weakness in her arms and legs which I attribute to nerve damage. Her specialist witnesses these conditions and refuses to acknowledge them and continues to push the advantages of this drug. This is total incompetence and proof that Drs care more about their kickbacks from pharmaceutical companies than caring for their patients. This drug should be for short term to control flare ups and not be seen as a long term solution.",Alm
1,Humira,Crohn's Disease,1.0,Taken for 1 to 2 years,"December 9, 2021",0,"I did not have a positive experience at all with Humira. I started Humira when I was 20 years old due to my Crohn’s. Humira suppressed by immune system significantly. I would get sick so easily. I also believe I have permanent nerve damage to my arms because of the humira. When I was on humira my joints and bone were so stiff, I felt like a 90 year old woman in a 19 year old body. I am now 27 and have been off humira for 6 years and feel significantly better. I am now on Entivyo and my immune is not as suppressed. I personally will never use humira again.",Anonymous
2,Humira,Crohn's Disease,1.0,Taken for 10 years or more,"November 24, 2021",0,"AVOID HUMIRA IF AT ALL POSSIBLE. Your doctor won't tell you this, but, if you have any issues with the Humira, your doctor, your pharmacy, and the manufacturer will not assist you. For example, if the pen becomes damaged or it's accidentally left out of the refrigerator and becomes ineffective, the manufacturer will not send you a replacement. Your doctor will tell you that it's expensive and that they don't have any samples. Things happen in life and you pen could become affected. There is no safety net. You will have to tough it out until the next shipment arrives, which could be two weeks later. It happened to me.",Anonymous
3,Humira,Crohn's Disease,1.0,Taken for less than 1 month,"July 5, 2021",1,"hello,I've had Crohn's disease for along time. My Doctor suggested I take Humira. I developed an allergic reaction & ended up in the ICU for 3 days. I will never take this medication again",Anonymous
4,Humira,Crohn's Disease,1.0,,"March 30, 2021",11,"I used Humira for Crohn's for 6 months... I quit taking it after I started having involuntary muscle movements in my right arm, came out of nowhere. Shortly thereafter I had a stroke leaving me with no peripheral vision to the left from both eyes. I have neuropathy to where I am numb (as if you'd sat on the floor on your foot and it fell asleep)  I would go to point at something and my arm would not let met point at what I wanted to and would move on it's own almost in a 'palsy' like movement.  Since then I now encounter psoriasis that I never had before. I also have skin growths on my legs similar to tags but flat and they're increasing in number over the years.  I tried to file a complaint with poison control and the fda and they'll take not action against big pharma... follow the money of which I have none.  Iwould avoid this medication at all costs...",mj
5,Humira,Crohn's Disease,8.0,Taken for 5 to 10 years,"November 27, 2020",2,I was diagnosed with Crohns in 2013 and was prescribed Humira.  I had been taking it for 7 1/2 yrs and had to change because Humira was not working as well as needed. I was taking a weekly dose for 6 months with no improvement.  I never had a problem while taking Humira.  My GI Doc prescribed Entyvio.  A total Disaster!!!! I would never recommend this so-called medication.  Entyvio should be taken off the market !!!!!I am now on another med and am hoping for better results for a many years.,Cece
6,Humira,Crohn's Disease,2.0,Taken for 1 to 6 months,"November 22, 2020",3,"I have been on Humira for 8 weeks. The first 2 injections 160mg, left me in total agony for 9 straight days. Hip joints, knees, ankles and achilles in both legs were extremely painful with every step I took. I have a job where I work 12-15 hours a day on my feet, putting in 10-15 miles a day. I couldn't work. Called my doctors relentlessly. They told me to keep taking it. On day 10 no pain at all. On day 14 took 80mg. Started sneezing and haven't stopped. Been tested for flu, strep, bronchitis, pneumonia and covid. All negative. Took 40mg. Still sneezing. Been sneezing now everywhere I go all day and all night. Went to ENT doc, going to an allergiest. All tie back to Humira. Bowels no different 8 weeks in. Hope to be off Humira by xmas. Awful med.",Flo
7,Humira,Crohn's Disease,1.0,,"October 13, 2020",4,"Terrible drug, made everything worse and the injections were painful and left lumps, felt like injecting straight lava under your skin, they do not mix the drug well and charge 5000$ a month for it lmao. Went off and now they keep saying I owe money yet it’s covered by trillium, for a drug this expensive it didn’t help at all.",Jaysonk
8,Humira,Crohn's Disease,4.0,Taken for 1 to 2 years,"September 18, 2020",3,"Used Humira for about a year and a half before I stopped. It had good effect on the Crohn's disease but the side effects were terrible. Severe headaches, muscle and joint pain, skin rash and fatigue were some of the worst. Although it was very easy to take, just using a autoinjector every second week.",Mike
9,Humira,Crohn's Disease,9.0,Taken for 1 to 2 years,"September 3, 2020",9,"I was diagnosed with Colitis in December 2018 and was put on steroids in March they did an MRI and found I had Crohns in both intestines. I had lost 30 pounds, which was good for me and the only real problem was the diarrhea, no real pain. I started the Humira which has been improved they call it citrate free which means the injection went from feeling like a wasp sting to a 'is there a needle in this'? I feel great as if I didn't have Crohn's Disease. I have diarrhea maybe once or twice a month but usually from what I ate.  I had my colonoscopy June 2020 and the doctor said  things were better but he feels I need something stronger and wants me to to Entyvio which is a 1/2 hour infusion treatment. I feel great and have not had any adverse issue except for an infected toe. The Entyvio is more expensive and there seem to be a lot of issues that people have from it that I never had with with the Humira. Need more data",Veeter
