,drug,condition,rating,duration,review_date,upvotes,review,username
0,Aripiprazole,Depression,2.0,,"March 26, 2022",0,"Abilify (aripiprazole):So I started taking Abilify probably about 5 years ago approximately. I thought it was pretty great because I started feeling less depressed. At the same time that I started taking Abilify, I also started seeing a therapist and going to CBT groups. I think all together the meds and therapy helped me a lot. That's why I'm giving it 2 stars. As time went by, I started noticing symptoms that I attributed to other things like aging (hello, I'm 34 years old). I started to not be able to remember simple words like ""remember"" or ""throw"" or ""catch"". Words just escaped me and it became harder and harder to have conversations with people. I also couldn't focus even though I was taking enough Adhd meds, and I gained 80 pounds! I was bigger than I'd ever been but the worst part is the social isolation I feel because it's hard to conversate with people when you can't remember simple words and phrases. I'm still on Abilify but am now going to be tapering off of it after reading all the side effects",Bailey Hill
1,Aripiprazole,Depression,,Taken for less than 1 month,"March 23, 2022",0,Abilify (aripiprazole):After 20 years on Paxil was starting to sink back into depression. Dr. Added abilify - amazing I singing in the car and happy again,Picolsi
2,Aripiprazole,Depression,1.0,Taken for less than 1 month,"March 21, 2022",0,"Abilify (aripiprazole):I was prescribed Abilify to augment my antidepressant as I was still severely depressed. I chose not to take it due to the risk of getting Tardive Dyskinesia. Despite what you have been told, Atypical Antipsychotics are no safer than first-generation Antipychotics. Antipsychotics were widely prescribed for depression in the 70s and 80s until they realized it was the drugs causing TD as opposed to the illness of schizophrenia. History is repeating itself, so do your research and beware!",hawka44
3,Aripiprazole,Depression,10.0,Taken for less than 1 month,"March 19, 2022",0,"Abilify (aripiprazole):I’ve added Abilify 2.5mg to Zoloft/Sertraline (SSRI) & it has been an absolute game changer for me!! I feel alive, my mood is better, I feel happier, my mind isn’t congested & it’s the only ‘add on’ medication that’s really lifted my depression. Definitely a morning medication as it gives me energy",Sarah
4,Aripiprazole,Depression,10.0,Taken for 1 to 6 months,"March 4, 2022",1,"Abilify (aripiprazole):Dx BPD, MDD, GAD & C-PTSD. Other meds: Hydroxyzine, lamictal, prazosin, and trazodone. This medication combo has been a life saver. After years of severe depression, the fog has lifted. No more mood swings related to borderline personality disorder. No more irritability/anger. My motivation has increased significantly as well. My apartment is clean for once in my life. I highly recommend this medication for depression and/or borderline personality disorder.",Dogmom
5,Aripiprazole,Depression,1.0,Taken for less than 1 month,"February 18, 2022",2,"Abilify (aripiprazole):I will not have enough space to share all of the horrifying side effects. My resting heart rate went from 64 to 100 on day one. Stomach pain was intolerable. Constipation. Agitation. Brain fog. Hallucinations, constantly seeing bugs that weren't there. Exhaustion. 20 lb weight gain in 3 weeks. Intense food and cigarette cravings. Terrifying and vivid nightmares. Wanting to attempt suicide after 3 weeks on very low dose and Dr. told me to stop the meds. Most horrifying side effects I've ever had on a pill. Coming off the med after 3 weeks was a nightmare too.",xfreespirit79x
6,Aripiprazole,Depression,1.0,Taken for 6 months to 1 year,"February 2, 2022",2,"Abilify (aripiprazole):At first, Abilify seemed like a miracle. I felt more energy and while it didn’t eliminate my depression, it kept me going to work and at least functional for myself and my family. 70 lbs of weight gain later, I attempted to go off of the medication. I was left with a severe resting tremor and excruciating neuropathy that feels like is destroying my life. I am unable to work and barely able to leave my bed. I cannot care for my children, sleep and am losing weight rapidly due to a non existent appetite. I am truly scared for my life after taking this drug.",InShambles
7,Aripiprazole,Depression,1.0,Taken for less than 1 month,"January 28, 2022",1,"Abilify (aripiprazole):It made me feel like I took a low dose of LSD.  Body was very edgy and uncomfortable.  I stopped taking after first dose, not worth feeling that awful to try and feel less depressed.  It is an anti-psychotic not an anti-depressant, treating depression with this as an adjunct  is not what it was made for.",Feels like LSD
8,Aripiprazole,Depression,4.0,Taken for 1 to 6 months,"January 3, 2022",2,"Abilify (aripiprazole):I started Abilify about a month ago for yet another bout of severe depression. I am constantly at a moderate state of depression, but frequently, that mood descends to severe for months or years. I really can hardly think of periods in my life where I was actually ""happy"". Maybe a half dozen times of joy in my life. I am on 2mg for just about a month or so. At first, it was a noticeable improvement. But now, after about three weeks the effects seem to have worn off. I am in a worse state than I was before. I don't see my shrink for a couple of more weeks but I hope he will increase the dosage from 2mg, which is clearly no longer having an effect on me. I will tell you, it was, in its brief time, far more effective than any of the hideously addictive SSRI's the medical profession tries to pawn off on people, never mentioning the horrid weeks and months of withdrawal from them.",Jiggus
9,Aripiprazole,Depression,10.0,Taken for 1 to 6 months,"January 2, 2022",1,"Abilify (aripiprazole):Dx MDD, GAD, PTSD, & BPD. Intramuscular injection. Helps with my severe mood swings, explosive anger, and depression. I also take trileptal, buspirone, klonopin, trazodone, and prazosin. Best combo I've found so far.",Dog mom
