,drug,condition,rating,duration,review_date,upvotes,review,username
0,Fluvoxamine,Depression,3,Taken for 1 to 6 months,"December 16, 2021",0,"I felt numb and shaky, it might work for someone else but it didn’t help me",Mer
1,Fluvoxamine,Depression,3,Taken for less than 1 month,"April 4, 2021",2,"I was interested in Fluvoxamine because unlike the other SSRI it reportedly did not cause delayed ejaculation. This turned out to be true. However, the tiredness that came with this drug was far worse than on the other SSRIs, and I couldn't continue because of that.",Frex1
2,Fluvoxamine,Depression,5,Taken for 1 to 6 months,"November 17, 2020",12,"They say fluvoxamine is quite a sedating SSRI, and I would concur. Even though it was co prescribed  with wellbutrin for depression, I was falling asleep in the afternoons while on this.The break in wasn't nice either - very dry mouth and a lot of nausea. It lifted my severe suicidal depression, but didn't improve my optimism or motivation. I just felt nothing. I didn't care about anything at all and basically stopped trying.Generally don't recommend and prefer prozac, which is more stimulating",Tiny
3,Fluvoxamine,Depression,1,Taken for less than 1 month,"October 16, 2020",8,"Started Fluvoxamine not too long ago. It really messed me up, and I had to stop taking it after only 2 doses. Constant thoughts racing, my heart was beating out of my chest, I breathed out of my mouth, I couldn't sleep, and sometimes I'd start crying because I was so frustrated with the lack of sleep. Sometimes I'd lose myself, staring off into space and blink once every 30 seconds like a zombie... Stomach pains and headaches followed as well. Everyone's different, but for me, it was awful.",Tired
4,Fluvoxamine,Depression,10,Taken for 6 months to 1 year,"July 21, 2020",18,"I suffered major depressive disorder. I was suicidal. I went through ECT treatments which would help, but it was the Fluvoxamine that worked on my depression and brought my life back. I'm up to 300mg of this medication. To me it is a miracle drug.",Honey
5,Fluvoxamine,Depression,2,Taken for 1 to 6 months,"June 3, 2020",7,"I have been on 50 mg fluvoxamine for 8 weeks for depression and anxiety. Since taking it I want to be by myself and I have been getting more tired, and no energy to do anything. I avoid shopping. I used to walk most days before I started taking it but it is too much effort and I get breathless. The depression has not got any better. I sleep 4 hours at night but to be fair that has been my average even before I took the tablets. If I had to summerise the worst effect it would be tired all the time and I have become antisocial. The good effects slightly less anxious.",Cosi
6,Fluvoxamine,Depression,10,Taken for 2 to 5 years,"April 30, 2020",19,I got prescribed 15 or 20mg fluvoxamine when I was 12 or 13 for my depression which I got from being bullied everyday at school.This  got increased to 50mg in the morning and 100 at night for a year and a half and took it for 4 years with no side effect that I can think of and now I'm off it cause I'm not depressed anymore :) yay,wezztitys
7,Fluvoxamine,Depression,6,Taken for 1 to 6 months,"November 5, 2019",5,"I have both anxiety and depression and maladaptive daydreaming which can sometimes induce the anxiety and depression. I work 2 jobs, so I really needed an SSRI. My body metabolizes this a lot better (I have fewer side effects, but it's also not as effective). It works BEAUTIFULLY on my anxiety, but not so much for depression. As for my depression, depending on the day, it'll go in waves, and most of the depression is at work. If I'm depressed enough, I will still maladaptive daydream.I would not suggest this med if you have 2 jobs or are a very busy person who can't get enough sleep due to schedule. If you have time to sleep longer, it should be more effective. Naps help me most of the time. Although, depending on your body it could make you more awake or very sleepy. With my body, it seems to make me more awake. I don't get the most restful sleep on this med, so if you have a lot of my symptoms I might not recommend it.",Mu-nraito
8,Fluvoxamine,Depression,5,Taken for 2 to 5 years,"September 4, 2019",29,"This medicine fluvoxamine has its pros and cons. I have spent 3 years on this medication. Started on 25mg and slowly increased to 200mg. I felt like I had lost all emotion on this dose. I couldn’t feel anything. I stood at my grandmothers funeral and didn’t even shed a single tear. I just couldn’t feel anything. I decreased my dose to 100mg and it has completely stopped all suicidal thoughts and anxiety and mostly all of my depression but I cannot do my job consistently due to feeling extremely tired, weak and lethargic. I cannot focus nor concentrate and I find it hard to stay consistent and interested in hobbies. I have an I don’t care attitude a lot of the time when it comes to my job especially and hobbies. I find it hard to function this way. I feel like I have trouble remembering anything and my brain is not working as well as it used to. I could sleep 23 hours a day. I feel unmotivated and disinterested in a lot of things. Neither situations are ideal",Steve
9,Fluvoxamine,Depression,10,,"June 13, 2019",15,"I started fluvoxamine after a 30 day hospital stay. They changed many of my meds.  My mood stabilized with Rexulti, Viibryd & Seroquel, BUT the seroquel made me ravenous and I gained 15 lbs in one month.  I’m already obese, high BP, high CHL and diabetic.When all was said and done, I went back to my psychiatric nurse practitioner and she modified my medications immediately.When I got out of the program, I was still feeling awful.  I saw my NP & she is willing to try anything.  She hates to see me suffer.  She immediately took me off the 2 mood stabilizers, and hunger drastically decreased.She kept me on 40mg of Viibryd,  70 mg of Vyvanse, 100mg of lamotrigine (2x/day),  50mg of Topiramate.  She then added Ambien for sleep along with the Luvox 100 mg and Xanax as needed.My primary physician got me on meds for my cholesterol, high BP, and high sugar.  Since January my numbers have all shifted in the right direction and I feel human again!",Rhiannon
