,drug,condition,rating,duration,review_date,upvotes,review,username
0,Niacin,Depression,10.0,Taken for 1 to 6 months,"October 23, 2021",4,I love Niacin. I look forward to the flush and always feel quite relaxed after. Overall it does a lot for depression and anxiety symptoms.,Anonymous
1,Niacin,Depression,10.0,Taken for less than 1 month,"October 2, 2021",3,"I was diagnosed with GAD and panic attacks since 2000 , been on SSRI on and off , they never work good for me , always anxious and negative thoughts .  A week ago i came across niacin and how it helps in depression and anxiety. I started with 500 mg ( flushing ) . I gave it a go and believe me , in just one hour after taking it , I felt so great for the first time in 20 years . It has same effect as Xanax . This vitamin is amazing . It has been a week now and I was able to drop my ssri dose from 20 mg to 5 mg with no withdrawal symptoms . It is amazing . From my deep heart i really wish everyone who suffer try it . It a miracle",It is a miracle
2,Niacin,Depression,10.0,,"September 18, 2021",1,It really helps my depression and keeps me off the alcohol if I take it daily. It's a shame Dr's don't use this B vitamin before all the terrible prescribed drugs.,Russ
3,Niacin,Depression,10.0,Taken for less than 1 month,"April 17, 2021",69,"Wow!Day 3.... worked up to 2000 mg and flushing has eased right off.My mood has not only done a complete 180, but my energy levels are though the roof .Hope this lasts as I have battled anxiety and depression for 25 years ....",Pete
4,Niacin,Depression,,Taken for 1 to 6 months,"February 3, 2021",24,niacin is the cure for depression and cannabis induced psychosis,Anonymous
5,Niacin,Depression,10.0,,"December 14, 2020",57,"I had slightly elevated cholesterol but didn't want to take statins. My PCP recommended 1200mg of niacin (yes the nasty full-flush kind, the flush does lessen with time). For years I have suffered from depression, antidepressants made me feel worse. By the second day of taking niacin that dark, heavy cloud on my brain just went away. My cat did something goofy and I actually laughed, I can't remember the last time I honestly laughed! It's been two months, the flush effect is minimal. I don't know yet if it's doing anything for my cholesterol but I will keep taking the niacin because I love feeling alive.",Trish
6,Niacin,Depression,1.0,,"November 29, 2020",9,"So I took 250mg Niacin tonight before bed and OH MY GOSH YICKS!!! I woke up roughly an hour since taking it and my whole body felt like it was burning and I had a major panic attack as a result. Such a nightmare. Almost went to the emergency room thinking it was an allergic reaction. Will probably try the no flush type. Anyone else trying this just letting you know if you suffer from severe anxiety like me take with caution an understand the side effects so it doesn’t take you by surprise like it did me. Still lying here trying to calm myself down. P. S. Will update after trying the no flush type, cause I NEVER want to go through that again!!!",Dogsdill
7,Niacin,Depression,8.0,Taken for 1 to 2 years,"July 27, 2020",21,"Niacin is a life saver. It helps with my anxiety. Unfortunateally it does not give me a 100 % relief, but it eases my anxiety to the point where I can function like a normal person. It makes my GAD/Depression much more manageable. I also add some GABA.",Aliyah
8,Niacin,Depression,2.0,Taken for less than 1 month,"February 18, 2020",9,Niacin has done zilch for me,JR
9,Niacin,Depression,1.0,Taken for less than 1 month,"February 16, 2020",9,niacin Did nothing for my depression even in larger doses.,JR
10,Niacin,Depression,10.0,Taken for 1 to 6 months,"January 22, 2020",33,Completely cured my depression,Botticellichik
11,Niacin,Depression,10.0,Taken for less than 1 month,"December 17, 2019",65,"Been suffering from depression and anxiety most of my life. Started taking Solgar Niacin (with the flush) and the change has been like day vs night. Sleeping better, energy in the morning and in the evening (but not affecting sleep), better concentration and mood vastly improved.Started on Solgar Niacin 100mg once a day and moved up to twice a day and feeling great!",Dmarq
