,drug,condition,rating,duration,review_date,upvotes,review,username
0,Pristiq,Depression,10.0,Taken for 1 to 2 years,"March 29, 2022",0,"I would not be here without Pristiq. I've been on it for about a year now, but within the first month I knew I had found the one. I honestly had/have no side effects, but I know from experience (from the multitude of other meds I had to try before I found this one) that meds affect everyone differently. The only downside is that when I forget to take it for 2-3 days, I get ""brain zaps"", but thats the only symptom. Anyways, I would have not fallen back in love with life if it wasn't for Pristiq. to anyone reading this, it took me months and months to find this med, I was miserable, it felt like torture to live. I wanted to give up. I was so close to giving up, but I didn't, and I found something that fit like a puzzle piece. I am so sorry that you are still searching for your puzzle piece, but please please don't give up.",brookie
1,Pristiq,Depression,1.0,Taken for 1 to 6 months,"March 28, 2022",0,"Absolutely horrible side effects. I had severe tremors, shuddering and diagnosed with tardive dystonia.  I went through several emotions at once. I heard voices. It's very common to get dystonia which the Drs seem to shrug off.",Anonymous
2,Pristiq,Depression,5.0,Taken for less than 1 month,"March 1, 2022",1,I have been on Pristiq for 6 days. I am jittery and have no appetite. Still taking Ativan to stop the nervous stomach. Cry everyday. I took a gene test and this drug is supposed to work. Fingers crossed it does. Do I have a chance to every be myself again. Hard to rate it because I am still having side effects.,Franny
3,Pristiq,Depression,10.0,Taken for 1 to 2 years,"February 16, 2022",1,Took about 6 months to actually kick in but once it did it’s been great. No side effects on 50 mg and feel so good! Would recommend this drug to anyone struggling with depression.,Anonymous
4,Pristiq,Depression,2.0,Taken for 2 to 5 years,"February 1, 2022",0,This medication sucks. It numbed me so much it almost destroyed my marriage,Tania.
5,Pristiq,Depression,9.0,Taken for 1 to 6 months,"February 1, 2022",0,"I was so nervous to begin taking Pristiq, I anxiously read through all of these reviews, getting myself to focus on the positive outcomes.I have both depression and anxiety. I started on 50mg, I could feel the impact quickly. I had a tense jaw, sore ears, nausea, fatigue and abdominal pain. When you have the side effects, it can feel like it won’t pass. Hang in there, it will pass, drink a lot of water for the dry throat and nausea, rest whenever you can. I found 50mg wasn’t enough for my depression, so I’ve increased to 100mg. It is too early to say if this will make a significant difference as I’m getting better through the side effects again. I wanted to write this review though because I know once I’m well I will forget! I’m going to rate this highly, because I want to give others hope! And I did feel it do something, even if I’m still trying to find the correct dose. If you are suffering and everything in life feels hard, give it a go!",LittleMissWA
6,Pristiq,Depression,10.0,Taken for less than 1 month,"January 17, 2022",1,"I have an extreme panic attack disorder and was on Paxil for about a year and half which worked wonders. Only downside was I gained a ton of weight so went off it for about a year. Anxiety came back so was forced to go back on meds but wanted to try something different since the weight was an issue for me. Started pristiq (50mg) about 6 days ago and today I’m feeling great! Less anxious but still waiting for the depression to subside. First few days on it weren’t bad, dizziness, loss of appetite, just kind of out of it. Side effects are starting to get better everyday. My sleep is so much better as well, improved only 2 days after taking it. This is definitely a fast acting anxiety medication compared to many others on the market. Starting 100 mg in about another week.",Chichi
7,Pristiq,Depression,1.0,Taken for 1 to 6 months,"November 10, 2021",0,"I was on zoloft for years but had a lot of stress so went to doctors he put me on pristiq taper off zoloft it works different for people as I have read the reviews but for me 2 weeks felt great a bit of anxiety then started to get tingling, after 3 weeks anxiety went through roof, tinnitus, tingling through body, rapid heart beat, sweating, hot flushes. After 8 weeks I had enough so I told doctor.  I was on 100mg morning 50mg at night told doctor and was told to taper off.",Jj1970
8,Pristiq,Depression,,Taken for 1 to 6 months,"November 4, 2021",0,I have been on Pristiq for about 4 weeks now and it has given me rapid heart beat and nervousness at times. I asked the doctor for something to take the edge off. So doctor said its not working for me so I have to wean my self off Pristiq and go back onto Zoloft that was working for me until I had a relapse. So its a score of about 1 for me they are suppose improve after a couple of week to a month instead it has given more anxiety and made it worse. Never again will I be taking this,Jj1970
9,Pristiq,Depression,10.0,Taken for 2 to 5 years,"November 2, 2021",5,"Taken 50mg of Pristiq for 3.5 years, and it saved my life! Anxiety and mood issues since I was a child. I had a massive breakdown in 2018, I had to get over my fear of taking medication, for the first time ever! Should have done it years ago, within 2 weeks of taking this medication, my head calmed down for the first time in my entire life! I finally was able to control my anxiety/ mood, drink less, function better, and feel hope for the first time ever. My life is great now, and it saved my marriage. Only thing is, I've never missed one day in 3.5 years! I’m thinking of trying to come off, but my wife doesn’t want me to. I just don’t want to be dependant on it forever. Any advice? Cheers.",Nate John
