,drug,condition,rating,duration,review_date,upvotes,review,username
0,Wellbutrin SR,Depression,7.0,Taken for less than 1 month,"October 31, 2021",4,"I've only been on it for three days, first day I had more energy than I've had In a while ..second day I felt horrible and today 3rd day ..when I woke up I felt horrible but as the day has went on its kinda gotten better. Don't know how well it's gonna work but have my fingers crossed. Anybody reading this ""never give up"" ""failure is not an option."".""keep fighting"" You will succeed. This too shall pass..give it all to God and he will help you . I PROMISE THAT.",Gpc
1,Wellbutrin SR,Depression,10.0,,"September 8, 2021",2,I have been on Wellbutrin SR since it was first introduced in the 1980’s. I had been diagnosed with major depression.  It stopped ALL signs of depression for me.  I am on this medication today.I had tried all of the medications that were on the market for depression with no success.This was a game changer for me as I am  now a Registered Nurse.,C.M.
2,Wellbutrin SR,Depression,2.0,Taken for less than 1 month,"February 13, 2021",3,"I started taking Wellbutrin SR 150 mg twice a day for my depression and to quit smoking, everything was getting better, I had a great night sleep by day 2 felt a little lighter with my mood, then on day 4 I felt wrong, and by my nighttime dose I ended up giving a seizure, which I have no history of, and again no sleep and tremors and horrible sweating, I was really hoping this was going to help me but I have never been so scared in my life as I was when I lost control of all my muscles and it took 2 days to start to feel better from it. My muscles hurt, extreme anxiety and insomnia.. be very careful with this drug!",CountyGirl
3,Wellbutrin SR,Depression,7.0,,"January 25, 2021",6,"I don't find this an antidepressant rather than a demeanor stimulant/energy enhancer. Goes well with SSRI's, SNRI's and many others as add-on. Personally on 150mg daily I found myself more energetic, needing less sleep, more able to focus for seriously long days, more outspoken and also more irritable. Some restlessness or a stupor-kind of feeling for a couple hours in the afternoon. All of this subsided as the months passed. 1-2 years lead to some kind of tolerance. 300mg doses seemed to give me some more focus but also made feel a bit off. Enhances the focus a little more, and likely possible overt wakefulness, irritability or confusion would subside over time. I still couldn't estimate needing such a dose myself. Initially, a combination of Sertraline and made me hypermanic for a month or two: showed up at parties drinking and talking to everyone, making new acquaintances, life choices ultimately leading to major changes etc. My psychiatrist didn't think it was a problem, though.",Nicky Stervais
4,Wellbutrin SR,Depression,8.0,Taken for 1 to 6 months,"December 28, 2020",5,I’ve been talking Wellbutrin for a couple months now and honestly mood wise I have been feeling better. I still have big mood swings (diagnosed with bipolar type2) so it really could be that. Side effects I have noticed would be extreme agitation and severe acne which honestly is disappointing because I used to have really clean and clear skin. Other than that I think it’s pretty cool.,Pris
5,Wellbutrin SR,Depression,10.0,Taken for 1 to 2 years,"November 14, 2020",21,Wellbutrin 150sr 2x daily was prescribed for me for Severe anxiety and mild depression. This medication is great for energy but I am so short tempered and I get negative intrusive thoughts.  I like the energy it gives me and I don’t feel spaced out like on some antidepressants but I’m debating going back on Effexor 75 mg.  It is better for anxiety and irritability.  I’ve gained 10 lbs but I think it’s from the Covid lockdown stress eating so I won’t blame it on the Wellbutrin. I would recommend Wellbutrin for people with lethargy but not with anxiety disorders.,Sonya
6,Wellbutrin SR,Depression,8.0,Taken for less than 1 month,"August 28, 2020",24,"I started Wellbutrin XL 150mg (once a day) for about three weeks, Depression and ADHD, it fixed the ADHD but it caused me to cry every single day and to have more intrusive thoughts. I called my DR and he switched me to Wellbutrin SR 100mg (twice a day), todays day 1 of taking the SR, hopefully its works... to be continued.",tennessee
7,Wellbutrin SR,Depression,8.0,Taken for 1 to 2 years,"May 29, 2020",27,"I was prescribed Wellbutrin SR as a boost for my regular antidepressant (I have seasonal affective disorder), since I am at the top-end of the dosing and didn't feel comfortable increasing. Overall excellent medication. I don't notice many side effects and it has helped to increase my energy/mood enough to make it bearable during the winter months. If I miss a dose, I get a headache which does grow into a migraine if left unchecked.",partridge
8,Wellbutrin SR,Depression,10.0,Taken for 6 months to 1 year,"April 24, 2020",45,"I've been taking  Wellbutrin 150mg SR (generic) once a day for the past 6 months.  I have had no negative side effects.  It was originally prescribed to treat my Binge Eating disorder but it did nothing for it.  BUT it did improve my depressed moods drastically! No needing check lists anymore to prompt me to do all the basic stuff a normal human being should be doing, like take a shower.. So for about 5 months I was not depressed anymore, I was also less anxious and had less intrusive thoughts.  I now think,  one month later (so after 6 months), that I should bump it to twice a day (like it's intended in the first place anyways) because my depression and intrusive thoughts are slowing coming back and ruining my attempts at self-care. In the past I took Paxil and Effexor.  Paxil never worked.  Effexor worked for a while (with bad side effects), then stopped working for me.  I hope I have now found what will work for me long term!",isa
9,Wellbutrin SR,Depression,10.0,Taken for 10 years or more,"April 4, 2020",63,I been taking it over 15 years it has saved my life ,Mel
