,drug,condition,rating,duration,review_date,upvotes,review,username
0,Zyprexa,Depression,1.0,,"February 21, 2022",1,I'm noticing zyprexa causes physical deformation in my lower back and knees. It also is causing hair loss. Thanks,Annemarie Sulli
1,Zyprexa,Depression,1.0,Taken for 5 to 10 years,"February 14, 2022",4,I quit taking 2.5 mg Zyprexa cold turkey after taking it for six years! It was absolutely by far the worst experience in my 60-year-old life! This drug should not be on the market! It took me a full year to almost recuperate from having taken it. It works to sedate you but the price you will have to pay in the end is NOT worth it. I am guessing that most people stay on this poison because the withdrawals are absolutely horrific and take months to subside even just a little bit!,Egghead Ed
2,Zyprexa,Depression,10.0,Taken for less than 1 month,"January 4, 2022",3,"After being prescribed zyprexa for depression I immediately went to Google for reviews, they were horrible!!! In all honesty it works for me yet I'm on a small dose of 5mg at bedtime. I can tell a huge difference in my mood. I can't speak for anyone else but I hope to continue taking zyprexa until hopefully I no longer need it.",Hazyholyquran
3,Zyprexa,Depression,1.0,Taken for 10 years or more,"November 27, 2021",4,Can cause major weight gain.  I gained at least 50 pounds taking this drug. It makes you really over weight. If you are on it exercise every day and control your food intake. Probably find other ways. It is a big damper in the healing process.,Annemarie sulli
4,Zyprexa,Depression,1.0,Taken for 1 to 6 months,"November 4, 2021",4,"This drug is the worst thing ever created. For me, it CAUSED unbelievably severe depression, so bad that I’m  thinking of suicide. But, I was forced to take it repeatedly because of a lie told by a jealous women  who had me committed and force-fed this evil poison. Even getting off it now, every day is an enormous struggle and I worry I’ll never be the same again. Please stop making this dangerous drug. Nobody ever prescribe this, please.",Vzz
5,Zyprexa,Depression,2.0,Taken for 1 to 6 months,"October 25, 2021",3,"Horrible, the withdrawal from even the lowest of dosages is a nightmare. Insomnia, weight gain, leg shakes, worsening anxiety, etc - it sucks.",CDD
6,Zyprexa,Depression,9.0,Taken for 2 to 5 years,"October 6, 2021",2,"I have dealt with severe depression with psychotic features since childhood.  I was initially put on Anafranil as my psychiatrist felt I had OCD characteristics as well.  The medication, while difficult to deal with,  was helpful.  After 25 years it simply stopped working and I went through a 5-year period of chaos.  I had 2 bouts of ECT which did nothing but seemingly compromised my memory, tried over 20 medications, and even gave Ketamine a shot.  Finally, Zyprexa was suggested.  The response was quick.  I could actually sleep during the night, my mood stabilized, and the psychotic features were diminished, appreciably.  It has been a life-saver.  I have gained substantial weight and am in the process of losing some of it but it is undeniably difficult.  I suppose you have to weigh the pro's and con's and, for me, the pro's are worth it.",story
7,Zyprexa,Depression,1.0,Taken for 1 to 2 years,"August 31, 2021",1,"Do not take this medication unless you have a very specific need for it, namely, schizophrenia. I've struggled with severe depression, anxiety, and sleep issues for more than 8 years and was prescribed this because my psychiatrist had nothing left to try. While it did help my sleep and anxiety for about 4 months, it had diminishing returns to the point that it ended up making my sleep and anxiety worse, along with the depression. I'm 4 months off this drug and life is utter nightmare. I can't completely blame this drug for my current state as I've been constantly going downhill for years but this drug definitely overall made me feel worse. Beware if you have sleep issues because this might help for a little while but will likely stop at some point and your brain will no longer be able to get into deep sleep on it's own. I guess if you're suicidal, maybe then it's worth a go because what do you have to lose?",Brett
8,Zyprexa,Depression,8.0,Taken for 1 to 6 months,"August 8, 2021",1,I gained weight on this medication. I could tell I would have trouble controlling my appetite while I was taking this medication. I've been on other anti-psychotics and this is the only one that causes fast weight gain for me. I'm currently on 15mg but will soon ask my doctor to switch to something that won't cause weight gain like Lamictal.,Luv2021
9,Zyprexa,Depression,1.0,,"August 6, 2021",7,"I have never written a review but what I am experiencing is something I do not wish on anyone. Please listen to what I am saying before it is too late for you. The first thing I want to point out is that they say this drug is not addictive. I will tell you that is the biggest crock  I have ever heard. It is beyond addicting. You cannot just stop it. The nausea, vomiting, upset stomach, depression, mania, insomnia, desire to just die to get this over with, shaking, you feel cold and hot at the same time. The withdrawals are unbearable so naturally people keep taking it. The only solution I see to this is to find a rehab for this and have professionals help me through this. I should have never been placed on this drug to begin with. I needed to gain weight. But to give me one of the strongest antipsychotic for that is criminal. Sure I gained 40 pounds but I have no life. No desire to live. No focus. No motivation. Nothing. If you are not psychotic do not take this poison.",Now an addict
