,drug,condition,rating,duration,review_date,upvotes,review,username
0,Basaglar,Diabetes Type 2,2.0,Taken for 6 months to 1 year,"March 18, 2022",0,"I was on Lantus for 2+ years and it had worked well. I was switched to Baslagar due to insurance no longer approving coverage for Lantus. Since switching my blood glucose is higher than it was when on Lantus plus having issues such as stomach pain/issues, leg cramps, insomnia, tinnitus, headaches etc. The Baslagar pens are often faulty and don't dispense the correct dose. I've already called manufacturer twice with pens issues and all they even do is go through trouble shooting then tell me the pen is ok to use. The dial does not feel right when I dial the dose and I've even physically marked the pens and I can tell it's not always dispensing the correct dose. I know how long a pen should last and I'm still using the pens with the Baslagar 2-3 days after my pen should be used up. I'm going to beg my dr tomorrow to help me get my insurance to put me back on Lantus not only does the Baslagar pen not work right the drug itself is NOT equal to Lantus no matter what the manufacturer says.",dcgirl1969
1,Basaglar,Diabetes Type 2,1.0,Taken for less than 1 month,"March 16, 2022",1,"This stuff is less than worthless, it didn't lower my blood sugar a single point at the regular dosage, and when the dose was increased, my blood sugar skyrocketed from 250 to over 400. What good is insulin that is so screwed up that it actually raises your blood sugar???",MrMachinist
2,Basaglar,Diabetes Type 2,4.0,Taken for 2 to 5 years,"February 5, 2022",0,"The new basaglar quick pens are very difficult to  use, I am a plenty  strong  enough man and  barely have enough  force  to get the new twisty plunger back in.  I am bending  the needle  etc, it is not a safe situation?!!",GFM
3,Basaglar,Diabetes Type 2,2.0,Taken for 1 to 2 years,"February 3, 2022",0,"Well, my insurance informed me they won't cover Lantus anymore. I will have to go back on Basaglar. My last experience with Basaglar was not positive, I had higher fasting numbers than I did with Lantus. I am expecting the same this time but unlike last time my doctor won't be able to switch me back to Lantus. I am also on Novolog too, so I may have to take more short acting to counter Basaglar. Really unfortunate that insurance makes these decisions based purely on costs, and never weighs the benefits of a certain drug per each patient.",JohnIL
4,Basaglar,Diabetes Type 2,,Taken for 6 months to 1 year,"December 11, 2021",0,"Woke up with a fasting blood sugar of 80. Had shortness of breath and rapid heartbeat. I had body muscle aches all day. Very unreliable insulin.  I stopped using this one tonight, as I feel it is dangerous.",Trisha
5,Basaglar,Diabetes Type 2,10.0,Taken for 1 to 2 years,"November 26, 2021",0,"No other medication has worked for me as good as basaglar it keeps me under 90 all day even when there's a party and I eat a piece of cake, wonder medication for me.",Joe
6,Basaglar,Diabetes Type 2,2.0,Taken for 1 to 6 months,"October 19, 2021",0,"I was on Victoza 1.2 dose and my type 2 diabetes was well controlled. Had a flare up of haemorrhoids and the cream caused a blood sugar spike. After three weeks and the roids still an issue, my dr added Basaglar 40 units. My sugar went higher, I was nauseated, severe fatigue and depression. Took if for three months and no improvement in fact most BG readings are much worse than before Basaglar.  Talking to my dr soon and dropping the Basaglar.  Just did not work for me and made me feel much worse.",Pjj
7,Basaglar,Diabetes Type 2,1.0,Taken for 1 to 6 months,"July 8, 2021",3,"I was recently switched from bydureon to basagalar and that mess raised my blood sugar, never lowered it and gave me headaches. Now I eat red grapefruit which lowers my blood sugar instantly and no more meds for me. These meds are so bad for you before they heal you. Home remedies work better my blood sugar was 216 grape fruit took it down to 163",Patricia
8,Basaglar,Diabetes Type 2,2.0,Taken for 1 to 6 months,"April 28, 2021",3,"As with other patients,  the insurance company forced me to use Basaglar in lieu of lantus, side effects are dangerous.  Started having sleepless nights the painful swollen legs and body aches.  Called my dr and he has switched me to treseba.  My question is why does the insurance company risk our lives to save a few dollars,  when the are boasting about making money every year? This is a horrible Medication.",Quirky
9,Basaglar,Diabetes Type 2,2.0,,"April 15, 2021",4,"I had always used Lantus for my Type II Diabetes for several years. My new ins company's formulary doesn't cover it.  I contacted Sanofi to get a $99 Rx Savings Card, which I used for 2 refills w/out problems.  This month my Rx request for Lantus was switched over to Basaglar, which is UNACCEPTABLE and unauthorised.  I tried this and it didn't work for me.  I can't deal w/the side effects.  I find it annoying and unconscionable that insurance companies have the audacity to switch patient meds w/out first consulting a patient's physician to make sure that patients won't experience adverse reactions to a change in med.  There shouldn't be able to be doing this.  ""First Do No Harm"" should be their primary focus not their own selfish bottom line..The FDA DOESN'T consider nor did it approve Basaglar as a biosimilar 2 Lantus cuz Lantus wasn't approved under the Public Health Service Act, so there is no reference product for a proposed biosimilar product.",Frustrated-In-WA
