,drug,condition,rating,duration,review_date,upvotes,review,username
0,Dupixent,Eczema,2.0,Taken for 1 to 6 months,"April 1, 2022",0,"The first time I was given dupixent was about four years ago. I stopped after three months because I developed conjunctivitis in both eyes as well as proctitis from it. A different dermatologist physician asst. just convinced me to try the child's dose this time. After three shots blurry vision, conjunctivitis and sore prostate has returned. I've immediately stopped talking dupixent and will never try it again.",Kal
1,Dupixent,Eczema,10.0,Taken for 6 months to 1 year,"March 20, 2022",0,"Dupixent really works for me. I am rarely itchy anymore, I don’t have flare ups, and I don’t have any side effects. It’s been really great.",Anonymous
2,Dupixent,Eczema,9.0,Taken for 6 months to 1 year,"March 8, 2022",0,"I started dupixent 6 months ago for severe eczema covering my whole body and bad asthma/nasal polyps.Four days after my loading dose my hands started healing up and in one month my scalp cleared up and my hair started to grow back. My asthma has only slightly improved and my nasal polyps still remain however the improvement on my skin has been miraculous and I can now use my hands again, have a warm shower without feeling on fire and sleep without scratching chunks out from my skin. I do have a few eye issues and joint pain in my knees/ankles however they are only mild compared to how bad my skin was before. I had no quality of life and I can now go to the park and play with my kids without coming home covered in hives. I definitely recommend giving it a go if nothing else in the past has worked. I was on so many antihistamines, strong steroids and creams that barely took the edge off and now I only need eye drops and moisturiser.",Melanie
3,Dupixent,Eczema,10.0,Taken for 1 to 6 months,"February 4, 2022",0,I have severe eczema & asthma. Since starting dupixent my skin is bright and clear. I no longer use an inhaler. I feel like my life is normal. I used to itch all day long. Even water would burn my skin. Thank you for making this drug.,angelgreene1977
4,Dupixent,Eczema,1.0,Taken for 1 to 6 months,"January 15, 2022",2,I had 8 doses of dupilumab over fortnightly increments and it didn't work for me so the dermatologist opted to stop the treatment in November 2021. Since stopping my eyes are constantly itchy and watery and I have developed aleopicia.,Jaye
5,Dupixent,Eczema,1.0,Taken for 1 to 6 months,"January 9, 2022",1,"DO NOT TAKE DUPIXENT!  I was fine for the first few months.  I then ended up with Blepharitis (severely itchy eyelids), a terrible bright red patchy rash with white heads on my face that has only almost disappeared after six months, and then significant hair loss in two places in the back of my head.  If you do an internet search for people with these symptoms.  The photos are terrible and exactly what I experienced.  Hope my hair grows back... If I could give this med a minus rating, I would.",Warning Warning
6,Dupixent,Eczema,,Taken for 1 to 6 months,"January 5, 2022",1,"Used this product for a total of 8 weeks. Initially my body eczema went away . After about 8 weeks my face began to become red, blotchy, itchy and scaly. I never had eczema on my face to any great degree. Now my face is a complete disaster. I can't even go outside. This is not topical steroid withdrawal (TSW). This is something totally different different.  My eye lid skin became red and flaky.  This was not listed as a common side effect.",Craig
7,Dupixent,Eczema,3.0,Taken for 1 to 6 months,"December 11, 2021",1,A week after starting this I started experiencing horrible upper burning/ cramping stomach pain(gastritis) I didn’t even know that was a side effect at the time and didn’t even realize it was from that so I continued the injections. I even went to the doctors and they diagnosed me with it and of course gave me more medicine. But a couple months of me on the shot I decided to be my own detective and look up the side effects and of course gastritis was on there but on the very bottom of the list. Positive things though it did make me less itchy and skin soft overall and clear up a bit but it was not worth it because every time I would eat I would get horrible pain. I’ve been off the injection for over a month now and the side effect is better but it’s not fully gone. Planning to do a cleanse though to get all this nasty stuff out of my system definitely continuing on healing my skin naturally now with foods and health.,Sarah
8,Dupixent,Eczema,10.0,Taken for 6 months to 1 year,"October 29, 2021",0,I give my mother her injection. We have found that pushing the medication more slowly decreases the level of pain significantly. It has been miraculous for her eczema and alopecia.,ARB
9,Dupixent,Eczema,8.0,Taken for 1 to 2 years,"September 23, 2021",1,"This medication works but it Dupixent is impossible to work with. They told me it would cost $20,000 a year. I reached out and over a long time, found someone who could help me get the drug with no copay. After taking it and appreciating the results, they just upped my monthly cost to $747.05. My doctor, CVS Specialty Pharmacy, and my insurance company each told me they can’t help me. I asked CVS Special Pharmacy if I can just go off it cold turkey. Nobody there has called me back with the answer. By the way, I’m supposed to take the injection tomorrow and they just informed me yesterday that I have this new copay. This is totally unacceptable",Houston
10,Dupixent,Eczema,1.0,Taken for 1 to 2 years,"September 20, 2021",0,I tried this injection and it barely even did anything I just think that it was a waste of my time.,Izabelle
11,Dupixent,Eczema,1.0,Taken for 6 months to 1 year,"September 15, 2021",2,"I have had eczema since birth. I am now 68 years old. My dermatologist told me about wonderful results had been achieved with this drug, and that chance of side effects would be minimal.  I was desperate to escape the topical steroid treatment and so after a year, I cautiously moved forward. Within four months my skin was clear, and I was free from chronic itching and rash. It was like a miracle. Then 6 to 7 months into treatment with Dupixent, I experienced a sudden visual loss. I  was hospitalized and had diagnostic testing. No significant findings. Just told to discontinue Dupixent. It has been 4 months since stopping it. I was out of work for 3 months adjusting to this life altering event. My left eye is still blind. My eyes stick together and I use lubricant constantly. Recently, I was finally able to get some glasses that help my good eye.  But everything is still hazy. I guess this is a long term visual effect of the drug.  That’s the risk you take.  So much for miracles.",Anonymous
12,Dupixent,Eczema,8.0,,"August 13, 2021",0,"I've been using dupixent for almost 3 months. So far my itching has decreased tremendously. I did notice however, some changes in my skin. I noticed scars from previous acne. Old scars that started becoming slightly visible again. Has anyone experienced that? Also, does anyone know if dupixent effects the other leuketeins causes any skin thinning or inhibition of collagen? Thank you.",Cali k.
13,Dupixent,Eczema,10.0,Taken for 6 months to 1 year,"August 11, 2021",1,"I absolutely love Dupixent. I'm someone that had eczema all of my life and overall sensitive skin. Cerave moisturizing cream made me break out all over, it was so bad at one point. I went as far as to not shower as much to build my natural skin barrier, do away with loofas and only wash with Aveeno eczema body wash. It stopped for the most part when I moved from polluted NYC to WI but then suddenly when covid was starting up, my entire back broke out out of no where and started to travel throughout. Docs said it was my eczema and I told them that I don't have good experience with creams/ointments and they recommended Dupixent. I don't needles, but my skin completely cleared up, and my body is finally healing and evening out. It's absolutely worth trying this out!",Stormy
14,Dupixent,Eczema,1.0,Taken for 1 to 6 months,"August 3, 2021",0,"For a very expensive drug that I still had to pay over $800.00 a month for this was a pure joke.  First of all injecting the injection stung like heck so painful that I cried, then later on my skin became super itchy & very dry.  This went on every day.  My eyes became dry & itchy & my vision became blurry that it was hard to see when driving.  I finally got off it because I didn't see much difference in my skin after I started.  This is not a cure btw. Will wait until the new oral drug for Eczema comes out & I'll definitely try that one, but Dupixent just didn't help me one bit & getting rid of the big box it came in with all the dry ice was a hassle too since you can't recycle boxes in my area, you have to cut them up in small pieces & bag them for the garbage men to dispose of. I won't miss that part one bit or having to recycle the used needles either each time & having to run to the post office to do it.  Nope not worth it!!!",Anne
15,Dupixent,Eczema,1.0,,"July 28, 2021",7,"My adult son had a reaction to Dupixent that has never gone away. He had eczema on his hands, feet, arms, and legs. He began taking Dupixent in high school, and, while all of his body eczema went away, he began getting it more and more on his face. At first the doctor said it was a reaction to sunblock, but he continued to get eczema only on his face when not using sunblock at all. Then that doctor stopped practicing medicine. My son had never had any face eczema before Dupixent. NONE. It is obvious this was due to the Dupixent. He uses all non-toxic products for washing both body and clothing. His face got worse and worse. I have photos.  Even though he has quit Dupixent for about a year, his face continues to break out in terrible painful eczema. It flares up especially in the heat & plain tap water can even irritate it. He has burning, itching, and red scaly blotches all around his forehead and eyes. It's not only uncomfortable, but it's also embarrassing.",CN's Mom
16,Dupixent,Eczema,10.0,Taken for less than 1 month,"July 22, 2021",0,"The medicine burned like no other medicine I have ever had. It was extremely painful, but the results in my skin have been very positive.",Lylear
17,Dupixent,Eczema,1.0,Taken for 1 to 6 months,"July 22, 2021",1,"Dupixent worked for my son and his eczema went away after several weeks however the copay assistant program was a joke. It only covered for $13,000 per year and after receiving doses for several months my son max out the copay. Now we are back to square one. We are out of copay assistance program and no doses  for him. It’s a ridiculous system to begin with. I have spend hours of back and forth between doctor’s  office and OPTUM RX for begging for the assistance program. I imagine there are lots of parents like us struggling for this.",Tahs
18,Dupixent,Eczema,10.0,Taken for 1 to 2 years,"July 13, 2021",2,"I've had severe eczema all my life (67 now) and started Dupixent 2 years ago. As far as I'm concerned, it's a miracle. The itchy rashes have almost totally disappeared and I have my life back. BUT after several months, my eyes started itching day & night. After much trial & error, I use a combination of Lotemax lotion (prescription - very good!), Restasis drops, Pataday anti-itch drops, and (on bad days) an application  of cool water with apple cider vinegar. Highly recommend the Lotemax. Good luck everyone!",Vicky
19,Dupixent,Eczema,7.0,,"July 9, 2021",3,"I have had eczema my whole life.  My dermatologist said dupixent would help me.  I was willing to try anything to get my skin back to normal.  My doctors office didn’t know price, told me I could get a copay card and it would cover whatever my insurance didn’t pay.. Come to find out this medicine cost over $3,000 dollars a month and my insurance only covered a small portion of it. So in 6 months I have no funds left.  I am not able to reapply due to only 1 copay card a year.  And who has the money to pay over $2800.  The medicine was great, cleared my skin, but once I haven’t had the injection my skin flares up and it’s worse then when I started the medicine.  I will no longer be able to take this medicine.  So my warning to other people trying it is to know all you can before you get started.  I would have rather not started this medicine if I would have known what I know now.  Everyone says they are here to help you but yet there is no help.",Sherry
20,Dupixent,Eczema,9.0,Taken for 1 to 6 months,"June 15, 2021",8,"I had severe hand dermatitis for about 6 months prior to beginning Dupixent.  My hands were so raw and constantly peeling and painful.   It was so bad that I had to wear cotton or nitrile gloves day and night. I tried many different prescription topicals and OTC lotions.  I had not had any skin issues prior to this, except occasional psoriasis on an elbow or knee in the winter.Began Dupixent in February and it was better within a week! I can not believe how quickly my hands stopped peeling.  Three and a half months on Dupixent and I have not had any more issues or side effects.  I was able to get on the Dupixent assistance plan at no cost for the medication.",dtram2021
21,Dupixent,Eczema,10.0,Taken for 2 to 5 years,"April 19, 2021",9,"I've had eczema all my life and was a constant battle between pills and creams. Nothing seemed to help for more than a week or so. After hearing about dupixent, I was hesitant to get an injection every other week. However, after a few injections I started to notice and feel the difference. The injections do hurt very bad. The medicine burns going in. I had my mother give it to me in my arms for about 2 years. Now they they just came out with the auto inject pen, I just got some samples from my doctor before switching over completely. With the pen, I give it to myself in my thigh. It still hurts badly, but it is worth it. I do fear about having kids in the future and getting off of it or if it will have side effects on my baby. Overall, good medicine - just wish it didn't hurt so dang bad!!",niknak
22,Dupixent,Eczema,9.0,,"April 4, 2021",7,"My first dose was in December. I had a really bad rash and hives within 24 hours that lasted about a week, 10 days. I also had some wheezing.However, my hand eczema, (which was crippling and raw) started to clear up almost immediately. It remained clear for almost three months, so I didn't take the second dose until March. I had no side effects after the second dose. Hand eczema is 90% clear. I just took a dose today (one month from last). I hope this continues to work for me.",Jv1299
23,Dupixent,Eczema,1.0,Taken for less than 1 month,"March 24, 2021",5,"This stuff after two weeks had little affect on my rash. It did, however, make me itch all over my body. I live on benedryl to get by. So, for $10,000 dollars all I got was constant itching and no evidence of curing my rash.",richard
24,Dupixent,Eczema,5.0,Taken for 2 to 5 years,"March 13, 2021",4,"I have been on Dupixent since May 2017, and it is now March 2021 and the last four months I’ve had mild exacerbation of my eczema on my legs and abdomen despite taking the medication as prescribed every two weeks. I have seen nothing online or in the literature about why the Dupixent might stop working. I’m getting very worried. It was miraculous for me for three years plus and since I was switched to the new syringes, my my legs are even worse they’re incredibly itchy even when I use clobetasol foam as directed by my doctor as well as ice to chill it and Menthol lotion which is used to help. I am wondering and don’t know how to find out if this is simply because I’m bad batches were shipped and if not I need to know what’s going on and I’m looking for some help.",PenaciousH
