,drug,condition,rating,duration,review_date,upvotes,review,username
0,Zoladex,Endometriosis,7.0,Taken for 1 to 6 months,"March 29, 2022",0,"This is my second month for this injection, the first month was so bad. I had too much side effects, night after my injection I had hot flashes and painful bones especially on my ankles. And day after day it gets worse had dizziness everyday, constant tired without reason and super fatigued, muscles pain, super vaginal dryness and couldn’t walk longer bcoz my feet and legs hurts so bad. But there’s also good side effects like I’m totally no more bleeding/period or even spotting so it means no pain.",Swissa
1,Zoladex,Endometriosis,1.0,Taken for 1 to 6 months,"March 8, 2022",1,"Awful! Had three and experienced constant neck, shoulder, calf and bone pain everyday. I’m still experiencing these pains one month after stopping Zoladex. I was also given HRT add back and it didn’t help at all. Feeling anxious, tired, constant headaches and the pain all over is terrible. Hoping once my periods return I will also return to feeling normal",Tyiokhv
2,Zoladex,Endometriosis,5.0,Taken for 6 months to 1 year,"January 25, 2022",0,"Diagnosed at 29, Zoladex for 6 months. Endo pain only subsided since you do not get periods while taking this drug. However, I experienced terrible inflammation and water weight gain, my clothes stopped fitting after the second injection. I workout and eat healthy mind you. I am constantly fatigued, and lack motivation. Brain fog is real on this drug. The hot flashes are so miserable, couple it with the insomnia and it has been a miserable 5 months. The cellulite and weight gain has been the hardest for me, since I am into fitness. I feel like I’m in someone else’s body. I get headaches daily and usually suffer a migraine within 24 hours of a dosed injection. I’m on my last dose and I’m hoping after I can get back to my normal self. I dealt with sciatic pain with the endo, it’s not as bad but still around. I’m still trying to figure out if this treatment has been worth it. We shall see by April.",CBL
3,Zoladex,Endometriosis,9.0,Taken for 1 to 6 months,"January 15, 2022",0,"Have had the 3rd Zoladex implant and the side effects are ramping up. Was born with Uterine didelphys so had had issues for years - heavy bleeding, pain, endometriosis and horrific PMDD (Like PMS but so much worse) Unsuccessful Endometrial Ablation so started Zoladex to see how I cope with no hormones. Wow. Mental health greatly improved. Side effects only start after 5 weeks and now they’re pretty intense- hot flashes, insomnia, weight gain, fatigue, vaginal dryness and, grossly enough - leaking of urine! The last side effect has made me quite alarmed but it can happen my Gynae says. Hopefully have a hysterectomy soon where they’ll take the ovaries too. The benefits to my mental health FAR outweigh the annoyance of the side effects.",Marilyn Sparrow
4,Zoladex,Endometriosis,5.0,Taken for 1 to 6 months,"December 20, 2021",0,"I have had Stage 4 Endometriosis for 20 years, in the past I had Zoladex (no HRT) which stopped my periods and pain, but I went up 3 dress sizes in 6 months.  It did seem to help for a while but I ultimately ended up with more surgery (5 in total).  Now, 12 years since my last op (and 2 miracle children later), my endometriosis has stuck my ovary to my urethra and bowel, and eating into my bowel wall.  I have adenomyosis and a huge fibroid etc. which all just adds up to debilitating periods, 3 transfusions, morphine patches and an inability to work.  I'm now back on Zoladex and due my 3rd injection this week, but this time the experience is completely different!  I ended up with severe joint pain (poss also complicated by my Raynauds) so started HRT and I now have bled all but 3/28 days with minor flooding (compared to normal) and I feel no difference in size of my uterus.  I don't think Zolodex is going to help me this time, could be this combo of fibroids and endometriosis, not sure.",Anonymous
5,Zoladex,Endometriosis,8.0,Taken for 1 to 6 months,"December 16, 2021",1,"I've had 2 Zodelex injections so far. I'm awaiting surgery - hysterectomy for fibroids. After having a 3 week heavy bleed on the first month, my other symptoms are pretty mild. I've had a few headaches (but this is normal for me), a few hot flushes which are barely noticeable, but I have had painful urination due to thinning of the vagina / pelvic tissues. I believe my fibroid has shrunk as can not feel the bump anymore. My breasts are not painful anymore as they would be on my normal cycle. So surprised by my lack of symptoms. Having an ultrasound after my third injection to see how much my fibroid has shrunk.",Kat
6,Zoladex,Endometriosis,1.0,Taken for 6 months to 1 year,"October 19, 2021",0,"Did not help with Endometriosis symptoms. Had terrible side effects like bone pain, joint pain, hot flashes, mood swings, hair loss. The side effects lasted for about a year after treatment with zoladex ended",Anonymous
7,Zoladex,Endometriosis,8.0,Taken for 1 to 6 months,"August 13, 2021",0,"At first, reading all of the scary reviews and side effects I was SO scared to try Zoladex for my endometriosis symptoms. I was truly desperate, miserable and out of options at the time. Zoladex saved me (temporarily until I could get my excision surgery )! To start I had terrible cramping and bleeding, after the first two injections ( monthly injections ) I was almost symptoms free from my large cysts and Endo pain . It's not right for everyone, but it CAN work for some ! Hot flashes and mood swings aside, I'll take that over the pain I was in daily.",Lyssa
8,Zoladex,Endometriosis,7.0,Taken for 1 to 6 months,"June 30, 2021",3,"You know, these reviews had me horrified when I first started this medication 6 months ago. I was a mess of anxiety because I thought this stuff was gonna be horrible. So let me tell you, don’t worry! People are more likely to write about their negative experiences rather than their positive ones. I’ve literally had zero side effects from these injections. My periods stopped after the first one. I spotted up until the 4th one. I have severe stage 4 endo so I do still have symptoms from that. But the actual injections are nothing. They numb my stomach before injecting. I feel a slight pinch and that’s it. I have no hot flashes, nothing. I just wish it 100% took my endo pain away. Hopefully my surgery will help for a little while, at least.",starheartt
9,Zoladex,Endometriosis,1.0,,"June 2, 2021",1,"So I have been struggling with endometriosis since I was 16 years of age and have had the invisible disease that was left undiagnosed with endometriosis. I have been suffering for years and have really been on so many trials, zoladex was my last resort. I have only been on it once and there is still severe clotting, heavy bleeding, painful cramps that never go away and it’s constantly me crying in a ball. If anything I’m not going back on this again, I know I’ve only had it once but it’s not helping me at all. I’ve had no morphine to help, no laparoscopy that would help. I have been trembling and crying since last week, been feeling nauseas, angered, tearful, depressed, change of appetite and as someone who has such a short temper it makes my temper worse.",Channtelle99
10,Zoladex,Endometriosis,8.0,Taken for 1 to 6 months,"May 30, 2021",3,"Hello, Due to endometriosis and adenomyosis I had undergone surgery before 2 months of starting my Zoladex 3.6 mg for 3 months. Most important, after taking the first injection of it my bleeding continued for 15 days and i was feeling just restless during this time as it was so heavy and unmanageable. My instructor advised me not to take ""Pause"" to stop it as its main activity is to wash all blood and extra tissues which were not possible to remove during surgery. Now I will take my 3rd injection but since then I had no periods. Hot flashes are quite normal and manageable.",daspiyali
11,Zoladex,Endometriosis,5.0,Taken for 1 to 6 months,"April 23, 2021",0,"Diagnosed with stage 5 endometriosis at 22. Was put on Synarel nasal spray after surgery in an attempt to reduce leftover bowel endometriosis. Switched to Zoladex after two months on synarel as was worried I wasn't taking it correctly. Loved being on Zoladex, despite the hot flushes, mood swings, bit of weight gain I had no bleeding until Mirena insertion around my 3rd injection. During mirena insertion, gyno noted vaginal nodule meaning the zoladex unfortunately did not work to reduce the bowel endometriosis.",bg
12,Zoladex,Endometriosis,10.0,,"April 21, 2021",2,"I was on Zoladex for six and a half years due to Endometriosis causing severe pain and frequent hospital visits requiring morphine. Initially,  for six months but I did so well on it, completely pain free that I decided to continue until menopause as opposed to a complicated hysterectomy. I tried coming off at age 49 but had to go back on due to pain coming back, I tried again at 51 and was great for 18 months but sadly intolerable pain returned although no bleeding. MRI showed large mass believed to be  adenomyosis with ovaries stuck to uterus and uterus stuck to bowel very low down at the rectum! They are still reluctant to do surgery so I'm now back on zoladex aged 53. Three months in still having pain and problems. On the whole, Zoladex was great for me, I got my life back after 30 years of pain, I had some hot flushes and sleep disturbance but a small inconvenience and far more preferable than the constant pain. Although I'm having problems again, I still recommend Zoladex.",JD
13,Zoladex,Endometriosis,10.0,,"April 4, 2021",3,"I suffer from endo and adenomyosis and when I have a flare up the pain is so severe it makes me vomit. Unbearable, hospitalised several times and have had several surgeries. Zoladex is A LIFESAVER!!! I was on it for 9 mths last year then after being off it for a few months for IVF I had a bad flare up of my adeno, had the zoladex shot and overnight the swelling and inflammation in my abdomen disappeared and my waist shrunk by 15 cm. Side effects are annoying - I have had a few angry sweaty outbursts that I know were 100% just side effects. Also there is a well known zoladex flare where your bleeding and pain symptoms will act up again around 7 days after injection.  But after that it is much less. I didn't like the Mirena but I love Zoladex. Would be great to get the benefits without the side effects but it is not a perfect world. For me, it is totally worth it to deal with the pain and try to preserve my fertility.",Busymanda
14,Zoladex,Endometriosis,4.0,Taken for 1 to 6 months,"February 28, 2021",1,"3 months in pain free yes, but feel completely exhausted. Also weight gain",Angels100
15,Zoladex,Endometriosis,6.0,,"February 11, 2021",1,I’m on my 3rd month pain wise 0 which is amazing . However I feel exhausted I mean chronically fatigued,Angel100
16,Zoladex,Endometriosis,,,"February 4, 2021",3,"No more pain no monthly period after injection of zoladex, back to normal life, hot flushes for two years but bearable I really recommended this zoladex from 2009-2020 no pain thank You God.",Pia
