,drug,condition,rating,duration,review_date,upvotes,review,username
0,Modafinil,Fatigue,9.0,Taken for 1 to 6 months,"September 25, 2021",1,Modafinil 200mg tablets have shown very positive effects to overcome sleep disorders. This medicine has been very effective.,Modafinila 200
1,Modafinil,Fatigue,5.0,Taken for 1 to 6 months,"July 30, 2021",3,"I take 400mg daily as i suffer from Hypersomnia. No effect at all on 100mg or 200mg. Helps slightly while I am busy or stimulated, but can still go to sleep at any moment after taking these pills. Undecided if I should continue.",K-tay
2,Modafinil,Fatigue,8.0,Taken for 10 years or more,"May 6, 2021",8,"I’ve taken Provigil/Modafinil over 20 years now for severe MS excessive daytime fatigue. Started on 50 mgs went up to 100 mgs and now I’ve been on 400mg a day (200 mg in am 200 mg afternoon), no side effects ever, The first * maybe* 5 years or a bit more were great! Now, I can sleep after taking it. I take a break each month for a week, sometimes two weeks but when I start back up again still just as fatigued. I tried switching to Ritalin and the other med prescribed for MS fatigue (off label) Ritalin made me narcoleptic, for real, I’d fall sound asleep w/out knowing it and the other did nothing so I’m back on Modafinil. I wish it worked liked it used to..hoping they approve Sunosi for off label use soon!.",Jude
3,Modafinil,Fatigue,9.0,Taken for 2 to 5 years,"April 1, 2021",13,"It really helps my exhaustion caused from MS. You have to find the right dosage that works for you; I discovered 50mg of Modafinal keeps me moving and accomplishing tasks all day—very productive. But, more than 100mg makes me too jittery. Also, I have to watch or even eliminate my caffeine intake when taking 50mg.",Dot
4,Modafinil,Fatigue,9.0,Taken for 1 to 6 months,"March 30, 2021",17,"I've been taking Modafinil 100mg daily for about 2 months now and it really helps me not feel tired during the day. I'm able to do more and feel the need to take naps and sleep 16 hours less. Before I take Modafinil in the morning, I feel quite tired and like I wanna go back to sleep for a long time, but once I take it, I'm better able to stay awake and more alert for longer periods of time. It usually wears off before I go to sleep too which is great and then I'm tired enough that I just fall right asleep at the end of the day",Kay
5,Modafinil,Fatigue,1.0,,"February 22, 2021",7,I have chronic fatigue to the point that I nearly pass out at work.I was prescribed Modafinil. I was prescribed 200mg. It didn't do a thing. My doctor upped it to 300mg and still does nothing.,TIm
6,Modafinil,Fatigue,5.0,Taken for less than 1 month,"February 14, 2021",1,My neurologist prescribed this medication to help with fatigue related to MS. I take 200mg. Some days it seems to help keep me awake but other days there is no difference. I don’t take it everyday because it isn’t very effective for me. No side effects.,Anonymous
7,Modafinil,Fatigue,1.0,,"September 29, 2020",58,"I was prescribed Modafinil by my psychiatrist to help my chronic fatigue and depression (off-label). I am an addict in recovery (going on 9 months sober) and although this is not officially a stimulant, it toes the line *just enough* that it almost spun me into relapse. There's plenty of testimonials testifying how amazing this drug is and that it isn't addictive. I was more wakeful but the anxiety it gave me was not worth it the boost, plus I fantasized about upping my dose immediately. I ended up giving my medication to my boyfriend to throw away and having to tell my sobriety sponsor about it. I was on 100 mg, prescribed to take it every morning. I was on Modafinil for 2 months and quit cold turkey, and couldn't stay awake more than a couple hours for several days. I felt the need to post a review to warn anyone thinking their sobriety will stay in tact with this drug, because it almost threw me completely off the wagon.",funseizem
8,Modafinil,Fatigue,9.0,Taken for less than 1 month,"August 25, 2020",16,"From 1st tablet of modafinil  I felt a difference.I was about to work all night l was feeling fatigue ,sleepy.Always when I work night  I struggle against fatigue and sleep.This night after taking modafinil every thing changed.No fatigue no sleepy , I feel super active WOW.",Mogad
9,Modafinil,Fatigue,4.0,Taken for less than 1 month,"August 3, 2020",42,"Reading reviews, I really expected more from this drug.  I built up a tolerance to Adderall due to long work hours.  I’ve been taking 50-70mg of Vyvanse, but still completely out of gas in the afternoons.  Asked my doctor for Modafinil at highest starting dose, so he gave me 200mg.  This dosage did nothing for me.  Overall, for me, there is a boost of energy/motivation about 2 hours after taking it (which doesn’t last long), then EXTREME fatigue in the afternoon/evening. Leaves me feeling worse and overall just kind of off.  I’m really bummed",ASA
10,Modafinil,Fatigue,6.0,Taken for 1 to 2 years,"June 28, 2020",20,"I was prescribed Modafinil for daytime sleepiness. I don't take it regularly though as I think it would be too easy to lose track of your own natural body signals and then burn out. For me 100mg is fine when I need to concentrate on something boring on that day and am really sleepy, whether it is cleaning or reports for work. Sometimes I speak too much within the first few hours so it's better to limit social interactions until later in the day! The next day I feel clearer but won't have another one for at least a week. If I do then I have noticed it starts to feel quite horrible and doesn't have the same effect. Despite all of this once my Provigil runs out I won't get any more as I want to find a natural way to maintain energy if I can! I have been prescribed both a generic and the Provigil. For me the generic was better - I think it's just personal.",BimBam
11,Modafinil,Fatigue,4.0,Taken for 1 to 2 years,"April 28, 2020",31,"Modafinil worked great for me, at first, to be alert and increase productivity, until I was out of medication and my fatigue hit me like a freight train stopping all productivity. The headaches were avoided when I stayed hydrated and only took in the first half of the day. It controlled my appetite and even help with weight loss and management. It sounds pretty good at first but after a few months I realized I was creating a bigger problem than I had before. Please do yourself a favor and only take if and as prescribed by your doctor and well monitored. There are a lot of miracle drugs and nootropics available out there if you search hard enough. This is not all that hard to come by and can have more risk and long term negative effects than benefits, if not taken properly. Please be careful and don’t make problems worse for yourself or others.",Jon
12,Modafinil,Fatigue,1.0,Taken for less than 1 month,"March 10, 2020",25,"I had been taking Provigil for about 5 yrs., then the insurance co. would not pay for it any longer as it is very expensive. So, I started to take it in generic form, which is Modafinal. It did not work as well, but it was better than nothing. I continued to take the Modafinil for a couple of years and then my pharmacy switched mfgs. to Aurobindo. There was a definite difference in side effects with this company's product. It did not work, but seemed to have an opposite effect. Also, it made me feel fuzzy headed, flu like symptoms, headache, dizzy, all kinds of bad. I called my insurance co. and after speaking to 3 people I had Provigil approved. I am now free of all the bad side effects of Aurobindo Modafinil. My advice, get Provigil and don't take no for an answer.",Frustrated
13,Modafinil,Fatigue,1.0,Taken for less than 1 month,"February 3, 2020",35,"This medication  modafinil was AWFUL. I was prescribed 100mg to take daily for chronic fatigue syndrome. Here's what happened: I felt like my brain completely shut off. ADD to the max... unable to focus, lingering headache turned full blown migraine, apathetic. If anything, I felt more exhausted, it messed with my vision and created so much pressure behind my eyes that I had a hard time focusing in on anything. It made my brain feel silent... all thoughts were muted, like I was only a hollow vessel. This is not me; my brain normally works a million miles per hour, I can multitask, I can focus... I'm just exhausted and that's why this was prescribed. I would not recommend this medication. I wish it would've helped.",Em
