,drug,condition,rating,duration,review_date,upvotes,review,username
0,Metformin,Female Infertility,7.0,,"March 22, 2022",0,I was given metformin by my doctor two 500mg twice a day  as I have PCOS and never had regular periods or even ovulated. I’ve recently lost some weight and my periods have come back each month.  I’m 27 and 21 stone we’ve been trying for a baby for over a year it’s my second month taking metformin and I’ve ovulated  as it was confirmed with a blood test. I’m testing my urine everyday with ovulation strips and tracking everything…good luck to all! X,Anonymous
1,Metformin,Female Infertility,4.0,Taken for less than 1 month,"January 14, 2022",1,So the purpose of my doctor putting me on this medication was so that I’m able to ovulate. She said my lack of ovulation MAY be caused by PCOS but she’s not sure because I don’t have any of the symptoms except for not ovulating. So far I’ve only been on this for about 3 days now. I’ve had stomach aches here and there but lots of trips to the bathroom. Today after the 3rd day I noticed when I was done using the bathroom I was spotting. I find this really strange because I have already gotten my period this month …is this normal ? Right now I’m on a dosage of 750 and will increase to 1500 next week. My goal is to ovulate so that I’m able to have a baby :) will keep you all posted,Anonymous
2,Metformin,Female Infertility,10.0,Taken for 6 months to 1 year,"January 2, 2022",4,"4 days after my 34th birthday I was diagnosed with type 2 diabetes. My family doctor prescribed metformin... On that same day I had been on my monthly cycle 2 days. She failed to mention this could possibly increase fertility) which I never had any issues with. I was like clock work when it can to my period.Only once I was ever over 3 days late I was pregnant. (Which was twice)We she said she wanted to see me in 3 weeks. When I went to reception they said she was going to be on vacation that 3rd week.So .. 5 weeks later I was on my way to my appt.. thinking. Oh now. I'm at least a week late. Didn't mention it to her. Left the doc appt. 45 days after starting metformin. I had 2 positive home tests. I'm now expecting my second child (had a miscarriage at 12 weeks in Nov. 2019)We didn't want any more children - we have 3 in home total, and this information needs to be more stressed when prescribed.But we are due March 2, 2022. With a healthy baby boy",omghollyh
3,Metformin,Female Infertility,10.0,Taken for 1 to 6 months,"December 29, 2021",11,I’ve been taking Metformin for 2 months now as I have PCOS and I am so happy I’m pregnant I also used the clear blue ovulation box as I’m so irregular but after my first period I’m pregnant so don’t give up - it really worked for me.,Anonymous
4,Metformin,Female Infertility,10.0,Taken for 1 to 6 months,"November 30, 2021",4,"I am 32, have been TTC for nearly three years, and have quite severe PCOS and very high AMH levels. We had one miscarriage in November 2020. I began taking Metformin (1000g) in September 2021, and within a couple of weeks I got my period (in itself an achievement!) and was able to begin taking Clomid to help me ovulate. Fast forward two months and I am currently 5 weeks pregnant! I will keep taking Metformin for at least another month and then my doctor will review it with me.My best advice with Metformin is to start slow and build it up. My doctor suggested I start with one 500g pill a day for a week and work up to taking two a day. I also like to take Metformin with food or I can get a little nauseous. Good luck to every single PCOS warrior out there!",Han Clark
5,Metformin,Female Infertility,10.0,Taken for less than 1 month,"October 11, 2021",25,"I have been trying to conceive for the past two years. I started taking Metformin on the third of September, was expecting my period last week it didn't come. I took a pregnancy test and it was positive! It worked for me, I hope it works for you too.",Anonymous
6,Metformin,Female Infertility,7.0,,"May 13, 2021",47,I was diagnosed with diabetes in October. A doctor I was recommended to see has prescribed me Metformin to help me with my blood sugar level. It was pretty bad. But she forgot to inform me that this medicine help to ovulate women or help them get pregnant. I didn't know that all I know I wanted to get my sugar level on control. So after I took them about one month after I got pregnant. I really didn't want to get pregnant or wasn't trying because I have two kids already. And I wasn't planning to have more AT ALL. By January I found out I was a month and a half. I was surprised I cry so much because I didn't want this is not that I don't love kids because I do I have two boys and I love them so much. It just is hard is really hard to bring a baby in this life we live in. But I as a mother of two would bring this baby into this world healthy and full of love. Sorry my story is long but I just wanted to tell someone about this experience.,Blessed
7,Metformin,Female Infertility,1.0,Taken for 1 to 6 months,"May 7, 2021",4,It is my 5th month of being on metformin for PCOS (also have endo and one fallopian tube due to unilateral hydrosalpinx)  anyway still no positive pregnancy test. Been trying for 5 years and so far no luck. Horrible medication.,Anonymous
8,Metformin,Female Infertility,10.0,,"March 7, 2021",143,"If you take the medication with food you'll avoid an upset stomach, avoid processed sugar (metformin basically just makes you expell it) and you'll avoid the worst diarrhea of your life, I started taking metformin in January 2019 for infertility and PCOS symptoms. It helped regulate my period. Within 2 months of taking it (coupled with a dietary change of no processed sugars I lost 40lbs in 4 months and I was pregnant by April 2019. Started taking metformin again to help with POS symptoms for ovulation in October 2020 (between then and March total weight loss 50lbs) pregnant positive March 2021 my doctor believes it's a combination of the metformin for ovulation and weight loss making it easier to get pregnant hope this helps you on your journey",Ivyjoe
9,Metformin,Female Infertility,8.0,Taken for less than 1 month,"February 18, 2021",34,I started taking Metformin at the end of January because I was diagnosed with PCOS. My period has so far gone back to normal. The next step is to see if it fixes my ovulation problems so me and my husband can try for our first baby :) Wish me luck! So far so good other than small tolerable side effects.,Kitten
