,drug,condition,rating,duration,review_date,upvotes,review,username
0,Pregabalin,Fibromyalgia,10.0,,"February 15, 2022",1,"Lyrica (pregabalin):Lyrica works in combination with a muscle relaxer that best suits you, in my opinion.",Dmiddle59
1,Pregabalin,Fibromyalgia,10.0,Taken for 6 months to 1 year,"February 6, 2022",1,"Words cannot express how thankful I am to finally get some relief from my fibromyalgia and trigeminal neuralgia! I had no issues with Lyrica and no noticeable side effects. Don't listen to other people's horror stories about this drug until you try it yourself. Everyone has different experiences with starting a new medication. My neurologist slowly increased the dose and I'm at a maintenance dose of 300 mg a day. The aches and pains have decreased by 80 percent! I can sleep more comfortably now too without my body throbbing at night. Lyrica has been a useful adjunct in addition to the other meds I take for pain such as Robaxin, Celebrex, and Valium. I also have mixed connective tissue disease so I know what kind of nightmare chronic pain brings daily. This is not a scary drug.",bmcadams95
2,Pregabalin,Fibromyalgia,10.0,Taken for 5 to 10 years,"January 10, 2022",1,I have always thought that Pregabalin was effective for me.,Justin
3,Pregabalin,Fibromyalgia,1.0,Taken for 2 to 5 years,"December 30, 2021",0,"I was prescribed this drug for fibromyalgia, ended up being prescribed the highest dose as my body kept getting used to it.  I went to a pain clinic they told me lyrica is no longer working and to come off it.  I dropped 25mg every now and then.  I decided to go into rehab as I had spoken to them for a month claiming they could help me get off the drug.  The doctor took me off 25mg every other day I stopped when I was on 75mg.  This was Oct - Nov 2019 in December 2019 I had my first seizure I have since had 18 more seizures and 2 Absence seizures, I also ended up suffering anxiety, suicidal thoughts, depression, chills, sweats and loud tinnitus none I had before this drug.  Been completely off for 19 months and still suffering withdrawals.  This is a seizure drug not a pain drug.",Jazz
4,Pregabalin,Fibromyalgia,1.0,Taken for 10 years or more,"October 28, 2021",0,"Lyrica (pregabalin):Took 100 mg Lyrica over 10 years for Fibromyalgia. Definitely helped with pain in the beginning but side effects were not worth it in the end. Gained 50+ lbs from when I began meds and when I stopped.  Severe swelling of feet, hands, brain fog, memory loss & speech/language flow change. After being off Lyrica for 1+ year I have a hard time remembering something I was about to say 2 seconds ago. I forget simple words like coffee, bicycle, elevator & can't think of them till I describe what I am thinking of to my kids & they look at me like I have 10 heads when they figure out what I am trying to say. After taking meds for 10+ yrs once I stopped the immediate difference in my brain fog was night & day. Although I can't prove it I know my memory & language capabilities will never be the same but I never realized how much brain fog the drug was causing until I stopped taking it. Please listen & just manage the pain - because memory & language issues are not something you can recover.",Concordmom
5,Pregabalin,Fibromyalgia,10.0,Taken for less than 1 month,"September 28, 2021",3,Lyrica (pregabalin):I've been on Lyrica for over 2 weeks now. What a day and night difference! I'm not in excruciating pain!,shellschencked
6,Pregabalin,Fibromyalgia,10.0,Taken for 1 to 2 years,"September 26, 2021",1,Lyrica (pregabalin):Solved my Trigeminal Neuralgia pain completely. No side effects,Working
7,Pregabalin,Fibromyalgia,8.0,Taken for 6 months to 1 year,"September 18, 2021",2,"This medicine is good. I can sleep, It helps with my pain at night. Unfortunately; I am very sensitive with medicines and with 150 mg I feel a little bit high and dizzy but 0 pain, so I take 100mg at night because I like to feel more in control but still I can sleep and helps with pain. Also, I notice it helps with  my GAD, I feel calm and without irritability. I have peripheral neuropathy in my arms and it helps as well with it. I don't like the fact that I need to take medicine but, it is what it is and so far It has been the only medicine that take away the pain. I also take duloxetine 20 mg not sure yet if it is worth it and Ultracet when I need it because I don’t take pregabalin during the day because makes me sleepy and I can’t think clearly and I need to work. I give it a 8 because the dizziness and the grogginess sensation.",Saisa
8,Pregabalin,Fibromyalgia,1.0,Taken for 6 months to 1 year,"September 5, 2021",1,"Lyrica (pregabalin):I have Fibromyalgia & Rheumatoid Arthritis. In the beginning I thought Lyrica was amazing. My pain was gone & I was moving. I was happy. Half way through the second month I started noticing I was dealing with fibro fog much more than before. It was worse than before & continued getting progressively worse. I couldn't put words together, I sometimes forgot where I was driving to & why I was going. At the time I was 42 years old. That should not be happening.  Along with that some of the pain was back & getting worse. I couldn't keep my eyes open. In the first three months of taking Lyrica I gained almost 40 pounds which made the pain worse. I stayed in contact with my doctor & finally she took me off of Lyrica. The severe fibro fog calmed & any fog experience after coming off was minor. The weight started going down & I started feeling like me again. I will never take Lyrica again. It was a horrible experience. Never again",Sheila
9,Pregabalin,Fibromyalgia,10.0,Taken for 1 to 2 years,"August 28, 2021",1,"Lyrica (pregabalin):In 2010-2014, I had Lyme Disease and fibromyalgia - could barely walk or move my arms. Had to be seated and let someone put my new grandson in my arms. My doctors and I tried a lot of things. The medicine that got me back to more normal activity was Lyrica. I took it for all of 2014, and haven't needed it again until now, August 2021. Yes, I have had fibro all my life, but there are degrees of muscular pain and stiffness, and painful joints. I am back on Lyrica because I can't work can only barely type. I am confident that Lyrica will restore my abilities.",Deja Thoris
10,Pregabalin,Fibromyalgia,8.0,Taken for 1 to 6 months,"August 17, 2021",1,"I have been taking pregabalin (2x75mg at night) for 2 months after being diagnosed with fibromyalgia.  The drug helps a lot with my ""burning feet"" syndrome and also with the fibro pain.  No real side effects apart from feeling a bit ""high"".  Recommend it.",ChrisO
11,Pregabalin,Fibromyalgia,1.0,Taken for less than 1 month,"August 16, 2021",0,"Lyrica (pregabalin):I had an absolutely terrible experience with this medication. It knocked me out for 3 days straight. from the first dose. My husband came home from the field (Army) and found me breathing, but completely non responsive.",Jane
12,Pregabalin,Fibromyalgia,7.0,Taken for 6 months to 1 year,"August 6, 2021",1,"Lyrica (pregabalin):My doctor prescribed 75 mg/ twice daily. At first I felt mild lightheadedness and dizziness but tolerated it much better than I thought I would. However 2 months in and I gained 30 lbs! I voluntarily reduced my dose to once daily and the weight gain stopped. However, pain is now more noticeable and my restless legs got worse. Last night I decided that mild weight gain is better than pain and restless legs so I'll continue at my prescribed dosage.",Space girl
