,drug,condition,rating,duration,review_date,upvotes,review,username
0,Quetiapine,Generalized Anxiety Disorder,1.0,Taken for less than 1 month,"March 2, 2022",0,I would definitely not recommend these all they have done is made me sick and the body aches are just unbearable two days later and I still felt the same I had to throw them out would not recommend,Amy dunne
1,Quetiapine,Generalized Anxiety Disorder,7.0,Taken for 2 to 5 years,"January 24, 2022",0,"Significant weight gain, too many drug interactions.",Michele
2,Quetiapine,Generalized Anxiety Disorder,10.0,Taken for 1 to 6 months,"January 23, 2022",3,"I've been on this medication for roughly 3 months and take 30mg every night. It has completely transformed my life and for the first time I feel stable and in control. I'm 23 years old, have a diagnosis of c-PTSD and generalised anxiety, and have had relatively regular panic attacks from around 16 years old. I used to get into a very heightened emotional state very easily, would regularly freeze up and become incredibly dissociative for hours on end, would be very nervous out in public, near crowds and in noisy areas. With the exception of some people in my life, I believed I fundamentally could not trust most people, I was very sensitive to (perceived) changes in other people's emotional state and I was incredibly hypervigilant around men. I also used to struggle to fall and stay asleep and was incredibly sensitive to being touched, to the point it sometimes felt uncomfortable or even distressing. Now I am immensely more settled and able to employ what I've learned in therapy.",Rach
3,Quetiapine,Generalized Anxiety Disorder,8.0,Taken for less than 1 month,"January 17, 2022",1,"I was prescribed this for my constant anxiety/mixed state depression, and also to help me sleep. I only took 50mg a night, I was supposed to go up in dose but never got that far. Took it for about 5 days, it worked both for sleeping and also to relax me and eliminate anxiety (honestly sometimes it felt like I was mildly drunk).The reason I had to stop taking it though was EXTREME CONSTIPATION.Everyone's body is different and I probably had a very unusual reaction, but just be on the lookout for this issue. I would definitely recommend trying this drug though and see if it's right for you, because it did help a lot with anxiety and insomnia.",Claes
4,Quetiapine,Generalized Anxiety Disorder,10.0,Taken for 1 to 6 months,"January 9, 2022",1,"I had drowsiness at first with it, and dry mouth. Drowsiness wore off and worked great for my anxiety after many different anti depressants were tried.",Quetiapine
5,Quetiapine,Generalized Anxiety Disorder,9.0,Taken for 6 months to 1 year,"January 4, 2022",0,"This is an interesting medication. The first 2-4 weeks can be tricky.  I found that it does have a sedative effect and was amazing for sleeping. It did also make me agitated/jumpy if I took a higher dose (weirdly paracetamol or ibuprofen lowered this effect). Can be helpful to try a lower dose and see the difference. I did feel foggy and had trouble concentrating the first month. Your body does need to get used to it, then I saw major improvements in mood and reduction in depression and anxiety. It is good because it immediately reduces extreme anxiety (compared to SSRIs and SNRIs) and then kicks in to help over the longer time. I would use in conjunction with working with a psychologist. If you're going through anxiety or depression this medication is a much better option to benzos or SSRIs or SNRIs.",Anon
6,Quetiapine,Generalized Anxiety Disorder,7.0,Taken for 5 to 10 years,"December 30, 2021",1,"I absolutely loved this med at first. Started off with 25 mg cut in half and taken morning and evening for anxiety. Upped to 50mg XR after a few weeks. Had it for 4 years and it worked wonders. Then I started experiencing brain fog, memory loss, extreme fatigue, depression and many many more. It took me 2 years to realize it was the drug causing it. Got off in March 21 and I am still suffering from withdrawals.",Seroquel 2021
7,Quetiapine,Generalized Anxiety Disorder,4.0,Taken for less than 1 month,"December 30, 2021",0,"I was prescribed quetiapine to help with anxiety. Instant release ones were ok, it was like the volume in my head had been turned down, it was really good to feel absolutely nothing for a change.Eventually I started taking the extended release ones and I had to stop as they gave me extremely stiff legs- so bad I could barely walk. During the time I took them - about a month I noticed I worsening anxiety and irrational thoughts, though I'm not sure if this was due to quetiapine. No improvement on mood. Legs got back to normal 2 days after stopping the tablets.",Akasha
8,Quetiapine,Generalized Anxiety Disorder,,Taken for less than 1 month,"December 1, 2021",1,"I got given these by my doctor for my anxiety and I’m scared to take them. Looking at the side effects, I just want to be able to enjoy life again, over 13 years I've suffered from this",1979
9,Quetiapine,Generalized Anxiety Disorder,10.0,Taken for less than 1 month,"November 21, 2021",3,"This Seroquel 25mg a day saved my life. Experiencing extreme anxiety and panic attacks to the point I lost my sanity. The neurologist administered it to me and it works like a miracle. I lost hope that time, and thought that I would be mentally ill forever but luckily after taking this drug I snapped me back to normal again. Experiencing those side effects and also aware for the danger of this drug but that's not a problem to me as long it keep me from going crazy permanently. The effect of this drug may differ to everyone because we have different case scenario. But in my experience it worked.",AVRG Human
