,drug,condition,rating,duration,review_date,upvotes,review,username
0,Acyclovir,Herpes Simplex Suppression,8.0,Taken for 10 years or more,"November 14, 2020",14,"I don't know how I got infected with genital herpes - I was with someone who didn't have it so can only assume it had laid dormant for a number of years when someone else had given it to me. The first outbreak was 10 years ago, but was just an itchy spot in my pubic area close to my panty line. The second outbreak came a month or so later and was just a couple of blisters. When I was diagnosed, my whole world collapsed. I was in therapy for 2 years, it really hit me hard. I've taken acyclovir twice a day since then. I haven't had an outbreak but some days I still get the tingling and ache around my pubic area. On those days, I get very low and upset. I may try a different drug.",Winnie the pooh
1,Acyclovir,Herpes Simplex Suppression,9.0,Taken for less than 1 month,"April 22, 2020",12,"I had itching for 3 months before my first HSV-2 lesion appeared. It was very mild but I had the fever, swollen lymph nodes and intense burning. I took Acyclovir for 5 days which reduced my symptoms quickly. I am now on 400mg twice daily for suppression, however I still get the odd itch here and there.",Cynthia
2,Acyclovir,Herpes Simplex Suppression,10.0,Taken for 1 to 6 months,"December 10, 2019",24,"First out break of HSV2 at 18,  then  I had NO symptoms at all for 8 YEARS! Then got back to back out breakouts at 26 years old for 3 months. Started taking aciclovir 400mg twice a day as suppressive therapy and have had NO symptoms since, for three months. Side effects minimal. My advice is just try it because it has saved me :) x",HAPPY!
3,Acyclovir,Herpes Simplex Suppression,3.0,Taken for 6 months to 1 year,"December 3, 2019",5,I was diagnosed in Jan this year . But I didn’t know I had it I faintly remember years ago having a cut down there that hurt really bad . ( I think that’s when I got infected ) I’ve been on the acyclovir med coming up on year now. I still get outbreaks frequently.. nothing is working I also have PCOS . I have hsv1 & 2 but never had an outbreak on my mouth . I’ll get little bumps on my nose .,Anonymous
4,Acyclovir,Herpes Simplex Suppression,10.0,Taken for less than 1 month,"October 12, 2019",16,"I wasn't told by my sexual partner that they had herpes, I got very ill & was having reproductive problems at the time.I had a few blister type spots and I went to the doctors got acyclovir and it went within 2 days and it's been over a month or 2 now and it hasn't come back. But he went and continued infecting unsuspecting women. I'm 21",Rose
5,Acyclovir,Herpes Simplex Suppression,10.0,Taken for 1 to 6 months,"August 27, 2019",71,I ended up misdiagnosed on several occasions with what felt like a uti and or thrush. After five days of agony and burning fever I knew something was wrong. I had one sore which experts misdiagnosed as a cyst. Finally a GP confirmed my worst fears. An STD in my thirties. I can still count my encounters on one hand but anyone that has sex risk takes the virus and I was just unlucky. I was lucky my partner who was a week into our relationship was so supportive. I take acyclovir as a preventative medication to avoid more breakouts and it works a treat. I get the odd itch but no symtoms. I sometimes feel tired with it and alcohol I have to be careful with. Otherwise I really recommend it for self esteem getting back on your feet and with the whole acceptance aspect. One in six of us have it. This makes it manageable. A vaccine or cure would be better still... But out of all the illnesses and diseases this isn't the worst one.. Count the blessings x,Wondergirl
6,Acyclovir,Herpes Simplex Suppression,7.0,Taken for 1 to 6 months,"February 9, 2019",15,"I was diagnosed with HSV-2 six  months ago. The guy I was seeing had told me before we slept together, and we always used condoms, but it was still transmitted. First outbreak was grim and lasted for about a month, huge blisters on my thighs rendered me unable to walk. I stopped dating for a long time because I couldn't seem to control the outbreaks, and it seemed I was getting them back-to-back every week (although they never came out as full sores, just slight itching and discomfort). I started taking suppressive acyclovir (2 x 400mg per day) after 4 months, and so far the 'outbreaks' have just been itchy with no visible sores. Though I do still get them frequently despite leading a healthy, for the most part stress-free lifestyle. I will continue to take suppressive acyclovir for the foreseeable future to see if my body can eventually adjust to the virus.",Ems
7,Acyclovir,Herpes Simplex Suppression,10.0,Taken for 1 to 6 months,"March 25, 2018",17,"My first outbreak was horrific. I could not walk for a week the pain was so unbearable. I laid in bed the whole time with cold packs between my legs and dreaded when having to use the bathroom because the pain was excruciating. I started this medication 4 days after I was infected and had symptoms. It did help and I have been on it for a couple of months now and no side effects. My doctor wants me to be on it for 2 years for suppressive therapy and then try to get off of it. She did inform me however that if I had several outbreaks, she had no problem putting me back on it. She assured me it was safe longterm. There have been times I have forgotten to take my meds and within a few days I have some symptoms, but then I start back up again and in a few days, I am feeling better. This medicine truly allows me to forget that I have HSV-2, other than when I take my meds. It’s been a miracle for me.",K. Turner
8,Acyclovir,Herpes Simplex Suppression,10.0,,"March 25, 2018",6,I've had fever blisters since I was a child. When I was a teenager I got fever blisters a lot.  As I got older usually just in the summer. About 4 years  ago I was getting them every other month. Dr put me on 400mg twice daily. Have not had any in the last year and a half.  What a difference its made in my life!,pinky
9,Acyclovir,Herpes Simplex Suppression,8.0,Taken for 10 years or more,"June 1, 2017",17,"I have found that acyclovir works better for me when I take pine cone extract. I believe this extract works as an adjuvant, increases the potency of this antiviral drug.I have been using this combination for several years and have had only two outbreaks in 3 years apposed to 3-4 a year when only using acyclovir 400 mg daily.This makes me believe that the extract is working.Research suggests that certain compounds found in pine cone extract increases specific Dendritic immune cells.",Sequentially
10,Acyclovir,Herpes Simplex Suppression,9.0,,"March 7, 2017",12,I have found this drug to be very effective in controlling my IBS/ inflammatory bowel disease.  Clearly it's possible herpes has a role to play in these conditions.,Ogyris
11,Acyclovir,Herpes Simplex Suppression,4.0,Taken for 1 to 6 months,"January 27, 2017",2,"I started using acyclovir, 2 months ago. I had 9 separate mouth and tongue ulcers, and anal herpes at that time. Presently, I have no anal issues. But, I have two ulcers that just won't go away completely. What I believe to be hsv2 colitis, that was diagnosed as plain ulcerative colitis has improved, after having an acute flare up that has lasted several months.",Noni9
12,Acyclovir,Herpes Simplex Suppression,10.0,Taken for 5 to 10 years,"September 23, 2016",38,"I was diagnosed with genital herpes 30 years ago. My ex-husband gave it to me knowing he had it. He was having active sores but didn't tell me. I found out after my doctor did a test years later. At the time the only thing available was an ointment. It helped but I was having outbreaks about every 6 weeks & miserable. I was not sexually active during my outbreaks & only had one partner who knew. He did not get it. Generic acyclovir pills became available at a price I could afford, I started taking 400 mgs twice a day. I've been on it for 8 years &!have not had one outbreak. It's been great & I don't have side effects. I have MS which is an autoimmune disease. It may be why I had such severe outbreaks. I'm not ever going to stop taking it.",Josie Lynn
13,Acyclovir,Herpes Simplex Suppression,10.0,Taken for 6 months to 1 year,"August 5, 2016",26,"I'm 32 years old and I first got outbreaks when I was about 13 or so. I would get them maybe once every year or so on my lip.  They started getting more frequent, and I ended up getting outbreaks around my nostril too. Over the last few years they got very frequent, about every other month. I've tried lysine ointments, home remedies, nutritional supplements, Abreeva, but none prevent outbreaks. Then in Dec 2015 I had a horrible outbreak. The size of a quarter! I had enough. I read up on treatments and my doctor prescribed the Acyclovir suppressive therapy. I only take one 400mg tablet a day. It's August and I haven't had an outbreak since Dec! It's cheap, about $8 and change. I have no side effects at all. I am so happy I found this!",GG Grey
14,Acyclovir,Herpes Simplex Suppression,10.0,,"February 26, 2016",133,"I have been taking acyclovair 800mg everyday for about 13 years and I never have outbreaks. I would suggest to everyone to take acyclovair as suppressive therapy rather than waiting to feel the tingle and then treating the virus. I forget it even exists as I never have outbreaks or suffer with any symptoms. If I don't take it, after about 1 week I will start to feel the tingle. Anyways this medicine has helped me live symptom free for many years. I highly suggest anyone suffering to take it as suppressive therapy. It's so much better never even having to deal with that first tingle! And to everyone experiencing an outbreak for the first time, rest assured the first time is the worst. It does get better and easier to manage. I feel for you!!",Itgetsbetter1234
