,drug,condition,rating,duration,review_date,upvotes,review,username
0,Valacyclovir,Herpes Simplex Suppression,9.0,Taken for less than 1 month,"February 28, 2022",0,"I contacted HSV2 years ago & had used the brand Aurobindo Pharma for suppression without issue.  I went off of it when I was no longer sexually active.  I started back on valacyclovir on 2/22/22 1 gram a day. I take it in the evening because it can cause drowsiness. The new prescription is by Camber Pharmaceuticals.  After taking is for a few days I was awakened by strong heart palpitations.  I took my pulse with a pulse oximeter & had pretty severe tachycardia up to 126bpm.  This happened two nights in a row.  I reduced it to half a pill or 500mg and it was better.  I reported to my pharmacist, physician & the drug company. It was very difficult to hear and understand their customer service.I would not have related it except there is a report on here that there have been other post marketing reports of tachycardia when taking this drug.The drug helps but I also take 1 gram of L-Lysine a day and avoid high arginine foods especially soy. Use GoodRx for better prices.",mema
1,Valacyclovir,Herpes Simplex Suppression,1.0,Taken for 6 months to 1 year,"January 25, 2022",0,Does not work for suppression.  Was up to 6 pills per day.  Besides having to argue with my insurance company about the daily dosage (the dr prescribed 6) it just does not work.  I used to take Valtrex (non generic) and that worked but I am having a hard time with insurance covering the name brand.,Anonymous
2,Valacyclovir,Herpes Simplex Suppression,10.0,Taken for 10 years or more,"December 25, 2021",1,"Valtrex (valacyclovir):I have been suffering from cold sores since I was a young child. I remember going to school incredibly embarrassed because I had giant cold sores that covered part of my lip and chin. In sixth grade, I went to a dentist appointment with a cold sore and my dentist actually prescribed me valtrex to take whenever I felt that familiar burning and itching sensation on my lips. It worked like a dream. In adulthood, I started getting more frequent outbreaks. I  got a cold sore once a month that corresponded with my hormones. I started taking valtrex daily and only get about one cold sore a year now. I just got a small cold sore on the corner of my mouth so I started taking the valtrex every 12 hours. I woke up today and the thing is almost healed, just from doubling my dosage for one day. This medicine is a life saver. My quality of life is so much better after taking valtrex and I would recommend anyone who suffers from herpes to take it.",gratefulteacher
3,Valacyclovir,Herpes Simplex Suppression,1.0,Taken for 1 to 2 years,"October 31, 2021",2,"Valtrex (valacyclovir):I have been using Valtrex 1mg since the third hsv 2 outbreak, however it does not improve the healing time, despite taking on the first symptomatic day, also the outbreak comes back one week later unlike the natural healing which allows suppression for 3 to 6 months.Further, I am on valtrex for 1 mg suppression for 1 year and whenever I catch cold or flu, the out breaks keep coming in new areas different than the first outbreaks, e.g., shaft and testicals, besides it keeps coming for longer periods at multiple location.It is so annoying this expensive medicine which does not improve anything and will start taking L-lysine after finishing one year on valtrex supressive.Note: I am not immunocopromised.",Franco James
4,Valacyclovir,Herpes Simplex Suppression,1.0,Taken for 1 to 6 months,"October 22, 2021",3,Valtrex (valacyclovir):I have been in a constant outbreak sinde June!!! Have tried both meds daily nothing has helped!! What’s wrong? I'll have to go back to the doctor!!,Anonymous
5,Valacyclovir,Herpes Simplex Suppression,1.0,Taken for 1 to 6 months,"October 3, 2021",6,"Valtrex (valacyclovir):Did not work, actually seemed to make it worse if that’s even possible. Also, had the worst side effects - made me incredibly tired. Acyclovir works better for me but I’m still getting multiple outbreaks a month (short lived) while on suppressive therapy. I can see I’m not the only one. If anyone reads this I’ve read about a possible therapeutic vaccine that’s actually going to hold human clinical trials in the UK soon. To push for more therapies or vaccine studies we have to reach out to government officials insisting that there be more effective treatments. Either the virus has become more virulent or the drugs have become less potent...who knows.",Anonymous
6,Valacyclovir,Herpes Simplex Suppression,6.0,Taken for less than 1 month,"August 13, 2021",1,Valtrex (valacyclovir):It does work without a doubt but made me pretty sick in the process. It made me extremely dizzy and nauseous and I just had to quit taking it. I felt so out of it for days and unbalanced. Yes I would use it again if the sores popped back up but wouldn’t take the whole course,Ashton
7,Valacyclovir,Herpes Simplex Suppression,1.0,Taken for 1 to 6 months,"April 30, 2021",19,"To those of you struggling with antivirals, you are not crazy! Antivirals can actually make things worse for some people, myself included. I've had HSV2 for 4 years now and just recently decided to start taking Acyclovir daily to lower the chances of transmission to my new partner. This has been the worse two weeks of my life. I've experienced constant nausea and headache's. I also have been having prodrome symptoms that will not go away. Prior to this I never even thought about my herpes. My last partner and I who is negative had unprotected sex for 2 years without me being on antivirals. We just avoided sex whenever I started experiencing prodrome symptoms which was only maybe 2-3x per years. My body really doesn't like pharmaceutical drugs and I always have the worse side effects no matter what it is. I'm going to continue to take the natural approach because I can't imagine taking those horrible pills that cause the worse nerve pain ever for the rest of my life.",Antiantivirals
8,Valacyclovir,Herpes Simplex Suppression,8.0,Taken for 1 to 6 months,"March 27, 2021",8,"Valtrex (valacyclovir):I was diagnosed with HSV 2 in February with an outbreak, one single blister (I guess I got lucky with that).  I took Valtrex for 10 days and the blister went away.  I started 500 mg suppression therapy immediately following my last regular dose.  A month and half later (fast forward to end of March) I got another breakout.  I am also using Lysine.  My question is, has anyone who has been using this drug lost their sense of taste, either  partially or fully.  I've noticed my sense of taste has been altered.  I recently got tested for COVID and it was negative.  I’m trying to figure out if my partial loss of taste is from using the Valtrex.  Would love to hear from you if this has happened to you.",Whyme21
9,Valacyclovir,Herpes Simplex Suppression,4.0,Taken for 1 to 2 years,"March 9, 2021",10,Valtrex (valacyclovir):Herpes is not a one size fits all issue so find your pattern and stick to it!  I take Valtrex but I also implemented taking lysine because Valtrex alone was not getting the job done. I take 1 Valtrex every other day for suppressing and 2 lysine every other day....found that this patterns kept outbreaks away.,Lady
