,drug,condition,rating,duration,review_date,upvotes,review,username
0,Atenolol,High Blood Pressure,10.0,Taken for 1 to 6 months,"February 27, 2022",1,"I was put on this medication for high blood pressure and also for anxiety and seems to be working great. In the last month its also brought my resting heart rate down from 85bpm to 60, which I like! It still goes up with exercise, taking 25mg every 12h",WaffleBot
1,Atenolol,High Blood Pressure,10.0,Taken for 5 to 10 years,"January 21, 2022",1,An excellent job of controlling my blood pressure.Taken once per day. Unwise to run out.,ThuggzBunny
2,Atenolol,High Blood Pressure,9.0,Taken for 1 to 2 years,"November 8, 2021",0,"Atenolol has been very good for me. I had racing heart and somewhat high blood pressure caused by Graves disease, and it really helped out while I was stabilizing my antithyroid medication levels. Helped a lot with anxiety, too. I had a thyroidectomy later, and stayed on the atenolol while trying to find the correct dose of thyroid hormone. With all those fluctuations, I could have had annoying heart symptoms, but thanks to the atenolol the transition to synthetic thyroid hormone went smoothly. No side effects, except for some fatigue and mild lightheadedness for a few days when first starting on the medication. The only downside is that atenolol is hard to taper off, at least for me. I went down to 12.5mg for a month and it was ok, but when I stopped it altogether I started having insomnia and episodes of racing heart (after waking up & light exercise). However, I might not be fully stable on the thyroid meds yet, and some of this could be their effect.",lh123
3,Atenolol,High Blood Pressure,6.0,Taken for less than 1 month,"July 31, 2021",0,"Sometimes this medication works and sometimes not.  I take 2, 25 mg each.  Sometimes my blood pressure is low compared to MY normal and sometimes it is normal.  I had an almost fainting problem which led me to the hospital for observation for 3 days.  Nothing was found and they did not let me have any BP medication while there.",Baylie
4,Atenolol,High Blood Pressure,4.0,Taken for 5 to 10 years,"July 5, 2021",3,"I have been taking Atenolol 25mg for about 5 years or more.  I have a family history of high blood pressure.  It has been working fine for me all these years, it has lowered my bp.  The last few months or so my anxiety has been crazy, I’m dizzy, nauseous, loss of appetite, I just feel horrible.  It’s weird though I will wake up feeling good and maybe the whole day I will be fine. Then some days I wake up feeling good and then out of nowhere I will feel sick, nauseous and dizzy and tingly all over out of nowhere.  I feel so bad, all I want to do is lay down, then it causes my anxiety to kick in.  I am so frustrated , I am tired of not feeling sick so often.  The doctors say it’s vertigo…. It’s not vertigo!!  I’m so tired of feeling sick all the time.",Gigi
5,Atenolol,High Blood Pressure,9.0,,"April 30, 2021",30,I've been taking Atenolol 25 mg for about 15 years. No side effects but pulse is very slow. Is there any body else who is experiencing slow pulse with Atenolol please?,Sally
6,Atenolol,High Blood Pressure,1.0,Taken for less than 1 month,"April 17, 2021",21,"This is by far one of the worst meds for high blood pressure. This stuff gave me paranoia. I have never experienced anything like this in my life. And no it didn't help my blood pressure, made it higher.",Duchess
7,Atenolol,High Blood Pressure,2.0,Taken for less than 1 month,"February 13, 2021",36,"I was prescribed Altenolol for minor high blood pressure due to pain. I’m not one take medication.The first day taking Altenolol. I was very fatigued. Second day I had a rash on my back and stomach area! The itching was like having poison Ivy. Horrible! Had to go to urgent care for a shot to stop the itching. After dealing with that issue I decided to go back to natural ways. Started on a red beet supplements! BP went down to 102-67 in three days, From 158/101. I feel like I am 25! Feeling great using natural resources instead of chemicals.",Advoman
8,Atenolol,High Blood Pressure,,Taken for less than 1 month,"December 19, 2020",5,"I was on Bisoprolol for eight years and suffered extreme pain was told it was fibromyalgia and was sent to see many specialist, none of which connected it was blood pressure  tablet. Eventually  my Dr changed it too Atenolol, and after the first tablet I was again in extreme pain to my arms shoulders joints ankle. After years of this extreme pain and being bed bound, and given more drugs for the pain I’m at the end of my rope and have decided to see a specialist privately.",Bon
9,Atenolol,High Blood Pressure,1.0,Taken for 1 to 6 months,"November 7, 2020",11,I took atenolol 25mg for 3 days (had high BP) and didn't like the way it felt so stopped and tried amlodipine....my heart freaked out and went nuts...ended up with a panic attack (look up the medical definition) and (not knowing what was going on) went to the ER...My experience sucked on this drug...I went back on it and tapered off it over many many weeks and am glad to be off of it.I think if you are having panic attacks that it is probably good and better than going with a benzo....but for for hypertension...there are better choicse.Good luck,dave
10,Atenolol,High Blood Pressure,5.0,Taken for 2 to 5 years,"June 10, 2020",95,"I’ve been on Atenolol 50mg and Losartan Potassium 50mg for about 3 years. This will probably be the worst period in my life. My weight went from 78kg to 87kg on same diet, I couldn’t workout again because it was difficult getting out of bed. I was constantly drowsy with joint pains, lower back pains, swollen knees and ankles, occasional itchy throat, usually wake up in the morning with tingling or numb fingers all swollen. I had 2 mild accidents while driving due to drowsiness. My doctor made me do so many tests: ECG, Cortisol test, cholesterols etc. but I didn’t know what was the cause of my ailments until I ran out of my med during this Covid-19 lockdown for 3 days and all my symptoms disappeared except that my bp was 145/80 so I stopped taking these two med.  I’m back on water pills only, trying to lose weight: I have never felt so good in about 3 years! Please monitor your symptoms or lifestyle changes while on Atenolol",Ay
11,Atenolol,High Blood Pressure,9.0,Taken for 10 years or more,"April 8, 2020",66,"I have been on this medication atenolol since I was 19, I am now 50 (31 years).  When I first started taking it, I struggled with the fatigue, difficulty concentrating and staying  awake during the day.  So, instead of taking it in the morning, I take it before bed to sleep off the side effects.  I like this medication, it works well for me.  I have tried other medications for short periods of time but ended up requesting atenolol because I am very familiar with it and it has fewer side effects.",LesF
12,Atenolol,High Blood Pressure,5.0,Taken for less than 1 month,"February 24, 2020",18,"I'm 21 year old with a high blood pressure of 160/100 and a pulse rate of 90+ I used only 5 day of atenolol 50 mg it helps me to lower my blood pressure of 110/70 but also seen side effects from day first (extreme fatigue, coldness and low heart beat (46) now today I'm going to  consult my doctor about these side effects",Xyz
13,Atenolol,High Blood Pressure,1.0,Taken for 1 to 2 years,"January 6, 2020",51,"I took atenolol for about a year. Suddenly noticed a weakness in my upper legs for a month then started swelling with pain in my hands and wrists, feet and ankles. My memory was also deteriorating. The pain was excruciating. It was the only medication I was taking but 5 doctors never linked my condition to the drug. This continued for months until one day I decided to quit the drug and see what happened. Within a few days the swelling subsided and was then gone within a short time. I lived with the pain for 2 1/2 to 3 years, now I feel it no longer and it took that long for my memory to improve.",Arby
14,Atenolol,High Blood Pressure,2.0,Taken for 2 to 5 years,"January 6, 2020",38,"I left a review on December 28, 2019 describing side effects from atenolol chlorithaldane 50-25.  The worst side effect was extreme pain in my lower left leg and foot that is a gout like symptom without redness or swelling and severely limited my ability to walk.  I bought a pill cutter and reduced my dosage 25% about a week ago.  My heart rate which was in the high 40s in the morning went up about 10 bpm.  My bp also went up but seems to be returning to normal.  My pain level dropped 50% and I can walk again.  I plan on reducing the dosage another 25% next week and hope to eventually stop taking this medication.",Mike
15,Atenolol,High Blood Pressure,2.0,,"December 28, 2019",44,"I went through a very stressful time in my life 3 years  ago. My bp was  200/100. My doctor prescribed atenolol chlorithaldone 50-25, losartan potassium, amlodipine besylate, and klor con 20.  My bp and bloodwork was normal. A year later the dr says I have high cholesterol and  stage 3 kidney disease.  I also lost my sex drive, experience depression, dizziness, leg and feet pain, charley horses mostly while sleeping, and water retention in my ankles and feet.  Two years later I went into cardiac arrest, which was caused by low blood pressure.  Imaging and found no heart problems.  The dr took me off everything but the atenolol chlorthalidone and klor con.  My bp is ok, but now I have extreme pain in my lower left leg and foot, that seems to move. My toes feel like they are asleep. I can barely walk. My potassium level is ok.  I'm buying a pill splitter and going to ween off the atenolol which I know is causing my problems.",Mike
16,Atenolol,High Blood Pressure,10.0,Taken for 10 years or more,"October 30, 2019",31,"I have been on this drug for many years.  I tried lisinopril for a while and it made me cough.  Came back to atenolol and am happy with it.  My BP is generally in a safe range and I feel good most of the time.  No side effects as far as I know; I do have trouble sleeping but that has been my life story, so I can't blame it on atenolol.  Thumbs up.   It was not covered under ObamaCare but only costs $4.00 per month.",Lucky
17,Atenolol,High Blood Pressure,1.0,Taken for 1 to 6 months,"October 1, 2019",39,"Been on this drug since April this year. Within one hour of taking 12.5 mg my heart beats so hard, skips around and makes me feel like fainting. This lasts usually about an hour. I am constantly nauseous and anxious. I don’t know if this is from the drug or because it scares me so badly when I take it and react this way. I’ve had EKG, Holter and Event monitors and nothing shows except some PACs. Dr says keep taking the 12.5 mg. I want off it.",Tricia
18,Atenolol,High Blood Pressure,10.0,Taken for 10 years or more,"July 18, 2019",58,"Lowers my blood pressure 110/70 pulse 65 and keeps anxiety at bay. Love it. I've  been taking atenolol since I was 33 years old and now I am 50. Downside,  it keeps your sexual drive at bay too for the last 3 years. 25mg twice a day. (morning + evening)",hsz33
19,Atenolol,High Blood Pressure,10.0,Taken for 5 to 10 years,"June 16, 2019",39,"Doctor originally started me on lisinopril; CONSTANT, CHRONIC diarrhea from the moment I started it. Within HOURS of stopping it, diarrhea stopped. Doctor switched me to atenolol and been on it ever since. Only side effect was when doctor decided to double the dosage and I nearly wrecked the car! Never again! Back to 50 mg. BP always between 110-116 over 65-70.",Valerie
20,Atenolol,High Blood Pressure,,Taken for less than 1 month,"April 18, 2019",24,"My cousin took atenolol 50mg, the first week still working well however on the second week started to have sudden mild shortness of breath which last for 5-10 mins, and my BP can be as low as to 98/65 . Reduce the dose to 25 mg, however the sudden mild SOB still exist, reduce it to 12.5mg , on monitoring status... Reduce the dose slowly if having such side effects, with consultation with your Doctor.",Ron
