,drug,condition,rating,duration,review_date,upvotes,review,username
0,Bisoprolol,High Blood Pressure,8.0,Taken for less than 1 month,"March 31, 2022",0,Been on this for three weeks now. It’s great for keeping my blood pressure normal. Gone through the headaches but now for a week  my body is sore and weak. It’s hard to move about. I will be talking to my doc. I really don’t want to go off because of good blood pressure. I was in the hospital weekly and very scared. I'm on a low dose 2.5 daily.,Trio
1,Bisoprolol,High Blood Pressure,8.0,Taken for less than 1 month,"March 27, 2022",0,"I have been taking bisoprolol for three weeks now. It has helped me immensely to bring down my blood pressure, No other medication did this for me. But now I am getting headaches and extremely tired. I am praying this gets better as it has big time disruptions to my daily routine. I also take Candesartan  , and amlodipine. All low doses . I have been on the other two for many years. Bisoprolol keeps me out of the hospital with counts of 180/98 up to 200. Talk about anxiety. I don’t want to stop but really hoping these headaches and tiredness goes away. I am 74 . I rated a 8 because of my new blood pressure. Not so good for the two side effects.",Anonymous
2,Bisoprolol,High Blood Pressure,3.0,Taken for less than 1 month,"November 5, 2021",3,"Taking concore 2.5mg for 5 days now gives me headache, fatigue, slow heart rate, low blood pressure (100/60), sleep disturbances, decreased concentration, diarrhea, dry mouth, depression, chest pain.",Hael
3,Bisoprolol,High Blood Pressure,1.0,Taken for 1 to 6 months,"October 16, 2021",23,A dangerous drug. Its supposed to help with palpitations but actually gave me worse arrhythmias and breathlessness that led me to the ER. It also causes severe anxiety when trying to wean off it. Don't let your doctor prescribe you this rubbish as there are better alternatives out there.,barrycard
4,Bisoprolol,High Blood Pressure,5.0,Taken for 1 to 6 months,"October 10, 2021",4,"It helped to bring down my blood pressure but the side effects I had were horrible. I had tingling, headaches,and weakness. I couldn't work for being so tired. Also I started  having involuntary muscle spams.It had my blood sugar running low a lot",Lorie
5,Bisoprolol,High Blood Pressure,1.0,Taken for less than 1 month,"October 5, 2021",4,"Not good,  I felt like an really old man quickly, even prepared for death..",mmomsoy
6,Bisoprolol,High Blood Pressure,10.0,Taken for 6 months to 1 year,"September 7, 2021",2,I have mild hypertension with severe anxiety. Tried Inderal before which controls anxiety a but but useless in hypertension. So suggested with Bisoprolol 2.5 mg. I feel it can be a great show for anxiety with hypertension,Anonymous
7,Bisoprolol,High Blood Pressure,8.0,Taken for less than 1 month,"July 18, 2021",3,Great for anxiety! but its ok to take with amlodipine??,Anonymous
8,Bisoprolol,High Blood Pressure,2.0,Taken for 2 to 5 years,"June 21, 2021",4,After 5 years of taking this drug it started made changes in lowering sex drive and  performance.  My doctor changed the drug to nebivolol and I noticed a clear enhancement  in performance reflected in week,ayman4it
9,Bisoprolol,High Blood Pressure,3.0,Taken for 6 months to 1 year,"May 26, 2021",9,"One day I had problem with my breathing , so after medical intervention I needed Cardioversion  of which I was given Bisoprolol. From the start of  being on this I have had major itching and now having muscle spasms in my neck  so as of now I am not taking said drug. The worst moment was when I started taking  this drug my skin was so itchy that it made me feel like peeling my skin of my body - might be rare but that is my view.",Will07
10,Bisoprolol,High Blood Pressure,6.0,Taken for 1 to 2 years,"May 16, 2021",9,It works ok but side effects not good as feel fatigued at times during the day,Michael2011
11,Bisoprolol,High Blood Pressure,6.0,Taken for 2 to 5 years,"March 6, 2021",27,"Had been taking Bisoprolol 5mg for several years, didn't notice any side effects, but late last year I fainted a couple of times, and then on several occasions my BP went over 200, after tests my medication was raised to 7.5, within a couple of days I had permanent cold hands and feet, loss of appetite, and mood swings, all on the possible side effects list.",Scruffy Money
12,Bisoprolol,High Blood Pressure,9.0,,"February 20, 2021",14,"Not really sure how much this is helping me. Heart disease, STEMI heart attack...99% blockage 2 days on bathroom floor thought it was food poisoning but turned out way worse. Have moderate tissue damage and now have recurrent palpitations so trying to get it all squared away. Was on many different types of beta blockers, so many that my HR was low 30's",Jayheartman
13,Bisoprolol,High Blood Pressure,5.0,Taken for 2 to 5 years,"February 18, 2021",24,"Taking bisoprolol 2.5 mg since June 2018 after angioplasty. (along with clopidogrel, aspirin , metformin and lercanidipine.)  Do workout more than 1 hour daily, morning and evening together. Stopped sugar altogether. Feel terribly tired, have issues with peaceful sleep, nocturia, and now serious ED, since recently. BP fluctuates, from 160/90  to 140/70. I feel another BP drug may be tried, I have to discuss seriously with my cardiologist during my next visit .Because of the side effects which affects the quality of life , I am not a fan of Bisoprolol",Dipu
14,Bisoprolol,High Blood Pressure,7.0,Taken for 2 to 5 years,"February 4, 2021",71,"After being on virtually every type of BP drug- or rejecting some immediately like diuretics- this bisoprolol is the only drug I can tolerate. No side effects other than not being able to stay up very late, numerous sleep wake ups thru the night, pretty bad ED and joint/muscle stiffness and arthritis in wrists.  I know this med causes this stiffness/pain since I've went off it a few times and my body felt normal again. I deal with these side effects since they are easier to tolerate than headaches, rapid pulse, constipation/bloating that other types such as ACE, Calcium Channel and ARBs give me. Diuretics and Vasodilators even give me chills and insomnia!  Thus Bisoprolol isn't perfect, but it's way more tolerable than most others.",BPdrugMadness
15,Bisoprolol,High Blood Pressure,7.0,Taken for less than 1 month,"November 13, 2020",16,"I have been placed on bisoprolol  2.5mg, due to panic attacks and HBP. I have been on it for 3 weeks, it did a good job by lowering my irregular heart rate and the blood pressure have been a bit down but I noticed recently that my BP is getting back to 130/80. I need to see my cardiologist to see if I should increase to 5mg. I feel dizzy n sometimes can't concentrate fully.",sparklins
16,Bisoprolol,High Blood Pressure,7.0,Taken for 6 months to 1 year,"September 30, 2020",36,Have been taking Bisoprolol 2.5mg for about a year. Blood pressure reduced - good. Tiredness and fatigue - not so good. Erectile disfunction - awful. Maybe I should stop taking Bisoprolol and live life to the full although unfortunately maybe not a good idea. So to this end it is effective for the treatment needed.,rinkly
17,Bisoprolol,High Blood Pressure,10.0,Taken for 1 to 6 months,"September 19, 2020",81,"Wow...I have no words for how amazing bisoprolol is. I'm a 22 year old male with Severe Anxiety, Panic Disorder, Hypertension and Tachychardia. I was prescribed 2.5mg of Bisoprolol and it didn't bring any significant change to anything, my BP reading was always on 130-150/85-110 never lower than that and my heartbeat rate was always past 80. So I decided to up the dose to 5mg/day, I was shocked that my BP reading was 121/78 today (15 minutes after taking the 5mg dose). Not to mention that my anxiety was reduced too, following my slowed heartbeat rate. This drug is quite the lifesaver, also on another case if you experience any Panic Attack just gulp down 5mg of Bisoprolol and you will be fine and better in 30 minutes. This works so well for me.",Virz
18,Bisoprolol,High Blood Pressure,10.0,Taken for less than 1 month,"September 12, 2020",19,"Been taking 2.5mg bisoprolol for around 3 weeks. Previously was on Candesartan for many years but it probably contributed to renal function issues so trying these which hopefully will not affect my kidneys. So far, so good. No side effects and BP down to better levels (121/74 pulse 53) so maybe this is the one! Also tried at least 3 other types of medication but all gave me intolerable side effects (swollen ankles, urinary problems).",Wasmynumber
19,Bisoprolol,High Blood Pressure,3.0,Taken for 5 to 10 years,"July 27, 2020",109,"Taken bisoprolol for about 10 years  for HBP I was on 5mg to  start but having side effects reduced to 2.5 still having side effects quite a few very bad sinus, mucus, fuzzy head, joint pain very tired also feeling I'm going to pass out generally not well on this meds anymore looking for answers does meds start rejecting the body when being on them for long time anyone else felt the same appreciate inputs thankyou",Mother
20,Bisoprolol,High Blood Pressure,4.0,Taken for less than 1 month,"May 3, 2020",54,"I'm on Bisoprolol 2.5mg for last 3 weeks. It makes my heart rate between 40-50bpm and I have felt numerous side effects. Initially, the bp levels were normal but now it gets 150/100 during night. My GP has added Telmisartan 40mg with it. Hopefully it will work. Overall, I'm really tired of Bisoprolol. Bad experience.",Khan
21,Bisoprolol,High Blood Pressure,5.0,Taken for less than 1 month,"April 27, 2020",31,"Brought my blood pressure down from 170/110 to normal levels fairly quickly (under a week).  However, started to notice side effects particularly fatigue, shortness of breath, weight gain and some loss of libido.  Tried a 1/2 dosage for a week or so and symptoms dropped a little but not enough for my liking. Also, the blood pressure started to creep up with just a 1/2 dose. Although the drug was effective, I will probably seek an alternative med for my blood pressure.",Bill
22,Bisoprolol,High Blood Pressure,4.0,,"April 9, 2020",37,"Started on 10 mg of Bisoprolol and felt great at first then after a few weeks I started feeling really tired and nauseous, my doctor has since halved it to 5mg . Not so tired but don’t feel a lot better and was wondering if 2.5 might work?",Sparrow
23,Bisoprolol,High Blood Pressure,10.0,Taken for 6 months to 1 year,"January 13, 2020",24,Serves me well. Taken for the past 7 months...2.5 mg...without any SIDE effect ..able to have a constant reading of bp...,Manz
24,Bisoprolol,High Blood Pressure,7.0,,"December 29, 2019",59,On bisoprolol at a dose of 2.5 mg and have side effect symptoms of extreme fatigue and 6lb weight gain.x 3 months.  I have no anxiety and my blood pressure is great. Used to work out daily now maybe once a week. I don’t like the lethargic feeling .,Lo
25,Bisoprolol,High Blood Pressure,1.0,,"October 19, 2019",56,"A doctor (whom I trust with my life) gave me this medicine under a different brand name (Concor in India) and foolishly, took this for almost 2 years without reading the chemical name Now, coming to present suffering from severe asthma like conditions, upper and lower respiratory tract infections, every morning is a nightmare until the symptoms go away. On Seretide puffers, nasal sprays to clear nasal congestions...add sugar to the mix owing to Seretide  *facepalm*Folks if  a doctor ever says, benefit outweighs side effects seriously question them. ",VVW
26,Bisoprolol,High Blood Pressure,10.0,Taken for 10 years or more,"June 12, 2019",76,"Zebeta (bisoprolol):After experiencing induced hypertriglyceridemia with long term use of Tenormin (50mg/day), and finding metoprolol to be useless, I have been using bisoprolol (5mg/2x day) for more than 10 years with outstanding results.  As a side effect (bonus), bisoprolol reduces triglyceride and LDL levels and increases HDL.  As a person that has been dealing with hypertension for around 40 years, I strongly recommend bisoprolol as the beta blocker of choice.",John
27,Bisoprolol,High Blood Pressure,9.0,Taken for 1 to 6 months,"June 11, 2019",44,"Have been taking Bisoprolol 2.5mg for just over a month now. I’m extremely pleased with the way it’s lowered my blood pressure and pulse has reduced from 90-140 to 55-100. I did however, only after taking it for about 3 weeks, notice that I am getting an extremely dry mouth. Small price to pay though, I suppose.",Billy W
