,drug,condition,rating,duration,review_date,upvotes,review,username
0,Diltiazem,High Blood Pressure,,,"March 6, 2022",0,I was taking Diltiazem 120 then I was put on 120 ER; raised my blood pressure and horrible congestion. I had two 120 immediate release left so I took them on the 2nd day I went to my PCP and told her; my BP was great so we went back to 120 immediate release and its about three weeks in the edema and is gone .I had no idea how much fluid I was retaining and the occasional mouth sores are gone.,Bump
1,Diltiazem,High Blood Pressure,2.0,Taken for 1 to 6 months,"February 23, 2022",1,"Side effects 1-2 months 120mg:   Horrible dreams waking with pounding heart and bp raised, tinnitus, dry cough, feel nauseous, skipped heartbeats, sleepiness through the day, stomach acidic, constipation, tinnitus, double vision in the mornings, bp not controlled, muscle pain.  Going off it.",Annie
2,Diltiazem,High Blood Pressure,1.0,Taken for 6 months to 1 year,"January 7, 2022",1,"Cartia XT (diltiazem):Been on Cartia XT for a year, lowered my heart rate but not my blood pressure. Started getting heart palpitations so cardiologist put me on a halter monitor for five days. Took me off Cartia and put me on Amlodopine. Heart rate back in normal range, no more palpitations and better than normal BP.",BuffaloBill
3,Diltiazem,High Blood Pressure,1.0,Taken for 1 to 6 months,"January 4, 2022",3,"A horrible drug. I was prescribed the generic adizem-xl 120mg and what a bad experience it turned out to be! After a week or 2 I had huge pressure on the right side of my chest which felt almost like my right lung was blocking up, as I could hardly breathe with exertion. Another side effect I encountered was frequent sharp stabbing pains when used with losartan again down the right side of my chest which lead me to A&E, only for them to say everything's fine. After a lot of hassle my GP finally agreed to change my medication although the problems didn't stop there!",barrycard
4,Diltiazem,High Blood Pressure,8.0,Taken for 1 to 6 months,"September 20, 2021",1,"I was given Metoprolol Succinate, Eloquis, and Atorvastatin after being admitted to the hospital with a-fib. I am a healthy 42 year old, non smoker male. The metoprolol is the worst medicine I have ever taken. I suffered for about two months with horrible side effects. Went back to ER because I thought I was having a heart attack about a week after starting meds. Stomach pain, dizziness, depression, anxiety, increased BP, shakes, bloated feeling, tiredness, and sharp pains in chest. After about two months another cardiologist told me to stop taking the metoprolol and switch to diltiazem ER 120mg once a day. It took about a week but all the side effects stopped. I started feeling like a human being again. I had muscle twitches for a week as my body flushed the metoprolol. Diltiazem has been a God send for me but obviously not for others. Just listen to your body and tell your doctor if a medicine isn't working.",Anonymous
5,Diltiazem,High Blood Pressure,,Taken for 2 to 5 years,"August 20, 2021",5,"Tired and weak, hair loss, itching that's driving me crazy I'm sick and tired of the side effects that my Doctors didn't tell  me about",Misinformed
6,Diltiazem,High Blood Pressure,3.0,Taken for 1 to 6 months,"July 19, 2021",7,"I was on Adizem-XL 200mg but didn't control blood pressure,  also on perindopril erbumine and flecainide but didn't have problems apart from blood pressure going up.  Put on Adizem-XL 240mg and now have gingivitis,  it's horrible and the BP consultant recognised it but said Adizem-XL didn't cause it. That is the only thing that changed and dentist has xrayed teeth and always have regular checks, no sign of problems.  Just very sore inflamed gums that bleed when I brush teeth,  and very tired, enlarged neck glands and dizzy. I'm very fed up with the lack of concern,  have no confidence",Els
7,Diltiazem,High Blood Pressure,1.0,,"May 6, 2021",10,Worst medicine I have ever take. I deal with the side effects for 2 months without saying I never got my blood pressure to the normal level.  I wonder why the doctor prescribed to me.,Ju vega
8,Diltiazem,High Blood Pressure,3.0,,"March 25, 2021",15,"I tried for couple months, not for me I couldn’t handle all the side effects, nausea, double vision, extreme fatigue... I couldn’t wait for my cardiologist to remove it from my counter",Ju
9,Diltiazem,High Blood Pressure,1.0,Taken for less than 1 month,"February 19, 2021",14,"I recently shared my terrible experience with this drug.  I also ended up having a huge mouth ulcer, along with blistering and peeling skin on my fingers.  When I stopped taking this med, the skin began to improve.  This medication should be discontinued.",Anonymous
