,drug,condition,rating,duration,review_date,upvotes,review,username
0,Diovan,High Blood Pressure,9.0,Taken for 10 years or more,"September 26, 2021",0,Works better than Cozaar or Losartan at keeping my systolic blood pressure more even or stable throughout the day and in normal range. Losartan causes erratic pressures daily failing to lower systolic readings for me.,Renee
1,Diovan,High Blood Pressure,10.0,Taken for 1 to 6 months,"September 19, 2021",3,"160 mg after I wake up and 160 mg before I go to sleep. Also, taking rilmenidine 1 mg in the evening. My blood pressure is always from 120 to 140. Diovan (valsartan) saved me for real. I tried zofenopril, captopril, quinapril, got me dermatitis, tried amlodipine, nifedipine, felodipine, lercanidipine, my heart was like a ticking bomb. I can only take *sartan medicine and *nidine central nervous system anti hypertensive agents. So I chose Diovan (valsartan). The doctors also tried olmesartan and irbesartan on me, but, valsartan seemed the best for me. For my angina, I take metoprolol tartrate 50 mg after I wake up.",carmencocis
2,Diovan,High Blood Pressure,10.0,Taken for 10 years or more,"September 8, 2021",2,"Have been taking Diovan HCT 160/12.5 for nearly 20 years with absolutely no issues. Recently, have noticed more fatigue and dizziness. Began checking and recording my blood pressure multiple times a day and found out that it is too low. I'm in the process of coordinating next steps with my doctor. Suspect that a slight dosage adjustment should do the job and have me back on track shortly.",Indiana
3,Diovan,High Blood Pressure,9.0,Taken for less than 1 month,"January 5, 2021",6,Works good on 160 mg. But I need to take bisoprolol for atrial fibrillation also.,Rahman
4,Diovan,High Blood Pressure,10.0,Taken for less than 1 month,"June 22, 2018",61,I just experienced sudden onset high blood pressure.  I'm almost 50.  Never had problems before.  My normal BP is about 115/70.  2 weeks ago for unknown reasons it spiked up to 210/125.  Stayed in that range for full 2 weeks.  Dr. Put me on amlodipine for 10 days.  It did absolutely nothing.  Just changed med to Dioval HCT.  After 1 pill BP came down to 125/80.  After next pill it's down to 112/69.  Crazy how fast it worked.  I'm almost afraid to take pill #3 because I'm hoping it won't go too low.  Is this normal?,Jewls
5,Diovan,High Blood Pressure,,Taken for 10 years or more,"March 3, 2018",19,"I had used Diovan for some time which worked well and when the insurance provider had me to switch to Valsartan and I began to have problems and now am not able to go back to Diovan because of the expense of it, the charge $402.00 for a three month supply. Outrageous!",Jack
6,Diovan,High Blood Pressure,10.0,,"August 3, 2017",38,I took Lisinopril for about a year and a half. I coughed so bad all the time I could not stand it any longer. Stopped up head and hard to breathe. My doctor changed me to Diovan 160mg and I have been on it for 2 months now and my head has cleared and my cough is completely gone. My blood pressure has been in the. 110's over 60's. So far I am very happy with Diovan!!!,Bigbob65
7,Diovan,High Blood Pressure,1.0,,"May 26, 2017",27,"Shortly after beginning Diovan, I started coughing, and it just never stopped. Little by little, it increased to the point, that I just couldn't take it anymore. I still have a lingering cough, but not as bad as when I stopped. I am hoping it will stop completely with time. I wish I had known it was a common side affect before I started using it. Now I am afraid to take a different med for high blood pressure, until I research it thoroughly.",Bobby Jo Marie
8,Diovan,High Blood Pressure,5.0,Taken for less than 1 month,"February 21, 2017",37,"Took for 2 weeks OK, then suddenly hit me like a ton of bricks.  Tingling sensation all over body, night leg cramps.  I was on the generic, then had the pharmacy switch to the name brand ($274).  The name brand seems stronger, as when I take it, 3 hours later, I get a tingling all over my body.  I will stop taking this until the effects go away and try again.",jim0523
9,Diovan,High Blood Pressure,7.0,,"December 31, 2016",70,"Been on diovan for at least three years, suffering many side effects: muscle pain, sudden hairloss and thinning, as well as intermittent tingling on the back of my head. I have also had weight gain,  problems with blood sugar and loss of erections.  I still have sexual desire but my erections aren't adequate. I have pain in my stomach which is increasing with time, sometimes kind of burning like an ulcer and coldness in my feet.  I have also started developing small lumps of fat under my skin and marks on my skin resembling age spots but are not. The pills are not having as good an effect on my blood pressure anymore. It went way up. I  just don't know what medicine to switch to.",Unhappycustomer
10,Diovan,High Blood Pressure,8.0,,"April 23, 2016",33,"I've been on Diovan,  and labetalol.  2 wks ago my bp bottomed out.  Hospital took me off labetalol,  and cut my Diovan to 160mg. Stayed 190's over 120's to 130's. I put myself back to 320mg. It is now starting to come down.",Cher56
11,Diovan,High Blood Pressure,10.0,Taken for 1 to 6 months,"March 4, 2016",47,"I was recently switched to a BP control regimen of Diovan and Concur (bisoprolol) and for the first time in 20 yeqrs, my BP is under control.  It used to run in the mid 140s to mid 150s / hi 80s to hi 90s.  Now is has stabilized  to mid 120s to mid 130s / mid 70s to mid 80s.  I couldn't be happier and I have no side effects.",philster
