,drug,condition,rating,duration,review_date,upvotes,review,username
0,Norvasc,High Blood Pressure,1.0,Taken for less than 1 month,"March 22, 2022",0,"I’ve been on it for four days and it is awful. I have developed painful sores on the inside of my upper lip, and my tongue is sore and feels like I scalded it. The medicine has not lowered my BP at all.",AnneG1026
1,Norvasc,High Blood Pressure,1.0,Taken for less than 1 month,"February 5, 2022",6,"I started Norvasc 10mg in hospital for severe hypertension. 5 days after starting it, It slayed my butt! Stayed on for another week until follow up Dr’ appt. During that time I was so exhausted I didn’t move, I stayed in my recliner! Constant head ache, my ankles swelled twice their size and only brought my blood pressure down very little!  How horrible b/c I’m usually pretty active! Dr put me on another class of drug and its working great!",Shirley Siratt
2,Norvasc,High Blood Pressure,5.0,Taken for 1 to 6 months,"February 4, 2022",2,Horrible.  Couldn't walk on my feet. Did lower bp.,Cynic345
3,Norvasc,High Blood Pressure,1.0,Taken for less than 1 month,"November 25, 2021",4,Norvasc has to be the worst blood pressure medication out there. This medication should be banned. I took a low dose 2.5 for a week and within a few days extreme facial and hands flushing. I started to develop rash all over my knuckles which very odd. I was very light headed and dizzy. I had really bad stomach pain. How the heck can anyone take this medication. It should be banned. It didn’t even help my blood pressure that much. I stopped after a week of the junk. It took 2 weeks for the side effects to completely go away. Never again.,Scott
4,Norvasc,High Blood Pressure,1.0,Taken for less than 1 month,"September 26, 2021",2,Was given this as a third add on bp management drug in ER. It caused severe headache & projectile vomiting for 12 hrs. Never again!!,Renee
5,Norvasc,High Blood Pressure,2.0,Taken for less than 1 month,"July 2, 2021",5,"I have been on amlodipine 5mg for 2 weeks. I have not gone to work. Feeling extreme tiredness, insomnia, palpitations, neck muscles ache, can't really function. I thought I am alone until I read all the comments. Thank you for this opportunity. I will see my Doctor to get me off this since it cannot get better.  Am so happy to read the reviews and know that am not alone. Thanks.",Egostic
6,Norvasc,High Blood Pressure,1.0,Taken for 1 to 6 months,"May 28, 2021",20,Started out good. Help control blood pressure. After 3 week feet and toes started drawing up then hands started doing the same. The 5 week chest muscle cramps and spasms so bad I thought I was having a heart attack. Went to ER with no help. Them I started researching Norvasc and came across others that had the same symptoms I had. I started cutting back mg now Norvasc free and all cramps and spasms gone. NORVASC is a dangerous med.,Bongo8296
7,Norvasc,High Blood Pressure,1.0,Taken for less than 1 month,"April 18, 2021",20,"Horrible drug.  I was on it 15 days - had horrible anxiety, panic attacks almost daily (prior only had 2 in my life), whole body tingling and the brain fog was bad.  I was only in low dose of 5 mg.   I ended up at hospital twice during the 15 days that I was in med.    My dr switched me to a different med and it is much better.",Debs
8,Norvasc,High Blood Pressure,7.0,Taken for 1 to 2 years,"December 24, 2020",8,"At first, it's quite effective - and it significantly does work - to lower blood pressure. It has few side effects, and works within 30min - 1.5hrs. The only downside is that it can take 6-8hrs to achieve the full drop, and tolerance develops shortly - about 4 months - after taking it regularly. It's a good step above diuretics, but it's not enough by itself. Combining it with Lisinopril is much better than Norvasc alone.",Katluv
9,Norvasc,High Blood Pressure,4.0,Taken for 1 to 6 months,"October 28, 2020",72,"Took Norvasc for about 6 weeks. For about four weeks it very effectively lowered my bp to normal rates and I was feeling well. For the past 2 weeks I’ve started feeling lightheaded, heart palpitations and arrhythmia. Will be contacting my doctor to change medications.",Emc
10,Norvasc,High Blood Pressure,1.0,Taken for 1 to 6 months,"October 1, 2020",54,"Ringing in my head. Swollen ankles feet, slowed recovery in foot injury. Tired, sleepy several hours after 5 mg dose, head foggy, short term memory loss.",Kevbro
