,drug,condition,rating,duration,review_date,upvotes,review,username
0,Repatha,High Cholesterol Familial Heterozygous,10.0,,"December 25, 2021",2,After a heart attack finally got on repatha. Total cholesterol is below 100. Life changer in my life.,Mike
1,Repatha,High Cholesterol Familial Heterozygous,1.0,,"August 22, 2021",2,"I am a 66 year old male with familial high cholesterol & triglycerides. I have been unable to take statins & other meds for lowering cholesterol due to elevation of muscle enzymes which causes muscle pain & weakness. After a stent, the Dr wanted me to take Repatha. I took it 5 months & due to other health issues I did not realize I was having issues until a heart cath came back normal. I had chest pressure, shortness of breath with minor exertion, sweating very easily, body aches, fatigue, back pain & muscle aches all over. My muscle enzymes test which I had to request was very elevated. I immediately stopped Repatha. Chest discomfort stopped immediately, breathing is better & sweating stopped but still having severe back, muscle aches in legs & legs feeling very rubbery. My advice is to pay very close attention to muscle aches if you take this medication & have problems with other cholesterol medications.",Papa Bear
2,Repatha,High Cholesterol Familial Heterozygous,2.0,Taken for 1 to 6 months,"May 7, 2021",16,"I began taking twice-monthly Repatha in November 2020 on the advice of my cardiologist. I am a healthy and active 68-year-old female with familial hypercholesterolemia. Previously, I had tried four different statins and various doses, all of which resulted in considerable muscle pain and night cramps. Things seemed fine until my third Repatha injection when I began having severe pain in my right arm and shoulder. I didn't link  the pain to this so continued taking my injections, eight altogether, until my final dose at the end of February. By then, I was experiencing increasingly severe pain in both shoulders and arms, weak leg muscles making it difficult to stand, dizziness and fatigue. Although Repatha dropped my LDL from 177 to 68, the side effects are debilitating. I am done with Repatha and statins. I stopped taking Repatha in late February but two months later the side effects continue to wax and wane. I am praying my system can recover and my life return to normal.",Terese
3,Repatha,High Cholesterol Familial Heterozygous,1.0,,"April 22, 2021",8,"It has been 6 months since I took one injection of repatha.  I still experience flare-ups of muscle and joint pain, as well as muscle weakness and fatigue.  I am a 65-year-old woman, of smaller stature.  My CRP was over 3 times normal after the one injection, gradually reducing to normal over many months.  This medication can cause side effects which last a very long time and greatly affect quality of life.  Beware!",Jen
4,Repatha,High Cholesterol Familial Heterozygous,1.0,,"April 1, 2021",7,"My personal experience has been horrible. Allergic to statins.  Well after about 4 injection. I became seriously ill, difficult to even lift my body up or do any daily activities without fatigue.  I took the injection Wednesday and by Friday I was convinced I had the flu.  Even had a low grade fever.  I am 50 years old and was quite previously active bf healthy. I honestly feel like my bones became brittle muscular weakness and pain. Can barely lift arms. Also have gi issues now. I took all the covid flu and strep and urine test and all were good.  I feel like walking death. This is not quality of life.  Also as read above which I now find out that it takes a long time to get out of the system and has an accumulative effect.  Which is why I didn’t connect this med with my symptoms cause initially all was going fine.  I will take homeopathic natural medicine given by my Accupuncturist.  Do NOT take this stuff. I’m so sick now and it’s been a week since I took this stuff.",Jean
5,Repatha,High Cholesterol Familial Heterozygous,5.0,,"February 10, 2021",4,"Honestly, I feel like it did permanent damage to my nerves. I started with Repatha and after 2 months of being on the injection, I started to get burning in my feet and a little in my hands. I went to the doctor (and of course he didn't think it was from the injection) and had me stop taking it and see a neurologist. They did an EMG and I had an MRI of my brain. They found nothing. The sensation went away after a month. So I restarted it again and it came back, then stopped it for awhile. We tried doing the injection every 3 weeks and eventually the burning came back. So he moved me to the other shot Pradulent. With that I felt it literally effecting my legs, like restless syndrome. So I said no more and I haven't been on for over 6 months. Well now I still get the burning in my feet and a little in my hands that come and go. So I'm kind of upset about that. Going to the neurologist again. I really hope this medication didn't cause permanent damage because I'll be so annoyed.",Not a bot 80
6,Repatha,High Cholesterol Familial Heterozygous,1.0,,"December 27, 2020",23,"It has been a year and a half since I stopped the Repatha injections after taking them for 6 months. I was extremely active and athletic till Repatha. This drug has made weak, sick, inflamed, and unable to stay active as before. Even after a year and half, I continue to stuffer from side affects. This medicine is like a poison.",Tom
7,Repatha,High Cholesterol Familial Heterozygous,10.0,Taken for 1 to 6 months,"November 15, 2020",3,This drug has helped me a lot. My LDL was down two 22.,Dav
8,Repatha,High Cholesterol Familial Heterozygous,1.0,Taken for less than 1 month,"November 4, 2020",59,Add my voice to those who have experienced horrible side effects from Repatha.  After one injection - terrible muscle and joint pain all over my body - much worse than the three statins I tried previously.  I will never touch this medicine again.  Diet modification and exercise are the only treatments I will try ever again.,Joe
9,Repatha,High Cholesterol Familial Heterozygous,10.0,Taken for 5 to 10 years,"October 7, 2020",18,"I was in the initial investigational group (lab rat) which started 5 to 7 years ago for this drug and just left in February 2020.  I was included in the study because of stroke at 49 and heart attack at 51 plus heart attacks and strokes have been the cause of death for family members.  Honestly with cholesterol at 500 I had little hope anything would reduce it.  The statins hurt me with side effects so Repatha was worth a try.    One of my other physicians accidentally gave me my blood work and I was shocked to discover after only a few months my cholesterol and all lipids were reduced to normal levels.  In particular, my cholesterol was now around 100.I left the study group in February 2020 and had a series of TIAs beginning in August 2020.  I asked to be put back on the drug and am currently on it.  I am pleased with the results.",Just me
10,Repatha,High Cholesterol Familial Heterozygous,10.0,Taken for 2 to 5 years,"July 31, 2020",25,"I have been on Repatha for 5 years, my Cholesterol is great and I have had no side effects.",EZKevin60
11,Repatha,High Cholesterol Familial Heterozygous,1.0,,"July 17, 2020",68,"I have been on Repatha for 5 years. As a result I have developed chronic sinus infections, flu, shortness of breath, pain in my lungs, stomach pain, and most recently fevers, ear pressure, dizziness, and severe headaches. I suspected the medication was causing my problems over a year ago. I spoke with a nurse from Amegen who played it down and so did my doctor. I was referred to an allergist who after a full pulmonary function test, allergy test, and x-ray CT and CT scan of lungs concluded I have non allergic rhinitis. I was constantly prescribed antibiotics and steroids for the symptoms. Sometimes they worked and many times they didn't. I have seen an Infectious disease doctor, a hematologist, ENT and a pulmonologist. All who cannot determine why I am suffering. I have an FMLA for intermittent leave because sometimes I can't get out of the bed. I took my last injection last Saturday the day the headaches started and I have had every day since. No more!",Anonymous
12,Repatha,High Cholesterol Familial Heterozygous,2.0,Taken for 1 to 6 months,"June 23, 2020",49,"I was on Repatha for one month and sawmy lab numbers dramatically improve until I developed severe leg pain, similar to that which I had while taking statins.  After I stopped, my total cholesterol and LDL shot up higher than before I started.  They have remained high after 6 months.I'm thin, eat mostly vegetarian and exercise every day.Has anyone quit and seen their numbers remainhigh this long?",Phil
13,Repatha,High Cholesterol Familial Heterozygous,10.0,Taken for 6 months to 1 year,"April 11, 2020",17,"Since I am taking Repatha my cholesterol dropped from 380 to 162 in the first 90 days ,been on for six months, with no side effects. One time little bruise on the injection site .",Lucia
14,Repatha,High Cholesterol Familial Heterozygous,5.0,Taken for less than 1 month,"March 29, 2020",28,"I have very high cholesterol and statin problems.  Started ramipril a few weeks after having two lad stents in January but it took a long time for repatha approval so have had just two injections.  I also have chronic migraine which was improving with Aimovig.  Since starting repatha I have had daily migraine and was having middle of the night coughing.  Also very dizzy on awakening now and any bending over.  Also was very nauseated.  I stopped ramipril a few days ago and cough and nausea stopped but not headaches or dizziness.  I do not have high blood pressure or diabetes and am 61.  Cannot stand a daily migraine, I don’t think I can take repatha.",piglet
15,Repatha,High Cholesterol Familial Heterozygous,1.0,Taken for 1 to 6 months,"January 22, 2020",55,"After my 6th dosage of Repatha I would rather die. I have four stents along with torn tendons and connective tissue disease that can’t be explained.Frequent urination and problems. Neck,leg,and back pain do not allow me to sleep. Severe headaches, but the newest side effects are very scary to me...stomach cramps, diarrhea, and vomiting for days after the injection, which I am sure will be my last. I am saddened after reading the reviews that this will last for quite sometime. Only 55 feeling hopeless and feeling like a 90 years old everyday is not the quality of life I was trying to accomplish.  I hope there is help on its way. Thank you for the truths. I thought I was alone.",Middle aged woman feeling old
16,Repatha,High Cholesterol Familial Heterozygous,10.0,Taken for 1 to 6 months,"January 22, 2020",24,"I've been on the drug for 3 months and it's been brilliant. No side effects and no issues. Just waiting for my first results back and hoping it has a big impact.",hr1981
