,drug,condition,rating,duration,review_date,upvotes,review,username
0,Repatha,High Cholesterol,10.0,Taken for 1 to 2 years,"March 28, 2022",1,"I have to say I'm truly surprised at all the negative reviews. I took repatha twice a month for a year and a half and never had a single side effect. The statins, and we tried five or six of them, made me miserable. Some caused back pain, some caused muscle pain and others caused sexual side effects. Once on the Repatha I felt fine and my blood test results were one's my doctor said he would pin to his refrigerator, they were that good. I would have continued taking it but my health insurance got canceled.Repatha does such a good job of reversing plaque buildup that before you quit taking it I would seriously investigate other reasons for the supposed side effects. Statins are much more likely to cause side effects and everyone I've talked to that takes Repatha is not had any of the side effects people here are talking about. Personally I think it's a life saver.",JAD
1,Repatha,High Cholesterol,4.0,Taken for 1 to 6 months,"March 20, 2022",0,"Started Repatha in November of ‘21 because I could not tolerate statins. Too much muscle pain and spasms. I was prescribed one Repatha injection every two weeks. After the first month I started having fatigue and joint pain. Needed a cane to walk, and after 4 months can now barely walk. I need a Walker now. Constant pain in almost all joints, swollen knees, muscle spasms. Had my last injection a week ago and now understand why I’m in such agony. Hopefully, the drug will be out of my system in 3 months and also hope there is no permanent damage. Will have to use diet and exercise (if I can ever walk again) for cholesterol. Repatha is poison. My cholesterol has been reduced. Quality of life dropped with the cholesterol. Very poor trade.",In Pain
2,Repatha,High Cholesterol,2.0,Taken for 2 to 5 years,"March 18, 2022",0,"We thought Repatha was the answer for my husband.   He had bi pass for the Widow Maker at 38, and was intolerant to all statins. He was placed on Repatha at age 50 and we didn’t think he was having any issues with Repatha. He has gradually been losing his short term memory, becoming more confused, agitated, depressed, and anxious over the last 2 1/2 years. We continually asked if could be the injection and was assured that it was not the cause.  We noticed when he skipped doses, he got a little better. We missed 2 doses while on vacation and attributed the improvement to being away from stresses, but as soon as he got his shot, his mental status deteriorated. He is 55. He will take a holiday from the medication for 3 months. The more I read, the more I’m blaming the medication for his mental decline as it is reported in some reports to pass the blood/brain barrier and deplete the cholesterol in the brain. We will continue to monitor as he has spent more time off of it.",Cognitive
3,Repatha,High Cholesterol,1.0,Taken for less than 1 month,"March 18, 2022",0,"Active 60 year old.  No previous cardiac history.  No co-morbidity issues.  Previous statin related susceptibilities.  Additional medication included 40mg prevastatin.  After first dose Repatha (4-days) began experiencing severe night-sweats.  Increased mucus production.  Difficulty breathing and swallowing (waking several times during sleep).  By 5th day symptoms progressed including significant leg muscle cramps as well as chest pain (no previous history).  ER visit for chest pain indicated normal EKG, elevated Blood Pressure (150/100).  Overall malaise and lack of energy.",Dangerous Drug
4,Repatha,High Cholesterol,1.0,Taken for less than 1 month,"March 11, 2022",1,"Four hours after my first injection, I woke up and couldn't feel my feet, arms or upper body...all which were numb, tingling and burning. I immediately got a migraine that day and several days after. Muscle spasming and neuropathy in my feet and could not walk because feet hurt and burned so bad. Sores and burn like lesions  on my feet which still have not gone away 4 weeks after stopping Repatha. Debilitating neck and head pressure, pop sound/bubbling in my head and 5 visits to ER with anxiety, heart racing and bp 200/111 which also found that I now have an aneurysm in my carotid artery and a dissected artery in my brain above my left temple where the popping feeling was. After one use!! Still cannot go out in the cold for more than a minute because my whole body burns from the cold, terrible nerve issues and tingling and burning in my face and scalp still. Still cannot walk well and dizziness when standing or walking. Have not been able to work in four months. Repatha ruined my quality of life!!",1 use nightmare
5,Repatha,High Cholesterol,1.0,Taken for less than 1 month,"March 10, 2022",1,"Took one injection last Saturday for 5 days I had headache, lost 13 lbs no appetite at all, leg tingling, stuffed up nose at first then nose ran like a faucet  felt weak no stamina and my cardio Dr thinks I’m a hypochondriac! Praulent never bothered me for past 5 years. Insurance company won’t cover praulent so I got stuck with this terrible drug! WTH it’s all about money not patient care",Razor
6,Repatha,High Cholesterol,10.0,Taken for 1 to 6 months,"March 4, 2022",1,"No side effects. Decreased my total cholesterol by 40% and my HDL by 50%. I’m ecstatic!!!",Carolyn
7,Repatha,High Cholesterol,3.0,Taken for 1 to 6 months,"February 25, 2022",1,"Had high cholesterol (250+) for years. Because of Inclusion Body Myositis arm and leg weakness, no statin drugs, niacin, zetia could be taken. My doctors wanted me to take Repatha because they felt that it would be OK for me. Repatha web site did not show any side effects of ""muscle weakness"". Called a nurse at Amgen, maker of Repatha, and she said they had no reports of muscle weakness. Ordered Repatha. Pharmacy script and info sheet in the packaging from Amgen did not mention any muscle weakness issues. Started 140 mg/ml injections 30 Sep 2021 every two weeks. I did notice some weakness, however, the bloodwork just prior to the 4th injection showed excellent reduction in most cholesterol #s. With doctors approval went to 3 week injections. I had several bad falls, very weak. prior to starting Repatha, I only raised my lift chair half way. After 7th injection I was lifting to the top, after adding 4"" pad to the seat. Very had to walk or get out of my high seat rollator. Stopped Repatha",IBM patient
8,Repatha,High Cholesterol,1.0,Taken for 1 to 6 months,"February 10, 2022",10,"I started Repatha because I can't take any kind of statins.  I am 21 years old and hard work out 5 times a week (gym). With statins CPK in blood test was going 800+ and its limits are 175 , after first injection I was doing workout like before but after 5 days I couldn't even move much pain (CPK was normal), I had to lower the time I was going to the gym. I talked with my doctor and he told me to do 1 injection each month and not 2.  I hoped that my body will get used to it and I would be better. Well thats not possible before I had so much energy I could sleep like 4-6 hours per day now if I sleep 8+ hours and still feeling tired. I feel my legs really weak and I have pain in muscles (that will stop if I sit on a couch all day). It's awful you won't have any energy, you will have muscle pain.  Its my only choice because I can't take any statin (260 LDL) with Repatha 150, but no thanks, I have a life to live. If you start it forget the life you had before sorry for saying this but its true",George
9,Repatha,High Cholesterol,10.0,Taken for 6 months to 1 year,"January 29, 2022",0,"After six months I started to bloat and have swelling intestines. I put up with it for another three months but nowI have stopped taking it. It really worked ,my reading went down to 0.7 from 4.6. I am trying a higher dose of Crestor now",Tony
10,Repatha,High Cholesterol,10.0,Taken for 1 to 2 years,"January 23, 2022",1,I don't know what these folks have been doing wrong but I aren't getting these side effects other people are getting. This drug is a miracle. My first results brought my cholesterol down from 280 to 117. As of January 2022 it sits at 91. My first ever lab results were at 405 so as far as I'm concerned this stuff is miraculous. Any muscle issues I've had have all been related to using statins.,Niles Boatwrigh
